Rank,Title,Citations,Year,URL,Description
1,Robot Modeling and Control,6130,2006,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=-JPZ21IAAAAJ&pagesize=50&citation_for_view=-JPZ21IAAAAJ:KI9T_ytC6pkC,"• Page 49: In the paragraph immediately before Example 2.5, change” We first rotate the frame o2x2y2z2” to” We first rotate the frame o1x1y1z1”• Page 50: In Equation (2.18) the (1, 2) element of the matrix Rz, θ should be− sθ.• Equation (2.67), page 62: The (3, 2) element of the matrix H01 should be sz."
2,A tutorial on visual servo control,5031,2002,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=-JPZ21IAAAAJ&pagesize=50&citation_for_view=-JPZ21IAAAAJ:u5HHmVD_uO8C,"This article provides a tutorial introduction to visual servo control of robotic manipulators. Since the topic spans many disciplines our goal is limited to providing a basic conceptual framework. We begin by reviewing the prerequisite topics from robotics and computer vision, including a brief review of coordinate transformations, velocity representation, and a description of the geometric aspects of the image formation process. We then present a taxonomy of visual servo control systems. The two major classes of systems, position-based and image-based systems, are then discussed in detail. Since any visual servo system must be capable of tracking image features in a sequence of images, we also include an overview of feature-based and correlation-based methods for tracking. We conclude the tutorial with a number of observations on the current directions of the research field of visual servo control."
3,"Principles of robot motion: theory, algorithms, and implementations.",4659,2005,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=-JPZ21IAAAAJ&pagesize=50&citation_for_view=-JPZ21IAAAAJ:NJ774b8OgUMC,"A text that makes the mathematical underpinnings of robot motion accessible and relates low-level details of implementation to high-level algorithmic concepts. Robot motion planning has become a major focus of robotics. Research findings can be applied not only to robotics but to planning routes on circuit boards, directing digital actors in computer graphics, robot-assisted surgery and medicine, and in novel areas such as drug design and protein folding. This text reflects the great advances that have taken place in the last ten years, including sensor-based planning, probabalistic planning, localization and mapping, and motion planning for dynamic and nonholonomic systems. Its presentation makes the mathematical underpinnings of robot motion accessible to students of computer science and engineering, rleating low-level implementation details to high-level algorithmic concepts."
4,Visual servo control. I. Basic approaches,3372,2006,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=-JPZ21IAAAAJ&pagesize=50&citation_for_view=-JPZ21IAAAAJ:d1gkVwhDpl0C,"This paper is the first of a two-part series on the topic of visual servo control using computer vision data in the servo loop to control the motion of a robot. In this paper, we describe the basic techniques that are by now well established in the field. We first give a general overview of the formulation of the visual servo control problem. We then describe the two archetypal visual servo control schemes: image-based and position-based visual servo control. Finally, we discuss performance and stability issues that pertain to these two schemes, motivating the second article in the series, in which we consider advanced techniques"
5,Visual servo control. II. Advanced approaches [Tutorial],1483,2007,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=-JPZ21IAAAAJ&pagesize=50&citation_for_view=-JPZ21IAAAAJ:FsLZdJ3BAzkC,"This article is the second of a two-part tutorial on visual servo control. In this tutorial, we have only considered velocity controllers. It is convenient for most of classical robot arms. However, the dynamics of the robot must of course be taken into account for high speed task, or when we deal with mobile nonholonomic or underactuated robots. As for the sensor, geometrical features coming from a classical perspective camera is considered. Features related to the image motion or coming from other vision sensors necessitate to revisit the modeling issues to select adequate visual features. Finally, fusing visual features with data coming from other sensors at the level of the control scheme will allow to address new research topics"
6,"Robot modeling and control, 2nd edition",1115,2020,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=-JPZ21IAAAAJ&pagesize=50&citation_for_view=-JPZ21IAAAAJ:zGdJYJv2LkUC,Description not available
7,A new partitioned approach to image-based visual servo control,651,2002,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=-JPZ21IAAAAJ&pagesize=50&citation_for_view=-JPZ21IAAAAJ:9yKSN-GCB0IC,"In image-based visual servo control, where control is effected with respect to the image, there is no direct control over the Cartesian velocities of the robot end effector. As a result, the robot executes trajectories that are desirable in the image, but which can be indirect and seemingly contorted in Cartesian space. We introduce a partitioned approach to visual servo control that overcomes this problem. In particular, we decouple the x-axis rotational and translational components of the control from the remaining degrees of freedom. Then, to guarantee that all features remain in the image throughout the entire trajectory, we incorporate a potential function that repels feature points from the boundary of the image plane. We illustrate our control scheme with a variety of results."
8,Optimal motion planning for multiple robots having independent goals,575,2002,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=-JPZ21IAAAAJ&pagesize=50&citation_for_view=-JPZ21IAAAAJ:qjMakFHDy7sC,"This work makes two contributions to geometric motion planning for multiple robots: 1) motion plans are computed that simultaneously optimize an independent performance measure for each robot; 2) a general spectrum is defined between decoupled and centralized planning, in which we introduce coordination along independent roadmaps. By considering independent performance measures, we introduce a form of optimality that is consistent with concepts from multiobjective optimization and game theory literature. We present implemented, multiple-robot motion planning algorithms that are derived from the principle of optimality, for three problem classes along the spectrum between centralized and decoupled planning: 1) coordination along fixed, independent paths; 2) coordination along independent roadmaps; and 3) general, unconstrained motion planning. Computed examples are presented for all three …"
9,Visual Servoing and Visual Tracking,496,2008,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=-JPZ21IAAAAJ&pagesize=50&citation_for_view=-JPZ21IAAAAJ:_FxGoFyzp5QC,"This chapter introduces visual servo control, using computer vision data in the servo loop to control the motion of a robot. We first describe the basic tech- niques that are by now well established in the field. We give a general overview of the formulation of the visual servo control problem, and describe the two archetypal visual servo control schemes: image-based and position-based visual servo control. We then dis- cuss performance and stability issues that pertain to these two schemes, motivating advanced techniques. Of the many advanced techniques that have been de- veloped, we discuss 2 1/2 D, hybrid, partitioned and switched approaches. Having covered a variety of control schemes, we conclude by turning briefly to the problems of target tracking and controlling mo- tion directly in the joint space."
10,A biomimetic robotic platform to study flight specializations of bats,316,2017,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=-JPZ21IAAAAJ&pagesize=50&citation_for_view=-JPZ21IAAAAJ:LgRImbQfgY4C,"Bats have long captured the imaginations of scientists and engineers with their unrivaled agility and maneuvering characteristics, achieved by functionally versatile dynamic wing conformations as well as more than 40 active and passive joints on the wings. Wing flexibility and complex wing kinematics not only bring a unique perspective to research in biology and aerial robotics but also pose substantial technological challenges for robot modeling, design, and control. We have created a fully self-contained, autonomous flying robot that weighs 93 grams, called Bat Bot (B2), to mimic such morphological properties of bat wings. Instead of using a large number of distributed control actuators, we implement highly stretchable silicone-based membrane wings that are controlled at a reduced number of dominant wing joints to best match the morphological characteristics of bat flight. First, the dominant degrees of freedom …"
