Rank,Title,Citations,Year,URL,Description
1,Improved garbled circuit: Free XOR gates and applications,1136,2008,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=1vwuDM4AAAAJ&pagesize=50&citation_for_view=1vwuDM4AAAAJ:u-x6o8ySG0sC,"We present a new garbled circuit construction for two-party secure function evaluation (SFE). In our one-round protocol, XOR gates are evaluated “for free”, which results in the corresponding improvement over the best garbled circuit implementations (e.g. Fairplay [19]).We build permutation networks [26] and Universal Circuits (UC) [25] almost exclusively of XOR gates; this results in a factor of up to 4 improvement (in both computation and communication) of their SFE. We also improve integer addition and equality testing by factor of up to 2.We rely on the Random Oracle (RO) assumption. Our constructions are proven secure in the semi-honest model."
2,A pragmatic introduction to secure multi-party computation,742,2018,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=1vwuDM4AAAAJ&pagesize=50&citation_for_view=1vwuDM4AAAAJ:k8Z6L05lTy4C,"Secure multi-party computation (MPC) has evolved from a theoretical curiosity in the 1980s to a tool for building real systems today. Over the past decade, MPC has been one of the most active research areas in both theoretical and applied cryptography. This article introduces several important MPC protocols, and surveys methods for improving the efficiency of privacy-preserving applications built using MPC. Besides giving a broad overview of the field and the insights of the main constructions, we overview the most currently active areas of MPC research and aim to give readers insights into what problems are practically solvable using MPC today and how different threat models and assumptions impact the practicality of different approaches."
3,Efficient batched oblivious PRF with applications to private set intersection,600,2016,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=1vwuDM4AAAAJ&pagesize=50&citation_for_view=1vwuDM4AAAAJ:_Ybze24A_UAC,"We describe a lightweight protocol for oblivious evaluation of a pseudorandom function (OPRF) in the presence of semihonest adversaries. In an OPRF protocol a receiver has an input r; the sender gets output s and the receiver gets output F(s; r), where F is a pseudorandom function and s is a random seed. Our protocol uses a novel adaptation of 1-out-of-2 OT-extension protocols, and is particularly efficient when used to generate a large batch of OPRF instances. The cost to realize m OPRF instances is roughly the cost to realize 3:5m instances of standard 1-out-of-2 OTs (using state-of-the-art OT extension). We explore in detail our protocol's application to semihonest secure private set intersection (PSI). The fastest state-of- the-art PSI protocol (Pinkas et al., Usenix 2015) is based on efficient OT extension. We observe that our OPRF can be used to remove their PSI protocol's dependence on the bit-length of the …"
4,Improved garbled circuit building blocks and applications to auctions and computing minima,359,2009,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=1vwuDM4AAAAJ&pagesize=50&citation_for_view=1vwuDM4AAAAJ:2osOgNQ5qMEC,"We consider generic Garbled Circuit (GC)-based techniques for Secure Function Evaluation (SFE) in the semi-honest model.We describe efficient GC constructions for addition, subtraction, multiplication, and comparison functions. Our circuits for subtraction and comparison are approximately two times smaller (in terms of garbled tables) than previous constructions. This implies corresponding computation and communication improvements in SFE of functions using our efficient building blocks. The techniques rely on recently proposed “free XOR” GC technique.Further, we present concrete and detailed improved GC protocols for the problem of secure integer comparison, and related problems of auctions, minimum selection, and minimal distance. Performance improvement comes both from building on our efficient basic blocks and several problem-specific GC optimizations. We provide precise cost evaluation of …"
5,Blind seer: A scalable private DBMS,356,2014,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=1vwuDM4AAAAJ&pagesize=50&citation_for_view=1vwuDM4AAAAJ:BrmTIyaxlBUC,"Query privacy in secure DBMS is an important feature, although rarely formally considered outside the theoretical community. Because of the high overheads of guaranteeing privacy in complex queries, almost all previous works addressing practical applications consider limited queries (e.g., just keyword search), or provide a weak guarantee of privacy. In this work, we address a major open problem in private DB: efficient sub linear search for arbitrary Boolean queries. We consider scalable DBMS with provable security for all parties, including protection of the data from both server (who stores encrypted data) and client (who searches it), as well as protection of the query, and access control for the query. We design, build, and evaluate the performance of a rich DBMS system, suitable for real-world deployment on today medium-to large-scale DBs. On a modern server, we are able to query a formula over 10TB …"
6,Improved non-interactive zero knowledge with applications to post-quantum signatures,353,2018,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=1vwuDM4AAAAJ&pagesize=50&citation_for_view=1vwuDM4AAAAJ:g3aElNc5_aQC,"Recent work, including ZKBoo, ZKB++, and Ligero, has developed efficient non-interactive zero-knowledge proofs of knowledge (NIZKPoKs) for Boolean circuits based on symmetric-key primitives alone, using the ""MPC-in-the-head"" paradigm of Ishai et al. We show how to instantiate this paradigm with MPC protocols in the preprocessing model; once optimized, this results in an NIZKPoK with shorter proofs (and comparable computation) as in prior work for circuits containing roughly 300--100,000 AND~gates. In contrast to prior work, our NIZKPoK also supports witness-independent preprocessing, which allows the prover to shift most of its work to an offline phase before the witness is known. We use our NIZKPoK to construct a signature scheme based only on symmetric-key primitives (and hence with ""post-quantum"" security). The resulting scheme has shorter signatures than the scheme built using ZKB++ (and …"
7,Practical multi-party private set intersection from symmetric-key techniques,321,2017,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=1vwuDM4AAAAJ&pagesize=50&citation_for_view=1vwuDM4AAAAJ:uc_IGeMz5qoC,"We present a new paradigm for multi-party private set intersection (PSI) that allows parties to compute the intersection of their datasets without revealing any additional information. We explore a variety of instantiations of this paradigm. Our protocols avoid computationally expensive public-key operations and are secure in the presence of any number of semi-honest participants (i.e., without an honest majority). We demonstrate the practicality of our protocols with an implementation. To the best of our knowledge, this is the first implementation of a multi-party PSI protocol. For 5 parties with data-sets of 220 items each, our protocol requires only 72 seconds. In an optimization achieving a slightly weaker variant of security (augmented semi-honest model), the same task requires only 22 seconds. The technical core of our protocol is oblivious evaluation of a programmable pseudorandom function (OPPRF), which we …"
8,Improved OT extension for transferring short secrets,306,2013,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=1vwuDM4AAAAJ&pagesize=50&citation_for_view=1vwuDM4AAAAJ:8AbLer7MMksC,"We propose an optimization and generalization of OT extension of Ishai et al. of Crypto 2003. For computational security parameter k, our OT extension for short secrets offers O(logk) factor performance improvement in communication and computation, compared to prior work. In concrete terms, for today’s security parameters, this means approx. factor 2-3 improvement.This results in corresponding improvements in applications relying on such OT. In particular, for two-party semi-honest SFE, this results in O(logk) factor improvement in communication over state of the art Yao Garbled Circuit, and has the same asymptotic complexity as the recent multi-round construction of Kolesnikov and Kumaresan of SCN 2012. For multi-party semi-honest SFE, where their construction is inapplicable, our construction implies O(logk) factor communication and computation improvement over best previous constructions. As with our …"
9,Secure two-party computation in sublinear (amortized) time,226,2012,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=1vwuDM4AAAAJ&pagesize=50&citation_for_view=1vwuDM4AAAAJ:ldfaerwXgEUC,"Traditional approaches to generic secure computation begin by representing the function f being computed as a circuit. If f depends on each of its input bits, this implies a protocol with complexity at least linear in the input size. In fact, linear running time is inherent for non-trivial functions since each party must ""touch"" every bit of their input lest information about the other party's input be leaked. This seems to rule out many applications of secure computation (e.g., database search) in scenarios where inputs are huge. Adapting and extending an idea of Ostrovsky and Shoup, we present an approach to secure two-party computation that yields protocols running in sublinear time, in an amortized sense, for functions that can be computed in sublinear time on a random-access machine (RAM). Moreover, each party is required to maintain state that is only (essentially) linear in its own input size. Our approach combines …"
10,A secure decentralized data-centric information infrastructure for smart grid,212,2010,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=1vwuDM4AAAAJ&pagesize=50&citation_for_view=1vwuDM4AAAAJ:WF5omc3nYNoC,"In recent years the power grid has been undergoing transformative changes due to the greater penetration of renewable energy sources and increased focus on power demand shaping. These innovative transformations on the grid require a flexible IP-based communication grid that is reliable and secure. In this article we describe an IPbased decentralized and data-centric information infrastructure that can reliably, securely, and cost-effectively support the operation and innovative applications of the next generation grid. The proposed infrastructure differs from a typical distributed system since it addresses the specific requirements of power applications such as security, distributed data sources, latency sensitive data transactions and real time event updates. The work presented here paves the way for a future data-centric power network infrastructure."
