Rank,Title,Citations,Year,URL,Description
1,Space to think: large high-resolution displays for sensemaking,507,2010,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=_ZIAy3cAAAAJ&pagesize=50&citation_for_view=_ZIAy3cAAAAJ:u5HHmVD_uO8C,"Space supports human cognitive abilities in a myriad of ways. The note attached to the side of the monitor, the papers spread out on the desk, diagrams scrawled on a whiteboard, and even the keys left out on the counter are all examples of using space to recall, reveal relationships, and think. Technological advances have made it possible to construct large display environments in which space has real meaning. This paper examines how increased space affects the way displays are regarded and used within the context of the cognitively demanding task of sensemaking. A pair of studies were conducted demonstrating how the spatial environment supports sensemaking by becoming part of the distributed cognitive process, providing both external memory and a semantic layer."
2,Characterizing provenance in visualization and data analysis: an organizational framework of provenance types and purposes,364,2015,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=_ZIAy3cAAAAJ&pagesize=50&citation_for_view=_ZIAy3cAAAAJ:maZDTaKrznsC,"While the primary goal of visual analytics research is to improve the quality of insights and findings, a substantial amount of research in provenance has focused on the history of changes and advances throughout the analysis process. The term, provenance, has been used in a variety of ways to describe different types of records and histories related to visualization. The existing body of provenance research has grown to a point where the consolidation of design knowledge requires cross-referencing a variety of projects and studies spanning multiple domain areas. We present an organizational framework of the different types of provenance information and purposes for why they are desired in the field of visual analytics. Our organization is intended to serve as a framework to help researchers specify types of provenance and coordinate design knowledge across projects. We also discuss the relationships between …"
3,The state of the art in integrating machine learning into visual analytics,341,2017,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=_ZIAy3cAAAAJ&pagesize=50&citation_for_view=_ZIAy3cAAAAJ:DquSII9TDu4C,"Visual analytics systems combine machine learning or other analytic techniques with interactive data visualization to promote sensemaking and analytical reasoning. It is through such techniques that people can make sense of large, complex data. While progress has been made, the tactful combination of machine learning and data visualization is still under‐explored. This state‐of‐the‐art report presents a summary of the progress that has been made by highlighting and synthesizing select research advances. Further, it presents opportunities and challenges to enhance the synergy between machine learning and visual analytics for impactful future research directions."
4,Semantic interaction for visual text analytics,327,2012,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=_ZIAy3cAAAAJ&pagesize=50&citation_for_view=_ZIAy3cAAAAJ:Se3iqnhoufwC,"Visual analytics emphasizes sensemaking of large, complex datasets through interactively exploring visualizations generated by statistical models. For example, dimensionality reduction methods use various similarity metrics to visualize textual document collections in a spatial metaphor, where similarities between documents are approximately represented through their relative spatial distances to each other in a 2D layout. This metaphor is designed to mimic analysts' mental models of the document collection and support their analytic processes, such as clustering similar documents together. However, in current methods, users must interact with such visualizations using controls external to the visual metaphor, such as sliders, menus, or text fields, to directly control underlying model parameters that they do not understand and that do not relate to their analytic process occurring within the visual metaphor. In this …"
5,Augmenting visualizations with interactive data facts to facilitate interpretation and communication,298,2018,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=_ZIAy3cAAAAJ&pagesize=50&citation_for_view=_ZIAy3cAAAAJ:3MwzVuqRcA0C,"Recently, an increasing number of visualization systems have begun to incorporate natural language generation (NLG) capabilities into their interfaces. NLG-based visualization systems typically leverage a suite of statistical functions to automatically extract key facts about the underlying data and surface them as natural language sentences alongside visualizations. With current systems, users are typically required to read the system-generated sentences and mentally map them back to the accompanying visualization. However, depending on the features of the visualization (e.g., visualization type, data density) and the complexity of the data fact, mentally mapping facts to visualizations can be a challenging task. Furthermore, more than one visualization could be used to illustrate a single data fact. Unfortunately, current tools provide little or no support for users to explore such alternatives. In this paper, we explore …"
6,Task-based effectiveness of basic visualizations,287,2018,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=_ZIAy3cAAAAJ&pagesize=50&citation_for_view=_ZIAy3cAAAAJ:wuD5JclIwkYC,"Visualizations of tabular data are widely used; understanding their effectiveness in different task and data contexts is fundamental to scaling their impact. However, little is known about how basic tabular data visualizations perform across varying data analysis tasks. In this paper, we report results from a crowdsourced experiment to evaluate the effectiveness of five small scale (5-34 data points) two-dimensional visualization types-Table, Line Chart, Bar Chart, Scatterplot, and Pie Chart-across ten common data analysis tasks using two datasets. We find the effectiveness of these visualization types significantly varies across task, suggesting that visualization design would benefit from considering context-dependent effectiveness. Based on our findings, we derive recommendations on which visualizations to choose based on different tasks. We finally train a decision tree on the data we collected to drive a …"
7,The human is the loop: new directions for visual analytics,258,2014,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=_ZIAy3cAAAAJ&pagesize=50&citation_for_view=_ZIAy3cAAAAJ:7PzlFSSx8tAC,"Visual analytics is the science of marrying interactive visualizations and analytic algorithms to support exploratory knowledge discovery in large datasets. We argue for a shift from a ‘human in the loop’ philosophy for visual analytics to a ‘human is the loop’ viewpoint, where the focus is on recognizing analysts’ work processes, and seamlessly fitting analytics into that existing interactive process. We survey a range of projects that provide visual analytic support contextually in the sensemaking loop, and outline a research agenda along with future challenges."
8,"Information visualization on large, high-resolution displays: Issues, challenges, and opportunities",245,2011,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=_ZIAy3cAAAAJ&pagesize=50&citation_for_view=_ZIAy3cAAAAJ:eQOLeE2rZwMC,"Larger, higher-resolution displays are becoming accessible to a greater number of users as display technologies decrease in cost and software for the displays improves. The additional pixels are especially useful for information visualization where scalability has typically been limited by the number of pixels available on a display. But how will visualizations for larger displays need to fundamentally differ from visualizations on desktop displays? Are the basic visualization design principles different? With this potentially new design paradigm comes questions such as whether the relative effectiveness of various graphical encodings are different on large displays, which visualizations and datasets benefit the most, and how interaction with visualizations on large, high-resolution displays will need to change. As we explore these possibilities, we shift away from the technical limitations of scalability imposed by …"
9,Semantic interaction for sensemaking: inferring analytical reasoning for model steering,206,2012,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=_ZIAy3cAAAAJ&pagesize=50&citation_for_view=_ZIAy3cAAAAJ:kNdYIx-mwKoC,"Visual analytic tools aim to support the cognitively demanding task of sensemaking. Their success often depends on the ability to leverage capabilities of mathematical models, visualization, and human intuition through flexible, usable, and expressive interactions. Spatially clustering data is one effective metaphor for users to explore similarity and relationships between information, adjusting the weighting of dimensions or characteristics of the dataset to observe the change in the spatial layout. Semantic interaction is an approach to user interaction in such spatializations that couples these parametric modifications of the clustering model with usersÊ¼ analytic operations on the data (e.g., direct document movement in the spatialization, highlighting text, search, etc.). In this paper, we present results of a user study exploring the ability of semantic interaction in a visual analytic prototype, ForceSPIRE, to support …"
10,"Warning, bias may occur: A proposed approach to detecting cognitive bias in interactive visual analytics",204,2017,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=_ZIAy3cAAAAJ&pagesize=50&citation_for_view=_ZIAy3cAAAAJ:q1zXlPLtbUIC,"Visual analytic tools combine the complementary strengths of humans and machines in human-in-the-loop systems. Humans provide invaluable domain expertise and sensemaking capabilities to this discourse with analytic models; however, little consideration has yet been given to the ways inherent human biases might shape the visual analytic process. In this paper, we establish a conceptual framework for considering bias assessment through human-in-the-loop systems and lay the theoretical foundations for bias measurement. We propose six preliminary metrics to systematically detect and quantify bias from user interactions and demonstrate how the metrics might be implemented in an existing visual analytic system, InterAxis. We discuss how our proposed metrics could be used by visual analytic systems to mitigate the negative effects of cognitive biases by making users aware of biased processes …"
