Rank,Title,Citations,Year,URL,Description
1,Blockchain platform for industrial internet of things,1062,2016,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=_cAwG4gAAAAJ&pagesize=50&citation_for_view=_cAwG4gAAAAJ:4MWp96NkSFoC,"Internet of Things (IoT) are being adopted for industrial and manufacturing applications such as manufacturing automation, remote machine diagnostics, prognostic health management of industrial machines and supply chain management. Cloud-Based Manufacturing is a recent on-demand model of manufacturing that is leveraging IoT technologies. While Cloud-Based Manufacturing enables on-demand access to manufacturing resources, a trusted intermediary is required for transactions between the users who wish to avail manufacturing services. We present a decentralized, peer-to-peer platform called BPIIoT for Industrial Internet of Things based on the Block chain technology. With the use of Blockchain technology, the BPIIoT platform enables peers in a decentralized, trustless, peer-to-peer network to interact with each other without the need for a trusted intermediary."
2,Digital Signal Processing Handbook,989,2010,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=_cAwG4gAAAAJ&pagesize=50&citation_for_view=_cAwG4gAAAAJ:XD-gHx7UXLsC,Description not available
3,Internet of Things - A Hands-On Approach,435,2014,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=_cAwG4gAAAAJ&pagesize=50&citation_for_view=_cAwG4gAAAAJ:t7zJ5fGR-2UC,"Internet of Things (IoT) refers to physical and virtual objects that have unique identities and are connected to the internet to facilitate intelligent applications that make energy, logistics, industrial control, retail, agriculture and many other domains"" smarter"". Internet of Things is a new revolution of the Internet that is rapidly gathering momentum driven by the advancements in sensor networks, mobile devices, wireless communications, networking and cloud technologies. Experts forecast that by the year 2020 there will be a total of 50 billion devices/things connected to the internet. This book is written as a textbook on Internet of Things for educational programs at colleges and universities, and also for IoT vendors and service providers who may be interested in offering a broader perspective of Internet of Things to accompany their own customer and developer training programs. The typical reader is expected to have completed a couple of courses in programming using traditional high-level languages at the college-level, and is either a senior or a beginning graduate student in one of the science, technology, engineering or mathematics (STEM) fields. Like our companion book on Cloud Computing, we have tried to write a comprehensive book that transfers knowledge through an immersive"" hands on"" approach, where the reader is provided the necessary guidance and knowledge to develop working code for real-world IoT applications. Additional support is available at the book's website: www. internet-of-things-book. com Organization The book is organized into 3 main parts, comprising of a total of 11 chapters. Part I covers the building blocks of …"
4,A cloud-based approach for interoperable electronic health records (EHRs),322,2013,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=_cAwG4gAAAAJ&pagesize=50&citation_for_view=_cAwG4gAAAAJ:Tiz5es2fbqcC,"We present a cloud-based approach for the design of interoperable electronic health record (EHR) systems. Cloud computing environments provide several benefits to all the stakeholders in the healthcare ecosystem (patients, providers, payers, etc.). Lack of data interoperability standards and solutions has been a major obstacle in the exchange of healthcare data between different stakeholders. We propose an EHR system - cloud health information systems technology architecture (CHISTAR) that achieves semantic interoperability through the use of a generic design methodology which uses a reference model that defines a general purpose set of data structures and an archetype model that defines the clinical data attributes. CHISTAR application components are designed using the cloud component model approach that comprises of loosely coupled components that communicate asynchronously. In this paper …"
5,Method and system for tuning blockchain scalability for fast and low-cost payment and transaction processing,231,2018,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=_cAwG4gAAAAJ&pagesize=50&citation_for_view=_cAwG4gAAAAJ:q3CdL3IzO_QC,"ABSTRACT A method of synchronizing transactions between block chains comprising receiving first and second pluralities of transactions on a first private blockchain network and recording them to first and second private blocks on the first private blockchain network, respectively, generating a first merged block comprising the first private block and the second private block and recording the first merged block to a single block on a second blockchain network, recording each of the first and second private blocks and the first merged block to a first private smart contract linked to the first private blockchain network, performing a synchroniza tion process between the first private smart contract and a second smart contract linked to the second blockchain network, defining a second smart contract, and performing a checkpointing process between the first private smart con tract and the second smart contract. The first …"
6,Cyclostationary signal analysis,218,2017,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=_cAwG4gAAAAJ&pagesize=50&citation_for_view=_cAwG4gAAAAJ:fFSKOagxvKUC,"Processes encountered in statistical signal processing, communications, and time series analysis applications are often assumed stationary. The plethora of available algorithms testifies to the need for processing and spectral analysis of stationary signals (see, eg,[42]). Due to the varying nature of physical phenomena and certain man-made operations, however, time-invariance and the related notion of stationarity are often violated in practice. Hence, study of time-varying systems and nonstationary processes is well motivated.Research in nonstationary signals and time-varying systems has led both to the development of adaptive algorithms and to several elegant tools, including short-time (or running) Fourier transforms, timefrequency representations such as the Wigner–Ville (a member of Cohen’s class of distributions), Loeve’s and Karhunen’s expansions (leading to the notion of evolutionary spectra), and time …"
7,VLSI digital signal processors,196,1995,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=_cAwG4gAAAAJ&pagesize=50&citation_for_view=_cAwG4gAAAAJ:u-x6o8ySG0sC,"Devoted to real-time implementation and prototyping of DSP algorithms on both programmable and dedicated DSP's, this book offers a clear, cohesive, and quantitative systems-based approach to slale-of-lhe-ari research in VLSI digital signal processors. It is the first book to cover real-time implementation of DSP algorithms on both programmable and dedicated DSP's."
8,Tokens or crypto currency using smart contracts and blockchains,194,2019,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=_cAwG4gAAAAJ&pagesize=50&citation_for_view=_cAwG4gAAAAJ:LO7wyVUgiFcC,"(57) ABSTRACT A method of exchanging value across a blockchain network comprising receiving first and second transaction smart contracts, recording the first transaction smart contract to the second transaction smart contract, and registering global variable names and defining values thereof. The method further comprises receiving a transaction notification and recording the transaction to the second transaction smart contract."
9,System on chip or system on package?,171,2002,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=_cAwG4gAAAAJ&pagesize=50&citation_for_view=_cAwG4gAAAAJ:d1gkVwhDpl0C,"The authors propose a new system design paradigm, the system on package, which uses electronic product reengineering to meet time-to-market and performance requirements. The system on package promises a higher return on investment than the system on chip."
10,"Method and system for blockchain-based combined identity, ownership, integrity and custody management",165,2018,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=_cAwG4gAAAAJ&pagesize=50&citation_for_view=_cAwG4gAAAAJ:86PQX7AUzd4C,"ABSTRACT A method of issuing blockchain-based digital certificates comprising receiving from a user hashed user identification information and object information, recording to a digital certificate smart contract deployed at a digital certificate smart contract address on a blockchain network the hashed user identification information and object information and a timestamp of when the hashed user identification informa tion and the object information were received, defined as a received timestamp, signing the digital certificate smart contract with an issuer signature, performing a user identity verification process to confirm a user identity, upon con firming the user identity, generating a combination certifi cate configured to be shared by the user to verify the user's ownership of an object associated with the object informa tion, and sending the combination certificate to the user."
11,Transaction Pools Using Smart Contracts and Blockchains,147,2019,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=_cAwG4gAAAAJ&pagesize=50&citation_for_view=_cAwG4gAAAAJ:XvxMoLDsR5gC,"A method of exchanging value across a blockchain network including receiving lending offers from lenders, recording each lending offer to a lender smart contract on a blockchain network, and recording the lender smart contracts, defining a lending pool, to a lending pool smart contract on the blockchain network including lending pool conditions. The method may further include receiving a borrower request from a borrower including borrower conditions, recording the borrower request to a borrower smart contract on the blockchain network, determining if the borrower conditions fall within the lending pool conditions, and upon determin ing the borrower conditions fall within the lending pool conditions, recording the borrower smart contract to the lending pool smart contract."
12,Digital signal processing handbook,142,1997,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=_cAwG4gAAAAJ&pagesize=50&citation_for_view=_cAwG4gAAAAJ:qjMakFHDy7sC,"From the Publisher: The field of digital signal processing (DSP) has spurreddevelopments from basic theory of discrete-time signals and processing tools to diverse applications in telecommunications, speech and acoustics, radar, and video. This volume provides an accessible reference, offering theoretical and practical information to the audience of DSP users. This immense compilation outlines both introductory and specialized aspects of information-bearing signals in digital form, creating a resource relevant to the expanding needs of the engineering community. It also explores the use of computers and special-purpose digital hardware in extracting information or transforming signals in advantageous ways. Impacted areas presented include: Telecommunications Computer engineering Acoustics Seismic data analysis DSP software and hardware Image and video processing Remote sensing Multimedia …"
