name,google_scholar_url
Abrahim Ladha,https://scholar.google.com/citations?user=f_7ev68AAAAJ&hl=en
Ada Gavrilovska,https://scholar.google.com/citations?user=OlRjTCIAAAAJ&hl=en
Agata Rozga,https://scholar.google.com/citations?user=LAuxzv0AAAAJ&hl=en
Ahmed Saeed,https://scholar.google.com/citations?user=nuiUbpsAAAAJ&hl=en
Aibek Musaev,https://scholar.google.com/citations?user=cQPdjdgAAAAJ&hl=en
Alan Ritter,https://scholar.google.com/citations?user=unXtH3IAAAAJ&hl=en
Alberto Dainotti,https://scholar.google.com/citations?user=oZNdAREAAAAJ&hl=en
Alex Duncan,https://scholar.google.com/citations?user=9ZIsgScAAAAJ&hl=en
Alex Endert,https://scholar.google.com/citations?user=_ZIAy3cAAAAJ&hl=en
Alexander Adams,https://scholar.google.com/citations?user=assJWZYAAAAJ&hl=en
Alexandra Boldyreva,https://scholar.google.com/citations?user=8mHLyRoAAAAJ&hl=en
Alexandros Daglis,https://scholar.google.com/citations?user=Mm-dHpMAAAAJ&hl=en
Alexey Tumanov,https://scholar.google.com/citations?user=7P-gZioAAAAJ&hl=en
Amanda Meng,https://scholar.google.com/citations?user=WBRatTAAAAAJ&hl=en
Amy Bruckman,https://scholar.google.com/citations?user=IdWa_JkAAAAJ&hl=en
Animesh Chhotaray,https://scholar.google.com/citations?user=4UZP8bMAAAAJ&hl=en
Annie I. Antón,https://scholar.google.com/citations?user=IQosWycAAAAJ&hl=en
Anqi Wu,https://scholar.google.com/citations?user=ptGYJiEAAAAJ&hl=en
Ashutosh Dhekne,https://scholar.google.com/citations?user=gGB3lA4AAAAJ&hl=en
B. Aditya Prakash,https://scholar.google.com/citations?user=C-NftTgAAAAJ&hl=en
Betsy DiSalvo,https://scholar.google.com/citations?user=BXEDBDUAAAAJ&hl=en
Bo Dai,https://scholar.google.com/citations?user=TIKl_foAAAAJ&hl=en
Bo Zhu,https://scholar.google.com/citations?user=atNjbs0AAAAJ&hl=en
Bobbie Lynn Eicher,https://scholar.google.com/citations?user=kiR4luIAAAAJ&hl=en
Brendan D. Saltaformaggio,https://scholar.google.com/citations?user=1GsJvtwAAAAJ&hl=en
Brian Hrolenok,https://scholar.google.com/citations?user=DKiiFh4AAAAJ&hl=en
Brian Magerko,https://scholar.google.com/citations?user=6VFGjPYAAAAJ&hl=en
Bruce N. Walker,https://scholar.google.com/citations?user=xY3zIEAAAAAJ&hl=en
Calton Pu,https://scholar.google.com/citations?user=Vbv-JEwAAAAJ&hl=en
Carrie Bruce,https://scholar.google.com/citations?user=Ntekq2MAAAAJ&hl=en
Cecilia Testart,https://scholar.google.com/citations?user=p2fibvQAAAAJ&hl=en
Chao Zhang,https://scholar.google.com/citations?user=CeEO6SIAAAAJ&hl=en
Christopher J. MacLellan,https://scholar.google.com/citations?user=q_K8iFQAAAAJ&hl=en
Cindy Lin Kaiying,https://scholar.google.com/citations?user=stSffQ8AAAAJ&hl=en
Cindy Xiong Bearfield,https://scholar.google.com/citations?user=fFc3ezYAAAAJ&hl=en
Clio Andris,https://scholar.google.com/citations?user=D9jCEIkAAAAJ&hl=en
Constantine Dovrolis,https://scholar.google.com/citations?user=sfuwsSwAAAAJ&hl=en
Dana Randall,https://scholar.google.com/citations?user=6wCEmNYAAAAJ&hl=en
Danfei Xu,https://scholar.google.com/citations?user=J5D4kcoAAAAJ&hl=en
Dante Ciolfi,https://scholar.google.com/citations?user=2HLpBtQAAAAJ&hl=en
David A. Joyner,https://scholar.google.com/citations?user=yaCigtkAAAAJ&hl=en
David Sherrill,https://scholar.google.com/citations?user=PN-rzYUAAAAJ&hl=en
Divya Mahajan,https://scholar.google.com/citations?user=HmBa_6gAAAAJ&hl=en
Edmond Chow,https://scholar.google.com/citations?user=jGqGKGMAAAAJ&hl=en
Elizabeth M. Cherry,https://scholar.google.com/citations?user=E6h84HUAAAAJ&hl=en
Elizabeth Qian,https://scholar.google.com/citations?user=jnHI7wQAAAAJ&hl=en
Ellen Zegura,https://scholar.google.com/citations?user=Z6EHuGcAAAAJ&hl=en
Felix J. Herrmann,https://scholar.google.com/citations?user=hw23CTQAAAAJ&hl=en
Francisco Romero,https://scholar.google.com/citations?user=mSw8KfIAAAAJ&hl=en
Glen Chou,https://scholar.google.com/citations?user=90whi3wAAAAJ&hl=en
Greg Eisenhauer,https://scholar.google.com/citations?user=4G7pc2IAAAAJ&hl=en
Greg Turk,https://scholar.google.com/citations?user=Q_4d9N0AAAAJ&hl=en
Haesun Park,https://scholar.google.com/citations?user=G6kA1CMAAAAJ&hl=en
Harish Ravichandar,https://scholar.google.com/citations?user=d2HP6SMAAAAJ&hl=en
Helen Xu,https://scholar.google.com/citations?user=ZcguQt4AAAAJ&hl=en
Humphrey Shi,https://scholar.google.com/citations?user=WBvt5A8AAAAJ&hl=en
Hyesoon Kim,https://scholar.google.com/citations?user=7OvZhQIAAAAJ&hl=en
HyunJoo Oh,https://scholar.google.com/citations?user=h0wla9sAAAAJ&hl=en
Irfan Essa,https://scholar.google.com/citations?user=XM97iScAAAAJ&hl=en
J. Sukarno Mertoguno,https://scholar.google.com/citations?user=KY-eoQkAAAAJ&hl=en
Jacob Abernethy,https://scholar.google.com/citations?user=FDu4ciwAAAAJ&hl=en
James Foley,https://scholar.google.com/citations?user=GmcChLIAAAAJ&hl=en
James Hays,https://scholar.google.com/citations?user=vjZrDKQAAAAJ&hl=en
Jan van den Brand,https://scholar.google.com/citations?user=56fOepEAAAAJ&hl=en
Jennifer G. Kim,https://scholar.google.com/citations?user=puNJcv0AAAAJ&hl=en
John Stasko,https://scholar.google.com/citations?user=2PxFftgAAAAJ&hl=en
Jon Duke,https://scholar.google.com/citations?user=6WlU86IAAAAJ&hl=en
Jon R. Lindsay,https://scholar.google.com/citations?user=Lde9BAgAAAAJ&hl=en
Joseph Jaeger,https://scholar.google.com/citations?user=r9K3MQwAAAAJ&hl=en
Josiah Hester,https://scholar.google.com/citations?user=EMYV8cEAAAAJ&hl=en
Joy Arulraj,https://scholar.google.com/citations?user=rp8dOfAAAAAJ&hl=en
Judith Odili Uchidiuno,https://scholar.google.com/citations?user=n6zdTxUAAAAJ&hl=en
Judy Hoffman,https://scholar.google.com/citations?user=mqpjAt4AAAAJ&hl=en
Jun Xu,https://scholar.google.com/citations?user=mHwonDEAAAAJ&hl=en
KARTIK GOYAL,https://scholar.google.com/citations?user=Lz6-_iIAAAAJ&hl=en
Kai Wang,https://scholar.google.com/citations?user=spWVns8AAAAJ&hl=en
Ketan Bhardwaj,https://scholar.google.com/citations?user=vlV_GoEAAAAJ&hl=en
Kexin Rong,https://scholar.google.com/citations?user=C8LDYK0AAAAJ&hl=en
Kim  Luong MacLeod,https://scholar.google.com/citations?user=cRvSNzIAAAAJ&hl=en
Kristine Nagel,https://scholar.google.com/citations?user=F0HhkJIAAAAJ&hl=en
Kuldeep S. Meel,https://scholar.google.com/citations?user=bvW5Hs8AAAAJ&hl=en
KwangHo Park,https://scholar.google.com/citations?user=CpVsPWEAAAAJ&hl=en
Larry Heck,https://scholar.google.com/citations?user=33ZWJmEAAAAJ&hl=en
Lien Diaz,https://scholar.google.com/citations?user=2--dZP0AAAAJ&hl=en
Ling Liu,https://scholar.google.com/citations?user=VIwtdckAAAAJ&hl=en
Mahender Mandala,https://scholar.google.com/citations?user=E2Idm8UAAAAJ&hl=en
Mark Borodovsky,https://scholar.google.com/citations?user=ciQ3dn0AAAAJ&hl=en
Mark Riedl,https://scholar.google.com/citations?user=Yg_QjxcAAAAJ&hl=en
Matthew Gombolay,https://scholar.google.com/citations?user=Ihyz20wAAAAJ&hl=en
Max Mahdi Roozbahani,https://scholar.google.com/citations?user=W8oVUI8AAAAJ&hl=en
Melody Moore Jackson,https://scholar.google.com/citations?user=83SAwBsAAAAJ&hl=en
Michael A. Specter,https://scholar.google.com/citations?user=lHmMK_4AAAAJ&hl=en
Michael Donald Bailey,https://scholar.google.com/citations?user=sMnocAYAAAAJ&hl=en
Milos Prvulovic,https://scholar.google.com/citations?user=A_j_baAAAAAJ&hl=en
Moinuddin Qureshi,https://scholar.google.com/citations?user=EWU0STsAAAAJ&hl=en
Mostafa Ammar,https://scholar.google.com/citations?user=OT79Y9UAAAAJ&hl=en
Munmun De Choudhury,https://scholar.google.com/citations?user=Z9Pfp6UAAAAJ&hl=en
Mustaque Ahamad,https://scholar.google.com/citations?user=xkCYK58AAAAJ&hl=en
Nabil Imam,https://scholar.google.com/citations?user=72afgH4AAAAJ&hl=en
Naveena Karusala,https://scholar.google.com/citations?user=S3yqENkAAAAJ&hl=en
Neha Kumar,https://scholar.google.com/citations?user=-ZqZyP0AAAAJ&hl=en
Nicholas Lytle,https://scholar.google.com/citations?user=U-Dk-1QAAAAJ&hl=en
Nimisha Roy,https://scholar.google.com/citations?user=5BWj5TgAAAAJ&hl=en
Paul Pearce,https://scholar.google.com/citations?user=JvY2c4YAAAAJ&hl=en
Peng Chen,https://scholar.google.com/citations?user=AaVPa5kAAAAJ&hl=en
Peter A. Freeman,https://scholar.google.com/citations?user=1kW15d8AAAAJ&hl=en
Peter Swire,https://scholar.google.com/citations?user=8ThYcf8AAAAJ&hl=en
Polo Chau,https://scholar.google.com/citations?user=YON32W4AAAAJ&hl=en
Qi Tang,https://scholar.google.com/citations?user=EtoOcLMAAAAJ&hl=en
Qirun Zhang,https://scholar.google.com/citations?user=u0TKjhIAAAAJ&hl=en
Raphael Pestourie,https://scholar.google.com/citations?user=Lxv3W74AAAAJ&hl=en
Rebecca E. Grinter,https://scholar.google.com/citations?user=PNalJ58AAAAJ&hl=en
Richard DeMillo,https://scholar.google.com/citations?user=kK3b1SAAAAAJ&hl=en
Richard Fujimoto,https://scholar.google.com/citations?user=q1bkP7AAAAAJ&hl=en
Richard Henneman,https://scholar.google.com/citations?user=of5e53cAAAAJ&hl=en
Richard Vuduc,https://scholar.google.com/citations?user=CCGI7x4AAAAJ&hl=en
