Rank,Title,Citations,Year,URL,Description
1,Classifying software for reusability,1172,1987,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=1kW15d8AAAAJ&pagesize=50&citation_for_view=1kW15d8AAAAJ:u5HHmVD_uO8C,"To reuse a software component, you first have to find it. The faceted scheme described here is a partial solution to this classification and retrieval problem."
2,Requirements validation through viewpoint resolution,367,1991,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=1kW15d8AAAAJ&pagesize=50&citation_for_view=1kW15d8AAAAJ:u-x6o8ySG0sC,"Viewpoint resolution (VPR) is proposed as a technique for providing an early validation of the requirements for a complex system. VPR is based on the fact that software requirements should be elicited from different viewpoints and that examination of the differences resulting from them can be used to assist in the early validation of requirements. A language for expressing views from different viewpoints is proposed, along with a set of analogy heuristics to perform a syntactically oriented analysis of views. This analysis of views is capable of differentiating between missing information and conflicting information, thus providing support for VPR. Empirical evidence is presented supporting the effectiveness of these mechanisms."
3,The Supply of Information Technology Workers in the United States.,355,1999,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=1kW15d8AAAAJ&pagesize=50&citation_for_view=1kW15d8AAAAJ:d1gkVwhDpl0C,"This study is designed to improve understanding of the supply of and demand for information technology (IT) workers in America and contextual issues surrounding that topic. Chapter 1 examines aspects of the political context concerning IT workforce issues. Chapter 2 outlines a way to distinguish IT workers from a much larger class of workers whose jobs are enabled by IT and classifies them into four categories--conceptualizers, developers, modifiers/extenders, and supporters/tenders--based on skills and knowledge required to do the job. Chapter 3 addresses dynamics of the marketplace and dangers of government intervention in the IT labor market, limitations on action to improve a supply-demand mismatch, costs of an IT worker shortage, and international considerations. Chapter 4 evaluates whether there is a shortage of IT workers and determines that data are inadequate to ascertain a national supply-demand mismatch. Chapter 5 describes an extensive supply system, including majors in"
4,A model for functional reasoning in design,272,1971,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=1kW15d8AAAAJ&pagesize=50&citation_for_view=1kW15d8AAAAJ:9yKSN-GCB0IC,"A model of the design process is developed in two stages, corresponding to the task environment of design and the activity of posing and solving design problems. Use of the model with top-down and bottom-up disciplines is discussed. Ah example of the design of an object using a semi-'automated design system based on the model is presented. Several issues raised by the model's qualitative aspects, its suitability to automated design, and lines for further development are discussed."
5,Reusable software engineering: Concepts and research directions,220,1983,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=1kW15d8AAAAJ&pagesize=50&citation_for_view=1kW15d8AAAAJ:ZuybSZzF8UAC,"The objective of reusable software engineering is to enable the broad reuse of all types of information found in development situations. This paper defines classes of information to be reused, discusses the processes and conditions surrounding reuse, and suggests research tasks that will improve our ability to practice reuse."
6,"VariantValidator: Accurate validation, mapping, and formatting of sequence variation descriptions",189,2018,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=1kW15d8AAAAJ&pagesize=50&citation_for_view=1kW15d8AAAAJ:olpn-zPbct0C,"The Human Genome Variation Society (HGVS) variant nomenclature is widely used to describe sequence variants in scientific publications, clinical reports, and databases. However, the HGVS recommendations are complex and this often results in inaccurate variant descriptions being reported. The open‐source hgvs Python package (https://github.com/biocommons/hgvs) provides a programmatic interface for parsing, manipulating, formatting, and validating of variants according to the HGVS recommendations, but does not provide a user‐friendly Web interface. We have developed a Web‐based variant validation tool, VariantValidator (https://variantvalidator.org/), which utilizes the hgvs Python package and provides additional functionality to assist users who wish to accurately describe and report sequence‐level variations that are compliant with the HGVS recommendations. VariantValidator was designed to …"
7,Tutorial on software design techniques,147,1983,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=1kW15d8AAAAJ&pagesize=50&citation_for_view=1kW15d8AAAAJ:BUYA1_V_uYcC,"Tutorial on software design techniques | CiNii Research CiNii 国立情報学研究所 学術情報 ナビゲータ[サイニィ] 詳細へ移動 検索フォームへ移動 論文・データをさがす 大学図書館の本をさがす English 検索 タイトル 人物/団体名 所属機関 ISSN DOI 期間 ~ 本文リンク 本文リンクあり データ ソース JaLC IRDB Crossref DataCite NDLサーチ NDLデジコレ(旧NII-ELS) RUDA JDCat NINJAL CiNii Articles CiNii Books DBpedia Nikkei BP KAKEN Integbio PubMed LSDB Archive 極地研 ADS 極地研学術DB OpenAIRE 公共データカタログ すべて 研究データ 論文 本 博士論文 プロジェクト [2025年5月12日更新]CiNii Dissertations及びCiNii BooksのCiNii Researchへの統合について CiNii Research自動翻訳機能(試行版)をCiNii Labsにて公開しました 日経BP社提供データの更新 停止及び削除について 「研究データ」「根拠データ」の収録について Tutorial on software design techniques Web Site CiNii 所蔵館 1館 Freeman, Peter Wasserman, Anthony I. 書誌事項 タイトル ""…"
8,"Tutorial, software reusability",145,1987,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=1kW15d8AAAAJ&pagesize=50&citation_for_view=1kW15d8AAAAJ:qjMakFHDy7sC,"Tutorial, software reusability | Guide books skip to main content ACM Digital Library home ACM Association for Computing Machinery corporate logo Premium Edition acm open access logo FELD M GmbH Sign in Register Advanced Search Journals Magazines Proceedings Books SIGs Conferences Institutions People More SearchSearch Search ACM Digital Library SearchSearch Advanced Search Browse Browse Digital Library Collections More Export Citations Select Citation format Please download or close your previous search result export first before starting a new bulk export. Preview is not available. By clicking download,a status dialog will open to start the export process. The process may takea few minutes but once it finishes a file will be downloadable from your browser. You may continue to browse the DL while the export process is in progress. Download citation Copy citation Tutorial, software reusability …"
9,TMM: Software maintenance by transformation,128,1986,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=1kW15d8AAAAJ&pagesize=50&citation_for_view=1kW15d8AAAAJ:UeHWp8X0CEIC,Porting an undocumented program without any source changes demonstrates the value of a transformational theory of maintenance. The theory is based on the reuse of knowledge.
10,A conceptual analysis of the Draco approach to constructing software systems,109,2006,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=1kW15d8AAAAJ&pagesize=50&citation_for_view=1kW15d8AAAAJ:IjCSPb-OGe4C,This paper analyzes the concepts of software construction embodied in the Draco approach. The analysis relates specific aspects of Draco to particular software engineering (SE) principles and suggests future research needed to extend the approach. The purpose of this analysis is to help researchers understand Draco better and thus to enhance future research.
