Rank,Title,Citations,Year,URL,Description
1,"Does the Advanced Placement Computer Science (CS) Principles course drive equitable and inclusive CS pedagogy, curriculum, and policy as a means to broaden participation in …",10,2024,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2--dZP0AAAAJ&pagesize=50&citation_for_view=2--dZP0AAAAJ:hqOjcs7Dif8C,"The premise for the development of the Advanced Placement (AP) Computer Science Principles course was aimed at broadening participation in computing, as a high school level CS course. Since AP courses carry credibility with millions of students who take AP Exams as they are recognized with prospects of obtaining a college education, the hope was that the AP CS Principles course would lead to increased participation in AP CS Exams, especially with students historically excluded in CS including girls, Black, Hispanic, and Native American students, as well those with disabilities. The course raises opportunities and access to CS in higher education. The AP CS Principles curriculum framework is used in the development of the Exam which is significant in the creation college credit and placement policies. Nearly 1,300 colleges and universities have created policies providing students with opportunities to …"
2,Going beyond the platitudes of equity: Developing a shared vision for equity in computer science education,10,2019,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2--dZP0AAAAJ&pagesize=50&citation_for_view=2--dZP0AAAAJ:IjCSPb-OGe4C,"Efforts to broaden participation in computing address how systemic school structures, educator preparation, and curriculum can provide inclusive learning spaces for all students. The emerging multiplicity of scholarship in computer science (CS) education forwards diverse voices, perspectives, and positionalities, and together, provide a rich set of evidence-based narratives that can transform K-12 policies and practices. The four projects featured in this panel bring together CS education efforts with varying methodologies focused on equity-oriented pedagogies and learning for all youth across the US. This panel will focus not only on sharing the multi-pronged efforts of the featured projects, but also on developing a shared vision among participants and panelists for what equity"" can and should be in the future of both SIGCSE and CS education as we celebrate SIGCSE's 50th anniversary. By highlighting the work of …"
3,CS principles: development and evolution of a course and a community,9,2013,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2--dZP0AAAAJ&pagesize=50&citation_for_view=2--dZP0AAAAJ:UebtZRa9Y70C,The Computer Science Principles project is in the fourth year of a roughly eight year project to develop a new Advanced Placement course that broadens participation in computer science while providing a rigorous yet engaging academic experience that will earn college credit and/or placement. In this special session we discuss new developments in the project and share student work and instructor perspectives from those pilot programs that have been part of the project for the past two years. In previous SIGCSE special sessions we have reported on the development of the project and its relationship to a national initiative (CS10K) to broaden participation in high school computing while expanding the number of teachers educating students in high school computing and computer science.[1-3] In this session we report on the conclusion of a second year of pilots that included nine high schools partnered with eight …
4,Advanced Placement computer science: the future of tracking the first year of instruction,6,2009,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2--dZP0AAAAJ&pagesize=50&citation_for_view=2--dZP0AAAAJ:roLk4NBRz8UC,"The Advanced Placement (AP) Computer Science program is intended to reflect enough of a common core of a first semester or year of university-level computer science so that placement or credit can be awarded for work done before college. The SIGCSE symposia have a long history of providing forums for discussing the evolution of the AP program from its inception [1] to the transition from Pascal to C++ [3] to the transition from C++ to Java [2,5,7,8,9]. Panels related to how credit and placement are awarded have also been part of the SIGCSE conferences [4,6]. This special session is a report of the ongoing process of developing new and possible wide-ranging changes to the AP program."
5,Re-imagining the first year of computing,5,2010,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2--dZP0AAAAJ&pagesize=50&citation_for_view=2--dZP0AAAAJ:WF5omc3nYNoC,"The Advanced Placement (AP) Computer Science program is intended to reflect enough of a common core of a first semester or year of university-level computer science so that placement or credit can be awarded for work done before college. The SIGCSE symposia have a long history of providing forums for discussing the evolution of the AP program from its inception [1] to the transition in languages from Pascal to C++ to Java [2, 3, 5, 7, 8, 9]. In [15] a report on the beginning of the project we report on here was presented. This proposed special session is a report on a new direction, with the potential for widespread adoption, for a new course in computer science for high schools and colleges; a course with the potential to be a new AP course attracting a larger and more diverse audience than typical introductory programming courses. In this session we will report on the process that has led to this new direction …"
6,Social justice and equity in CS education: Inaugural launch of AP Computer Science Principles,4,2017,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2--dZP0AAAAJ&pagesize=50&citation_for_view=2--dZP0AAAAJ:9yKSN-GCB0IC,"The inaugural launch of the College Board's Advanced Placement Computer Science Principles (AP CSP) course coincided within the same year of the announcement of CS For All, a bold national initiative that seeks to support the expansion of computer science education in America, and to empower students to learn computer science and obtain the computational thinking skills needed to thrive in today's transforming digital world. The intent of the AP CSP course supports this initiative as it aims to promote social justice and equity in computer science education. The course is designed to be appealing to a broader audience, including females and minority students, who are underrepresented in computer science, thus providing increased access and opportunity for students to study computer science at the secondary level."
7,Update on the CS principles project,4,2012,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2--dZP0AAAAJ&pagesize=50&citation_for_view=2--dZP0AAAAJ:Tyk-4Ss8FVUC,"The CS Principles Project is a collaborative effort to develop a new introductory course in computer science, accessible to all students. Computer Science educators at all levels have worked together on the development of the new curriculum under the direction of the College Board with support from the National Science Foundation. This special session provides an opportunity for the CS Principles project leaders to report on recent updates and new directions, and to engage in discussion on all aspects of the project with SIGCSE participants"
8,"Building Recommendations for Conducting Equity-Focused, High Quality K-12 Computer Science Education Research",3,2023,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2--dZP0AAAAJ&pagesize=50&citation_for_view=2--dZP0AAAAJ:eQOLeE2rZwMC,"To investigate and identify promising practices in equitable K-12 computer science (CS) education, the capacity for education researchers to conduct this research must be rapidly built globally. Simultaneously, concerns have arisen over the last few years about the quality of research that is being conducted and the lack of equity-focused research. In this working group, we will tackle the research question: In what ways can previous research standards inform high-quality, equity-focused K-12 CS education research? We will use existing research and various standards bodies (e.g., European Educational Research Association, Australian Education Research Organisation, CONSORT, American Psychological Association) to synthesize key features in the context of equity-focused K-12 CS education research. We will then vet these attributes with experts who can provide feedback and refine our recommendations …"
9,"Dismantling the Master's House: Effective Allyship, Advocacy, and Activism for Women in Computing",3,2021,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2--dZP0AAAAJ&pagesize=50&citation_for_view=2--dZP0AAAAJ:2osOgNQ5qMEC,"It is often assumed that women in CS fully understand and appreciate diversity, equity, and inclusion and advocate for the needs of all women. However, there exist highly publicized examples in computing and beyond where the intersection of race and gender (and the experiences of Black, Latina, and Indigenous women) were ignored by White women. This panel convenes diverse women in CS to discuss the importance and challenges of same-gender allyship, advocacy, and activism."
10,Setting the table for equity: A leadership model for broadening participation in computing,2,2022,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2--dZP0AAAAJ&pagesize=50&citation_for_view=2--dZP0AAAAJ:qjMakFHDy7sC,"In order to advance broadening participation in computing (BPC) efforts, research and practice projects should implement a board (advisory or strategic) that specifically focuses on equity. In light of the murder of George Floyd, the impact of COVID-19 on minoritized communities, and the historical (and continual) erasure of diverse voices within the computing and technology fields, it is important that networks, alliances, and the broader computer science community engage with stakeholders with critical expertise in areas of diversity, equity, and inclusion. In this panel, Expanding Computing in Education Pathways (ECEP) Alliance Executive Board members will discuss the need for equity-centered conversations, specifically when it comes to BPC. Panelists and audience members will engage in dialogue around the necessity for, and value of, creating spaces where diverse voices are elevated and supported."
