Rank,Title,Citations,Year,URL,Description
1,Visualization of test information to assist fault localization,1608,2002,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2PxFftgAAAAJ&pagesize=50&citation_for_view=2PxFftgAAAAJ:9yKSN-GCB0IC,"One of the most expensive and time-consuming components of the debugging process is locating the errors or faults. To locate faults, developers must identify statements involved in failures and select suspicious statements that might contain faults. This paper presents a new technique that uses visualization to assist with these tasks. The technique uses color to visually map the participation of each program statement in the outcome of the execution of the program with a test suite, consisting of both passed and failed test cases. Based on this visual mapping, a user can inspect the statements in the program, identify statements involved in failures, and locate potentially faulty statements. The paper also describes a prototype tool that implements our technique along with a set of empirical studies that use the tool for evaluation of the technique. The empirical studies show that, for the subject we studied, the technique …"
2,Toward a deeper understanding of the role of interaction in information visualization,1463,2007,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2PxFftgAAAAJ&pagesize=50&citation_for_view=2PxFftgAAAAJ:roLk4NBRz8UC,"Even though interaction is an important part of information visualization (Infovis), it has garnered a relatively low level of attention from the Infovis community. A few frameworks and taxonomies of Infovis interaction techniques exist, but they typically focus on low-level operations and do not address the variety of benefits interaction provides. After conducting an extensive review of Infovis systems and their interactive capabilities, we propose seven general categories of interaction techniques widely used in Infovis: 1) Select, 2) Explore, 3) Reconfigure, 4) Encode, 5) Abstract/Elaborate, 6) Filter, and 7) Connect. These categories are organized around a user's intent while interacting with a system rather than the low-level interaction techniques provided by a system. The categories can act as a framework to help discuss and evaluate interaction techniques and hopefully lay an initial foundation toward a deeper …"
3,Low-level components of analytic activity in information visualization,1143,2005,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2PxFftgAAAAJ&pagesize=50&citation_for_view=2PxFftgAAAAJ:0EnyYjriUFMC,"Existing system level taxonomies of visualization tasks are geared more towards the design of particular representations than the facilitation of user analytic activity. We present a set of ten low level analysis tasks that largely capture people's activities while employing information visualization tools for understanding data. To help develop these tasks, we collected nearly 200 sample questions from students about how they would analyze five particular data sets from different domains. The questions, while not being totally comprehensive, illustrated the sheer variety of analytic questions typically posed by users when employing information visualization systems. We hope that the presented set of tasks is useful for information visualization system designers as a kind of common substrate to discuss the relative analytic capabilities of the systems. Further, the tasks may provide a form of checklist for system designers."
4,A meta-study of algorithm visualization effectiveness,1041,2002,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2PxFftgAAAAJ&pagesize=50&citation_for_view=2PxFftgAAAAJ:d1gkVwhDpl0C,"Algorithm visualization (AV) technology graphically illustrates how algorithms work. Despite the intuitive appeal of the technology, it has failed to catch on in mainstream computer science education. Some have attributed this failure to the mixed results of experimental studies designed to substantiate AV technology's educational effectiveness. However, while several integrative reviews of AV technology have appeared, none has focused specifically on the software's effectiveness by analyzing this body of experimental studies as a whole. In order to better understand the effectiveness of AV technology, we present a systematic meta-study of 24 experimental studies. We pursue two separate analyses: an analysis ofindependent variables , in which we tie each study to a particular guiding learning theory in an attempt to determine which guiding theory has had the most predictive success; and an analysis of dependent …"
5,Tango: A framework and system for algorithm animation,830,1990,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2PxFftgAAAAJ&pagesize=50&citation_for_view=2PxFftgAAAAJ:u5HHmVD_uO8C,"Algorithm animation is the process of abstracting the data, operations, and semantics of computer programs, and then creating animated graphical views of those abstractions. Although a handful of algorithm animation systems have been developed in recent years, relatively little work has been done on the theoretical foundations of such systems. In this work we develop a conceptual framework with formal models and precise semantics for algorithm animation. The framework contains facilities for defining operations in an algorithm, designing animations, and mapping the algorithm operations to their corresponding animations. Concurrently, we develop an algorithm animation system called TANGO (Transition-based A Nimation GeveratiOn) and a WYSIWYG demonstrational animation design tool called DANCE (Demonstrational A Nimation CrEation) that are both based upon the framework."
6,Jigsaw: supporting investigative analysis through interactive visualization,829,2008,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2PxFftgAAAAJ&pagesize=50&citation_for_view=2PxFftgAAAAJ:ufrVoPGSRksC,"Investigative analysts who work with collections of text documents connect embedded threads of evidence in order to formulate hypotheses about plans and activities of potential interest. As the number of documents and the corresponding number of concepts and entities within the documents grow larger, sense-making processes become more and more difficult for the analysts. We have developed a visual analytic system called Jigsaw that represents documents and their entities visually in order to help analysts examine them more efficiently and develop theories about potential actions more quickly. Jigsaw provides multiple coordinated views of document entities with a special emphasis on visually illustrating connections between entities across the different documents."
7,"Focus+ context display and navigation techniques for enhancing radial, space-filling hierarchy visualizations",669,2000,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2PxFftgAAAAJ&pagesize=50&citation_for_view=2PxFftgAAAAJ:qjMakFHDy7sC,"Radial, space-filling visualizations can be useful for depicting information hierarchies, but they suffer from one major problem. As the hierarchy grows in size, many items become small, peripheral slices that are difficult to distinguish. We have developed three visualization/interaction techniques that provide flexible browsing of the display. The techniques allow viewers to examine the small items in detail while providing context within the entire information hierarchy. Additionally, smooth transitions between views help users maintain orientation within the complete information space."
8,Software visualization: Programming as a multimedia experience,616,1998,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2PxFftgAAAAJ&pagesize=50&citation_for_view=2PxFftgAAAAJ:u-x6o8ySG0sC,"This book describes the history of SV, techniques and frameworks for its construction, its use in education and program debugging, and recent attempts to evaluate its effectiveness. Foreword by Jim Foley In the past decade, high quality interfaces have become standard in a growing number of areas such as games and CD-ROM-based encyclopedias. Yet the overwhelming majority of programmers edit their code using a single font within a single window and view code execution via the hand insertion of print statements. Software Visualization (SV) redresses this imbalance by using typography, graphics, and animation techniques to show program code, data, and control flow. This book describes the history of SV, techniques and frameworks for its construction, its use in education and program debugging, and recent attempts to evaluate its effectiveness. In making programming a multimedia experience, SV leaves programmers and computer science researchers free to explore more interesting issues and to tackle more challenging problems. Contributors Ronald Baecker, John Bazik, Alan Blackwell, Mike Brayshaw, Marc H. Brown, Wim De Pauw, John B. Domingue, Stephen Eick, Marc Eisenstadt, Christopher Fry, Peter Gloor, Thomas Green, Michael Heath, John Hershberger, Clinton L. Jeffery, Doug Kimelman, Eileen Kraemer, Andrea Lawrence, Henry Lieberman, Allen Malony, Aaron Marcus, Paul Mulholland, Marc Najork, Stephen North, Marian Petre, Blaine A. Price, Steven Reiss, Gruia-Catalin Roman, Diane Rover, Bryan Rosenburg, Tova Roth, Robert Sedgewick, Ian Small, John T. Stasko, Roberto Tamassia, Andries van Dam, John …"
9,Casual information visualization: Depictions of data in everyday life,609,2007,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2PxFftgAAAAJ&pagesize=50&citation_for_view=2PxFftgAAAAJ:aqlVkmm33-oC,"Information visualization has often focused on providing deep insight for expert user populations and on techniques for amplifying cognition through complicated interactive visual models. This paper proposes a new subdomain for infovis research that complements the focus on analytic tasks and expert use. Instead of work-related and analytically driven infovis, we propose Casual Information Visualization (or Casual Infovis) as a complement to more traditional infovis domains. Traditional infovis systems, techniques, and methods do not easily lend themselves to the broad range of user populations, from expert to novices, or from work tasks to more everyday situations. We propose definitions, perspectives, and research directions for further investigations of this emerging subfield. These perspectives build from ambient information visualization [32], social visualization, and also from artistic work that visualizes …"
10,A taxonomy of ambient information systems: four patterns of design,579,2006,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2PxFftgAAAAJ&pagesize=50&citation_for_view=2PxFftgAAAAJ:Se3iqnhoufwC,"Researchers have explored the design of ambient information systems across a wide range of physical and screen-based media. This work has yielded rich examples of design approaches to the problem of presenting information about a user's world in a way that is not distracting, but is aesthetically pleasing, and tangible to varying degrees. Despite these successes, accumulating theoretical and craft knowledge has been stymied by the lack of a unified vocabulary to describe these systems and a consequent lack of a framework for understanding their design attributes. We argue that this area would significantly benefit from consensus about the design space of ambient information systems and the design attributes that define and distinguish existing approaches. We present a definition of ambient information systems and a taxonomy across four design dimensions: Information Capacity, Notification Level …"
