Rank,Title,Citations,Year,URL,Description
1,Golden single-atomic-site platinum electrocatalysts,393,2018,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2QsddMIAAAAJ&pagesize=50&citation_for_view=2QsddMIAAAAJ:q3oQSFYPqjQC,"Bimetallic nanoparticles with tailored structures constitute a desirable model system for catalysts, as crucial factors such as geometric and electronic effects can be readily controlled by tailoring the structure and alloy bonding of the catalytic site. Here we report a facile colloidal method to prepare a series of platinum–gold (PtAu) nanoparticles with tailored surface structures and particle diameters on the order of 7 nm. Samples with low Pt content, particularly Pt4Au96, exhibited unprecedented electrocatalytic activity for the oxidation of formic acid. A high forward current density of 3.77 A mgPt−1 was observed for Pt4Au96, a value two orders of magnitude greater than those observed for core–shell structured Pt78Au22 and a commercial Pt nanocatalyst. Extensive structural characterization and theoretical density functional theory simulations of the best-performing catalysts revealed densely packed single-atom Pt …"
2,"Insights into interfaces, stability, electronic properties, and catalytic activities of atomically precise metal nanoclusters from first principles",334,2018,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2QsddMIAAAAJ&pagesize=50&citation_for_view=2QsddMIAAAAJ:V3AGJWp-ZtQC,"ConspectusAtomically precise, ligand-protected metal nanoclusters are of great interest for their well-defined structures, intriguing physicochemical properties, and potential applications in catalysis, biology, and nanotechnology. Their structure precision provides many opportunities to correlate their geometries, stability, electronic properties, and catalytic activities by closely integrating theory and experiment. In this Account, we highlight recent theoretical advances from our efforts to understand the metal–ligand interfaces, the energy landscape, the electronic structure and optical absorption, and the catalytic applications of atomically precise metal nanoclusters. We mainly focus on gold nanoclusters.The bonding motifs and energetics at the gold–ligand interfaces are two main interests from a computational perspective. For the gold–thiolate interface, the −RS–Au–SR– staple motif is not always preferred; in fact, the …"
3,Benchmarking graph neural networks for materials chemistry,325,2021,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2QsddMIAAAAJ&pagesize=50&citation_for_view=2QsddMIAAAAJ:dQ2og3OwTAUC,"Graph neural networks (GNNs) have received intense interest as a rapidly expanding class of machine learning models remarkably well-suited for materials applications. To date, a number of successful GNNs have been proposed and demonstrated for systems ranging from crystal stability to electronic property prediction and to surface chemistry and heterogeneous catalysis. However, a consistent benchmark of these models remains lacking, hindering the development and consistent evaluation of new models in the materials field. Here, we present a workflow and testing platform, MatDeepLearn, for quickly and reproducibly assessing and comparing GNNs and other machine learning models. We use this platform to optimize and evaluate a selection of top performing GNNs on several representative datasets in computational materials chemistry. From our investigations we note the importance of hyperparameter …"
4,Single rhodium atoms anchored in micropores for efficient transformation of methane under mild conditions,323,2018,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2QsddMIAAAAJ&pagesize=50&citation_for_view=2QsddMIAAAAJ:4fKUyHm3Qg0C,"Catalytic transformation of CH4 under a mild condition is significant for efficient utilization of shale gas under the circumstance of switching raw materials of chemical industries to shale gas. Here, we report the transformation of CH4 to acetic acid and methanol through coupling of CH4, CO and O2 on single-site Rh1O5 anchored in microporous aluminosilicates in solution at ≤150 °C. The activity of these singly dispersed precious metal sites for production of organic oxygenates can reach about 0.10 acetic acid molecules on a Rh1O5 site per second at 150 °C with a selectivity of ~70% for production of acetic acid. It is higher than the activity of free Rh cations by >1000 times. Computational studies suggest that the first C–H bond of CH4 is activated by Rh1O5 anchored on the wall of micropores of ZSM-5; the formed CH3 then couples with CO and OH, to produce acetic acid over a low activation barrier."
5,Understanding seed-mediated growth of gold nanoclusters at molecular level,318,2017,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2QsddMIAAAAJ&pagesize=50&citation_for_view=2QsddMIAAAAJ:WbkHhVStYXYC,"The continuous development of total synthesis chemistry has allowed many organic and biomolecules to be produced with known synthetic history–that is, a complete set of step reactions in their synthetic routes. Here, we extend such molecular-level precise reaction routes to nanochemistry, particularly to a seed-mediated synthesis of inorganic nanoparticles. By systematically investigating the time−dependent abundance of 35 intermediate species in total, we map out relevant step reactions in a model size growth reaction from molecularly pure Au25 to Au44 nanoparticles. The size growth of Au nanoparticles involves two different size−evolution processes (monotonic LaMer growth and volcano-shaped aggregative growth), which are driven by a sequential 2-electron boosting of the valence electron count of Au nanoparticles. Such fundamental findings not only provide guiding principles to produce other sizes of …"
6,Machine learned features from density of states for accurate adsorption energy prediction,250,2021,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2QsddMIAAAAJ&pagesize=50&citation_for_view=2QsddMIAAAAJ:hkOj_22Ku90C,"Materials databases generated by high-throughput computational screening, typically using density functional theory (DFT), have become valuable resources for discovering new heterogeneous catalysts, though the computational cost associated with generating them presents a crucial roadblock. Hence there is a significant demand for developing descriptors or features, in lieu of DFT, to accurately predict catalytic properties, such as adsorption energies. Here, we demonstrate an approach to predict energies using a convolutional neural network-based machine learning model to automatically obtain key features from the electronic density of states (DOS). The model, DOSnet, is evaluated for a diverse set of adsorbates and surfaces, yielding a mean absolute error on the order of 0.1 eV. In addition, DOSnet can provide physically meaningful predictions and insights by predicting responses to external …"
7,Nickel–platinum nanoparticles as peroxidase mimics with a record high catalytic efficiency,247,2021,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2QsddMIAAAAJ&pagesize=50&citation_for_view=2QsddMIAAAAJ:JQOojiI6XY0C,"While nanoscale mimics of peroxidase have been extensively developed over the past decade or so, their catalytic efficiency as a key parameter has not been substantially improved in recent years. Herein, we report a class of highly efficient peroxidase mimic–nickel–platinum nanoparticles (Ni–Pt NPs) that consist of nickel-rich cores and platinum-rich shells. The Ni–Pt NPs exhibit a record high catalytic efficiency with a catalytic constant (Kcat) as high as 4.5 × 107 s–1, which is ∼46- and 104-fold greater than the Kcat values of conventional Pt nanoparticles and natural peroxidases, respectively. Density functional theory calculations reveal that the unique surface structure of Ni–Pt NPs weakens the adsorption of key intermediates during catalysis, which boosts the catalytic efficiency. The Ni–Pt NPs were applied to an immunoassay of a carcinoembryonic antigen that achieved an ultralow detection limit of 1.1 pg/mL …"
8,Oxidative dehydrogenation of propane to propylene with soft oxidants via heterogeneous catalysis,209,2021,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2QsddMIAAAAJ&pagesize=50&citation_for_view=2QsddMIAAAAJ:_Ybze24A_UAC,"Oxidative dehydrogenation of propane to propylene can be achieved using conventional, oxygen-assisted dehydrogenation of propane (O2–ODHP) or via the use of soft oxidants, such as CO2, N2O, S-containing compounds, and halogens/halides. The major roles of soft oxidants include inhibiting overoxidation and improving propylene selectivity, which are considered to be current challenges in O2-assisted dehydrogenation. For both CO2– and N2O–ODHP reactions, significant efforts have been devoted to developing redox-active (e.g., chromium, vanadate, iron, etc.), nonredox-type main group metal oxide (e.g., group IIIA, gallium), and other transition metal/metal oxide catalysts (e.g., molybdenum, palladium platinum, rhodium, ruthenium, etc.), as well as zeolite-based catalysts with adjustable acid–base properties, unique pore structures, and topologies. Metal sulfides have shown promising performance in …"
9,"High-throughput predictions of metal–organic framework electronic properties: theoretical challenges, graph neural networks, and data exploration",184,2022,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2QsddMIAAAAJ&pagesize=50&citation_for_view=2QsddMIAAAAJ:tzM49s52ZIMC,"With the goal of accelerating the design and discovery of metal–organic frameworks (MOFs) for electronic, optoelectronic, and energy storage applications, we present a dataset of predicted electronic structure properties for thousands of MOFs carried out using multiple density functional approximations. Compared to more accurate hybrid functionals, we find that the widely used PBE generalized gradient approximation (GGA) functional severely underpredicts MOF band gaps in a largely systematic manner for semi-conductors and insulators without magnetic character. However, an even larger and less predictable disparity in the band gap prediction is present for MOFs with open-shell 3d transition metal cations. With regards to partial atomic charges, we find that different density functional approximations predict similar charges overall, although hybrid functionals tend to shift electron density away from the metal …"
10,Harnessing strong metal–support interactions via a reverse route,179,2020,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2QsddMIAAAAJ&pagesize=50&citation_for_view=2QsddMIAAAAJ:LjlpjdlvIbIC,"Engineering strong metal–support interactions (SMSI) is an effective strategy for tuning structures and performances of supported metal catalysts but induces poor exposure of active sites. Here, we demonstrate a strong metal–support interaction via a reverse route (SMSIR) by starting from the final morphology of SMSI (fully-encapsulated core–shell structure) to obtain the intermediate state with desirable exposure of metal sites. Using core–shell nanoparticles (NPs) as a building block, the Pd–FeOx NPs are transformed into a porous yolk–shell structure along with the formation of SMSIR upon treatment under a reductive atmosphere. The final structure, denoted as Pd–Fe3O4–H, exhibits excellent catalytic performance in semi-hydrogenation of acetylene with 100% conversion and 85.1% selectivity to ethylene at 80 °C. Detailed electron microscopic and spectroscopic experiments coupled with computational …"
