Rank,Title,Citations,Year,URL,Description
1,Learning deep structured semantic models for web search using clickthrough data,2745,2013,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=33ZWJmEAAAAJ&pagesize=50&citation_for_view=33ZWJmEAAAAJ:PR6Y55bgFSsC,"Latent semantic models, such as LSA, intend to map a query to its relevant documents at the semantic level where keyword-based matching often fails. In this study we strive to develop a series of new latent semantic models with a deep structure that project queries and documents into a common low-dimensional space where the relevance of a document given a query is readily computed as the distance between them. The proposed deep structured semantic models are discriminatively trained by maximizing the conditional likelihood of the clicked documents given a query using the clickthrough data. To make our models applicable to large-scale Web search applications, we also use a technique called word hashing, which is shown to effectively scale up our semantic models to handle large vocabularies which are common in such tasks. The new models are evaluated on a Web document ranking task using a …"
2,Using recurrent neural networks for slot filling in spoken language understanding,813,2014,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=33ZWJmEAAAAJ&pagesize=50&citation_for_view=33ZWJmEAAAAJ:epqYDVWIO7EC,"Semantic slot filling is one of the most challenging problems in spoken language understanding (SLU). In this paper, we propose to use recurrent neural networks (RNNs) for this task, and present several novel architectures designed to efficiently model past and future temporal dependencies. Specifically, we implemented and compared several important RNN architectures, including Elman, Jordan, and hybrid variants. To facilitate reproducibility, we implemented these networks with the publicly available Theano neural network toolkit and completed experiments on the well-known airline travel information system (ATIS) benchmark. In addition, we compared the approaches on two custom SLU data sets from the entertainment and movies domains. Our results show that the RNN-based models outperform the conditional random field (CRF) baseline by 2% in absolute error reduction on the ATIS benchmark. We …"
3,Class-incremental learning via deep model consolidation,530,2020,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=33ZWJmEAAAAJ&pagesize=50&citation_for_view=33ZWJmEAAAAJ:5s9rAH04UEoC,"Deep neural networks (DNNs) often suffer from"" catastrophic forgetting"" during incremental learning (IL)---an abrupt degradation of performance on the original set of classes when the training objective is adapted to a newly added set of classes. Existing IL approaches tend to produce a model that is biased towards either the old classes or new classes, unless with the help of exemplars of the old data. To address this issue, we propose a class-incremental learning paradigm called Deep Model Consolidation (DMC), which works well even when the original training data is not available. The idea is to first train a separate model only for the new classes, and then combine the two individual models trained on data of two distinct set of classes (old classes and new classes) via a novel double distillation training objective. The two existing models are consolidated by exploiting publicly available unlabeled auxiliary data. This overcomes the potential difficulties due to unavailability of original training data. Compared to the state-of-the-art techniques, DMC demonstrates significantly better performance in image classification (CIFAR-100 and CUB-200) and object detection (PASCAL VOC 2007) in the single-headed IL setting."
4,Translating natural language utterances to keyword search queries,360,2015,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=33ZWJmEAAAAJ&pagesize=50&citation_for_view=33ZWJmEAAAAJ:_Re3VWB3Y0AC,"7,606,700 B2 10/2009 Ramsey et al. 2010/0281435 A1 1 1/2010 Bangalore et al. 7,640,164 B2 12/2009 Sasaki et al. 2010.0318398 A1 12/2010 Brun et al. 7,665,041 B2 2/2010 Wilson et al. 2011 OO16005 A1 1/2011 Li et al. 7,672,845 B2 3/2010 Beranek et al. 2011/0022992 A1 1/2011 Zhou et al. 7,716,056 B2 5, 2010 W tal. 2011/004O777 A1 2/2011 Stefanov"
5,Taking a hint: Leveraging explanations to make vision and language models more grounded,350,2019,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=33ZWJmEAAAAJ&pagesize=50&citation_for_view=33ZWJmEAAAAJ:MRFs4rWx_PcC,"Many vision and language models suffer from poor visual grounding--often falling back on easy-to-learn language priors rather than basing their decisions on visual concepts in the image. In this work, we propose a generic approach called Human Importance-aware Network Tuning (HINT) that effectively leverages human demonstrations to improve visual grounding. HINT encourages deep networks to be sensitive to the same input regions as humans. Our approach optimizes the alignment between human attention maps and gradient-based network importances--ensuring that models learn not just to look at but rather rely on visual concepts that humans found relevant for a task when making predictions. We apply HINT to Visual Question Answering and Image Captioning tasks, outperforming top approaches on splits that penalize over-reliance on language priors (VQA-CP and robust captioning) using human attention demonstrations for just 6% of the training data."
6,Deep learning for semantic parsing including semantic utterance classification,310,2015,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=33ZWJmEAAAAJ&pagesize=50&citation_for_view=33ZWJmEAAAAJ:KUbvn5osdkgC,"BACKGROUND0001 Conversational machine understanding systems aim to automatically classify a spoken user utterance into one of a set of predefined semantic categories and extract related argu ments using semantic classifiers. In general, these systems, Such as used in Smartphones' personal assistants and the like, do not place any constraints on what the user can say. 0002. As a result, semantic classifiers need to allow for significant variations in utterances, whereby automatic utter ance classification is a complex problem. For example, one user may say “I want to fly from San Francisco to New York next Sunday'while another user may express basically the same information by saying"" Show me weekend flights between JFK and SFO. Although there is significant varia tion in the way these commands are expressed, a good seman tic classifier needs to classify both commands into the same semantic …"
7,Eye gaze for spoken language understanding in multi-modal conversational interactions,309,2016,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=33ZWJmEAAAAJ&pagesize=50&citation_for_view=33ZWJmEAAAAJ:Et1yZiPVzsMC,"Improving accuracy in understanding and/or resolving ref erences to visual elements in a visual context associated with a computerized conversational system is described. Tech niques described herein leverage gaze input with gestures and/or speech input to improve spoken language understand ing in computerized conversational systems. Leveraging gaze input and speech input improves spoken language understanding in conversational systems by improving the accuracy by which the system can resolve references, or interpret a user's intent—with respect to visual elements in a visual context. In at least one example, the techniques herein describe tracking gaze to generate gaze input, recog nizing speech input, and extracting gaze features and lexical features from the user input. Based at least in part on the gaze features and lexical features, user utterances directed to visual elements in a visual context …"
8,Eye gaze for spoken language understanding in multi-modal conversational interactions,309,2016,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=33ZWJmEAAAAJ&pagesize=50&citation_for_view=33ZWJmEAAAAJ:k8Z6L05lTy4C,"Improving accuracy in understanding and/or resolving ref erences to visual elements in a visual context associated with a computerized conversational system is described. Tech niques described herein leverage gaze input with gestures and/or speech input to improve spoken language understand ing in computerized conversational systems. Leveraging gaze input and speech input improves spoken language understanding in conversational systems by improving the accuracy by which the system can resolve references, or interpret a user's intent—with respect to visual elements in a visual context. In at least one example, the techniques herein describe tracking gaze to generate gaze input, recog nizing speech input, and extracting gaze features and lexical features from the user input. Based at least in part on the gaze features and lexical features, user utterances directed to visual elements in a visual context …"
9,What is left to be understood in ATIS?,305,2010,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=33ZWJmEAAAAJ&pagesize=50&citation_for_view=33ZWJmEAAAAJ:4DMP91E08xMC,"One of the main data resources used in many studies over the past two decades for spoken language understanding (SLU) research in spoken dialog systems is the airline travel information system (ATIS) corpus. Two primary tasks in SLU are intent determination (ID) and slot filling (SF). Recent studies reported error rates below 5% for both of these tasks employing discriminative machine learning techniques with the ATIS test set. While these low error rates may suggest that this task is close to being solved, further analysis reveals the continued utility of ATIS as a research corpus. In this paper, our goal is not experimenting with domain specific techniques or features which can help with the remaining SLU errors, but instead exploring methods to realize this utility via extensive error analysis. We conclude that even with such low error rates, ATIS test set still includes many unseen example categories and sequences …"
10,MSR identity toolbox v1. 0: A MATLAB toolbox for speaker-recognition research,302,2013,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=33ZWJmEAAAAJ&pagesize=50&citation_for_view=33ZWJmEAAAAJ:PbrqR9PZhrEC,"We are happy to announce the release of the MSR Identity Toolbox: A MATLAB toolbox for speaker-recognition research. This toolbox contains a collection of MATLAB tools and routines that can be used for research and development in speaker recognition. It provides researchers with a test bed for developing new front-end and back-end techniques, allowing replicable evaluation of new advancements. It will also help newcomers in the field by lowering the"" barrier to entry,"" enabling them to quickly build baseline systems for their experiments. Although the focus of this toolbox is on speaker recognition, it can also be used for other speech related applications such as language, dialect, and accent identification. Additionally, it provides many of the functionalities available in other open-source speaker recognition toolkits (eg, ALIZE [1]) but with a simpler design which makes it easier for the users to understand and …"
11,Contextual lstm (clstm) models for large scale nlp tasks,294,2016,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=33ZWJmEAAAAJ&pagesize=50&citation_for_view=33ZWJmEAAAAJ:3K1WWmVGZRgC,"Documents exhibit sequential structure at multiple levels of abstraction (e.g., sentences, paragraphs, sections). These abstractions constitute a natural hierarchy for representing the context in which to infer the meaning of words and larger fragments of text. In this paper, we present CLSTM (Contextual LSTM), an extension of the recurrent neural network LSTM (Long-Short Term Memory) model, where we incorporate contextual features (e.g., topics) into the model. We evaluate CLSTM on three specific NLP tasks: word prediction, next sentence selection, and sentence topic prediction. Results from experiments run on two corpora, English documents in Wikipedia and a subset of articles from a recent snapshot of English Google News, indicate that using both words and topics as features improves performance of the CLSTM models over baseline LSTM models for these tasks. For example on the next sentence selection task, we get relative accuracy improvements of 21% for the Wikipedia dataset and 18% for the Google News dataset. This clearly demonstrates the significant benefit of using context appropriately in natural language (NL) tasks. This has implications for a wide variety of NL applications like question answering, sentence completion, paraphrase generation, and next utterance prediction in dialog systems."
12,Voice authentication system having cognitive recall mechanism for password verification,274,2003,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=33ZWJmEAAAAJ&pagesize=50&citation_for_view=33ZWJmEAAAAJ:5nxA0vEk-isC,"The present invention includes a method and apparatus for enrolling a user for voice authentication. The method includes outputting a first prompt designed to elicit a first utterance from the user, and then receiving and Storing the first utterance as a password prompt for the user. The method further includes outputting a Second prompt designed to elicit a Second utterance from the user, and then receiving and Storing the Second utterance as a password correspond ing to the password prompt.Another aspect of the present invention further is a method and apparatus for performing voice authentication. The method includes outputting a password prompt to the user which is representative of an utterance previously received from the user and which corresponds to a password for the user, and then Verifying the user based on whether a spoken response to the password prompt is received which matches the …"
13,Building a conversational agent overnight with dialogue self-play,254,2018,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=33ZWJmEAAAAJ&pagesize=50&citation_for_view=33ZWJmEAAAAJ:lDOOmgye57wC,"We propose Machines Talking To Machines (M2M), a framework combining automation and crowdsourcing to rapidly bootstrap end-to-end dialogue agents for goal-oriented dialogues in arbitrary domains. M2M scales to new tasks with just a task schema and an API client from the dialogue system developer, but it is also customizable to cater to task-specific interactions. Compared to the Wizard-of-Oz approach for data collection, M2M achieves greater diversity and coverage of salient dialogue flows while maintaining the naturalness of individual utterances. In the first phase, a simulated user bot and a domain-agnostic system bot converse to exhaustively generate dialogue ""outlines"", i.e. sequences of template utterances and their semantic parses. In the second phase, crowd workers provide contextual rewrites of the dialogues to make the utterances more natural while preserving their meaning. The entire process can finish within a few hours. We propose a new corpus of 3,000 dialogues spanning 2 domains collected with M2M, and present comparisons with popular dialogue datasets on the quality and diversity of the surface forms and dialogue flows."
14,Model based approach for on-screen item selection and disambiguation,238,2016,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=33ZWJmEAAAAJ&pagesize=50&citation_for_view=33ZWJmEAAAAJ:g3aElNc5_aQC,"(57) ABSTRACT A model-based approach for on-screen item selection and disambiguation is provided. An utterance may be received by a computing device in response to a display of a list of items for selection on a display Screen. A disambiguation model may then be applied to the utterance. The disambiguation model may be utilized to determine whether the utterance is directed to at least one of the list of displayed items, extract referential features from the utterance and identify an item from the list corresponding to the utterance, based on the extracted referential features. The computing device may then performan action which includes selecting the identified item associated with utterance."
