Rank,Title,Citations,Year,URL,Description
1,Falcon: On-line monitoring and steering of large-scale parallel programs,361,1995,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=4G7pc2IAAAAJ&pagesize=50&citation_for_view=4G7pc2IAAAAJ:u5HHmVD_uO8C,"Falcon is a system for on-line monitoring and steering of large-scale parallel programs. The purpose of such program steering is to improve the application's performance or to affect its execution behavior. This paper presents the framework of the Falcon system and its implementation, and then evaluates the performance of the system. A complex sample application, a molecular dynamics simulation program (MD), is used to motivate the research as well as to measure the performance of the Falcon system.<>"
2,Datastager: scalable data staging services for petascale applications,321,2009,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=4G7pc2IAAAAJ&pagesize=50&citation_for_view=4G7pc2IAAAAJ:9yKSN-GCB0IC,"Known challenges for petascale machines are that (1) the costs of I/O for high performance applications can be substantial, especially for output tasks like checkpointing, and (2) noise from I/O actions can inject undesirable delays into the runtimes of such codes on individual compute nodes. This paper introduces the flexible 'DataStager' framework for data staging and alternative services within that jointly address (1) and (2). Data staging services moving output data from compute nodes to staging or I/O nodes prior to storage are used to reduce I/O overheads on applications' total processing times, and explicit management of data staging offers reduced perturbation when extracting output data from a petascale machine's compute partition. Experimental evaluations of DataStager on the Cray XT machine at Oak Ridge National Laboratory establish both the necessity of intelligent data staging and the high …"
3,Adios 2: The adaptable input output system. a framework for high-performance data management,280,2020,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=4G7pc2IAAAAJ&pagesize=50&citation_for_view=4G7pc2IAAAAJ:hkOj_22Ku90C,"We present ADIOS 2, the latest version of the Adaptable Input Output (I/O) System. ADIOS 2 addresses scientific data management needs ranging from scalable I/O in supercomputers, to data analysis in personal computer and cloud systems. Version 2 introduces a unified application programming interface (API) that enables seamless data movement through files, wide-area-networks, and direct memory access, as well as high-level APIs for data analysis. The internal architecture provides a set of reusable and extendable components for managing data presentation and transport mechanisms for new applications. ADIOS 2 bindings are available in C++11, C, Fortran, Python, and Matlab and are currently used across different scientific communities. ADIOS 2 provides a communal framework to tackle data management challenges as we approach the exascale era of supercomputing."
4,Monalytics: online monitoring and analytics for managing large scale data centers,155,2010,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=4G7pc2IAAAAJ&pagesize=50&citation_for_view=4G7pc2IAAAAJ:Tyk-4Ss8FVUC,"To effectively manage large-scale data centers and utility clouds, operators must understand current system and application behaviors. This requires continuous monitoring along with online analysis of the data captured by the monitoring system. As a result, there is a need to move to systems in which both tasks can be performed in an integrated fashion, thereby better able to drive online system management. Coining the term 'monalytics' to refer to the combined monitoring and analysis systems used for managing large-scale data center systems, this paper articulates principles for monalytics systems, describes software approaches for implementing them, and provides experimental evaluations justifying principles and implementation approach. Specific technical contributions include consideration of scalability across both 'space' and 'time', the ability to dynamically deploy and adjust monalytics functionality at …"
5,Efficient Wire Formats for High Performance Computing,121,,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=4G7pc2IAAAAJ&pagesize=50&citation_for_view=4G7pc2IAAAAJ:fPk4N6BV_jEC,Description not available
6,"Performance analysis, design considerations, and applications of extreme-scale in situ infrastructures",120,2016,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=4G7pc2IAAAAJ&pagesize=50&citation_for_view=4G7pc2IAAAAJ:LPZeul_q3PIC,"A key trend facing extreme-scale computational science is the widening gap between computational and I/O rates, and the challenge that follows is how to best gain insight from simulation data when it is increasingly impractical to save it to persistent storage for subsequent visual exploration and analysis. One approach to this challenge is centered around the idea of in situ processing, where visualization and analysis processing is performed while data is still resident in memory. This paper examines several key design and performance issues related to the idea of in situ processing at extreme scale on modern platforms: scalability, overhead, performance measurement and analysis, comparison and contrast with a traditional post hoc approach, and interfacing with simulation codes. We illustrate these principles in practice with studies, conducted on large-scale HPC platforms, that include a miniapplication and …"
7,Flexpath: Type-based publish/subscribe system for large-scale science analytics,120,2014,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=4G7pc2IAAAAJ&pagesize=50&citation_for_view=4G7pc2IAAAAJ:UxriW0iASnsC,"As high-end systems move toward exascale sizes, a new model of scientific inquiry being developed is one in which online data analytics run concurrently with the high end simulations producing data outputs. Goals are to gain rapid insights into the ongoing scientific processes, assess their scientific validity, and/or initiate corrective or supplementary actions by launching additional computations when needed. The Flex path system presented in this paper addresses the fundamental problem of how to structure and efficiently implement the communications between high end simulations and concurrently running online data analytics, the latter comprised of componentized dynamic services and service pipelines. Using a type-based publish/subscribe approach, Flexpath encourages diversity by permitting analytics services to differ in their computational and scaling characteristics and even in their internal execution …"
8,Goldrush: Resource efficient in situ scientific data analytics using fine-grained interference aware execution,116,2013,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=4G7pc2IAAAAJ&pagesize=50&citation_for_view=4G7pc2IAAAAJ:D03iK_w7-QYC,"Severe I/O bottlenecks on High End Computing platforms call for running data analytics in situ. Demonstrating that there exist considerable resources in compute nodes un-used by typical high end scientific simulations, we leverage this fact by creating an agile runtime, termed GoldRush, that can harvest those otherwise wasted, idle resources to efficiently run in situ data analytics. GoldRush uses fine-grained scheduling to ""steal"" idle resources, in ways that minimize interference between the simulation and in situ analytics. This involves recognizing the potential causes of on-node resource contention and then using scheduling methods that prevent them. Experiments with representative science applications at large scales show that resources harvested on compute nodes can be leveraged to perform useful analytics, significantly improving resource efficiency, reducing data movement costs incurred by alternate …"
9,A flexible architecture integrating monitoring and analytics for managing large-scale data centers,115,2011,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=4G7pc2IAAAAJ&pagesize=50&citation_for_view=4G7pc2IAAAAJ:5nxA0vEk-isC,"To effectively manage large-scale data centers and utility clouds, operators must understand current system and application behaviors. This requires continuous, real-time monitoring along with on-line analysis of the data captured by the monitoring system, i.e., integrated monitoring and analytics -- Monalytics [28]. A key challenge with such integration is to balance the costs incurred and associated delays, against the benefits attained from identifying and reacting to, in a timely fashion, undesirable or non-performing system states. This paper presents a novel, flexible architecture for Monalytics in which such trade-offs are easily made by dynamically constructing software overlays called Distributed Computation Graphs (DCGs) to implement desired analytics functions. The prototype of Monalytics implementing this flexible architecture is evaluated with motivating use cases in small scale data center experiments, and …"
10,FlexIO: I/O middleware for location-flexible scientific data analytics,104,2013,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=4G7pc2IAAAAJ&pagesize=50&citation_for_view=4G7pc2IAAAAJ:blknAaTinKkC,"Increasingly severe I/O bottlenecks on High-End Computing machines are prompting scientists to process simulation output data online while simulations are running and before storing data on disk. There are several options to place data analytics along the I/O path: on compute nodes, on separate nodes dedicated to analytics, or after data is stored on persistent storage. Since different placements have different impact on performance and cost, there is a consequent need for flexibility in the location of data analytics. The FlexIO middleware described in this paper makes it easy for scientists to obtain such flexibility, by offering simple abstractions and diverse data movement methods to couple simulation with analytics. Various placement policies can be built on top of FlexIO to exploit the trade-offs in performing analytics at different levels of the I/O hierarchy. Experimental results demonstrate that FlexIO can support a …"
