Rank,Title,Citations,Year,URL,Description
1,A deterministic linear program solver in current matrix multiplication time,207,2020,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=56fOepEAAAAJ&pagesize=50&citation_for_view=56fOepEAAAAJ:XiVPGOgt02cC,"Interior point algorithms for solving linear programs have been studied extensively for a long time [e.g. Karmarkar 1984; Lee, Sidford FOCS’14; Cohen, Lee, Song STOC’19]. For linear programs of the form with n variables and d constraints, the generic case d = Ω(n) has recently been settled by Cohen, Lee and Song [STOC’19]. Their algorithm can solve linear programs in Õ(nω log(n/δ)) expected time1, where δ is the relative accuracy. This is essentially optimal as all known linear system solvers require up to O(nω) time for solving Ax = b. However, for the case of deterministic solvers, the best upper bound is Vaidya's 30 years old O(n2.5 log(n/δ)) bound [FOCS’89]. In this paper we show that one can also settle the deterministic setting by derandomizing Cohen et al.'s Õ(nω log(n/δ)) time algorithm. This allows for a strict Õ(nω log(n/δ)) time bound, instead of an expected one, and a simplified analysis, reducing the …"
2,"Minimum cost flows, MDPs, and ℓ1-regression in nearly linear time for dense instances",194,2021,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=56fOepEAAAAJ&pagesize=50&citation_for_view=56fOepEAAAAJ:35r97b3x0nAC,"In this paper we provide new randomized algorithms with improved runtimes for solving linear programs with two-sided constraints. In the special case of the minimum cost flow problem on n-vertex m-edge graphs with integer polynomially-bounded costs and capacities we obtain a randomized method which solves the problem in Õ(m + n1.5) time. This improves upon the previous best runtime of Õ(m √n) [Lee-Sidford’14] and, in the special case of unit-capacity maximum flow, improves upon the previous best runtimes of m4/3 + o(1) [Liu-Sidford’20, Kathuria’20] and Õ(m √n) [Lee-Sidford’14] for sufficiently dense graphs. In the case of ℓ1-regression in a matrix with n-columns and m-rows we obtain a randomized method which computes an є-approximate solution in Õ(mn + n2.5) time. This yields a randomized method which computes an є-optimal policy of a discounted Markov Decision Process with S states and, A …"
3,Bipartite matching in nearly-linear time on moderately dense graphs,147,2020,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=56fOepEAAAAJ&pagesize=50&citation_for_view=56fOepEAAAAJ:NJ774b8OgUMC,"We present an -time randomized algorithm for maximum cardinality bipartite matching and related problems (e.g. transshipment, negative-weight shortest paths, and optimal transport) on m-edge, n-node graphs. For maximum cardinality bipartite matching on moderately dense graphs, i.e. , our algorithm runs in time nearly linear in the input size and constitutes the first improvement over the classic -time [Dinic 1970; Hopcroft-Karp 1971; Karzanov 1973] and -time algorithms [Ibarra-Moran 1981] (where currently ). On sparser graphs, i.e. when for any constant , our result improves upon the recent advances of [Madry 2013] and [Liu-Sidford 2020b, 2020a] which achieve an runtime. We obtain these results by combining and advancing recent lines of research in interior point methods (IPMs) and dynamic graph algorithms. First, we simplify and improve the IPM of …"
4,Solving tall dense linear programs in nearly linear time,123,2020,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=56fOepEAAAAJ&pagesize=50&citation_for_view=56fOepEAAAAJ:dTyEYWd-f8wC,"In this paper we provide an O(nd+d 3) time randomized algorithm for solving linear programs with d variables and n constraints with high probability. To obtain this result we provide a robust, primal-dual O(√d)-iteration interior point method inspired by the methods of Lee and Sidford (2014, 2019) and show how to efficiently implement this method using new data-structures based on heavy-hitters, the Johnson–Lindenstrauss lemma, and inverse maintenance. Interestingly, we obtain this running time without using fast matrix multiplication and consequently, barring a major advance in linear system solving, our running time is near optimal for solving dense linear programs among algorithms that do not use fast matrix multiplication."
5,A deterministic almost-linear time algorithm for minimum-cost flow,106,2023,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=56fOepEAAAAJ&pagesize=50&citation_for_view=56fOepEAAAAJ:b1wdh0AR-JQC,"We give a deterministic time algorithm that computes exact maximum flows and minimum-cost flows on directed graphs with m edges and polynomially bounded integral demands, costs, and capacities. As a consequence, we obtain the first running time improvement for deterministic algorithms that compute maximum-flow in graphs with polynomial bounded capacities since the work of Goldberg-Rao [J.ACM ’98].Our algorithm builds on the framework of Chen-Kyng-Liu-Peng-Gutenberg-Sachdeva [FOCS ’22] that computes an optimal flow by computing a sequence of -approximate undirected minimum-ratio cycles. We develop a deterministic dynamic graph data-structure to compute such a sequence of minimum-ratio cycles in an amortized time per edge update. Our key technical contributions are deterministic analogues of the vertex sparsification and edge sparsification components of the data …"
6,Training (overparametrized) neural networks in near-linear time,104,2021,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=56fOepEAAAAJ&pagesize=50&citation_for_view=56fOepEAAAAJ:hMsQuOkrut0C,"The slow convergence rate and pathological curvature issues of first-order gradient methods for training deep neural networks, initiated an ongoing effort for developing faster - optimization algorithms beyond SGD, without compromising the generalization error. Despite their remarkable convergence rate ( of the training batch size ), second-order algorithms incur a daunting slowdown in the (inverting the Hessian matrix of the loss function), which renders them impractical. Very recently, this computational overhead was mitigated by the works of [ZMG19,CGH+19}, yielding an -time second-order algorithm for training two-layer overparametrized neural networks of polynomial width . We show how to speed up the algorithm of [CGH+19], achieving an -time backpropagation algorithm for training (mildly overparametrized) ReLU networks, which is near-linear in the dimension () of the full gradient (Jacobian) matrix. The centerpiece of our algorithm is to reformulate the Gauss-Newton iteration as an -regression problem, and then use a Fast-JL type dimension reduction to the underlying Gram matrix in time independent of , allowing to find a sufficiently good approximate solution via - conjugate gradient. Our result provides a proof-of-concept that advanced machinery from randomized linear algebra -- which led to recent breakthroughs in (ERM, LPs, Regression) -- can be carried over to the realm of deep learning as well."
7,Dynamic matrix inverse: Improved algorithms and matching conditional lower bounds,95,2019,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=56fOepEAAAAJ&pagesize=50&citation_for_view=56fOepEAAAAJ:Mojj43d5GZwC,"The dynamic matrix inverse problem is to maintain the inverse of a matrix undergoing element and column updates. It is the main subroutine behind the best algorithms for many dynamic problems whose complexity is not yet well-understood, such as maintaining the largest eigenvalue, rank and determinant of a matrix and maintaining reachability, distances, maximum matching size, and k-paths/cycles in a graph. Understanding the complexity of dynamic matrix inverse is a key to understand these problems. In this paper, we present (i) improved algorithms for dynamic matrix inverse and their extensions to some incremental/look-ahead variants, and (ii) variants of the Online Matrix-Vector conjecture [Henzinger~et~al. STOC'15] that, if true, imply that these algorithms are tight. Our algorithms automatically lead to faster dynamic algorithms for the aforementioned problems, some of which are also tight under our …"
8,Fully-dynamic graph sparsifiers against an adaptive adversary,82,2022,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=56fOepEAAAAJ&pagesize=50&citation_for_view=56fOepEAAAAJ:PELIpwtuRlgC,"Designing dynamic graph algorithms against an adaptive adversary is a major goal in the field of dynamic graph algorithms. While a few such algorithms are known for spanning trees, matchings, and single-source shortest paths, very little was known for an important primitive like graph sparsifiers. The challenge is how to approximately preserve so much information about the graph (e.g., all-pairs distances and all cuts) without revealing the algorithms' underlying randomness to the adaptive adversary. In this paper we present the first non-trivial efficient adaptive algorithms for maintaining spanners and cut sparisifers. These algorithms in turn imply improvements over existing algorithms for other problems. Our first algorithm maintains a polylog-spanner of size in polylog amortized update time. The second algorithm maintains an -approximate cut sparsifier of size in amortized update time, for any , which is polylog time when . The third algorithm maintains a polylog-approximate spectral sparsifier in polylog amortized update time. The amortized update time of both algorithms can be made worst-case by paying some sub-polynomial factors. Prior to our result, there were near-optimal algorithms against oblivious adversaries (e.g. Baswana et al. [TALG'12] and Abraham et al. [FOCS'16]), but the only non-trivial adaptive dynamic algorithm requires amortized update time to maintain - and -spanner of size and , respectively [Ausiello et al. ESA'05]. Our results are based on two novel techniques. The first technique, is a generic black-box reduction that allows us to assume that the …"
9,Sensitive distance and reachability oracles for large batch updates,57,2019,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=56fOepEAAAAJ&pagesize=50&citation_for_view=56fOepEAAAAJ:wbdj-CoPYUoC,"In the sensitive distance oracle problem, there are three phases. We first preprocess a given directed graph G with n nodes and integer weights from [-W,W]. Second, given a single batch of f edge insertions and deletions, we update the data structure. Third, given a query pair of nodes (u,v), return the distance from u to v. In the easier problem called sensitive reachability oracle problem, we only ask if there exists a directed path from u to v. Our first result is a sensitive distance oracle with Õ(Wnω+(3-ω)μ) preprocessing time, Õ(Wn2-μ f2 + Wnfω) update time, and Õ(Wn2-μ f + Wnf2) query time where the parameter μ ϵ [0,1] can be chosen. The data-structure requires O(Wn2+μ log n) bits of memory. This is the first algorithm that can handle f ≥ log n updates. Previous results (e.g. [Demetrescu et al. SICOMP'08; Bernstein and Karger SODA'08 and FOCS'09; Duan and Pettie SODA'09; Grandoni and Williams FOCS'12 …"
10,Faster maxflow via improved dynamic spectral vertex sparsifiers,55,2022,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=56fOepEAAAAJ&pagesize=50&citation_for_view=56fOepEAAAAJ:epqYDVWIO7EC,"We make several advances broadly related to the maintenance of electrical flows in weighted graphs undergoing dynamic resistance updates, including: (1) More efficient dynamic spectral vertex sparsification, achieved by faster length estimation of random walks in weighted graphs using Morris counters [Morris 1978, Nelson-Yu 2020]. (2) A direct reduction from detecting edges with large energy in dynamic electric flows to dynamic spectral vertex sparsifiers. (3) A procedure for turning algorithms for estimating a sequence of vectors under updates from an oblivious adversary to one that tolerates adaptive adversaries via the Gaussian-mechanism from differential privacy. Combining these pieces with modifications to prior robust interior point frameworks gives an algorithm that on graphs with m edges computes a mincost flow with edge costs and capacities in [1, U] in time O(m3/2−1/58 log2 U). In prior and …"
