Rank,Title,Citations,Year,URL,Description
1,Information-theoretic thresholds from the cavity method,174,2018,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=5HJzWMUAAAAJ&pagesize=50&citation_for_view=5HJzWMUAAAAJ:BwyfMAYsbu0C,"Vindicating a sophisticated but non-rigorous physics approach called the cavity method, we establish a formula for the mutual information in statistical inference problems induced by random graphs. This general result implies the conjecture on the information-theoretic threshold in the disassortative stochastic block model [Decelle et al.: Phys. Rev. E (2011)] and allows us to pinpoint the exact condensation phase transition in random constraint satisfaction problems such as random graph coloring, thereby proving a conjecture from [Krzakala et al.: PNAS (2007)]. As a further application we establish the formula for the mutual information in Low-Density Generator Matrix codes as conjectured in [Montanari: IEEE Transactions on Information Theory (2005)]. The proofs provide a conceptual underpinning of the replica symmetric variant of the cavity method, and we expect that the approach will find many future …"
2,On the complexity of random satisfiability problems with planted solutions,168,2018,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=5HJzWMUAAAAJ&pagesize=50&citation_for_view=5HJzWMUAAAAJ:9Nmd_mFXekcC,"The problem of identifying a planted assignment given a random k-SAT formula consistent with the assignment exhibits a large algorithmic gap: while the planted solution can always be identified given a formula with O(n log n) clauses, there are distributions over clauses for which the best known efficient algorithms require nk/2 clauses. We propose and study a unified model for planted k-SAT, which captures well-known special cases. An instance is described by a planted assignment σ and a distribution on clauses with k literals. We define its distribution complexity as the largest r for which the distribution is not r-wise independent (1 ≤ r ≤ k for any distribution with a planted assignment). Our main result is an unconditional lower bound, tight up to logarithmic factors, of Ω(nr/2) clauses for statistical algorithms, matching the known upper bound (which, as we show, can be implemented using a statistical algorithm …"
3,Algorithmic Pirogov–Sinai theory,124,2020,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=5HJzWMUAAAAJ&pagesize=50&citation_for_view=5HJzWMUAAAAJ:tYavs44e6CUC,We develop an efficient algorithmic approach for approximate counting and sampling in the low-temperature regime of a broad class of statistical physics models on finite subsets of the lattice ℤd and on the torus (ℤ/n ℤ)d. Our approach is based on combining contour representations from Pirogov–Sinai theory with Barvinok’s approach to approximate counting using truncated Taylor series. Some consequences of our main results include an FPTAS for approximating the partition function of the hard-core model at sufficiently high fugacity on subsets of ℤd with appropriate boundary conditions and an efficient sampling algorithm for the ferromagnetic Potts model on the discrete torus (ℤ/n ℤ)d at sufficiently low temperature.
4,Algorithms for# BIS-hard problems on expander graphs,92,2020,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=5HJzWMUAAAAJ&pagesize=50&citation_for_view=5HJzWMUAAAAJ:TIZ-Mc8IlK0C,"We give a fully polynomial-time approximation scheme (FPTAS) and an efficient sampling algorithm for the high-fugacity hard-core model on bounded-degree bipartite expander graphs and the low-temperature ferromagnetic Potts model on bounded-degree expander graphs. The results apply, for example, to random (bipartite) -regular graphs, for which no efficient algorithms were known for these problems (with the exception of the Ising model) in the nonuniqueness regime of the infinite -regular tree. We also find efficient counting and sampling algorithms for proper -colorings of random -regular bipartite graphs when is sufficiently small as a function of ."
5,Storage capacity in symmetric binary perceptrons,92,2019,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=5HJzWMUAAAAJ&pagesize=50&citation_for_view=5HJzWMUAAAAJ:kuK5TVdYjLIC,"We study the problem of determining the capacity of the binary perceptron for two variants of the problem where the corresponding constraint is symmetric. We call these variants the rectangle-binary-perceptron (RPB) and the u-function-binary-perceptron (UBP). We show that, unlike for the usual step-function-binary-perceptron, the critical capacity in these symmetric cases is given by the annealed computation in a large region of parameter space (for all rectangular constraints and for narrow enough u-function constraints, K < K*). We prove this fact (under two natural assumptions) using the first and second moment methods. We further use the second moment method to conjecture that solutions of the symmetric binary perceptrons are organized in a so-called frozen-1RSB structure, without using the replica method. We then use the replica method to estimate the capacity threshold for the UBP case when the …"
6,"Independent sets, matchings, and occupancy fractions",82,2017,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=5HJzWMUAAAAJ&pagesize=50&citation_for_view=5HJzWMUAAAAJ:epqYDVWIO7EC,"We prove tight upper bounds on the logarithmic derivative of the independence and matching polynomials of ‐regular graphs. For independent sets, this theorem is a strengthening of the results of Kahn, Galvin and Tetali, and Zhao showing that a union of copies of maximizes the number of independent sets and the independence polynomial of a ‐regular graph. For matchings, this shows that the matching polynomial and the total number of matchings of a ‐regular graph are maximized by a union of copies of . Using this we prove the asymptotic upper matching conjecture of Friedland, Krop, Lundow, and Markström. In probabilistic language, our main theorems state that for all ‐regular graphs and all , the occupancy fraction of the hard‐core model and the edge occupancy fraction of the monomer‐dimer model with fugacity are maximized by . Our method involves constrained optimization problems …"
7,Spectral thresholds in the bipartite stochastic block model,82,2016,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=5HJzWMUAAAAJ&pagesize=50&citation_for_view=5HJzWMUAAAAJ:EkHepimYqZsC,"We consider a bipartite stochastic block model on vertex sets V_1 and V_2, with planted partitions in each, and ask at what densities efficient algorithms can recover the partition of the smaller vertex set. When| V_2|≫| V_1|, multiple thresholds emerge. We first locate a sharp threshold for detection of the partition, in the sense of the results of Mossel, Neeman and Sly and Massoulie for the stochastic block model. We then show that at a higher edge density, the singular vectors of the rectangular biadjacency matrix exhibit a localization/delocalization phase transition, giving recovery above the threshold and no recovery below. Nevertheless, we propose a simple spectral algorithm, Diagonal Deletion SVD, which recovers the partition at a nearly optimal edge density. The bipartite stochastic block model studied here was used by Feldman, Perkins, Vempala to give a unified algorithm for recovering planted partitions and assignments in random hypergraphs and random k-SAT formulae respectively. Our results give the best known bounds for the clause density at which solutions can be found efficiently in these models as well as showing a barrier to further improvement via this reduction to the bipartite block model."
8,Frozen 1-RSB structure of the symmetric Ising perceptron,75,2021,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=5HJzWMUAAAAJ&pagesize=50&citation_for_view=5HJzWMUAAAAJ:PoWvk5oyLR8C,"We prove, under an assumption on the critical points of a real-valued function, that the symmetric Ising perceptron exhibits the `frozen 1-RSB' structure conjectured by Krauth and Mezard in the physics literature; that is, typical solutions of the model lie in clusters of vanishing entropy density. Moreover, we prove this in a very strong form conjectured by Huang, Wong, and Kabashima: a typical solution of the model is isolated with high probability and the Hamming distance to all other solutions is linear in the dimension. The frozen 1-RSB scenario is part of a recent and intriguing explanation of the performance of learning algorithms by Baldassi, Ingrosso, Lucibello, Saglietti, and Zecchina. We prove this structural result by comparing the symmetric Ising perceptron model to a planted model and proving a comparison result between the two models. Our main technical tool towards this comparison is an inductive …"
9,On the average size of independent sets in triangle-free graphs,70,2018,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=5HJzWMUAAAAJ&pagesize=50&citation_for_view=5HJzWMUAAAAJ:BUYA1_V_uYcC,"We prove an asymptotically tight lower bound on the average size of independent sets in a triangle-free graph on vertices with maximum degree , showing that an independent set drawn uniformly at random from such a graph has expected size at least . This gives an alternative proof of Shearer’s upper bound on the Ramsey number . We then prove that the total number of independent sets in a triangle-free graph with maximum degree is at least . The constant in the exponent is best possible. In both cases, tightness is exhibited by a random -regular graph."
10,Algorithms and barriers in the symmetric binary perceptron model,65,2022,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=5HJzWMUAAAAJ&pagesize=50&citation_for_view=5HJzWMUAAAAJ:86PQX7AUzd4C,"The binary (or Ising) perceptron is a toy model of a single-layer neural network and can be viewed as a random constraint satisfaction problem with a high degree of connectivity. The model and its symmetric variant, the symmetric binary perceptron (SBP), have been studied widely in statistical physics, mathematics, and machine learning.The SBP exhibits a dramatic statistical-to-computational gap: the densities at which known efficient algorithms find solutions are far below the threshold for the existence of solutions. Furthermore, the SBP exhibits a striking structural property: at all positive constraint densities almost all of its solutions are ‘totally frozen’ singletons separated by large Hamming distance [1], [2]. This suggests that finding a solution to the SBP may be computationally intractable. At the same time, however, the SBP does admit polynomial-time search algorithms at low enough densities. A conjectural explanation …"
