Rank,Title,Citations,Year,URL,Description
1,What is AI literacy? Competencies and design considerations,4026,2020,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=6VFGjPYAAAAJ&pagesize=50&citation_for_view=6VFGjPYAAAAJ:PR6Y55bgFSsC,"Artificial intelligence (AI) is becoming increasingly integrated in user-facing technology, but public understanding of these technologies is often limited. There is a need for additional HCI research investigating a) what competencies users need in order to effectively interact with and critically evaluate AI and b) how to design learner-centered AI technologies that foster increased user understanding of AI. This paper takes a step towards realizing both of these goals by providing a concrete definition of AI literacy based on existing research. We synthesize a variety of interdisciplinary literature into a set of core competencies of AI literacy and suggest several design considerations to support AI developers and educators in creating learner-centered AI. These competencies and design considerations are organized in a conceptual framework thematically derived from the literature. This paper's contributions can be used to …"
2,AI characters and directors for interactive computer games,235,2004,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=6VFGjPYAAAAJ&pagesize=50&citation_for_view=6VFGjPYAAAAJ:u5HHmVD_uO8C,"We are creating an environment for investigating the role of advanced AI in interactive, story-based computer games. This environment is based on the Unreal Tournament (UT) game engine and the Soar AI engine. Unreal provides a 3D virtual environment, while Soar provides a flexible architecture for developing complex AI characters. This paper describes our progress to date, starting with our game, Haunt 2, which is designed so that complex AI characters will be critical to the success (or failure) of the game. It addresses design issues with constructing a plot for an interactive storytelling environment, creating synthetic characters for that environment, and using a story director agent to tell the story with those characters."
3,Empirically studying participatory sense-making in abstract drawing with a co-creative cognitive agent,203,2016,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=6VFGjPYAAAAJ&pagesize=50&citation_for_view=6VFGjPYAAAAJ:_xSYboBqXhAC,"This paper reports on the design and evaluation of a co-creative drawing partner called the Drawing Apprentice, which was designed to improvise and collaborate on abstract sketches with users in real time. The system qualifies as a new genre of creative technologies termed ""casual creators"" that are meant to creatively engage users and provide enjoyable creative experiences rather than necessarily helping users make a higher quality creative product. We introduce the conceptual framework of participatory sense-making and describe how it can help model and understand open-ended collaboration. We report the results of a user study comparing human-human collaboration to human-computer collaboration using the Drawing Apprentice system. Based on insights from the user study, we present a set of design recommendations for co-creative agents."
4,Co-designing AI literacy exhibits for informal learning spaces,165,2021,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=6VFGjPYAAAAJ&pagesize=50&citation_for_view=6VFGjPYAAAAJ:j8SEvjWlNXcC,"AI is becoming increasingly integrated in common technologies, which suggests that learning experiences for audiences seeking a ""casual"" understanding of AI-i.e. understanding how a search engine works, not necessarily understanding how to program one-is an increasingly important design space. Informal learning spaces like museums are particularly well-suited for such public science communication efforts, but there is little research investigating how to design AI learning experiences for these spaces. This paper explores how to design museum experiences that communicate key concepts about AI, using collaboration, creativity, and embodiment as inspirations for design. We present the design of five low-fidelity AI literacy exhibit prototypes and results from a thematic analysis of participant interactions during a co-design workshop in which family groups interacted with the prototypes and designed exhibits …"
5,An enactive model of creativity for computational collaboration and co-creation,156,2015,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=6VFGjPYAAAAJ&pagesize=50&citation_for_view=6VFGjPYAAAAJ:u_35RYKgDlwC,"The modern landscape of computing has rapidly evolved with breakthroughs in new input modalities and interaction designs, but the fundamental model of humans giving commands to computers is still largely dominant. A small but growing number of projects in the computational creativity field are beginning to study and build creative computers that are able to collaborate with human users as partners by simulating, to various degrees, the collaboration that naturally occurs between humans in creative domains (Biles, Leonardo, 36:43–45, 2003; Lubart, Int J Hum Comput Stud, 63:365–369, 2005; Hoffman and Weinberg, Shimon: an interactive improvisational robotic marimba player. In: CHI’10 extended abstracts on human factors in computing systems, ACM, New York, pp 3097–3102, 2010; Zook et al., Understanding human creativity for computational play. In: 8th ACM conference on creativity and cognition …"
6,Earsketch: A steam-based approach for underrepresented populations in high school computer science education,142,2016,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=6VFGjPYAAAAJ&pagesize=50&citation_for_view=6VFGjPYAAAAJ:1sJd4Hv_s6UC,"This article presents EarSketch, a learning environment that combines computer programming with sample-based music production to create a computational remixing environment for learning introductory computing concepts. EarSketch has been employed in both formal and informal settings, yielding significant positive results in student content knowledge and attitudes toward computing as a discipline, especially in ethnic and gender populations that are currently underrepresented in computing fields. This article describes the rationale and components of EarSketch, the evaluation design, and lessons learned to apply to future environment design and development."
7,Engaging underrepresented groups in high school introductory computing through computational remixing with EarSketch,129,2014,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=6VFGjPYAAAAJ&pagesize=50&citation_for_view=6VFGjPYAAAAJ:35N4QoGY0k4C,"In this paper, we describe a pilot study of EarSketch, a computational remixing approach to introductory computer science, in a formal academic computing course at the high school level. The EarSketch project provides an integrated curriculum, Python API, digital audio workstation (DAW), audio loop library, and social sharing site. The goal for EarSketch is to broaden participation in computing, particularly by traditionally underrepresented groups, through a thickly authentic learning environment that has personal and industry relevance in both computational and artistic domains. The pilot results show statistically significant gains in computing attitudes across multiple constructs, with particularly strong results for female and minority participants."
8,Gaming mindsets: Implicit theories in serious game learning,126,2012,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=6VFGjPYAAAAJ&pagesize=50&citation_for_view=6VFGjPYAAAAJ:r0BpntZqJG4C,"Individuals' beliefs about the malleability of their abilities may predict their response and outcome in learning from serious games. Individuals with growth mindsets believe their abilities can develop with practice and effort, whereas individuals with fixed mindsets believe their abilities are static and cannot improve. This study uses survey and gameplay server data to examine the implicit theory of intelligence in the context of serious game learning. The findings show that growth mindset players performed better than fixed mindset players, their mistakes did not affect their attention to the game, and they read more learning feedback than fixed mindset players. In addition, growth mindset players were more likely to actively seek difficult challenges, which is often essential to self-directed learning. General mindset measurements and domain-specific measurements were also compared. These findings suggest that …"
9,An empirical study of cognition and theatrical improvisation,122,2009,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=6VFGjPYAAAAJ&pagesize=50&citation_for_view=6VFGjPYAAAAJ:W7OEmFMy1HYC,"This paper presents preliminary findings from our empirical study of the cognition employed by performers in improvisational theatre. Our study has been conducted in a laboratory setting with local improvisers. Participants performed predesigned improv ""games"", which were videotaped and shown to each individual participant for a retrospective protocol collection. The participants were then shown the video again as a group to elicit data on group dynamics, misunderstandings, etc. This paper presents our initial findings that we have built based on our initial analysis of the data and highlights details of interest."
10,Design requirements for ambient display that supports sustainable lifestyle,119,2010,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=6VFGjPYAAAAJ&pagesize=50&citation_for_view=6VFGjPYAAAAJ:8k81kl-MbHgC,"People are ready to change themselves to adopt more eco-friendly habits such as conserving electricity when they are aware of the possible problems of their lifestyle. In this sense, ambient display, which users experience occasionally without its interfering with their primary tasks, is well suited to provide the feedback of their personal activities in a more subtle manner than direct information presentation. We present the results of user studies with two ambient displays in different visualization styles. Participants showed diverse usage behaviors of ambient displays according to their motivational level of sustainable lifestyle. In addition, iconic metaphor of eco-visualization can trigger more emotional attachment while indexical representation helps retrospective functions. Finally, we suggest design requirements for ambient displays that support different stages of persuasion from raising awareness to motivating to …"
11,Story Representation and Interactive Drama.,119,2005,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=6VFGjPYAAAAJ&pagesize=50&citation_for_view=6VFGjPYAAAAJ:d1gkVwhDpl0C,"When building a story-intensive game, there is always the question of how much freedom to give the player. Give the player too little, and he may feel constrained and disconnected from the character he is controlling. Give him too much freedom, and the progression of the story may lag or stop altogether. The field of interactive drama attempts to strike a balance between interaction and authorship. The story experienced in an interactive drama is dependent both on the plot content authored as well as the player’s choices in the story. Which story representation is appropriate for a particular approach to interactive drama and the relationship between that language and other elements of the architecture is a key factor in design. This paper introduces our interactive drama architecture, IDA, and addresses the requirements it has for a story representation. How those requirements are met by our representational choices is the focus of the rest of the paper."
12,Building an interactive drama architecture,119,2003,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=6VFGjPYAAAAJ&pagesize=50&citation_for_view=6VFGjPYAAAAJ:u-x6o8ySG0sC,"Previous approaches to interactive drama with a pre-specified plot structure have relied on limiting the User's interactions with the world. The architecture proposed in this paper, IDA, attempts to create an experience driven by a pre-authored plot, without explicitly limiting the User's actions, some of which may work directly against the intent of the plot. In order to allow the User as much freedom as possible, while still maintaining the narrative, we introduce an omniscient agent, the story Director, which performs three main tasks in order to protect the narrative's integrity: plot verification and behavior monitoring to make sure the user's behavior hasn't harmed the future narrative and is consistent with timing constraints of the plot, predictive modeling of the User to detect such errors before they occur, and preemptive direction to modify the behavior of the characters and the world to encourage the User to move along the narrative path and avoid complete plot failure."
13,Robot improv: Using drama to create believable agents,99,2000,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=6VFGjPYAAAAJ&pagesize=50&citation_for_view=6VFGjPYAAAAJ:IjCSPb-OGe4C,"Believable agents usually depend upon explicit, model-based simulations of human emotions. This work appeals instead to the sensibilities of dramatic acting to create agents that are believable. The chosen task is that of comedy improvisation as it provides a solid demonstration of the agents' believability in the context of a high-level deliberative goal. Furthermore, this work employs physical robots as the actors, employing the real-time sensor values from the robots as inputs into the acting process. This paper describes the dramatic approach to acting that we used and describes the Java-based implementation on two Nomad Scout robots. Actual, improvised scripts created by the robots are included and analyzed."
14,Is it AI or is it me? Understanding users’ prompt journey with text-to-image generative AI tools,97,2024,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=6VFGjPYAAAAJ&pagesize=50&citation_for_view=6VFGjPYAAAAJ:M7yex6snE4oC,"Generative Artificial Intelligence (AI) has witnessed unprecedented growth in text-to-image AI tools. Yet, much remains unknown about users’ prompt journey with such tools in the wild. In this paper, we posit that designing human-centered text-to-image AI tools requires a clear understanding of how individuals intuitively approach crafting prompts, and what challenges they may encounter. To address this, we conducted semi-structured interviews with 19 existing users of a text-to-image AI tool. Our findings (1) offer insights into users’ prompt journey including structures and processes for writing, evaluating, and refining prompts in text-to-image AI tools and (2) indicate that users must overcome barriers to aligning AI to their intents, and mastering prompt crafting knowledge. From the findings, we discuss the prompt journey as an individual yet a social experience and highlight opportunities for aligning text-to-image AI …"
15,AI-based game design patterns,97,2015,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=6VFGjPYAAAAJ&pagesize=50&citation_for_view=6VFGjPYAAAAJ:fPk4N6BV_jEC,"This paper proposes a model for designing games around Artificial Intelligence (AI). AI-based games put AI in the foreground of the player experience rather than in a supporting role as is often the case in many commercial games. We analyze the use of AI in a number of existing games and identify design patterns for AI in games. We propose a generative ideation technique to combine a design pattern with an AI technique or capacity to make new AI-based games. Finally, we demonstrate this technique through two examples of AI-based game prototypes created using these patterns."
16,Analytics of play: Using information visualization and gameplay practices for visualizing video game data,96,2011,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=6VFGjPYAAAAJ&pagesize=50&citation_for_view=6VFGjPYAAAAJ:ULOm3_A8WrAC,"Tracking player data in video games has increased in recent years. Data such as click-throughstreams and event logs are currently being captured within most major games, while other researchers are prototyping new ways of capturing data from a player’s physical body movement or internal brainwaves. The wealth of data produced is beneficial for a wide variety of audiences within the game community: designers, programmers, marketers, executives and players. Visualizing this data is an obvious choice for connecting these audiences to their data by augmenting their ability to cognitively digest the enormous amount of data available to them. While the principles of information visualization can inform the design of game-related visual analytic systems, such as monitoring player performance over time, video games offer a unique perspective on analytics: analytics that are playful. In this paper we explore the properties that define a playful visualization, one that supports and promotes play. The authors draw on their work building visual game analytic systems for game designers and players, reinforcing their experience with a large number of examples of new visual systems being deployed to analyze game data by both game companies and players. With such a wide variety of game audiences it becomes necessary to explore the avenues between analysis and play in order to provide game audiences with visual experiences that promote gameplay as much as analytics."
17,Designing co-creative AI for public spaces,93,2019,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=6VFGjPYAAAAJ&pagesize=50&citation_for_view=6VFGjPYAAAAJ:PELIpwtuRlgC,"Artificial intelligence (AI) is becoming increasingly pervasive in our everyday lives. There are consequently many common misconceptions about what AI is, what it is capable of, and how it works. Compounding the issue, opportunities to learn about AI are often limited to audiences who already have access to and knowledge about technology. Increasing access to AI in public spaces has the potential to broaden public AI literacy, and experiences involving co-creative (i.e. collaboratively creative) AI are particularly well-suited for engaging a broad range of participants. This paper explores how to design co-creative AI for public interaction spaces, drawing both on existing literature and our own experiences designing co-creative AI for public venues. It presents a set of design principles that can aid others in the development of co-creative AI for public spaces as well as guide future research agendas."
18,Drawing apprentice: An enactive co-creative agent for artistic collaboration,93,2015,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=6VFGjPYAAAAJ&pagesize=50&citation_for_view=6VFGjPYAAAAJ:dfsIfKJdRG4C,"This paper describes a co-creative web-based drawing application called the Drawing Apprentice. This system collaborates with users in real time abstract drawing. We describe the theory, interaction design, and user experience of the Drawing Apprentice system. We evaluate the system with formative user studies and expert evaluations from a juried art competition in which a Drawing Apprentice submission won the code-based art category."
19,Beyond player types: gaming achievement goal,90,2011,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=6VFGjPYAAAAJ&pagesize=50&citation_for_view=6VFGjPYAAAAJ:hC7cP41nSMkC,"Education and psychology studies have used motivational constructs called achievement goals to predict learning success and response to failure. In this article we adapted classroom achievement goal scales to instead measure gaming achievement goals. We collected survey data from 432 university students to empirically examine the applicability and utility of achievement goal constructs from education research to gaming. We introduced a new approach to player types based on mastery and performance gaming achievement goals. Four types are studied: super-achievers, mastery-only, performance-only, and non-achievers. We also examined the relationship between our four achievement goal player types to the traditional achiever, explorer player types. We found that Interest in exploration in games can exist in any of the four types, but those with strong mastery goals have the lowest interest in exploration …"
20,Scribe: A tool for authoring event driven interactive drama,90,2006,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=6VFGjPYAAAAJ&pagesize=50&citation_for_view=6VFGjPYAAAAJ:qjMakFHDy7sC,Creating an interactive drama requires authors to produce large quantities of story content. A programmer or knowledge expert typically creates this content because they have experience with the story environment. By using an authoring tool someone with less experience with the story environment can organize and create story content. The Scribe Authoring Tool is an authoring tool that will be used to create interactive dramas. The tool will follow certain requirements to make it relevant to any story environment and will be usable enough for someone not familiar with the environment to author story content for interactive dramas.
21,Creativity in authentic STEAM education with EarSketch,88,2017,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=6VFGjPYAAAAJ&pagesize=50&citation_for_view=6VFGjPYAAAAJ:l7t_Zn2s7bgC,"STEAM education is a method for driving student engagement in STEM topics through personal expression, creativity and aesthetics. EarSketch, a collaborative and authentic learning tool which introduces students to programming through music remixing, has previously been shown to enhance student engagement and intent to persist in computing. The goal of EarSketch is to broaden participation in computing through a thickly authentic learning environment that has personal and real world relevance in both computational and music domains. This mixed methods study extends previous work by 1) using a newly- developed instrument to assess creativity and 2) testing a theory of change model that provides an explanatory framework for increasing student engagement in STEAM. The results suggest that students who used EarSketch express statistically significant gains in computing attitudes and creativity …"
22,Intelligent adaptation of digital game-based learning,88,2008,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=6VFGjPYAAAAJ&pagesize=50&citation_for_view=6VFGjPYAAAAJ:LkGwnXOMwfcC,"Games for learning cannot take the same design approach as games when targeting audiences. While players of entertainment games have the luxury of choosing games that suit them, students using digital games for learning typically have a single game for them to learn from, regardless of whether or not it fits their playing style or learning needs. We contend that this problem can be addressed by creating games that identify the kind of player-learner using the game and adapts itself to best fit that individual. These adaptive games can specialize themselves according to a student's learning needs, gameplay preferences, and learning style. We present a prototype mini-game, called S.C.R.U.B., which employs this method for teaching microbiology concepts."
23,"The role of collaboration, creativity, and embodiment in AI learning experiences",87,2021,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=6VFGjPYAAAAJ&pagesize=50&citation_for_view=6VFGjPYAAAAJ:evX43VCCuoAC,"Fostering public AI literacy (i.e. a high-level understanding of artificial intelligence (AI) that allows individuals to critically and effectively use AI technologies) is increasingly important as AI is integrated into individuals’ everyday lives and as concerns about AI grow. This paper investigates how to design collaborative, creative, and embodied interactions that foster AI learning and interest development. We designed three prototypes of collaborative, creative, and/or embodied learning experiences that aim to communicate AI literacy competencies. We present the design of these prototypes as well as the results from a user study that we conducted with 14 family groups (38 participants). Our data analysis explores how collaboration, creativity, and embodiment contributed to AI learning and interest development across the three prototypes. The main contributions of this paper are: 1) three designs of AI literacy learning …"
24,Family learning talk in AI literacy learning activities,83,2022,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=6VFGjPYAAAAJ&pagesize=50&citation_for_view=6VFGjPYAAAAJ:ipzZ9siozwsC,"The unique role that AI plays in making decisions that affect human lives creates a need to foster improved public understanding of AI systems. Informal learning spaces are particularly important contexts for fostering AI literacy, as they have the potential to reach a broader audience and provide spaces for children and parents to learn together. This paper explores 1) what types of dialogue family groups engage in when learning about AI in an at-home learning environment in order to inform our understanding of 2) how to design AI literacy activities for informal learning contexts. We present an analysis of family group dialogue surrounding three different AI education activities and use our findings to reflect on, update, and add to existing principles for designing AI literacy educational interventions."
25,Impacts of forced serious game play on vulnerable subgroups,83,2011,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=6VFGjPYAAAAJ&pagesize=50&citation_for_view=6VFGjPYAAAAJ:mVmsd5A6BfQC,"Three vulnerable subgroups of players (non-gamers, resistant players, and females) were studied to understand how each approaches and plays serious games. The authors explore forced (required) play using four different online casual games. Their research strongly suggests that the most important threat to a serious game’s impact is when players dislike the game. Serious games are less effective for players who dislike a game and most effective for those who like the game. Non-gamers were at a distinct disadvantage as far as gameplay performance. They experienced a more negative effect in two of the four games. Finally, males tended to seek more difficult challenges in games than females. The optimal amount of challenge may be the most important gender difference to consider when designing serious games."
26,Designing for persuasion: toward ambient eco-visualization for awareness,79,2010,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=6VFGjPYAAAAJ&pagesize=50&citation_for_view=6VFGjPYAAAAJ:0EnyYjriUFMC,"When people are aware of their lifestyle’s ecological consequences, they are more likely to adjust their behavior to reduce their impact. Persuasive design that provides feedback to users without interfering with their primary tasks can increases the awareness of neighboring problems. As a case study of design for persuasion, we designed two ambient displays as desktop widgets. Both represent a users’ computer usage time, but in different visual styles. In this paper, we present the results of a comparative study of two ambient displays. We discuss the gradual progress of persuasion supported by the ambient displays and the differences in users’ perception affected by the different visualization styles. Finally, Our empirical findings lead to a series of design implications for persuasive media."
27,Evaluating preemptive story direction in the interactive drama architecture.,79,2007,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=6VFGjPYAAAAJ&pagesize=50&citation_for_view=6VFGjPYAAAAJ:Tyk-4Ss8FVUC,"In an author-centric interactive drama, both the player’s decisions and the author’s desires should coherently influence the player’s individual story experience. Different player interactions with the system should yield different stories, just as different authored content would. By defining experiences covered by the authored content (the set of which I call a story space), the author is creating an artistic vision for the player to take part in. As opposed to having explicit choices for the player to choose from and constraining those choices, interactive drama attempts to offer the player a fluid, continuous dramatic experience, akin to taking part in an improvisational play where the player is the protagonist in the story (Kelso et al. 1993; Laurel 1986).The problem with relying on a playwriting expert system (eg a story director agent) such as Laurel proposed in her seminal dissertation thesis (Laurel 1986) is that it becomes difficult to constrain the interactivity so that the player does not perform actions that take the experience outside of the content defined by the story space (ie the player executes an action that should have a dramatic consequence, such as killing a main character, but no content is written to cover the situation). This is a key problem when attempting to explore more relaxed approaches to interactive drama rather than relying on the traditional use of story graphs or branching storylines (Fahlstein 2005). More player choices lead to more opportunities for him to harm the progression"
28,Player modeling in the interactive drama architecture,72,2006,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=6VFGjPYAAAAJ&pagesize=50&citation_for_view=6VFGjPYAAAAJ:zYLM7Y9cAGgC,"The field of interactive drama attempts to provide a player of a virtual system with a rich dramatic experience that provides him with a large set of consequential actions that directly affect how that experience progresses. As the player makes decisions, the system incorporates those decisions and adapts the environment to continue the ongoing narrative. The amount of content possibly written for such experiences, however, is finite. In a highly interactive world, the player's capabilities may easily exceed the story experiences covered by the authored content (called the story space). A major problem in interactive drama is how to create a large story space and how to believably manage the player's experience so it remains within the boundaries of that story space. I present here the Interactive Drama Architecture (IDA) which addresses this problem. IDA employs a real-time story management agent, called the director …"
