Rank,Title,Citations,Year,URL,Description
1,Observational Health Data Sciences and Informatics (OHDSI): opportunities for observational researchers,1593,2015,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=6WlU86IAAAAJ&pagesize=50&citation_for_view=6WlU86IAAAAJ:5nxA0vEk-isC,"The vision of creating accessible, reliable clinical evidence by accessing the clinical experience of hundreds of millions of patients across the globe is a reality. The Observational Health Data Sciences and Informatics (OHDSI) has built on learnings from the Observational Medical Outcomes Partnership to turn methods research and insights into a suite of applications and exploration tools that move the field closer to the ultimate goal of generating evidence about all aspects of healthcare to serve the needs of patients, clinicians and all other decision-makers around the world."
2,Generating multi-label discrete patient records using generative adversarial networks,1093,2017,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=6WlU86IAAAAJ&pagesize=50&citation_for_view=6WlU86IAAAAJ:Zph67rFs4hoC,"Access to electronic health record (EHR) data has motivated computational advances in medical research. However, various concerns, particularly over privacy, can limit access to and collaborative use of EHR data. Sharing synthetic EHR data could mitigate risk. In this paper, we propose a new approach, medical Generative Adversarial Network (medGAN), to generate realistic synthetic patient records. Based on input real patient records, medGAN can generate high-dimensional discrete variables (eg, binary and count features) via a combination of an autoencoder and generative adversarial networks. We also propose minibatch averaging to efficiently avoid mode collapse, and increase the learning efficiency with batch normalization and shortcut connections. To demonstrate feasibility, we showed that medGAN generates synthetic patient records that achieve comparable performance to real data on many experiments including distribution statistics, predictive modeling tasks and a medical expert review. We also empirically observe a limited privacy risk in both identity and attribute disclosure using medGAN."
3,Explainable prediction of medical codes from clinical text,870,2018,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=6WlU86IAAAAJ&pagesize=50&citation_for_view=6WlU86IAAAAJ:RHpTSmoSYBkC,"Clinical notes are text documents that are created by clinicians for each patient encounter. They are typically accompanied by medical codes, which describe the diagnosis and treatment. Annotating these codes is labor intensive and error prone; furthermore, the connection between the codes and the text is not annotated, obscuring the reasons and details behind specific diagnoses and treatments. We present an attentional convolutional network that predicts medical codes from clinical text. Our method aggregates information across the document using a convolutional neural network, and uses an attention mechanism to select the most relevant segments for each of the thousands of possible codes. The method is accurate, achieving precision@ 8 of 0.71 and a Micro-F1 of 0.54, which are both better than the prior state of the art. Furthermore, through an interpretability evaluation by a physician, we show that the attention mechanism identifies meaningful explanations for each code assignment."
4,"Comprehensive comparative effectiveness and safety of first-line antihypertensive drug classes: a systematic, multinational, large-scale analysis",421,2019,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=6WlU86IAAAAJ&pagesize=50&citation_for_view=6WlU86IAAAAJ:M3NEmzRMIkIC,"BackgroundUncertainty remains about the optimal monotherapy for hypertension, with current guidelines recommending any primary agent among the first-line drug classes thiazide or thiazide-like diuretics, angiotensin-converting enzyme inhibitors, angiotensin receptor blockers, dihydropyridine calcium channel blockers, and non-dihydropyridine calcium channel blockers, in the absence of comorbid indications. Randomised trials have not further refined this choice.MethodsWe developed a comprehensive framework for real-world evidence that enables comparative effectiveness and safety evaluation across many drugs and outcomes from observational data encompassing millions of patients, while minimising inherent bias. Using this framework, we did a systematic, large-scale study under a new-user cohort design to estimate the relative risks of three primary (acute myocardial infarction, hospitalisation for …"
5,Characterizing treatment pathways at scale using the OHDSI network,407,2016,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=6WlU86IAAAAJ&pagesize=50&citation_for_view=6WlU86IAAAAJ:3fE2CSJIrl8C,"Observational research promises to complement experimental research by providing large, diverse populations that would be infeasible for an experiment. Observational research can test its own clinical hypotheses, and observational studies also can contribute to the design of experiments and inform the generalizability of experimental research. Understanding the diversity of populations and the variance in care is one component. In this study, the Observational Health Data Sciences and Informatics (OHDSI) collaboration created an international data network with 11 data sources from four countries, including electronic health records and administrative claims data on 250 million patients. All data were mapped to common data standards, patient privacy was maintained by using a distributed model, and results were aggregated centrally. Treatment pathways were elucidated for type 2 diabetes mellitus …"
6,Comparative first-line effectiveness and safety of ACE (angiotensin-converting enzyme) inhibitors and angiotensin receptor blockers: a multinational cohort study,215,2021,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=6WlU86IAAAAJ&pagesize=50&citation_for_view=6WlU86IAAAAJ:35N4QoGY0k4C,"ACE (angiotensin-converting enzyme) inhibitors and angiotensin receptor blockers (ARBs) are equally guideline-recommended first-line treatments for hypertension, yet few head-to-head studies exist. We compared the real-world effectiveness and safety of ACE inhibitors versus ARBs in the first-line treatment of hypertension. We implemented a retrospective, new-user comparative cohort design to estimate hazard ratios using techniques to minimize residual confounding and bias, specifically large-scale propensity score adjustment, empirical calibration, and full transparency. We included all patients with hypertension initiating monotherapy with an ACE inhibitor or ARB between 1996 and 2018 across 8 databases from the United States, Germany, and South Korea. The primary outcomes were acute myocardial infarction, heart failure, stroke, and composite cardiovascular events. We also studied 51 secondary …"
7,Defining a reference set to support methodological research in drug safety,168,2013,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=6WlU86IAAAAJ&pagesize=50&citation_for_view=6WlU86IAAAAJ:R3hNpaxXUhUC,"BackgroundMethodological research to evaluate the performance of methods requires a benchmark to serve as a referent comparison. In drug safety, the performance of analyses of spontaneous adverse event reporting databases and observational healthcare data, such as administrative claims and electronic health records, has been limited by the lack of such standards.ObjectivesTo establish a reference set of test cases that contain both positive and negative controls, which can serve the basis for methodological research in evaluating methods performance in identifying drug safety issues.Research DesignSystematic literature review and natural language processing of structured product labeling was performed to identify evidence to support the classification of drugs as either positive controls or negative controls for four outcomes: acute liver injury, acute kidney injury, acute myocardial infarction, and upper …"
8,Literature based drug interaction prediction with clinical assessment using electronic medical records: novel myopathy associated drug interactions,146,2012,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=6WlU86IAAAAJ&pagesize=50&citation_for_view=6WlU86IAAAAJ:4DMP91E08xMC,"Drug-drug interactions (DDIs) are a common cause of adverse drug events. In this paper, we combined a literature discovery approach with analysis of a large electronic medical record database method to predict and evaluate novel DDIs. We predicted an initial set of 13197 potential DDIs based on substrates and inhibitors of cytochrome P450 (CYP) metabolism enzymes identified from published in vitro pharmacology experiments. Using a clinical repository of over 800,000 patients, we narrowed this theoretical set of DDIs to 3670 drug pairs actually taken by patients. Finally, we sought to identify novel combinations that synergistically increased the risk of myopathy. Five pairs were identified with their p-values less than 1E-06: loratadine and simvastatin (relative risk or RR = 1.69); loratadine and alprazolam (RR = 1.86); loratadine and duloxetine (RR = 1.94); loratadine and ropinirole (RR = 3.21); and promethazine and tegaserod (RR = 3.00). When taken together, each drug pair showed a significantly increased risk of myopathy when compared to the expected additive myopathy risk from taking either of the drugs alone. Based on additional literature data on in vitro drug metabolism and inhibition potency, loratadine and simvastatin and tegaserod and promethazine were predicted to have a strong DDI through the CYP3A4 and CYP2D6 enzymes, respectively. This new translational biomedical informatics approach supports not only detection of new clinically significant DDI signals, but also evaluation of their potential molecular mechanisms."
9,EVA: Generating longitudinal electronic health records using conditional variational autoencoders,83,2021,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=6WlU86IAAAAJ&pagesize=50&citation_for_view=6WlU86IAAAAJ:J_g5lzvAfSwC,"Researchers require timely access to real-world longitudinal electronic health records (EHR) to develop, test, validate, and implement machine learning solutions that improve the quality and efficiency of healthcare. In contrast, health systems value deeply patient privacy and data security. De-identified EHRs do not adequately address the needs of health systems, as de-identified data are susceptible to re-identification and its volume is also limited. Synthetic EHRs offer a potential solution. In this paper, we propose EHR Variational Autoencoder (EVA) for synthesizing sequences of discrete EHR encounters (eg, clinical visits) and encounter features (eg, diagnoses, medications, procedures). We illustrate that EVA can produce realistic EHR sequences, account for individual differences among patients, and can be conditioned on specific disease conditions, thus enabling disease-specific studies. We design efficient, accurate inference algorithms by combining stochastic gradient Markov Chain Monte Carlo with amortized variational inference. We assess the utility of the methods on large real-world EHR repositories containing over 250, 000 patients. Our experiments, which include user studies with knowledgeable clinicians, indicate the generated EHR sequences are realistic. We confirmed the performance of predictive models trained on the synthetic data are similar with those trained on real EHRs. Additionally, our findings indicate that augmenting real data with synthetic EHRs results in the best predictive performance-improving the best baseline by as much as 8% in top-20 recall."
10,Supporting clinical cognition: a human-centered approach to a novel ICU information visualization dashboard,83,2015,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=6WlU86IAAAAJ&pagesize=50&citation_for_view=6WlU86IAAAAJ:kNdYIx-mwKoC,"Advances in intensive care unit bedside displays/interfaces and electronic medical record (EMR) technology have not adequately addressed the topic of visual clarity of patient data/information to further reduce cognitive load during clinical decision-making. We responded to these challenges with a human-centered approach to designing and testing a decision-support tool: MIVA 2.0 (Medical Information Visualization Assistant, v.2). Envisioned as an EMR visualization dashboard to support rapid analysis of real-time clinical data-trends, our primary goal originated from a clinical requirement to reduce cognitive overload. In the study, a convenience sample of 12 participants were recruited, in which quantitative and qualitative measures were used to compare MIVA 2.0 with ICU paper medical-charts, using time-on-task, post-test questionnaires, and interviews. Findings demonstrated a significant difference in speed …"
11,Generating multi-label discrete electronic health records using generative adversarial networks,81,2017,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=6WlU86IAAAAJ&pagesize=50&citation_for_view=6WlU86IAAAAJ:f2IySw72cVMC,"Access to electronic health records (EHR) data has motivated computational advances in medical research. However, various concerns, particularly over privacy, can limit access to and collaborative use of EHR data. Sharing synthetic EHR data could mitigate risk. In this paper, we propose a new approach, medical Generative Adversarial Network (medGAN), to generate realistic synthetic EHRs. Based on an input EHR dataset, medGAN can generate high-dimensional discrete variables (eg, binary and count features) via a combination of an autoencoder and generative adversarial networks. We also propose minibatch averaging to efficiently avoid mode collapse, and increase the learning efficiency with batch normalization and shortcut connections. To demonstrate feasibility, we showed that medGAN generates synthetic EHR datasets that achieve comparable performance to real data on many experiments including distribution statistics, predictive modeling tasks and medical expert review."
12,Multisite evaluation of a data quality tool for patient-level clinical data sets,79,2016,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=6WlU86IAAAAJ&pagesize=50&citation_for_view=6WlU86IAAAAJ:_FxGoFyzp5QC,Introduction Data quality and fitness for analysis are crucial if outputs of analyses of electronic health record data or administrative claims data should be trusted by the public and the research community. Methods We describe a data quality analysis tool (called Achilles Heel) developed by the Observational Health Data Sciences and Informatics Collaborative (OHDSI) and compare outputs from this tool as it was applied to 24 large healthcare datasets across seven different organizations. Results We highlight 12 data quality rules that identified issues in at least 10 of the 24 datasets and provide a full set of 71 rules identified in at least one dataset. Achilles Heel is a freely available software that provides a useful starter set of data quality rules with the ability to add additional rules. We also present results of a structured email-based interview of all participating sites that collected qualitative comments about the value …
13,Adherence to drug—drug interaction alerts in high-risk patients: a trial of context-enhanced alerting,79,2013,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=6WlU86IAAAAJ&pagesize=50&citation_for_view=6WlU86IAAAAJ:YsMSGLbcyi4C,"Objective Drug–drug interaction (DDI) alerting is an important form of clinical decision support, yet physicians often fail to attend to critical DDI warnings due to alert fatigue. We previously described a model for highlighting patients at high risk of a DDI by enhancing alerts with relevant laboratory data. We sought to evaluate the effect of this model on alert adherence in high-risk patients. Methods A 6-month randomized controlled trial involving 1029 outpatient physicians was performed. The target interactions were all DDIs known to cause hyperkalemia. Alerts in the intervention group were enhanced with the patient's most recent potassium and creatinine levels. The control group received unmodified alerts. High -risk patients were those with baseline potassium >5.0 mEq/l and/or creatinine ≥1.5 mg/dl (132 μmol/l). Results We found no significant difference in alert adherence in high …"
14,Development and preliminary evidence for the validity of an instrument assessing implementation of human-factors principles in medication-related decision-support systems—I-MeDeSA,73,2011,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=6WlU86IAAAAJ&pagesize=50&citation_for_view=6WlU86IAAAAJ:4TOpqqG69KYC,"Background Medication-related decision support can reduce the frequency of preventable adverse drug events. However, the design of current medication alerts often results in alert fatigue and high over-ride rates, thus reducing any potential benefits. Methods The authors previously reviewed human-factors principles for relevance to medication-related decision support alerts. In this study, instrument items were developed for assessing the appropriate implementation of these human-factors principles in drug–drug interaction (DDI) alerts. User feedback regarding nine electronic medical records was considered during the development process. Content validity, construct validity through correlation analysis, and inter-rater reliability were assessed. Results The final version of the instrument included 26 items associated with nine human-factors principles. Content validation on three …"
