Rank,Title,Citations,Year,URL,Description
1,An analytical model for a GPU architecture with memory-level and thread-level parallelism awareness,897,2009,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=7OvZhQIAAAAJ&pagesize=50&citation_for_view=7OvZhQIAAAAJ:u5HHmVD_uO8C,"GPU architectures are increasingly important in the multi-core era due to their high number of parallel processors. Programming thousands of massively parallel threads is a big challenge for software engineers, but understanding the performance bottlenecks of those parallel programs on GPU architectures to improve application performance is even more difficult. Current approaches rely on programmers to tune their applications by exploiting the design space exhaustively without fully understanding the performance characteristics of their applications. To provide insights into the performance bottlenecks of parallel applications on GPU architectures, we propose a simple analytical model that estimates the execution time of massively parallel programs. The key component of our model is estimating the number of parallel memory requests (we call this the memory warp parallelism) by considering the number of …"
2,Qilin: exploiting parallelism on heterogeneous multiprocessors with adaptive mapping,757,2009,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=7OvZhQIAAAAJ&pagesize=50&citation_for_view=7OvZhQIAAAAJ:u-x6o8ySG0sC,"Heterogeneous multiprocessors are increasingly important in the multi-core era due to their potential for high performance and energy efficiency. In order for software to fully realize this potential, the step that maps computations to processing elements must be as automated as possible. However, the state-of-the-art approach is to rely on the programmer to specify this mapping manually and statically. This approach is not only labor intensive but also not adaptable to changes in runtime environments like problem sizes and hardware/software configurations. In this study, we propose adaptive mapping, a fully automatic technique to map computations to processing elements on a CPU+GPU machine. We have implemented it in our experimental heterogeneous programming system called Qilin. Our results show that, by judiciously distributing works over the CPU and GPU, automatic adaptive mapping achieves a 25 …"
3,An integrated GPU power and performance model,754,2010,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=7OvZhQIAAAAJ&pagesize=50&citation_for_view=7OvZhQIAAAAJ:d1gkVwhDpl0C,"GPU architectures are increasingly important in the multi-core era due to their high number of parallel processors. Performance optimization for multi-core processors has been a challenge for programmers. Furthermore, optimizing for power consumption is even more difficult. Unfortunately, as a result of the high number of processors, the power consumption of many-core processors such as GPUs has increased significantly. Hence, in this paper, we propose an integrated power and performance (IPP) prediction model for a GPU architecture to predict the optimal number of active processors for a given application. The basic intuition is that when an application reaches the peak memory bandwidth, using more cores does not result in performance improvement. We develop an empirical power model for the GPU. Unlike most previous models, which require measured execution times, hardware performance counters …"
4,Inferring fine-grained control flow inside {SGX} enclaves with branch shadowing,713,2017,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=7OvZhQIAAAAJ&pagesize=50&citation_for_view=7OvZhQIAAAAJ:54MofcL-yxcC,"Intel has introduced a hardware-based trusted execution environment, Intel Software Guard Extensions (SGX), that provides a secure, isolated execution environment, or enclave, for a user program without trusting any underlying software (eg, an operating system) or firmware. Researchers have demonstrated that SGX is vulnerable to a page-fault-based attack. However, the attack only reveals page-level memory accesses within an enclave. In this paper, we explore a new, yet critical, sidechannel attack, branch shadowing, that reveals finegrained control flows (branch granularity) in an enclave. The root cause of this attack is that SGX does not clear branch history when switching from enclave to nonenclave mode, leaving fine-grained traces for the outside world to observe, which gives rise to a branch-prediction side channel. However, exploiting this channel in practice is challenging because 1) measuring branch execution time is too noisy for distinguishing fine-grained controlflow changes and 2) pausing an enclave right after it has executed the code block we target requires sophisticated control. To overcome these challenges, we develop two novel exploitation techniques: 1) a last branch record (LBR)-based history-inferring technique and 2) an advanced programmable interrupt controller (APIC)-based technique to control the execution of an enclave in a finegrained manner. An evaluation against RSA shows that our attack infers each private key bit with 99.8% accuracy. Finally, we thoroughly study the feasibility of hardwarebased solutions (ie, branch history flushing) and propose a software-based approach that mitigates the attack."
5,Feedback directed prefetching: Improving the performance and bandwidth-efficiency of hardware prefetchers,483,2007,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=7OvZhQIAAAAJ&pagesize=50&citation_for_view=7OvZhQIAAAAJ:9yKSN-GCB0IC,"High performance processors employ hardware data prefetching to reduce the negative performance impact of large main memory latencies. While prefetching improves performance substantially on many programs, it can significantly reduce performance on others. Also, prefetching can significantly increase memory bandwidth requirements. This paper proposes a mechanism that incorporates dynamic feedback into the design of the prefetcher to increase the performance improvement provided by prefetching as well as to reduce the negative performance and bandwidth impact of prefetching. Our mechanism estimates prefetcher accuracy, prefetcher timeliness, and prefetcher-caused cache pollution to adjust the aggressiveness of the data prefetcher dynamically. We introduce a new method to track cache pollution caused by the prefetcher at run-time. We also introduce a mechanism that dynamically decides …"
6,Graphpim: Enabling instruction-level pim offloading in graph computing frameworks,411,2017,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=7OvZhQIAAAAJ&pagesize=50&citation_for_view=7OvZhQIAAAAJ:8IsQavbT1M8C,"With the emergence of data science, graph computing has become increasingly important these days. Unfortunately, graph computing typically suffers from poor performance when mapped to modern computing systems because of the overhead of executing atomic operations and inefficient utilization of the memory subsystem. Meanwhile, emerging technologies, such as Hybrid Memory Cube (HMC), enable the processing-in-memory (PIM) functionality with offloading operations at an instruction level. Instruction offloading to the PIM side has considerable potentials to overcome the performance bottleneck of graph computing. Nevertheless, this functionality for graph workloads has not been fully explored, and its applications and shortcomings have not been well identified thus far. In this paper, we present GraphPIM, a full-stack solution for graph computing that achieves higher performance using PIM functionality …"
7,A performance analysis framework for identifying potential benefits in GPGPU applications,267,2012,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=7OvZhQIAAAAJ&pagesize=50&citation_for_view=7OvZhQIAAAAJ:Y0pCki6q_DkC,"Tuning code for GPGPU and other emerging many-core platforms is a challenge because few models or tools can precisely pinpoint the root cause of performance bottlenecks. In this paper, we present a performance analysis framework that can help shed light on such bottlenecks for GPGPU applications. Although a handful of GPGPU profiling tools exist, most of the traditional tools, unfortunately, simply provide programmers with a variety of measurements and metrics obtained by running applications, and it is often difficult to map these metrics to understand the root causes of slowdowns, much less decide what next optimization step to take to alleviate the bottleneck. In our approach, we first develop an analytical performance model that can precisely predict performance and aims to provide programmer-interpretable metrics. Then, we apply static and dynamic profiling to instantiate our performance model for a …"
8,GraphBIG: understanding graph computing in the context of industrial solutions,240,2015,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=7OvZhQIAAAAJ&pagesize=50&citation_for_view=7OvZhQIAAAAJ:LgRImbQfgY4C,"With the emergence of data science, graph computing is becoming a crucial tool for processing big connected data. Although efficient implementations of specific graph applications exist, the behavior of full-spectrum graph computing remains unknown. To understand graph computing, we must consider multiple graph computation types, graph frameworks, data representations, and various data sources in a holistic way. In this paper, we present GraphBIG, a benchmark suite inspired by IBM System G project. To cover major graph computation types and data sources, GraphBIG selects representative datastructures, workloads and data sets from 21 real-world use cases of multiple application domains. We characterized GraphBIG on real machines and observed extremely irregular memory patterns and significant diverse behavior across different computations. GraphBIG helps users understand the impact of …"
9,"When prefetching works, when it doesn’t, and why",228,2012,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=7OvZhQIAAAAJ&pagesize=50&citation_for_view=7OvZhQIAAAAJ:V3AGJWp-ZtQC,"In emerging and future high-end processor systems, tolerating increasing cache miss latency and properly managing memory bandwidth will be critical to achieving high performance. Prefetching, in both hardware and software, is among our most important available techniques for doing so; yet, we claim that prefetching is perhaps also the least well-understood. Thus, the goal of this study is to develop a novel, foundational understanding of both the benefits and limitations of hardware and software prefetching. Our study includes: source code-level analysis, to help in understanding the practical strengths and weaknesses of compiler- and software-based prefetching; a study of the synergistic and antagonistic effects between software and hardware prefetching; and an evaluation of hardware prefetching training policies in the presence of software prefetching requests. We use both simulation and measurement on …"
10,Many-thread aware prefetching mechanisms for GPGPU applications,184,2010,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=7OvZhQIAAAAJ&pagesize=50&citation_for_view=7OvZhQIAAAAJ:zYLM7Y9cAGgC,"We consider the problem of how to improve memory latency tolerance in massively multithreaded GPGPUs when the thread-level parallelism of an application is not sufficient to hide memory latency. One solution used in conventional CPU systems is prefetching, both in hardware and software. However, we show that straightforwardly applying such mechanisms to GPGPU systems does not deliver the expected performance benefits and can in fact hurt performance when not used judiciously. This paper proposes new hardware and software prefetching mechanisms tailored to GPGPU systems, which we refer to as many-thread aware prefetching (MT-prefetching) mechanisms. Our software MT-prefetching mechanism, called inter-thread prefetching, exploits the existence of common memory access behavior among fine-grained threads. For hardware MT-prefetching, we describe a scalable prefetcher training …"
