Rank,Title,Citations,Year,URL,Description
1,Towards an independent brain–computer interface using steady state visual evoked potentials,486,2008,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=83SAwBsAAAAJ&pagesize=50&citation_for_view=83SAwBsAAAAJ:u5HHmVD_uO8C,"OBJECTIVE Brain–computer interface (BCI) systems using steady state visual evoked potentials (SSVEPs) have allowed healthy subjects to communicate. However, these systems may not work in severely disabled users because they may depend on gaze shifting. This study evaluates the hypothesis that overlapping stimuli can evoke changes in SSVEP activity sufficient to control a BCI. This would provide evidence that SSVEP BCIs could be used without shifting gaze. METHODS Subjects viewed a display containing two images that each oscillated at a different frequency. Different conditions used overlapping or non-overlapping images to explore dependence on gaze function. Subjects were asked to direct attention to one or the other of these images during each of 12 one-minute runs. RESULTS Half of the subjects produced differences in SSVEP activity elicited by overlapping stimuli that could support BCI …"
2,FIDO-facilitating interactions for dogs with occupations: wearable dog-activated interfaces,102,2013,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=83SAwBsAAAAJ&pagesize=50&citation_for_view=83SAwBsAAAAJ:eQOLeE2rZwMC,"Working dogs have improved the lives of thousands of people. However, communication between human and canine partners is currently limited. The main goal of the FIDO project is to research fundamental aspects of wearable technologies to support communication between working dogs and their handlers. In this pilot study, the FIDO team investigated on-body interfaces for assistance dogs in the form of wearable technology integrated into assistance dog vests. We created four different sensors that dogs could activate (based on biting, tugging, and nose gestures) and tested them on-body with three assistance-trained dogs. We were able to demonstrate that it is possible to create wearable sensors that dogs can reliably activate on command."
3,Applications for brain-computer interfaces,82,2010,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=83SAwBsAAAAJ&pagesize=50&citation_for_view=83SAwBsAAAAJ:r0BpntZqJG4C,"Brain-computer Interfaces (BCIs) have been studied for nearly thirty years, with the primary motivation of providing assistive technologies for people with very severe motor disabilities. The slow speeds, high error rate, susceptibility to artifact, and complexity of BCI systems have been challenges for implementing workable real-world systems. However, recent advances in computing and bio-sensing technologies have improved the outlook for BCI applications, making them promising not only as assistive technologies but also for mainstream applications. This chapter presents a survey of applications for BCI systems, both historical and recent, in order to characterize the broad range of possibilities for neural control."
4,A general framework for characterizing studies of brain interface technology,73,2005,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=83SAwBsAAAAJ&pagesize=50&citation_for_view=83SAwBsAAAAJ:RHpTSmoSYBkC,"The development of brain interface (BI) technology continues to attract researchers with a wide range of backgrounds and expertise. Though the BI community is committed to accurate and objective evaluation of methods, systems, and technology, the very diversity of the methods and terminology used in the field hinders understanding and impairs technology cross-fertilization and cross-group validation of findings. Underlying this dilemma is a lack of common perspective and language. As seen in our previous works in this area, our approach to remedy this problem is to propose language in the form of taxonomy and functional models. Our intent is to document and validate our best thinking in this area and publish a perspective that will stimulate discussion. We encourage others to do the same with the belief that focused discussion on language issues will accelerate the inherently slow natural evolution of …"
5,Going to the dogs: towards an interactive touchscreen interface for working dogs,69,2014,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=83SAwBsAAAAJ&pagesize=50&citation_for_view=83SAwBsAAAAJ:KlAtU1dfN6UC,"Computer-mediated interaction for working dogs is an important new domain for interaction research. In domestic settings, touchscreens could provide a way for dogs to communicate critical information to humans. In this paper we explore how a dog might interact with a touchscreen interface. We observe dogs' touchscreen interactions and record difficulties against what is expected of humans' touchscreen interactions. We also solve hardware issues through screen adaptations and projection styles to make a touchscreen usable for a canine's nose touch interactions. We also compare our canine touch data to humans' touch data on the same system. Our goal is to understand the affordances needed to make touchscreen interfaces usable for canines and help the future design of touchscreen interfaces for assistive dogs in the home."
6,FIDO—Facilitating interactions for dogs with occupations: wearable communication interfaces for working dogs,67,2015,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=83SAwBsAAAAJ&pagesize=50&citation_for_view=83SAwBsAAAAJ:Zph67rFs4hoC,"Working dogs have improved the lives of thousands of people throughout history. However, communication between human and canine partners is currently limited. The main goal of the FIDO project is to research fundamental aspects of wearable technologies to support communication between working dogs and their handlers. In this study, the FIDO team investigated on-body interfaces for dogs in the form of wearable technology integrated into assistance dog vests. We created five different sensors that dogs could activate based on natural dog behaviors such as biting, tugging, and nose touches. We then tested the sensors on-body with eight dogs previously trained for a variety of occupations and compared their effectiveness in several dimensions. We were able to demonstrate that it is possible to create wearable sensors that dogs can reliably activate on command, and to determine cognitive and physical …"
7,Search and rescue: dog and handler collaboration through wearable and mobile interfaces,61,2016,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=83SAwBsAAAAJ&pagesize=50&citation_for_view=83SAwBsAAAAJ:ZeXyd9-uunAC,"Search and Rescue (SAR) is a critical component of disaster recovery efforts. Every second saved in the search increases the chances of finding survivors and the majority of these teams prefer using canines [5]. Our goal is to help enable SAR dog and handler teams to work together more effectively. Using a semi-structured interviews and guidance from K9-SAR experts as we iterate through designs, we develop a two-part system consisting of a wearable computer interface for working SAR dogs that communicates with their handler via a mobile application. Additionally, we discuss the system around a heuristic framework that includes dogs as active participants. Finally, we show the viability of our tool by evaluating it with feedback from three SAR experts."
8,A method to evaluate haptic interfaces for working dogs,50,2017,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=83SAwBsAAAAJ&pagesize=50&citation_for_view=83SAwBsAAAAJ:9ZlFYXVOiuMC,"Working dogs perform a variety of essential services for their human partners, from assisting people with disabilities, to Search and Rescue, police, and military work. Recent interest in the nascent field of Animal–Computer Interaction has prompted research in computer-mediated technology for communication between working dogs and their handlers. Haptic (touch) interfaces in the form of vibrating motors are a promising approach for handler-to-dog communication. Haptic interfaces can provide a silent, long-range method of sending commands to a dog, when voice or hand signals are inappropriate or impossible. However, evaluating haptic interfaces for dogs, who cannot self-report sensations, creates interesting challenges. This study draws on human–computer interaction concepts, such as Just Noticeable Difference, to explore methods and issues in evaluating haptic interfaces for working dogs. We created …"
9,Canine computer interaction: towards designing a touchscreen interface for working dogs,43,2016,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=83SAwBsAAAAJ&pagesize=50&citation_for_view=83SAwBsAAAAJ:IWHjjKOFINEC,"Touchscreens can provide a way for service dogs to relay emergency information about their handlers from a home or office environment. In this paper, we build on work exploring the ability of canines to interact with touchscreen interfaces. We observe new requirements for training and explain best practices found in training techniques. Learning from previous work, we also begin to test new dog interaction techniques such as lift-off selection and sliding gestural motions. Our goal is to understand the affordances needed to make touchscreen interfaces usable for canines and help the future design of touchscreen interfaces for assistance dogs in the home."
10,Towards a canine-human communication system based on head gestures,38,2015,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=83SAwBsAAAAJ&pagesize=50&citation_for_view=83SAwBsAAAAJ:Wp0gIr-vW9MC,"We explored symbolic canine-human communication for working dogs through the use of canine head gestures. We identified a set of seven criteria for selecting head gestures and identified the first four deserving further experimentation. We devised computationally inexpensive mechanisms to prototype the live system from a motion sensor on the dog's collar. Each detected gesture is paired with a predetermined message that is voiced to the humans by a smart phone. We examined the system and proposed gestures in two experiments, one indoors and one outdoors. Experiment A examined both gesture detection accuracy and a dog's ability to perform the gestures using a predetermined routine of cues. Experiment B examined the accuracy of this system on two outdoor working-dog scenarios. The detection mechanism we presented is sufficient to point to improvements into system design and provide valuable …"
11,Individual characteristics and their effect on predicting mu rhythm modulation,38,2010,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=83SAwBsAAAAJ&pagesize=50&citation_for_view=83SAwBsAAAAJ:IjCSPb-OGe4C,"Brain–computer interfaces (BCIs) offer users with severe motor disabilities a nonmuscular input channel for communication and control but require that users achieve a level of literacy and be able to harness their appropriate electrophysiological responses for effective use of the interface. There is currently no formalized process for determining a user's aptitude for control of various BCIs without testing on an actual system. This study presents how basic information captured about users may be used to predict modulation of mu rhythms, electrical variations in the motor cortex region of the brain that may be used for control of a BCI. Based on data from 55 able-bodied users, we found that the interaction of age and daily average amount of hand-and-arm movement by individuals correlates to their ability to modulate mu rhythms induced by actual or imagined movements. This research may be expanded into a more …"
12,Canine-centered computing,34,2017,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=83SAwBsAAAAJ&pagesize=50&citation_for_view=83SAwBsAAAAJ:HDshCWvjkbEC,"Canines and humans have lived together for many thousands of years, to our mutual benefit. In addition to providing companionship, dogs can perform critical roles, such as assisting humans with medical concerns, searching for lost individuals, and detecting substances by scent. Researching how technology might be designed for canines has the potential to significantly improve the lives of both dogs and humans. We draw upon the extensive foundations and literature in human-centered computing to identify and adapt models and methods that are relevant for canines. Our work surveys the landscape of canine-centered computing and canine psychophysics, and generates a framework and set of guidelines to help inform the requirements, design, and evaluation of systems for canines. Our principal aim is to invite and challenge human computer interaction (HCI) researchers to contribute to the field of canine …"
