Rank,Title,Citations,Year,URL,Description
1,"None of your business: world data flows, electronic commerce, and the European privacy directive",379,2010,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=8ThYcf8AAAAJ&pagesize=50&citation_for_view=8ThYcf8AAAAJ:u5HHmVD_uO8C,"The historic European Union Directive on Data Protection will take effect in October 1998. A key provision will prohibit transfer of personal information from Europe to other countries if they lack “adequate” protection of privacy. If enforced as written, the Directive could create enormous obstacles to commerce between Europe and other countries, such as the United States, that do not have comprehensive privacy statutes. In this book, Peter Swire and Robert Litan provide the first detailed analysis of the sector-by-sector effects of the Directive. They examine such topics as the text of the Directive, the tension between privacy laws and modern information technologies, issues affecting a wide range of businesses and other organizations, effects on the financial services sector, and effects on other prominent sectors with large transborder data flows. In light of the many and significant effects of the Directive as written, the book concludes with detailed policy recommendations on how to avoid a coming trade war with Europe. The book will be of interest to the wide range of individuals and organizations affected by the important new European privacy laws. More generally, the privacy clash discussed in the book will prove a major precedent for how electronic commerce and world data flows will be governed in the Internet Age."
2,The race to laxity and the race to undesirability: Explaining failures in competition among jurisdictions in environmental law,254,1996,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=8ThYcf8AAAAJ&pagesize=50&citation_for_view=8ThYcf8AAAAJ:u-x6o8ySG0sC,"This Article addresses a fundamental question in environmental law: When is it desirable to have competition among multiple jurisdictions, such as among states in the American federal system or nations in the international arena? The heart of the debate has been whether competing regulatory regimes tend to create a"" Race to the Bottom"" in their efforts to attract industry. This Article proposes a new framework for understanding what is meant by the Race to the Bottom, and uses that framework to analyze the nature of competition among jurisdictions in environmental law. The recent literature in this area has made cogent critiques of earlier claims that a Race to the Bottom would exist. This Article answers those critiques, and shows how significant failures would likely occur in competition among the states if the federal government were to repeal its minimum environmental standards. The analytic framework …"
3,Why the right to data portability likely reduces consumer welfare: antitrust and privacy critique,224,2012,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=8ThYcf8AAAAJ&pagesize=50&citation_for_view=8ThYcf8AAAAJ:4DMP91E08xMC,"This Essay addresses a new economic and human right the European Union has included in a Draft Regulation'that would bind all its Member States: the right to data portability ("" RDP""). 2 The basic idea of the RDP is that an individual would be able to transfer his or her personal data and other material from one information service to another without hindrance. 3 A core example, referenced in the explanatory materials to the Draft Regulation, is for consumers to control the material they have posted to a social networking site such as Face-"
4,The system of foreign intelligence surveillance law,172,2003,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=8ThYcf8AAAAJ&pagesize=50&citation_for_view=8ThYcf8AAAAJ:d1gkVwhDpl0C,"The Foreign Intelligence Surveillance Act ("" FISA"")'was enacted in 1978 to solve a long-simmering problem. Since Franklin Roosevelt, presidents had asserted their"" inherent authority"" to authorize wiretaps and other surveillance for national security purposes. 2 Over time, the Supreme Court made clear that the Fourth Amendment required a neutral magistrate to issue a prior warrant for ordinary wiretaps used for domestic law enforcement purposes. 3 Yet the Supreme Court reserved a realm of"" foreign intelligence"""
5,Katz Is Dead-Long Live Katz,150,2003,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=8ThYcf8AAAAJ&pagesize=50&citation_for_view=8ThYcf8AAAAJ:qjMakFHDy7sC,"Katz v. United States is the king of Supreme Court surveillance cases. 1 Written in 1967, it struck down the earlier regime of property rules, declaring that"" the Fourth Amendment protects people, not places."" 2 The concurrence by Justice Harlan announced the new regime- court-issued warrants are required where there is an infringement on a person's"" reasonable expectation of privacy."" 3"
6,Bank insolvency law now that it matters again,139,1992,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=8ThYcf8AAAAJ&pagesize=50&citation_for_view=8ThYcf8AAAAJ:2osOgNQ5qMEC,"Even though the word"" bankruptcy"" derives from bank failure, 1 modem banks never technically go bankrupt, no matter how hard it sometimes seems they try. Instead, since well back into the nineteenth century, American banks have been subject to a special regime of bank insolvency that places their failure outside the jurisdiction of bankruptcy courts. In 1976, Robert Clark observed that""[t] he theory behind special insolvency proceedings for financial intermediaries appears not to have received careful and sustained attention."" 2 His observation remains true today, and legal1. The word"" bankrupt"" derives from the Italian"" banca rotta,"" which means"" bank broken"" or"" bench broken."" The term appears to derive from Italian money-changers or banks, whose bench in the market square would be broken when insolvency occurred. 1 OXFORD ENGLISH DICTIONARY 934 (2d ed. 1989). 2. Robert C. Clark, The …"
7,Identifying and classifying ambiguity for regulatory requirements,138,2014,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=8ThYcf8AAAAJ&pagesize=50&citation_for_view=8ThYcf8AAAAJ:yD5IFk8b50cC,"Software engineers build software systems in increasingly regulated environments, and must therefore ensure that software requirements accurately represent obligations described in laws and regulations. Prior research has shown that graduate-level software engineering students are not able to reliably determine whether software requirements meet or exceed their legal obligations and that professional software engineers are unable to accurately classify cross-references in legal texts. However, no research has determined whether software engineers are able to identify and classify important ambiguities in laws and regulations. Ambiguities in legal texts can make the difference between requirements compliance and non-compliance. Herein, we develop a ambiguity taxonomy based on software engineering, legal, and linguistic understandings of ambiguity. We examine how 17 technologists and policy …"
8,"Markets, Self-Regulation, and Government Enforcement in the Protection of Personal Information, in Privacy and Self-Regulation in the Information Age by the US Department of …",129,1997,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=8ThYcf8AAAAJ&pagesize=50&citation_for_view=8ThYcf8AAAAJ:IjCSPb-OGe4C,"A good deal of recent attention has focused on the potential for"" self-regulation"" on the Internet and more generally. This article proposes a general framework for deciding among markets, self-regulation and government enforcement in the protection of personal information."
9,Encryption and globalization,125,2011,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=8ThYcf8AAAAJ&pagesize=50&citation_for_view=8ThYcf8AAAAJ:Wp0gIr-vW9MC,"During the explosive growth of the Internet in the 1990s, encryption was quite likely the single most passionate area of legal and policy debate. Broadly speaking, law enforcement and national security agencies supported limits on the export of strong encryption, fearing that encryption would block their vital ability to protect public safety and national security. On the other side, sup-"
10,Persistent Problem of Lending Discrimination: A Law and Economics Analysis,124,1994,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=8ThYcf8AAAAJ&pagesize=50&citation_for_view=8ThYcf8AAAAJ:9yKSN-GCB0IC,"As lending discrimination has attracted greater attention in recent years, economists have sharply questioned how discrimination can persist-why do new lenders not enter the market and profitfrom the good loans that existing lenders refuse to make? In this Article, Professor Swire takes on this"" economists' puzzle"" in several ways. First, the economiss' definition of discrimination is much narrower than current law-economists do not count profit-maximizing behavior by lenders and borrowers as discrimination even when otherwise similar borrowers are treated differently based solely on race. Second, a range of empirical evidence supports the view that illegal discrimination persists. Third, other economic theories developed in the literature on employment discrimination can explain continuing lending discrimination today, especially when considered against the history of pervasive, government-encouraged …"
