Rank,Title,Citations,Year,URL,Description
1,"Threshold signatures, multisignatures and blind signatures based on the gap-Diffie-Hellman-group signature scheme",1587,2002,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=8mHLyRoAAAAJ&pagesize=50&citation_for_view=8mHLyRoAAAAJ:u5HHmVD_uO8C,"We propose a robust proactive threshold signature scheme, a multisignature scheme and a blind signature scheme which work in any Gap Diffie-Hellman (GDH) group (where the Computational Diffie- Hellman problem is hard but the Decisional Diffie-Hellman problem is easy). Our constructions are based on the recently proposed GDH signature scheme of Boneh et al. . Due to the instrumental structure of GDH groups and of the base scheme, it turns out that most of our constructions are simpler, more efficient and have more useful properties than similar existing constructions. We support all the proposed schemes with proofs under the appropriate computational assumptions, using the corresponding notions of security."
2,Order-preserving symmetric encryption,1327,2009,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=8mHLyRoAAAAJ&pagesize=50&citation_for_view=8mHLyRoAAAAJ:9yKSN-GCB0IC,"We initiate the cryptographic study of order-preserving symmetric encryption (OPE), a primitive suggested in the database community by Agrawal et al. (SIGMOD ’04) for allowing efficient range queries on encrypted data. Interestingly, we first show that a straightforward relaxation of standard security notions for encryption such as indistinguishability against chosen-plaintext attack (IND-CPA) is unachievable by a practical OPE scheme. Instead, we propose a security notion in the spirit of pseudorandom functions (PRFs) and related primitives asking that an OPE scheme look “as-random-as-possible” subject to the order-preserving constraint. We then design an efficient OPE scheme and prove its security under our notion based on pseudorandomness of an underlying blockcipher. Our construction is based on a natural relation we uncover between a random order-preserving function and the hypergeometric …"
3,Deterministic and efficiently searchable encryption,1150,2007,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=8mHLyRoAAAAJ&pagesize=50&citation_for_view=8mHLyRoAAAAJ:u-x6o8ySG0sC,"We present as-strong-as-possible definitions of privacy, and constructions achieving them, for public-key encryption schemes where the encryption algorithm is deterministic. We obtain as a consequence database encryption methods that permit fast (i.e. sub-linear, and in fact logarithmic, time) search while provably providing privacy that is as strong as possible subject to this fast search constraint. One of our constructs, called RSA-DOAEP, has the added feature of being length preserving, so that it is the first example of a public-key cipher. We generalize this to obtain a notion of efficiently-searchable encryption schemes which permit more flexible privacy to search-time trade-offs via a technique called bucketization. Our results answer much-asked questions in the database community and provide foundations for work done there."
4,Identity-based encryption with efficient revocation,1016,2008,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=8mHLyRoAAAAJ&pagesize=50&citation_for_view=8mHLyRoAAAAJ:qjMakFHDy7sC,"Identity-based encryption (IBE) is an exciting alternative to public-key encryption, as IBE eliminates the need for a Public Key Infrastructure (PKI). The senders using an IBE do not need to look up the public keys and the corresponding certificates of the receivers, the identities (e.g. emails or IP addresses) of the latter are sufficient to encrypt. Any setting, PKI- or identity-based, must provide a means to revoke users from the system. Efficient revocation is a well-studied problem in the traditional PKI setting. However in the setting of IBE, there has been little work on studying the revocation mechanisms. The most practical solution requires the senders to also use time periods when encrypting, and all the receivers (regardless of whether their keys have been compromised or not) to update their private keys regularly by contacting the trusted authority. We note that this solution does not scale well -- as the number of users …"
5,Order-preserving encryption revisited: Improved security analysis and alternative solutions,718,2011,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=8mHLyRoAAAAJ&pagesize=50&citation_for_view=8mHLyRoAAAAJ:zYLM7Y9cAGgC,"We further the study of order-preserving symmetric encryption (OPE), a primitive for allowing efficient range queries on encrypted data, recently initiated (from a cryptographic perspective) by Boldyreva et al. (Eurocrypt ’09). First, we address the open problem of characterizing what encryption via a random order-preserving function (ROPF) leaks about underlying data (ROPF being the “ideal object” in the security definition, POPF, satisfied by their scheme.) In particular, we show that, for a database of randomly distributed plaintexts and appropriate choice of parameters, ROPF encryption leaks neither the precise value of any plaintext nor the precise distance between any two of them. The analysis here is quite technically non-trivial and introduces useful new techniques. On the other hand, we also show that ROPF encryption does leak both the value of any plaintext as well as the distance between any two plaintexts …"
6,Public-key encryption in a multi-user setting: Security proofs and improvements,717,2000,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=8mHLyRoAAAAJ&pagesize=50&citation_for_view=8mHLyRoAAAAJ:d1gkVwhDpl0C,"This paper addresses the security of public-key cryptosystems in a “multi-user” setting, namely in the presence of attacks involving the encryption of related messages under different public keys, as exemplified by Håstad’s classical attacks on RSA. We prove that security in the single-user setting implies security in the multi-user setting as long as the former is interpreted in the strong sense of “indistinguishability,” thereby pin-pointing many schemes guaranteed to be secure against Håstad-type attacks. We then highlight the importance, in practice, of considering and improving the concrete security of the general reduction, and present such improvements for two Diffie-Hellman based schemes, namely El Gamal and Cramer-Shoup."
7,Key-privacy in public-key encryption,708,2001,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=8mHLyRoAAAAJ&pagesize=50&citation_for_view=8mHLyRoAAAAJ:2osOgNQ5qMEC,"We consider a novel security requirement of encryption schemes that we call “key-privacy” or “anonymity”. It asks that an eavesdropper in possession of a ciphertext not be able to tell which specific key, out of a set of known public keys, is the one under which the ciphertext was created, meaning the receiver is anonymous from the point of view of the adversary. We investigate the anonymity of known encryption schemes. We prove that the El Gamal scheme provides anonymity under chosen-plaintext attack assuming the Decision Diffie-Hellman problem is hard and that the Cramer-Shoup scheme provides anonymity under chosen-ciphertext attack under the same assumption. We also consider anonymity for trapdoor permutations. Known attacks indicate that the RSA trapdoor permutation is not anonymous and neither are the standard encryption schemes based on it. We provide a variant of RSA-OAEP that …"
8,Secure proxy signature schemes for delegation of signing rights,436,2012,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=8mHLyRoAAAAJ&pagesize=50&citation_for_view=8mHLyRoAAAAJ:UeHWp8X0CEIC,"A proxy signature scheme permits an entity to delegate its signing rights to another. These schemes have been suggested for use in numerous applications, particularly in distributed computing. Before our work (Boldyreva et al. in Cryptology ePrint Archive, Report 2003/096, ) appeared, no precise definitions or proven-secure schemes had been provided. In this paper, we formalize a notion of security for proxy signature schemes and present provably-secure schemes. We analyze the security of the well-known delegation-by-certificate scheme and show that after some slight but important modifications, the resulting scheme is secure, assuming the underlying standard signature scheme is secure. We then show that employment of aggregate signature schemes permits bandwidth savings. Finally, we analyze the proxy signature scheme of Kim, Park and Won, which offers important performance benefits. We propose …"
9,An uninstantiable random-oracle-model scheme for a hybrid-encryption problem,373,2004,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=8mHLyRoAAAAJ&pagesize=50&citation_for_view=8mHLyRoAAAAJ:IjCSPb-OGe4C,"We present a simple, natural random-oracle (RO) model scheme, for a practical goal, that is uninstantiable, meaning is proven in the RO model to meet its goal yet admits no standard-model instantiation that meets this goal. The goal in question is IND-CCA-preserving asymmetric encryption which formally captures security of the most common practical usage of asymmetric encryption, namely to transport a symmetric key in such a way that symmetric encryption under the latter remains secure. The scheme is an ElGamal variant, called Hash ElGamal, that resembles numerous existing RO-model schemes, and on the surface shows no evidence of its anomalous properties. These results extend our understanding of the gap between the standard and RO models, and bring concerns raised by previous work closer to practice by indicating that the problem of RO-model schemes admitting no secure instantiation can …"
10,"On notions of security for deterministic encryption, and efficient constructions without random oracles",276,2008,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=8mHLyRoAAAAJ&pagesize=50&citation_for_view=8mHLyRoAAAAJ:Tyk-4Ss8FVUC,"The study of deterministic public-key encryption was initiated by Bellare et al. (CRYPTO ’07), who provided the “strongest possible” notion of security for this primitive (called PRIV) and constructions in the random oracle (RO) model. We focus on constructing efficient deterministic encryption schemes without random oracles. To do so, we propose a slightly weaker notion of security, saying that no partial information about encrypted messages should be leaked as long as each message is a-priori hard-to-guess given the others (while PRIV did not have the latter restriction). Nevertheless, we argue that this version seems adequate for many practical applications. We show equivalence of this definition to single-message and indistinguishability-based ones, which are easier to work with. Then we give general constructions of both chosen-plaintext (CPA) and chosen-ciphertext-attack (CCA) secure deterministic …"
