Rank,Title,Citations,Year,URL,Description
1,Learning Constraints from Demonstrations,77,2018,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=90whi3wAAAAJ&pagesize=50&citation_for_view=90whi3wAAAAJ:u5HHmVD_uO8C,"We extend the learning from demonstration paradigm by providing a method for learning unknown constraints shared across tasks, using demonstrations of the tasks, their cost functions, and knowledge of the system dynamics and control constraints. Given safe demonstrations, our method uses hit-and-run sampling to obtain lower cost, and thus unsafe, trajectories. Both safe and unsafe trajectories are used to obtain a consistent representation of the unsafe set via solving an integer program. Our method generalizes across system dynamics and learns a guaranteed subset of the constraint. We also provide theoretical analysis on what subset of the constraint can be learnable from safe demonstrations. We demonstrate our method on linear and nonlinear system dynamics, show that it can be modified to work with suboptimal demonstrations, and that it can also be used to learn constraints in a feature space."
2,Data-Efficient Learning of Natural Language to Linear Temporal Logic Translators for Robot Task Specification,75,2023,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=90whi3wAAAAJ&pagesize=50&citation_for_view=90whi3wAAAAJ:YOwf2qJgpHMC,"To make robots accessible to a broad audience, it is critical to endow them with the ability to take universal modes of communication, like commands given in natural language, and extract a concrete desired task specification, defined using a formal language like linear temporal logic (LTL). In this paper, we present a learning-based approach for translating from natural language commands to LTL specifications with very limited human-labeled training data. This is in stark contrast to existing natural-language to LTL translators, which require large human-labeled datasets, often in the form of labeled pairs of LTL formulas and natural language commands, to train the translator. To reduce reliance on human data, our approach generates a large synthetic training dataset through algorithmic generation of LTL formulas, conversion to structured English, and then exploiting the paraphrasing capabilities of modern large language models (LLMs) to synthesize a diverse corpus of natural language commands corresponding to the LTL formulas. We use this generated data to finetune an LLM and apply a constrained decoding procedure at inference time to ensure the returned LTL formula is syntactically correct. We evaluate our approach on three existing LTL/natural language datasets and show that we can translate natural language commands at 75\% accuracy with far less human data (12 annotations). Moreover, when training on large human-annotated datasets, our method achieves higher test accuracy (95\% on average) than prior work. Finally, we show the translated formulas can be used to plan long-horizon, multi-stage tasks on a 12D quadrotor."
3,Planning With Learned Dynamics: Probabilistic Guarantees on Safety and Reachability via Lipschitz Constants,62,2021,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=90whi3wAAAAJ&pagesize=50&citation_for_view=90whi3wAAAAJ:LkGwnXOMwfcC,"We present a method for feedback motion planning of systems with unknown dynamics which provides probabilistic guarantees on safety, reachability, and goal stability. To find a domain in which a learned control-affine approximation of the true dynamics can be trusted, we estimate the Lipschitz constant of the difference between the true and learned dynamics, and ensure the estimate is valid with a given probability. Provided the system has at least as many controls as states, we also derive existence conditions for a one-step feedback law which can keep the real system within a small bound of a nominal trajectory planned with the learned dynamics. Our method imposes the feedback law existence as a constraint in a sampling-based planner, which returns a feedback policy around a nominal plan ensuring that, if the Lipschitz constant estimate is valid, the true system is safe during plan execution, reaches the …"
4,Using neural networks to compute approximate and guaranteed feasible Hamilton-Jacobi-Bellman PDE solutions,58,2016,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=90whi3wAAAAJ&pagesize=50&citation_for_view=90whi3wAAAAJ:2osOgNQ5qMEC,"To sidestep the curse of dimensionality when computing solutions to Hamilton-Jacobi-Bellman partial differential equations (HJB PDE), we propose an algorithm that leverages a neural network to approximate the value function. We show that our final approximation of the value function generates near optimal controls which are guaranteed to successfully drive the system to a target state. Our framework is not dependent on state space discretization, leading to a significant reduction in computation time and space complexity in comparison with dynamic programming-based approaches. Using this grid-free approach also enables us to plan over longer time horizons with relatively little additional computation overhead. Unlike many previous neural network HJB PDE approximating formulations, our approximation is strictly conservative and hence any trajectories we generate will be strictly feasible. For demonstration, we specialize our new general framework to the Dubins car model and discuss how the framework can be applied to other models with higher-dimensional state spaces."
5,Using control synthesis to generate corner cases: A case study on autonomous driving,57,2018,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=90whi3wAAAAJ&pagesize=50&citation_for_view=90whi3wAAAAJ:u-x6o8ySG0sC,"This paper employs correct-by-construction control synthesis, in particular controlled invariant set computations, for falsification. Our hypothesis is that if it is possible to compute a “large enough” controlled invariant set either for the actual system model or some simplification of the system model, interesting corner cases for other control designs can be generated by sampling initial conditions from the boundary of this controlled invariant set. Moreover, if falsifying trajectories for a given control design can be found through such sampling, then the controlled invariant set can be used as a supervisor to ensure safe operation of the control design under consideration. In addition to interesting initial conditions, which are mostly related to safety violations in transients, we use solutions from a dual game, a reachability game for the safety specification, to find falsifying inputs. We also propose optimization-based heuristics …"
6,Learning Constraints from Locally-Optimal Demonstrations under Cost Function Uncertainty,55,2020,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=90whi3wAAAAJ&pagesize=50&citation_for_view=90whi3wAAAAJ:Y0pCki6q_DkC,"We present an algorithm for learning parametric constraints from locally-optimal demonstrations, where the cost function being optimized is uncertain to the learner. Our method uses the Karush-Kuhn-Tucker (KKT) optimality conditions of the demonstrations within a mixed integer linear program (MILP) to learn constraints which are consistent with the local optimality of the demonstrations, by either using a known constraint parameterization or by incrementally growing a parameterization that is consistent with the demonstrations. We provide theoretical guarantees on the conservativeness of the recovered safe/unsafe sets and analyze the limits of constraint learnability when using locally-optimal demonstrations. We evaluate our method on high-dimensional constraints and systems by learning constraints for 7-DOF arm and quadrotor examples, show that it outperforms competing constraint-learning approaches …"
7,Explaining Multi-stage Tasks by Learning Temporal Logic Formulas from Suboptimal Demonstrations,42,2020,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=90whi3wAAAAJ&pagesize=50&citation_for_view=90whi3wAAAAJ:YsMSGLbcyi4C,"We present a method for learning multi-stage tasks from demonstrations by learning the logical structure and atomic propositions of a consistent linear temporal logic (LTL) formula. The learner is given successful but potentially suboptimal demonstrations, where the demonstrator is optimizing a cost function while satisfying the LTL formula, and the cost function is uncertain to the learner. Our algorithm uses the Karush-Kuhn-Tucker (KKT) optimality conditions of the demonstrations together with a counterexample-guided falsification strategy to learn the atomic proposition parameters and logical structure of the LTL formula, respectively. We provide theoretical guarantees on the conservativeness of the recovered atomic proposition sets, as well as completeness in the search for finding an LTL formula consistent with the demonstrations. We evaluate our method on high-dimensional nonlinear systems by learning LTL formulas explaining multi-stage tasks on 7-DOF arm and quadrotor systems and show that it outperforms competing methods for learning LTL formulas from positive examples."
8,Model Error Propagation via Learned Contraction Metrics for Safe Feedback Motion Planning of Unknown Systems,35,2021,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=90whi3wAAAAJ&pagesize=50&citation_for_view=90whi3wAAAAJ:Se3iqnhoufwC,"We present a method for contraction-based feed-back motion planning of locally incrementally exponentially stabilizable systems with unknown dynamics that provides probabilistic safety and reachability guarantees. Given a dynamics dataset, our method learns a deep control-affine approximation of the dynamics. To find a trusted domain where this model can be used for planning, we obtain an estimate of the Lipschitz constant of the model error, which is valid with a given probability, in a region around the training data, providing a local, spatially-varying model error bound. We derive a trajectory tracking error bound for a contraction-based controller that is subjected to this model error, and then learn a controller that optimizes this tracking bound. With a given probability, we verify the correctness of the controller and tracking error bound in the trusted domain. We then use the trajectory error bound together with …"
9,Safe Output Feedback Motion Planning from Images via Learned Perception Modules and Contraction Theory,32,2022,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=90whi3wAAAAJ&pagesize=50&citation_for_view=90whi3wAAAAJ:kNdYIx-mwKoC,"We present a motion planning algorithm for a class of uncertain control-affine nonlinear systems which guarantees runtime safety and goal reachability when using high-dimensional sensor measurements (e.g., RGB-D images) and a learned perception module in the feedback control loop. First, given a dataset of states and observations, we train a perception system that seeks to invert a subset of the state from an observation, and estimate an upper bound on the perception error which is valid with high probability in a trusted domain near the data. Next, we use contraction theory to design a stabilizing state feedback controller and a convergent dynamic state observer which uses the learned perception system to update its state estimate. We derive a bound on the trajectory tracking error when this controller is subjected to errors in the dynamics and incorrect state estimates. Finally, we integrate this bound into a …"
10,A hybrid framework for multi-vehicle collision avoidance,32,2017,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=90whi3wAAAAJ&pagesize=50&citation_for_view=90whi3wAAAAJ:qjMakFHDy7sC,"With the recent surge of interest in UAVs for civilian services, the importance of developing tractable multiagent analysis techniques that provide safety and performance guarantees has drastically increased. Hamilton-Jacobi (HJ) reachability has successfully provided these guarantees to small-scale systems and is flexible in terms of system dynamics. However, the exponential complexity scaling of HJ reachability with respect to system dimension prevents its direct application to larger-scale problems where the number of vehicles is greater than two. In this paper, we propose a collision avoidance algorithm using a hybrid framework for N + 1 vehicles through higher-level control logic given any N-vehicle collision avoidance algorithm. Our algorithm conservatively approximates a guaranteed-safe region in the joint state space of the N + 1 vehicles and produces a safety-preserving controller. In addition, our …"
11,Learning temporal logic formulas from suboptimal demonstrations: theory and experiments,29,2022,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=90whi3wAAAAJ&pagesize=50&citation_for_view=90whi3wAAAAJ:3fE2CSJIrl8C,"We present a method for learning multi-stage tasks from demonstrations by learning the logical structure and atomic propositions of a consistent linear temporal logic (LTL) formula. The learner is given successful but potentially suboptimal demonstrations, where the demonstrator is optimizing a cost function while satisfying the LTL formula, and the cost function is uncertain to the learner. Our algorithm uses the Karush-Kuhn-Tucker (KKT) optimality conditions of the demonstrations together with a counterexample-guided falsification strategy to learn the atomic proposition parameters and logical structure of the LTL formula, respectively. We provide theoretical guarantees on the conservativeness of the recovered atomic proposition sets, as well as completeness in the search for finding an LTL formula consistent with the demonstrations. We evaluate our method on high-dimensional nonlinear systems by learning LTL …"
12,Uncertainty-Aware Constraint Learning for Adaptive Safe Motion Planning from Demonstrations,28,2020,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=90whi3wAAAAJ&pagesize=50&citation_for_view=90whi3wAAAAJ:ufrVoPGSRksC,"We present a method for learning to satisfy uncertain constraints from demonstrations. Our method uses robust optimization to obtain a belief over the potentially infinite set of possible constraints consistent with the demonstrations, and then uses this belief to plan trajectories that trade off performance with satisfying the possible constraints. We use these trajectories in a closed-loop policy that executes and replans using belief updates, which incorporate data gathered during execution. We derive guarantees on the accuracy of our constraint belief and probabilistic guarantees on plan safety. We present results on a 7-DOF arm and 12D quadrotor, showing our method can learn to satisfy high-dimensional (up to 30D) uncertain constraints and outperforms baselines in safety and efficiency."
13,Learning Parametric Constraints in High Dimensions from Demonstrations,28,2019,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=90whi3wAAAAJ&pagesize=50&citation_for_view=90whi3wAAAAJ:UeHWp8X0CEIC,"We present a scalable algorithm for learning parametric constraints in high dimensions from safe expert demonstrations. To reduce the ill-posedness of the constraint recovery problem, our method uses hit-and-run sampling to generate lower cost, and thus unsafe, trajectories. Both safe and unsafe trajectories are used to obtain a representation of the unsafe set that is compatible with the data by solving an integer program in that representation’s parameter space. Our method can either leverage a known parameterization or incrementally grow a parameterization while remaining consistent with the data, and we provide theoretical guarantees on the conservativeness of the recovered unsafe set. We evaluate our method on high-dimensional constraints for high-dimensional systems by learning constraints for 7-DOF arm, quadrotor, and planar pushing examples, and show that our method outperforms baseline approaches."
14,Gaussian Process Constraint Learning for Scalable Chance-Constrained Motion Planning From Demonstrations,20,2022,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=90whi3wAAAAJ&pagesize=50&citation_for_view=90whi3wAAAAJ:8k81kl-MbHgC,"We propose a method for learning constraints represented as Gaussian processes (GPs) from locally-optimal demonstrations. Our approach uses the Karush-Kuhn-Tucker (KKT) optimality conditions to determine where on the demonstrations the constraint is tight, and a scaling of the constraint gradient at those states. We then train a GP representation of the constraint which is consistent with and which generalizes this information. We further show that the GP uncertainty can be used within a kinodynamic RRT to plan probabilistically-safe trajectories, and that we can exploit the GP structure within the planner to exactly achieve a specified safety probability. We demonstrate our method can learn complex, nonlinear constraints demonstrated on a 5D nonholonomic car, a 12D quadrotor, and a 3-link planar arm, all while requiring minimal prior information on the constraint. Our results suggest the learned GP …"
