Rank,Title,Citations,Year,URL,Description
1,"On the necessity (or lack thereof) of digital proctoring: Drawbacks, perceptions, and alternatives",44,2022,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=9ZIsgScAAAAJ&pagesize=50&citation_for_view=9ZIsgScAAAAJ:UeHWp8X0CEIC,"Background It is important for institutions of higher education to maintain academic integrity, both for students and the institutions themselves. Proctoring is one way of accomplishing this, and with the increasing popularity of online courses—along with the sudden shift to online education sparked by the COVID‐19 pandemic—digital proctoring has seen an increase in use. However, there are privacy and bias concerns related to digital proctoring, so it is important to critically examine its role in higher education—when it should and should not be used, and how it is perceived among those who interact with it. Objectives In this paper, we: examine the features of and concerns about digital proctoring; analyse the results of a survey regarding student and teaching assistant (TA) attitudes towards digital proctoring; and present alternatives to digital proctoring and a framework for evaluating the need for a digital …"
2,Enrollment motivations in an online graduate CS program: Trends & gender-and age-based differences,33,2020,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=9ZIsgScAAAAJ&pagesize=50&citation_for_view=9ZIsgScAAAAJ:2osOgNQ5qMEC,"Demand for CS education has risen, leading to numerous new programs, such as the rise of affordable online degrees. Research shows these programs meet an otherwise untapped audience of working professionals seeking graduate level CS education. In this study, we examine the motivations for enrollment among students in one such online MSCS program. Based responses to an open ended question, we develop a typology of motivations, including goals (e.g. career transition), opportunities (e.g. enrolling without taking time off work), and assurances that their goals will be met (e..g the program's accreditation). We then issue a closed survey question to a new group of students to further explore these motivations. In this paper, we discuss both aggregate and demographic trends in motivations, including the different motivations of men and women and what they imply about the program's impact on the …"
3,"Ten years, ten trends: The first decade of an affordable at-scale degree",10,2024,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=9ZIsgScAAAAJ&pagesize=50&citation_for_view=9ZIsgScAAAAJ:ufrVoPGSRksC,"Ten years ago in 2014 saw the launch of the first in what would become a trend to launch online, at-scale degree programs (mostly at the graduate level) by leveraging MOOC pedagogies and platforms. Using publicly-available data, this paper describes ten trends that characterize the first decade of one such program in computer science in order to assess the audience and performance of students who elect to enroll in such programs. Past research has found that students in these programs tend to enroll in large part because they do not have other options for rigorous, respected credentials that fit into their professional and personal lives; this study unpacks many of these trends. Specifically, this study finds that the fraction of women enrolling in the program has steadily increased over time, that the gender discrepancy can be partially explained by underlying differences in women in CS across different …"
4,Teaching at Scale and Back Again: The Impact of Instructors' Participation in At-Scale Education Initiatives on Traditional Instruction,9,2023,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=9ZIsgScAAAAJ&pagesize=50&citation_for_view=9ZIsgScAAAAJ:zYLM7Y9cAGgC,"Proponents of at-scale education initiatives often tout the benefits of these programs to the students who enroll in them, but anecdotally, faculty who participate in creating at-scale courses have often commented on how their participation positively impacted their subsequent in-person teaching. In this study, we investigate this potential phenomenon more thoroughly to assess how generalizable this perspective is among participants in these initiatives. We conduct three studies: we interview 78 faculty teaching in at-scale degree programs, examine offering histories for 70 courses offered in one such program, and survey 153 faculty who have developed massive open online courses. Based on these three studies, we propose a list of ways in which in-person instruction benefits from the existence of at-scale teaching initiatives. We further discuss remaining perceived drawbacks of at-scale education as derived from …"
5,With or without EU: Navigating GDPR constraints in human subjects research in an education environment,8,2021,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=9ZIsgScAAAAJ&pagesize=50&citation_for_view=9ZIsgScAAAAJ:9yKSN-GCB0IC,"The General Data Protection Regulation (GDPR), passed in 2018, outlined new data privacy standards applying to residents of the European Union (EU). The impact of this law stretches beyond the EU to anyone - such as researchers across the world - collecting or processing data from EU residents. Researchers have had to augment their methodologies to ensure GDPR compliance. This initiative intersects with at-scale educational programs, which often enroll EU students and are also often the subject of institutional research. While creating a study to research students in an online Master of Science in Computer Science (MSCS) program, some of whom are in the EU, we encountered difficulties with ensuring GDPR compliance. This paper discusses the implications of the GDPR related to both general research and our specific study. We discuss the challenges of interpreting the GDPR and integrating it into our …"
6,The l@ st eight years: A review of papers and authors at learning@ scale,6,2023,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=9ZIsgScAAAAJ&pagesize=50&citation_for_view=9ZIsgScAAAAJ:Tyk-4Ss8FVUC,"We examine trends in the Learning at Scale conference from 2014 through 2021. We use an original coding scheme to classify all 142 full papers from five angles: setting, approach, pedagogical strategy, population of interest, and dependent variable. We observe a decline of research on MOOCs, an increase in number of settings studied over time, and a consistent focus on assessment strategies. We then examine other conferences to which Learning at Scale authors contribute research. This paper contributes an original coding scheme to classify future Learning at Scale papers; an analysis of the research focuses at Learning at Scale over time; and an evaluation of the mutual influence between Learning at Scale and other venues. These latter two contributions contextualize learning at scale research within Learning at Scale and the broader research community to show how the field has evolved and to help …"
7,Peer advising at scale: Content and context of a learner-owned course evaluation system,6,2019,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=9ZIsgScAAAAJ&pagesize=50&citation_for_view=9ZIsgScAAAAJ:d1gkVwhDpl0C,"Peer advising in education, which involves students providing fellow students with course advice, can be important in online student communities and can provide insights into potential course improvements. We examine reviews from a course review web site for online graduate programs. We develop a coding scheme to analyze the free text portion of the reviews and integrate those findings with students' quantitative ratings of each course's overall score, difficulty, and workload. While reviews focus on subjective evaluation of courses, students also provide feedback for instructors, personal context, advice for other students, and objective course descriptions. Additionally, the average review varies by course overall score, difficulty, and workload. Our research examines the importance of student communities in online education and peer advising at scale."
8,"Ready or not, here I computer science: Trends in preparatory work pursued by incoming students in an online graduate computer science program",3,2023,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=9ZIsgScAAAAJ&pagesize=50&citation_for_view=9ZIsgScAAAAJ:Y0pCki6q_DkC,"Research on how students prepare for graduate computer science programs typically focuses on single, subject-specific interventions or relates to preparation for life as a graduate student. Preparatory work completed prior to enrolling in such a program can be particularly important for underrepresented minorities and those without technical backgrounds. We use survey data from incoming students in a large online graduate computer science program to answer three research questions: What are the backgrounds of students entering the program? How do students prepare for the program? And how does student preparation differ based on demographics and prior experience? We find that: male students are more likely than female students to enter the program with computer science qualifications; older students, female students, and those with non-technical degrees are more likely to pursue preparation; and …"
9,Examining Student Interest and Motivations in Graduate Computer Science Research,2,2025,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=9ZIsgScAAAAJ&pagesize=50&citation_for_view=9ZIsgScAAAAJ:UebtZRa9Y70C,"The research focuses in academia are typically determined from the top down, with professors focusing on projects that align with their existing lab or can be readily supported by grants. This approach is pragmatic, but this focus may not align with the bottom-up interests of the available student body. As part of a broader effort to expand the available research opportunities in a graduate program in computer science, this work focuses on collecting data on what is motivating student interest in research and what specific fields students desire to study with the intention of using the results for decision-making about how to allocate resources to best match student interests. This work reports on the responses of 143 graduate students in computer science at a major research institution in the United States in a course-based program where access to research opportunities is not guaranteed. It examines both the fields of …"
10,Broadening CS Research Opportunities for Online Graduate Students,2,2025,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=9ZIsgScAAAAJ&pagesize=50&citation_for_view=9ZIsgScAAAAJ:Se3iqnhoufwC,"Research opportunities offer students at the master's level a chance to apply their knowledge, create projects for their portfolio, and to gain an understanding of the research process in preparation for potential doctoral studies. The traditional structure of these opportunities, however, is not trivial to translate to online programs with asynchronous delivery. As online programs grow, it is important to examine ways that the traditional benefits of these opportunities can be extended to a broader range of students. In this poster, we discuss our experience building the infrastructure and running early efforts at reaching this goal. We discuss several dedicated courses and seminars developed to offer larger scale opportunities for students to pursue research. We also discuss efforts in active development to provide better infrastructure support to reduce the friction and complexity of pursuing research at scale."
