Rank,Title,Citations,Year,URL,Description
1,SESC simulator,508,2005,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=A_j_baAAAAAJ&pagesize=50&citation_for_view=A_j_baAAAAAJ:9yKSN-GCB0IC,SESC Simulator | CiNii Research CiNii 国立情報学研究所 学術情報ナビゲータ[サイニィ] 詳細へ 移動 検索フォームへ移動 論文・データをさがす 大学図書館の本をさがす English 検索 タイトル 人物 /団体名 著者ID/研究者番号 所属機関 ISSN DOI 期間 ~ 本文リンク 本文リンクあり データソース JaLC IRDB Crossref DataCite NDLサーチ NDLデジコレ(旧NII-ELS) RUDA JDCat NINJAL CiNii Articles CiNii Books NACSIS-CAT/ILL DBpedia KAKEN Integbio PubMed LSDB Archive 極地研 ADS 極地研学術DB OpenAIRE 公共データカタログ すべて 研究データ 論文 本 博士論文 プロジェクト 人物 > 人物検索機能について [2026年1月20日更新]CiNii BooksのCiNii Researchへの統合 について CiNii Researchナレッジグラフ検索機能(試行版)をCiNii Labsにて公開しました [2025年 11月26日更新]「研究データ」「根拠データ」の収録について CiNii Research人物検索機能を公開しま した SESC Simulator 被引用文献1件 RENAU J 収録刊行物 http://sesc.sourceforge.net/ http://…
2,Using address independent seed encryption and bonsai merkle trees to make secure processors os-and performance-friendly,379,2007,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=A_j_baAAAAAJ&pagesize=50&citation_for_view=A_j_baAAAAAJ:YsMSGLbcyi4C,"In today's digital world, computer security issues have become increasingly important. In particular, researchers have proposed designs for secure processors which utilize hardware-based memory encryption and integrity verification to protect the privacy and integrity of computation even from sophisticated physical attacks. However, currently proposed schemes remain hampered by problems that make them impractical for use in today's computer systems: lack of virtual memory and inter-process communication support as well as excessive storage and performance overheads. In this paper, we propose 1) address independent seed encryption (AISE), a counter-mode based memory encryption scheme using a novel seed composition, and 2) Bonsai Merkle trees (BMT), a novel Merkle tree-based memory integrity verification technique, to eliminate these system and performance issues associated with prior counter …"
3,"Improving cost, performance, and security of memory encryption and authentication",379,2006,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=A_j_baAAAAAJ&pagesize=50&citation_for_view=A_j_baAAAAAJ:qjMakFHDy7sC,"Protection from hardware attacks such as snoopers and mod chips has been receiving increasing attention in computer architecture. This paper presents a new combined memory encryption/authentication scheme. Our new split counters for counter-mode encryption simultaneously eliminate counter overflow problems and reduce per-block counter size, and we also dramatically improve authentication performance and security by using the Galois/Counter Mode of operation (GCM), which leverages counter-mode encryption to reduce authentication latency and overlap it with memory accesses. Our results indicate that the split-counter scheme has a negligible overhead even with a small (32KB) counter cache and using only eight counter bits per data block. The combined encryption/authentication scheme has an IPC overhead of 5% on average across SPEC CPU 2000 benchmarks, which is a significant …"
4,ReVive: Cost-effective architectural support for rollback recovery in shared-memory multiprocessors,336,2002,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=A_j_baAAAAAJ&pagesize=50&citation_for_view=A_j_baAAAAAJ:u-x6o8ySG0sC,"This paper presents ReVive, a novel general-purpose rollback recovery mechanism for shared-memory multiprocessors. ReVive carefully balances the conflicting requirements of availability, performance, and hardware cost. ReVive performs checkpointing, logging, and distributed parity protection, all memory-based. It enables recovery from a wide class of errors, including the permanent loss of an entire node. To maintain high performance, ReVive includes specialized hardware that performs frequent operations in the background, such as log and parity updates. To keep the cost low, more complex checkpointing and recovery functions are performed in software, while the hardware modifications are limited to the directory controllers of the machine. Our simulation results on a 16-processor system indicate that the average error-free execution time overhead of using ReVive is only 6.3%, while the achieved …"
5,Cherry: Checkpointed early resource recycling in out-of-order microprocessors,295,2002,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=A_j_baAAAAAJ&pagesize=50&citation_for_view=A_j_baAAAAAJ:u5HHmVD_uO8C,"This paper presents checkpointed early resource recycling (Cherry), a hybrid mode of execution based on ROB and checkpointing that decouples resource recycling and instruction retirement. Resources are recycled early, resulting in a more efficient utilization. Cherry relies on state checkpointing and rollback to service exceptions for instructions whose resources have been recycled. Cherry leverages the ROB to (1) not require in-order execution as a fallback mechanism, (2) allow memory replay traps and branch mispredictions without rolling back to the Cherry checkpoint, and (3) quickly fall back to conventional out-of-order execution without rolling back to the checkpoint or flushing the pipeline. We present a Cherry implementation with early recycling at three different points of the execution engine: the load queue, the store queue, and the register file. We report average speedups of 1.06 and 1.26 in SPECint …"
6,FlexiTaint: A programmable accelerator for dynamic taint propagation.,244,2008,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=A_j_baAAAAAJ&pagesize=50&citation_for_view=A_j_baAAAAAJ:IjCSPb-OGe4C,"This paper presents FlexiTaint, a hardware accelerator for dynamic taint propagation. FlexiTaint is implemented as an in-order addition to the back-end of the processor pipeline, and the taints for memory locations are stored as a packed array in regular memory. The taint propagation scheme is specified via a software handler that, given the operation and the sources’ taints, computes the new taint for the result. To keep performance overheads low, FlexiTaint caches recent taint propagation lookups and uses a filter to avoid lookups for simple common-case behavior. We also describe how to implement consistent taint propagation in a multi-core environment. Our experiments show that FlexiTaint incurs average performance overheads of only 1% for SPEC2000 benchmarks and 3.7% for Splash-2 benchmarks, even when simultaneously following two different taint propagation policies."
7,Eddie: Em-based detection of deviations in program execution,217,2017,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=A_j_baAAAAAJ&pagesize=50&citation_for_view=A_j_baAAAAAJ:ZHo1McVdvXMC,"This paper describes EM-Based Detection of Deviations in Program Execution (EDDIE), a new method for detecting anomalies in program execution, such as malware and other code injections, without introducing any overheads, adding any hardware support, changing any software, or using any resources on the monitored system itself. Monitoring with EDDIE involves receiving electromagnetic (EM) emanations that are emitted as a side effect of execution on the monitored system, and it relies on spikes in the EM spectrum that are produced as a result of periodic (e.g. loop) activity in the monitored execution. During training, EDDIE characterizes normal execution behavior in terms of peaks in the EM spectrum that are observed at various points in the program execution, but it does not need any characterization of the malware or other code that might later be injected. During monitoring, EDDIE identifies peaks in …"
8,ReEnact: Using thread-level speculation mechanisms to debug data races in multithreaded codes,187,2003,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=A_j_baAAAAAJ&pagesize=50&citation_for_view=A_j_baAAAAAJ:2osOgNQ5qMEC,"While removing software bugs consumes vast amounts of human time, hardware support for debugging in modern computers remains rudimentary. Fortunately, we show that mechanisms for Thread-Level Speculation (TLS) can be reused to boost debugging productivity. Most notably, TLS's rollback capabilities can be extended to support rolling back recent buggy execution and repeating it as many times as necessary until the bug is fully characterized. These incremental re-executions are deterministic even in multithreaded codes. Importantly, this operation can be done automatically on the fly, and is compatible with production runs.As a specific implementation of a TLS-based debugging framework, we introduce ReEnact. ReEnact targets a particularly hairy class of bugs: data races in multithreaded programs. ReEnact extends the communication monitoring mechanisms in TLS to also detect data races. It …"
9,A practical methodology for measuring the side-channel signal available to the attacker for instruction-level events,182,2014,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=A_j_baAAAAAJ&pagesize=50&citation_for_view=A_j_baAAAAAJ:blknAaTinKkC,"This paper presents a new metric, which we call Signal Available to Attacker (SAVAT), that measures the side channel signal created by a specific single-instruction difference in program execution, i.e. The amount of signal made available to a potential attacker who wishes to decide whether the program has executed instruction/event A or instruction/event B. We also devise a practical methodology for measuring SAVAT in real systems using only user-level access permissions and common measurement equipment. Finally, we perform a case study where we measure electromagnetic (EM) emanations SAVAT among 11 different instructions for three different laptop systems. Our findings from these experiments confirm key intuitive expectations, e.g. That SAVAT between on-chip instructions and off-chip memory accesses tends to be higher than between two on-chip instructions. However, we find that particular …"
10,Memtracker: Efficient and programmable support for memory access monitoring and debugging,161,2007,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=A_j_baAAAAAJ&pagesize=50&citation_for_view=A_j_baAAAAAJ:zYLM7Y9cAGgC,"Memory bugs are a broad class of bugs that is becoming increasingly common with increasing software complexity, and many of these bugs are also security vulnerabilities. Unfortunately, existing software and even hardware approaches for finding and identifying memory bugs have considerable performance overheads, target only a narrow class of bugs, are costly to implement, or use computational resources inefficiently. This paper describes MemTracker, a new hardware support mechanism that can be configured to perform different kinds of memory access monitoring tasks. MemTracker associates each word of data in memory with a few bits of state, and uses a programmable state transition table to react to different events that can affect this state. The number of state bits per word, the events to which MemTracker reacts, and the transition table are all fully programmable. MemTracker's rich set of states, events …"
11,Experimental demonstration of electromagnetic information leakage from modern processor-memory systems,156,2014,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=A_j_baAAAAAJ&pagesize=50&citation_for_view=A_j_baAAAAAJ:M3NEmzRMIkIC,"This paper shows that electromagnetic (EM) information leakage from modern laptops and desktops (with no peripherals attached) is indeed possible and is relatively easy to achieve. The experiments are performed on three laptop systems and one desktop system with different processors (Intel Centrino, Core 2, Core i7, and AMD Turion), and show that both active (program deliberately tries to cause emanations at a particular frequency) and passive (emanations at different frequencies happen as a result of system activity) EM side-channel attacks are possible on all the systems we tested. Furthermore, this paper shows that EM information leakage can reliably be received at distances that vary from tens of centimeters to several meters including the signals that have propagated through cubicle or structural walls. Finally, this paper shows how activity levels and data values used in accessing different parts of the …"
12,SecureME: a hardware-software approach to full system security,132,2011,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=A_j_baAAAAAJ&pagesize=50&citation_for_view=A_j_baAAAAAJ:4DMP91E08xMC,"With computing increasingly becoming more dispersed, relying on mobile devices, distributed computing, cloud computing, etc. there is an increasing threat from adversaries obtaining physical access to some of the computer systems through theft or security breaches. With such an untrusted computing node, a key challenge is how to provide secure computing environment where we provide privacy and integrity for data and code of the application. We propose SecureME, a hardware-software mechanism that provides such a secure computing environment. SecureME protects an application from hardware attacks by using a secure processor substrate, and also from the Operating System (OS) through memory cloaking, permission paging, and system call protection. Memory cloaking hides data from the OS but allows the OS to perform regular virtual memory management functions, such as page initialization …"
13,CORD: Cost-effective (and nearly overhead-free) Order-Recording and Data race detection,108,2006,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=A_j_baAAAAAJ&pagesize=50&citation_for_view=A_j_baAAAAAJ:eQOLeE2rZwMC,"Chip-multiprocessors are becoming the dominant vehicle for general-purpose processing, and parallel software will be needed to effectively utilize them. This parallel software is notoriously prone to synchronization bugs, which are often difficult to detect and repeat for debugging. While data race detection and order-recording for deterministic replay are useful in debugging such problems, only order-recording schemes are lightweight, whereas data race detection support scales poorly and degrades performance significantly. This paper presents our CORD (cost-effective order-recording and data race detection) mechanism. It is similar in cost to prior order-recording mechanisms, but costs considerably less then prior schemes for data race detection. CORD also has a negligible performance overhead (0.4% on average) and detects most dynamic manifestations of synchronization problems (77% on average …"
14,Spectral profiling: Observer-effect-free profiling by monitoring EM emanations,102,2016,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=A_j_baAAAAAJ&pagesize=50&citation_for_view=A_j_baAAAAAJ:pqnbT2bcN3wC,"This paper presents Spectral Profiling, a new method for profiling program execution without instrumenting or otherwise affecting the profiled system. Spectral Profiling monitors EM emanations unintentionally produced by the profiled system, looking for spectral “spikes” produced by periodic program activity (e.g. loops). This allows Spectral Profiling to determine which parts of the program have executed at what time. By analyzing the frequency and shape of the spectral “spike”, Spectral Profiling can obtain additional information such as the per-iteration execution time of a loop. The key advantage of Spectral Profiling is that it can monitor a system as-is, without program instrumentation, system activity, etc. associated with the profiling itself, i.e. it completely eliminates the “Observer's Effect” and allows profiling of programs whose execution is performance-dependent and/or programs that run on even the simplest …"
15,{One&Done}: A {Single-Decryption}{EM-Based} Attack on {OpenSSL’s}{Constant-Time} Blinded {RSA},98,2018,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=A_j_baAAAAAJ&pagesize=50&citation_for_view=A_j_baAAAAAJ:bFI3QPDXJZMC,"This paper presents the first side channel attack approach that, without relying on the cache organization and/or timing, retrieves the secret exponent from a single decryption on arbitrary ciphertext in a modern (current version of OpenSSL) fixed-window constant-time implementation of RSA. Specifically, the attack recovers the exponent’s bits during modular exponentiation from analog signals that are unintentionally produced by the processor as it executes the constant-time code that constructs the value of each “window” in the exponent, rather than the signals that correspond to squaring/multiplication operations and/or cache behavior during multiplicand table lookup operations. The approach is demonstrated using electromagnetic (EM) emanations on two mobile phones and an embedded system, and after only one decryption in a fixed-window RSA implementation it recovers enough bits of the secret exponents to enable very efficient (within seconds) reconstruction of the full private RSA key.Since the value of the ciphertext is irrelevant to our attack, the attack succeeds even when the ciphertext is unknown and/or when message randomization (blinding) is used. Our evaluation uses signals obtained by demodulating the signal from a relatively narrow band (40 MHz) around the processor’s clock frequency (around 1GHz), which is within the capabilities of compact sub-$1,000 software-defined radio (SDR) receivers. Finally, we propose a mitigation where the bits of the exponent are only obtained from an exponent in integersized groups (tens of bits) rather than obtaining them one bit at a time. This mitigation is effective because it forces the …"
16,IDEA: Intrusion detection through electromagnetic-signal analysis for critical embedded and cyber-physical systems,91,2019,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=A_j_baAAAAAJ&pagesize=50&citation_for_view=A_j_baAAAAAJ:tOudhMTPpwUC,"We propose a novel framework called IDEA that exploits electromagnetic (EM) side-channel signals to detect malicious activity on embedded and cyber-physical systems (CPS). IDEA first records EM emanations from an uncompromised reference device to establish a baseline of reference EM patterns. IDEA then monitors the target device's EM emanations. When the observed EM emanations deviate from the reference patterns, IDEA reports this as an anomalous or malicious activity. IDEA does not require any resource or infrastructure on, or any modification to, the monitored system itself. In fact, IDEA is isolated from the target device, and monitors the device without any physical contact. We evaluate IDEA by monitoring the target device while it is executing embedded applications with malicious code injections such as Distributed Denial of Service (DDoS), Ransomware and code modification. We further …"
17,Syndrome: Spectral analysis for anomaly detection on medical iot and embedded devices,91,2018,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=A_j_baAAAAAJ&pagesize=50&citation_for_view=A_j_baAAAAAJ:EUQCXRtRnyEC,"Recent advances in embedded and IoT (internet-of-things) technologies are rapidly transforming health-care solutions and we are headed to a future of smaller, smarter, wearable and connected medical devices. IoT and advanced health sensors provide more convenience to patients and physicians. Where physicians can now wirelessly and automatically monitor patient's state. While these medical embedded devices provide a lot of new opportunities to improve the health care system, they also introduce a new set of security risks since they are connected to networks. More importantly, these devices are extremely hardware- and power-constrained, which in turn makes securing these devices more complex. Implementing complex malware detectors or anti-virus on these devices is either very costly or infeasible due to these limitations on power and resources. In this paper, we propose a new framework called …"
18,Malware detection in embedded systems using neural network model for electromagnetic side-channel signals,88,2019,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=A_j_baAAAAAJ&pagesize=50&citation_for_view=A_j_baAAAAAJ:l7t_Zn2s7bgC,"We propose a novel malware detection system for critical embedded and cyber-physical systems (CPS). The system exploits electromagnetic (EM) side-channel signals from the device to detect malicious activity. During training, the system models EM emanations from an uncompromised device using a neural network. These EM patterns act as fingerprints for the normal program activity. Next, we continuously monitor the target device’s EM emanations. Any deviation in the device’s activity causes a variation in the EM fingerprint, which in turn violates the trained model, and is reported as an anomalous activity. The system can monitor the target device remotely (without any physical contact), and does not require any modification to the monitored system. We evaluate the system with different malware behavior (DDoS, ransomware, and code modification) on different applications using an Altera Nios-II soft-processor …"
19,FASE: Finding amplitude-modulated side-channel emanations,87,2015,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=A_j_baAAAAAJ&pagesize=50&citation_for_view=A_j_baAAAAAJ:GnPB-g6toBAC,"While all computation generates electromagnetic (EM) side-channel signals, some of the strongest and farthest-propagating signals are created when an existing strong periodic signal (e.g. a clock signal) becomes stronger or weaker (amplitude-modulated) depending on processor or memory activity. However, modern systems create emanations at thousands of different frequencies, so it is a difficult, error-prone, and time-consuming task to find those few emanations that are AM-modulated by processor/memory activity. This paper presents a methodology for rapidly finding such activity-modulated signals. This method creates recognizable spectral patterns generated by specially designed microbenchmarks and then processes the recorded spectra to identify signals that exhibit amplitude-modulation behavior. We apply this method to several computer systems and find several such modulated signals. To illustrate …"
20,Creating a backscattering side channel to enable detection of dormant hardware trojans,83,2019,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=A_j_baAAAAAJ&pagesize=50&citation_for_view=A_j_baAAAAAJ:OU6Ihb5iCvQC,"This paper describes a new physical side channel, i.e., the backscattering side channel, created by transmitting a signal toward the integrated circuits (ICs), where the internal impedance changes caused by on-chip switching activity modulate the signal that is backscattered (reflected) from the IC. To demonstrate how this new side channel can be used to detect small changes in circuit impedances, we propose a new method for nondestructively detecting hardware Trojans (HTs) from outside the chip. We experimentally confirm, using measurements on one physical instance for training and nine other physical instances for testing, that the new side channel, when combined with an HT detection method, allows detection of a dormant HT in 100% of the HT-afflicted measurements for a number of different HTs while producing no false positives in HT-free measurements. Furthermore, additional experiments are …"
