Rank,Title,Citations,Year,URL,Description
1,Reduced basis methods for uncertainty quantification,119,2017,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=AaVPa5kAAAAJ&pagesize=50&citation_for_view=AaVPa5kAAAAJ:f2IySw72cVMC,"In this work we review a reduced basis method for the solution of uncertainty quantification problems. Based on the basic setting of an elliptic partial differential equation with random input, we introduce the key ingredients of the reduced basis method, including proper orthogonal decomposition and greedy algorithms for the construction of the reduced basis functions, a priori and a posteriori error estimates for the reduced basis approximations, as well as its computational advantages and weaknesses in comparison with a stochastic collocation method [I. Babuška, F. Nobile, and R. Tempone, SIAM Rev., 52 (2010), pp. 317--355]. We demonstrate its computational efficiency and accuracy for a benchmark problem with parameters ranging from a few to a few hundred dimensions. Generalizations to more complex models and applications to uncertainty quantification problems in risk prediction, evaluation of statistical …"
2,Simulation‐based uncertainty quantification of human arterial network hemodynamics,114,2013,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=AaVPa5kAAAAJ&pagesize=50&citation_for_view=AaVPa5kAAAAJ:O3NaXMp0MMsC,"This work aims at identifying and quantifying uncertainties from various sources in human cardiovascular system based on stochastic simulation of a one‐dimensional arterial network. A general analysis of different uncertainties and probability characterization with log‐normal distribution of these uncertainties is introduced. Deriving from a deterministic one‐dimensional fluid–structure interaction model, we establish the stochastic model as a coupled hyperbolic system incorporated with parametric uncertainties to describe the blood flow and pressure wave propagation in the arterial network. By applying a stochastic collocation method with sparse grid technique, we study systemically the statistics and sensitivity of the solution with respect to many different uncertainties in a relatively complete arterial network with potential physiological and pathological implications for the first time. Copyright © 2013 John Wiley & …"
3,A weighted reduced basis method for elliptic partial differential equations with random input data,113,2013,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=AaVPa5kAAAAJ&pagesize=50&citation_for_view=AaVPa5kAAAAJ:hMod-77fHWUC,In this work we propose and analyze a weighted reduced basis method to solve elliptic partial differential equations (PDEs) with random input data. The PDEs are first transformed into a weighted parametric elliptic problem depending on a finite number of parameters. Distinctive importance of the solution at different values of the parameters is taken into account by assigning different weights to the samples in the greedy sampling procedure. A priori convergence analysis is carried out by constructive approximation of the exact solution with respect to the weighted parameters. Numerical examples are provided for the assessment of the advantages of the proposed method over the reduced basis method and the stochastic collocation method in both univariate and multivariate stochastic problems.
4,Comparison between reduced basis and stochastic collocation methods for elliptic problems,105,2014,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=AaVPa5kAAAAJ&pagesize=50&citation_for_view=AaVPa5kAAAAJ:BqipwSGYUEgC,"The stochastic collocation method (Babuška et al. in SIAM J Numer Anal 45(3):1005–1034, ; Nobile et al. in SIAM J Numer Anal 46(5):2411–2442, ; SIAM J Numer Anal 46(5):2309–2345, ; Xiu and Hesthaven in SIAM J Sci Comput 27(3):1118–1139, ) has recently been applied to stochastic problems that can be transformed into parametric systems. Meanwhile, the reduced basis method (Maday et al. in Comptes Rendus Mathematique 335(3):289–294, ; Patera and Rozza in Reduced basis approximation and a posteriori error estimation for parametrized partial differential equations Version 1.0. Copyright MIT, http://augustine.mit.edu, ; Rozza et al. in Arch Comput Methods Eng 15(3):229–275, ), primarily developed for solving parametric systems, has been recently used to deal with stochastic problems (Boyaval et al. in Comput Methods Appl Mech Eng 198(41–44):3187–3206, ; Arch Comput Methods Eng 17:435–454, ). In this …"
5,Projected Stein Variational Gradient Descent,96,2020,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=AaVPa5kAAAAJ&pagesize=50&citation_for_view=AaVPa5kAAAAJ:EUQCXRtRnyEC,"The curse of dimensionality is a longstanding challenge in Bayesian inference in high dimensions. In this work, we propose a {projected Stein variational gradient descent}(pSVGD) method to overcome this challenge by exploiting the fundamental property of intrinsic low dimensionality of the data informed subspace stemming from ill-posedness of such problems. We adaptively construct the subspace using a gradient information matrix of the log-likelihood, and apply pSVGD to the much lower-dimensional coefficients of the parameter projection. The method is demonstrated to be more accurate and efficient than SVGD. It is also shown to be more scalable with respect to the number of parameters, samples, data points, and processor cores via experiments with parameters dimensions ranging from the hundreds to the tens of thousands."
6,Derivative-informed projected neural networks for high-dimensional parametric maps governed by PDEs,94,2022,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=AaVPa5kAAAAJ&pagesize=50&citation_for_view=AaVPa5kAAAAJ:SP6oXDckpogC,"Many-query problems – arising from, e.g., uncertainty quantification, Bayesian inversion, Bayesian optimal experimental design, and optimization under uncertainty – require numerous evaluations of a parameter-to-output map. These evaluations become prohibitive if this parametric map is high-dimensional and involves expensive solution of partial differential equations (PDEs). To tackle this challenge, we propose to construct surrogates for high-dimensional PDE-governed parametric maps in the form of derivative-informed projected neural networks (DIPNets) that parsimoniously capture the geometry and intrinsic low-dimensionality of these maps. Specifically, we compute Jacobians of these PDE-based maps, and project the high-dimensional parameters onto a low-dimensional derivative-informed active subspace; we also project the possibly high-dimensional outputs onto their principal subspace. This exploits …"
7,Weighted reduced basis method for stochastic optimal control problems with elliptic PDE constraints,88,2014,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=AaVPa5kAAAAJ&pagesize=50&citation_for_view=AaVPa5kAAAAJ:_FxGoFyzp5QC,"In this paper we develop and analyze an efficient computational method for solving stochastic optimal control problems constrained by an elliptic partial differential equation (PDE) with random input data. We first prove both existence and uniqueness of the optimal solution. Regularity of the optimal solution in the stochastic space is studied in view of the analysis of stochastic approximation error. For numerical approximation, we employ a finite element method for the discretization of physical variables, and a stochastic collocation method for the discretization of random variables. In order to alleviate the computational effort, we develop a model order reduction strategy based on a weighted reduced basis method. A global error analysis of the numerical approximation is carried out, and several numerical tests are performed to verify our analysis."
8,Multilevel and weighted reduced basis method for stochastic optimal control problems constrained by Stokes equations,79,2015,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=AaVPa5kAAAAJ&pagesize=50&citation_for_view=AaVPa5kAAAAJ:LkGwnXOMwfcC,"In this paper we develop and analyze a multilevel weighted reduced basis method for solving stochastic optimal control problems constrained by Stokes equations. We prove the analytic regularity of the optimal solution in the probability space under certain assumptions on the random input data. The finite element method and the stochastic collocation method are employed for the numerical approximation of the problem in the deterministic space and the probability space, respectively, resulting in many large-scale optimality systems to solve. In order to reduce the unaffordable computational effort, we propose a reduced basis method using a multilevel greedy algorithm in combination with isotropic and anisotropic sparse-grid techniques. A weighted a posteriori error bound highlights the contribution stemming from each method. Numerical tests on stochastic dimensions ranging from 10 to 100 demonstrate that our …"
9,Projected Stein variational Newton: A fast and scalable Bayesian inference method in high dimensions,78,2019,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=AaVPa5kAAAAJ&pagesize=50&citation_for_view=AaVPa5kAAAAJ:yD5IFk8b50cC,"We propose a projected Stein variational Newton (pSVN) method for high-dimensional Bayesian inference. To address the curse of dimensionality, we exploit the intrinsic low-dimensional geometric structure of the posterior distribution in the high-dimensional parameter space via its Hessian (of the log posterior) operator and perform a parallel update of the parameter samples projected into a low-dimensional subspace by an SVN method. The subspace is adaptively constructed using the eigenvectors of the averaged Hessian at the current samples. We demonstrate fast convergence of the proposed method, complexity independent of the parameter and sample dimensions, and parallel scalability."
10,Derivative-informed neural operator: an efficient framework for high-dimensional parametric derivative learning,77,2024,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=AaVPa5kAAAAJ&pagesize=50&citation_for_view=AaVPa5kAAAAJ:dTyEYWd-f8wC,"We propose derivative-informed neural operators (DINOs), a general family of neural networks to approximate operators as infinite-dimensional mappings from input function spaces to output function spaces or quantities of interest. After discretizations both inputs and outputs are high-dimensional. We aim to approximate not only the operators with improved accuracy but also their derivatives (Jacobians) with respect to the input function-valued parameter to empower derivative-based algorithms in many applications, e.g., Bayesian inverse problems, optimization under parameter uncertainty, and optimal experimental design. The major difficulties include the computational cost of generating derivative training data and the high dimensionality of the problem leading to large training cost. To address these challenges, we exploit the intrinsic low-dimensionality of the derivatives and develop algorithms for compressing …"
