Rank,Title,Citations,Year,URL,Description
1,"Metaverse: Perspectives from graphics, interactions and visualization",556,2022,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=B2Qy_xAAAAAJ&pagesize=50&citation_for_view=B2Qy_xAAAAAJ:Zph67rFs4hoC,"The metaverse is a visual world that blends the physical world and digital world. At present, the development of the metaverse is still in the early stage, and there lacks a framework for the visual construction and exploration of the metaverse. In this paper, we propose a framework that summarizes how graphics, interaction, and visualization techniques support the visual construction of the metaverse and user-centric exploration. We introduce three kinds of visual elements that compose the metaverse and the two graphical construction methods in a pipeline. We propose a taxonomy of interaction technologies based on interaction tasks, user actions, feedback and various sensory channels, and a taxonomy of visualization techniques that assist user awareness. Current potential applications and future opportunities are discussed in the context of visual construction and exploration of the metaverse. We hope this …"
2,Grand Challenges in Immersive Analytics,278,2021,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=B2Qy_xAAAAAJ&pagesize=50&citation_for_view=B2Qy_xAAAAAJ:hqOjcs7Dif8C,"Immersive Analytics is a quickly evolving field that unites several areas such as visualisation, immersive environments, and human-computer interaction to support human data analysis with emerging technologies. This research has thrived over the past years with multiple workshops, seminars, and a growing body of publications, spanning several conferences. Given the rapid advancement of interaction technologies and novel application domains, this paper aims toward a broader research agenda to enable widespread adoption. We present 17 key research challenges developed over multiple sessions by a diverse group of 24 international experts, initiated from a virtual scientific workshop at ACM CHI 2020. These challenges aim to coordinate future work by providing a systematic roadmap of current directions and impending hurdles to facilitate productive and effective applications for Immersive Analytics."
3,Origin-destination flow maps in immersive environments,142,2018,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=B2Qy_xAAAAAJ&pagesize=50&citation_for_view=B2Qy_xAAAAAJ:zYLM7Y9cAGgC,"Immersive virtual- and augmented-reality headsets can overlay a flat image against any surface or hang virtual objects in the space around the user. The technology is rapidly improving and may, in the long term, replace traditional flat panel displays in many situations. When displays are no longer intrinsically flat, how should we use the space around the user for abstract data visualisation? In this paper, we ask this question with respect to origin-destination flow data in a global geographic context. We report on the findings of three studies exploring different spatial encodings for flow maps. The first experiment focuses on different 2D and 3D encodings for flows on flat maps. We find that participants are significantly more accurate with raised flow paths whose height is proportional to flow distance but fastest with traditional straight line 2D flows. In our second and third experiment we compared flat maps, 3D globes …"
4,Many-to-many geographically-embedded flow visualisation: An evaluation,123,2016,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=B2Qy_xAAAAAJ&pagesize=50&citation_for_view=B2Qy_xAAAAAJ:W7OEmFMy1HYC,"Showing flows of people and resources between multiple geographic locations is a challenging visualisation problem. We conducted two quantitative user studies to evaluate different visual representations for such dense many-to-many flows. In our first study we compared a bundled node-link flow map representation and OD Maps [37] with a new visualisation we call MapTrix. Like OD Maps, MapTrix overcomes the clutter associated with a traditional flow map while providing geographic embedding that is missing in standard OD matrix representations. We found that OD Maps and MapTrix had similar performance while bundled node-link flow map representations did not scale at all well. Our second study compared participant performance with OD Maps and MapTrix on larger data sets. Again performance was remarkably similar."
5,Maps and globes in virtual reality,117,2018,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=B2Qy_xAAAAAJ&pagesize=50&citation_for_view=B2Qy_xAAAAAJ:9yKSN-GCB0IC,"This paper explores different ways to render world‐wide geographic maps in virtual reality (VR). We compare: (a) a 3D exocentric globe, where the user's viewpoint is outside the globe; (b) a flat map (rendered to a plane in VR); (c) an egocentric 3D globe, with the viewpoint inside the globe; and (d) a curved map, created by projecting the map onto a section of a sphere which curves around the user. In all four visualisations the geographic centre can be smoothly adjusted with a standard handheld VR controller and the user, through a head‐tracked headset, can physically move around the visualisation. For distance comparison exocentric globe is more accurate than egocentric globe and flat map. For area comparison more time is required with exocentric and egocentric globes than with flat and curved maps. For direction estimation, the exocentric globe is more accurate and faster than the other visual …"
6,Towards an Understanding of Situated AR Visualization for Basketball Free-Throw Training,103,2021,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=B2Qy_xAAAAAJ&pagesize=50&citation_for_view=B2Qy_xAAAAAJ:0EnyYjriUFMC,"We present an observational study to compare co-located and situated real-time visualizations in basketball free-throw training. Our goal is to understand the advantages and concerns of applying immersive visualization to real-world skill-based sports training and to provide insights for designing AR sports training systems. We design both a situated 3D visualization on a head-mounted display and a 2D visualization on a co-located display to provide immediate visual feedback on a player’s shot performance. Using a within-subject study design with experienced basketball shooters, we characterize user goals, report on qualitative training experiences, and compare the quantitative training results. Our results show that real-time visual feedback helps athletes refine subsequent shots. Shooters in our study achieve greater angle consistency with our visual feedback. Furthermore, AR visualization promotes an …"
7,"Tilt map: Interactive transitions between choropleth map, prism map and bar chart in immersive environments",102,2020,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=B2Qy_xAAAAAJ&pagesize=50&citation_for_view=B2Qy_xAAAAAJ:ufrVoPGSRksC,"We introduce Tilt Map, a novel interaction technique for intuitively transitioning between 2D and 3D map visualisations in immersive environments. Our focus is visualising data associated with areal features on maps, for example, population density by state. Tilt Map transitions from 2D choropleth maps to 3D prism maps to 2D bar charts to overcome the limitations of each. Our article includes two user studies. The first study compares subjects’ task performance interpreting population density data using 2D choropleth maps and 3D prism maps in virtual reality (VR). We observed greater task accuracy with prism maps, but faster response times with choropleth maps. The complementarity of these views inspired our hybrid Tilt Map design. Our second study compares Tilt Map to: a side-by-side arrangement of the various views; and interactive toggling between views. The results indicate benefits for Tilt Map in user …"
8,Embodied navigation in immersive abstract data visualization: Is overview+ detail or zooming better for 3d scatterplots?,90,2020,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=B2Qy_xAAAAAJ&pagesize=50&citation_for_view=B2Qy_xAAAAAJ:Se3iqnhoufwC,"Abstract data has no natural scale and so interactive data visualizations must provide techniques to allow the user to choose their viewpoint and scale. Such techniques are well established in desktop visualization tools. The two most common techniques are zoom+pan and overview+detail. However, how best to enable the analyst to navigate and view abstract data at different levels of scale in immersive environments has not previously been studied. We report the findings of the first systematic study of immersive navigation techniques for 3D scatterplots. We tested four conditions that represent our best attempt to adapt standard 2D navigation techniques to data visualization in an immersive environment while still providing standard immersive navigation techniques through physical movement and teleportation. We compared room-sized visualization versus a zooming interface, each with and without an overview …"
9,Visualizing and interacting with geospatial networks: A survey and design space,89,2021,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=B2Qy_xAAAAAJ&pagesize=50&citation_for_view=B2Qy_xAAAAAJ:5nxA0vEk-isC,"This paper surveys visualization and interaction techniques for geospatial networks from a total of 95 papers. Geospatial networks are graphs where nodes and links can be associated with geographic locations. Examples can include social networks, trade and migration, as well as traffic and transport networks. Visualizing geospatial networks poses numerous challenges around the integration of both network and geographical information as well as additional information such as node and link attributes, time and uncertainty. Our overview analyses existing techniques along four dimensions: (i) the representation of geographical information, (ii) the representation of network information, (iii) the visual integration of both and (iv) the use of interaction. These four dimensions allow us to discuss techniques with respect to the trade‐offs they make between showing information across all these dimensions and how they …"
10,Scalability of network visualisation from a cognitive load perspective,78,2020,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=B2Qy_xAAAAAJ&pagesize=50&citation_for_view=B2Qy_xAAAAAJ:roLk4NBRz8UC,"Node-link diagrams are widely used to visualise networks. However, even the best network layout algorithms ultimately result in ‘hairball’ visualisations when the graph reaches a certain degree of complexity, requiring simplification through aggregation or interaction (such as filtering) to remain usable. Until now, there has been little data to indicate at what level of complexity node-link diagrams become ineffective or how visual complexity affects cognitive load. To this end, we conducted a controlled study to understand workload limits for a task that requires a detailed understanding of the network topology-finding the shortest path between two nodes. We tested performance on graphs with 25 to 175 nodes with varying density. We collected performance measures (accuracy and response time), subjective feedback, and physiological measures (EEG, pupil dilation, and heart rate variability). To the best of our …"
