Rank,Title,Citations,Year,URL,Description
1,Exact analysis of TTL cache networks,170,2014,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=BHZT068AAAAJ&pagesize=50&citation_for_view=BHZT068AAAAJ:zYLM7Y9cAGgC,"TTL caching models have recently regained significant research interest due to their connection to popular caching policies such as LRU. This paper advances the state-of-the-art analysis of TTL-based cache networks by developing two exact methods with orthogonal generality and computational complexity. The first method generalizes existing results for line networks under renewal requests to the broad class of caching policies whereby evictions are driven by stopping times; in addition to classical policies used in DNS and web caching, our stopping time model captures an emerging new policy implemented in SDN switches and Amazon web services. The second method further generalizes these results to feedforward networks with Markov arrival process (MAP) requests. MAPs are particularly suitable for non-line networks because they are closed not only under superposition and splitting, as known, but also …"
2,Prophet secretary for combinatorial auctions and matroids,164,2018,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=BHZT068AAAAJ&pagesize=50&citation_for_view=BHZT068AAAAJ:8k81kl-MbHgC,"The secretary and the prophet inequality problems are central to the field of Stopping Theory. Recently, there has been a lot of work in generalizing these models to multiple items because of their applications in mechanism design. The most important of these generalizations are to matroids and to combinatorial auctions (extends bipartite matching). Kleinberg-Weinberg [33] and Feldman et al. [17] show that for adversarial arrival order of random variables the optimal prophet inequalities give a 1/2-approximation. For many settings, however, it's conceivable that the arrival order is chosen uniformly at random, akin to the secretary problem. For such a random arrival model, we improve upon the 1/2-approximation and obtain (1 – 1/e)-approximation prophet inequalities for both matroids and combinatorial auctions. This also gives improvements to the results of Yan [45] and Esfandiari et al. [15] who worked in the …"
3,Combinatorial prophet inequalities,122,2017,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=BHZT068AAAAJ&pagesize=50&citation_for_view=BHZT068AAAAJ:Se3iqnhoufwC,"We introduce a novel framework of Prophet Inequalities for combinatorial valuation functions. For a (non-monotone) submodular objective function over an arbitrary matroid feasibility constraint, we give an O(1)-competitive algorithm. For a monotone subadditive objective function over an arbitrary downward- closed feasibility constraint, we give an O(log n log2 r)- competitive algorithm (where r is the cardinality of the largest feasible subset). Inspired by the proof of our subadditive prophet inequality, we also obtain an O(log n · log2 r)-competitive algorithm for the Secretary Problem with a monotone subadditive objective function subject to an arbitrary downward-closed feasibility constraint. Even for the special case of a cardinality feasibility constraint, our algorithm circumvents an lower bound by Bateni, Hajiaghayi, and Zadimoghaddam [10] in a restricted query model. En route to our submodular prophet inequality …"
4,Optimal Online Contention Resolution Schemes via Ex-Ante Prophet Inequalities,110,2018,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=BHZT068AAAAJ&pagesize=50&citation_for_view=BHZT068AAAAJ:aqlVkmm33-oC,"Online contention resolution schemes (OCRSs) were proposed by Feldman, Svensson, and Zenklusen as a generic technique to round a fractional solution in the matroid polytope in an online fashion. It has found applications in several stochastic combinatorial problems where there is a commitment constraint: on seeing the value of a stochastic element, the algorithm has to immediately and irrevocably decide whether to select it while always maintaining an independent set in the matroid. Although OCRSs immediately lead to prophet inequalities, these prophet inequalities are not optimal. Can we instead use prophet inequalities to design optimal OCRSs? We design the first optimal -OCRS for matroids by reducing the problem to designing a matroid prophet inequality where we compare to the stronger benchmark of an ex-ante relaxation. We also introduce and design optimal -random order CRSs for matroids, which are similar to OCRSs but the arrival is chosen uniformly at random."
5,The Price of Information in Combinatorial Optimization,104,2018,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=BHZT068AAAAJ&pagesize=50&citation_for_view=BHZT068AAAAJ:0EnyYjriUFMC,"Consider a network design application where we wish to lay down a minimum-cost spanning tree in a given graph; however, we only have stochastic information about the edge costs. To learn the precise cost of any edge, we have to conduct a study that incurs a price. Our goal is to find a spanning tree while minimizing the disutility, which is the sum of the tree cost and the total price that we spend on the studies. In a different application, each edge gives a stochastic reward value. Our goal is to find a spanning tree while maximizing the utility, which is the tree reward minus the prices that we pay. Situations such as the above two often arise in practice where we wish to find a good solution to an optimization problem, but we start with only some partial knowledge about the parameters of the problem. The missing information can be found only after paying a probing price, which we call the price of information. What …"
6,Algorithms and adaptivity gaps for stochastic probing,88,2016,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=BHZT068AAAAJ&pagesize=50&citation_for_view=BHZT068AAAAJ:YsMSGLbcyi4C,"A stochastic probing problem consists of a set of elements whose values are independent random variables. The algorithm knows the distributions of these variables, but not the actual outcomes. The only way to learn the actual outcomes is to probe these elements. However, there are constraints on which set of elements may be probed. (E.g., we may have to travel in some metric to probe elements but have limited time.) These constraints are called outer constraints. We want to develop an algorithm that picks some set of elements to maximize the (expected) value, subject to the picked subset of elements satisfying some other set of constraints, called the inner constraints. In the past, probing problems were studied for the case when both inner and outer constraints were intersections of matroids; these modeled kidney matching and Bayesian auctions applications. One limitation of past work was their reliance on …"
7,Adaptivity gaps for stochastic probing: Submodular and XOS functions,83,2017,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=BHZT068AAAAJ&pagesize=50&citation_for_view=BHZT068AAAAJ:roLk4NBRz8UC,"Suppose we are given a submodular function f over a set of elements, and we want to maximize its value subject to certain constraints. Good approximation algorithms are known for such problems under both monotone and non-monotone submodular functions. We consider these problems in a stochastic setting, where elements are not all active and we only get value from active elements. Each element e is active independently with some known probability pe, but we don't know the element's status a priori: we find it out only when we probe the element e. Moreover, the sequence of elements we probe must satisfy a given prefix-closed constraint, e.g., matroid, orienteering, deadline, precedence, or any downward-closed constraint. In this paper we study the gap between adaptive and non-adaptive strategies for f being a submodular or a fractionally subadditive (XOS) function. If this gap is small, we can focus on …"
8,The impact of electricity pricing schemes on storage adoption in ontario,62,2012,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=BHZT068AAAAJ&pagesize=50&citation_for_view=BHZT068AAAAJ:u5HHmVD_uO8C,"The Ontario electrical grid is sized to meet peak electricity load. If this worst-case load were reduced, the government and Ontario tax-payers could defer large infrastructural costs, reducing the cost of generation and electricity prices. Storage, batteries that can store energy during times of low load and be discharged during times of peak load, is one proposed solution to reducing peak load. We evaluate the effect of storage on the electrical grid under different customer electricity pricing schemes. We find that for existing pricing schemes, adopting storage is not profitable. Furthermore, as the level of storage adoption in the population increases, pricing schemes that incentivize charging at times known to all homeowners will eventually increase the peak load rather than decrease it. However, in some circumstances particular levels of homeowner storage adoption helps the grid reduce peak load, and thus the grid …"
9,Improved truthful mechanisms for combinatorial auctions with submodular bidders,55,2019,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=BHZT068AAAAJ&pagesize=50&citation_for_view=BHZT068AAAAJ:TQgYirikUcIC,"A longstanding open problem in Algorithmic Mechanism Design is to design computationally-efficient truthful mechanisms for (approximately) maximizing welfare in combinatorial auctions with submodular bidders. The first such mechanism was obtained by Dobzinski, Nisan, and Schapira [STOC'06] who gave an O(log2 m)-approximation where m is the number of items. This problem has been studied extensively since, culminating in an O([EQUATION])-approximation mechanism by Dobzinski [STOC'16]. We present a computationally-efficient truthful mechanism with approximation ratio that improves upon the state-of-the-art by almost an exponential factor. In particular, our mechanism achieves an O((log log m)3)-approximation in expectation, uses only O(n) demand queries, and has universal truthfulness guarantee."
10,How to morph planar graph drawings,55,2017,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=BHZT068AAAAJ&pagesize=50&citation_for_view=BHZT068AAAAJ:ufrVoPGSRksC,"Given an -vertex graph and two straight-line planar drawings of the graph that have the same faces and the same outer face, we show that there is a morph (i.e., a continuous transformation) between the two drawings that preserves straight-line planarity and consists of steps, which we prove is optimal in the worst case. Each step is a unidirectional linear morph, which means that every vertex moves at constant speed along a straight line, and the lines are parallel although the vertex speeds may differ. Thus we provide an efficient version of Cairns' 1944 proof of the existence of straight-line planarity-preserving morphs for triangulated graphs, which required an exponential number of steps."
11,Efficient Approximation Schemes for Stochastic Probing and Selection-Stopping Problems,54,2025,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=BHZT068AAAAJ&pagesize=50&citation_for_view=BHZT068AAAAJ:XiSMed-E-HIC,"In this paper, we propose a general framework to design efficient polynomial-time approximation schemes (EPTASs) for fundamental stochastic combinatorial optimization problems. Technically speaking, our approach relies on presenting tailor-made reductions to a newly introduced multidimensional Santa Claus problem. Even though the single-dimensional version of this problem is already known to be APX-Hard, we prove that an EPTAS can be designed for a constant number of machines and dimensions, which hold for each of our applications. To demonstrate the versatility of our framework, we first study selection-stopping settings to derive an EPTAS for the free-order prophets problem and for its cost-driven generalization, Pandora’s box with commitment. These results constitute the first approximation schemes in the nonadaptive setting and improve on known inefficient polynomial-time approximation …"
12,Random-Order Models,54,2020,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=BHZT068AAAAJ&pagesize=50&citation_for_view=BHZT068AAAAJ:TFP_iSt0sucC,"This chapter introduces the random-order model in online algorithms. In this model, the input is chosen by an adversary, then randomly permuted before being presented to the algorithm. This reshuffling often weakens the power of the adversary and allows for improved algorithmic guarantees. We show such improvements for two broad classes of problems: packing problems where we must pick a constrained set of items to maximize total value, and covering problems where we must satisfy given requirements at minimum total cost. We also discuss how random-order model relates to other stochastic models used for non-worst-case competitive analysis."
13,Online Vector Balancing and Geometric Discrepancy,49,2020,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=BHZT068AAAAJ&pagesize=50&citation_for_view=BHZT068AAAAJ:RHpTSmoSYBkC,"We consider an online vector balancing question where T vectors, chosen from an arbitrary distribution over [−1,1] n , arrive one-by-one and must be immediately given a ± sign. The goal is to keep the discrepancy—the ℓ∞-norm of any signed prefix-sum—as small as possible. A concrete example of this question is the online interval discrepancy problem where T points are sampled one-by-one uniformly in the unit interval [0,1], and the goal is to immediately color them ± such that every sub-interval remains always nearly balanced. As random coloring incurs Ω(T 1/2) discrepancy, while the worst-case offline bounds are Θ(√n log(T/n)) for vector balancing and 1 for interval balancing, a natural question is whether one can (nearly) match the offline bounds in the online setting for these problems. One must utilize the stochasticity as in the worst-case scenario it is known that discrepancy is Ω(T 1/2) for any online …"
14,Online learning with vector costs and bandits with knapsacks,46,2020,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=BHZT068AAAAJ&pagesize=50&citation_for_view=BHZT068AAAAJ:hMod-77fHWUC,"We introduce online learning with vector costs () where in each time step , we need to play an action that incurs an unknown vector cost in . The goal of the online algorithm is to minimize the norm of the sum of its cost vectors. This captures the classical online learning setting for , and is interesting for general because of applications like online scheduling where we want to balance the load between different machines (dimensions). We study in both stochastic and adversarial arrival settings, and give a general procedure to reduce the problem from dimensions to a single dimension. This allows us to use classical online learning algorithms in both full and bandit feedback models to obtain (near) optimal results. In particular, we obtain a single algorithm (up to the choice of learning rate) that gives sublinear regret for stochastic arrivals and a tight competitive ratio for adversarial arrivals. The problem also occurs as a natural subproblem when trying to solve the popular Bandits with Knapsacks (BWK) problem. This connection allows us to use our techniques to obtain (near) optimal results for BWK in both stochastic and adversarial settings. In particular, we obtain a tight competitive ratio algorithm for adversarial BWK, which improves over the competitive ratio algorithm of Immorlica et al.(2019)."
15,Faster matroid intersection,43,2019,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=BHZT068AAAAJ&pagesize=50&citation_for_view=BHZT068AAAAJ:e5wmG9Sq2KIC,"In this paper we consider the classic matroid intersection problem: given two matroids M1 = (V, I1) and M2 = (V, I2) defined over a common ground set V , compute a set S ∈ I1 ∩ I2 of largest possible cardinality, denoted by r. We consider this problem both in the setting where each Mi is accessed through an independence oracle, i.e. a routine which returns whether or not a set S ∈ Ii in Tind time, and the setting where each Mi is accessed through a rank oracle, i.e. a routine which returns the size of the largest independent subset of S in Mi in Trank time. In each setting we provide faster exact and approximate algorithms. Given an independence oracle, we provide an exact O(nr log r · Tind) time algorithm. This improves upon previous best known running times of O(nr1.5·Tind) due to Cunningham O(n2·Tind in 1986 and + n3) due to Lee, Sidford, and Wong in 2015. We also provide two algorithms which compute a (1 …"
16,Improved truthful mechanisms for subadditive combinatorial auctions: Breaking the logarithmic barrier,42,2021,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=BHZT068AAAAJ&pagesize=50&citation_for_view=BHZT068AAAAJ:GnPB-g6toBAC,"We present a computationally-efficient truthful mechanism for combinatorial auctions with subadditive bidders that achieves an -approximation to the maximum welfare in expectation using demand queries; here and are the number of items and bidders, respectively. This breaks the longstanding logarithmic barrier for the problem dating back to the -approximation mechanism of Dobzinski from 2007. Along the way, we also improve and considerably simplify the state-of-the-art mechanisms for submodular bidders."
17,Prophet Inequalities with Linear Correlations and Augmentations,42,2020,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=BHZT068AAAAJ&pagesize=50&citation_for_view=BHZT068AAAAJ:bEWYMUwI8FkC,"In a classical online decision problem, a decision-maker who is trying to maximize her value inspects a sequence of arriving items to learn their values (drawn from known distributions) and decides when to stop the process by taking the current item. The goal is to prove a “prophet inequality”: that she can do approximately as well as a prophet with foreknowledge of all the values. In this work, we investigate this problem when the values are allowed to be correlated. Since nontrivial guarantees are impossible for arbitrary correlations, we consider a natural “linear” correlation structure introduced by Bateni et al. as a generalization of the common-base value model of Chawla et al. A key challenge is that threshold-based algorithms, which are commonly used for prophet inequalities, no longer guarantee good performance for linear correlations. We relate this roadblock to another “augmentations” challenge that might …"
18,The Markovian Price of Information,41,2019,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=BHZT068AAAAJ&pagesize=50&citation_for_view=BHZT068AAAAJ:mVmsd5A6BfQC,"Suppose there are n Markov chains and we need to pay a per-step price to advance them. The “destination” states of the Markov chains contain rewards; however, we can only get rewards for a subset of them that satisfy a combinatorial constraint, e.g., at most k of them, or they are acyclic in an underlying graph. What strategy should we choose to advance the Markov chains if our goal is to maximize the total reward minus the total price that we pay?In this paper we introduce a Markovian price of information model to capture settings such as the above, where the input parameters of a combinatorial optimization problem are given via Markov chains. We design optimal/approximation algorithms that jointly optimize the value of the combinatorial problem and the total paid price. We also study robustness of our algorithms to the distribution parameters and how to handle the commitment constraint.Our work brings …"
19,Approximation Schemes for a Unit-Demand Buyer with Independent Items via Symmetries,39,2019,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=BHZT068AAAAJ&pagesize=50&citation_for_view=BHZT068AAAAJ:dhFuZR0502QC,"We consider a revenue-maximizing seller with n items facing a single buyer. We introduce the notion of symmetric menu complexity of a mechanism, which counts the number of distinct options the buyer may purchase, up to permutations of the items. Our main result is that a mechanism of quasi-polynomial symmetric menu complexity suffices to guarantee a (1 - epsilon )-approximation when the buyer is unit-demand over independent items, even when the value distribution is unbounded, and that this mechanism can be found in quasi-polynomial time. Our key technical result is a polynomial-time, (symmetric) menu-complexity-preserving black-box reduction from achieving a (1 - epsilon )-approximation for unbounded valuations that are subadditive over independent items to achieving a (1 - O(epsilon ))-approximation when the values are bounded (and still subadditive over independent items). We further apply …"
20,Online Matroid Intersection: Beating Half for Random Arrival,38,2017,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=BHZT068AAAAJ&pagesize=50&citation_for_view=BHZT068AAAAJ:eQOLeE2rZwMC,"For two matroids \documentclass[12pt]{minimal} \usepackage{amsmath} \usepackage{wasysym} \usepackage{amsfonts} \usepackage{amssymb} \usepackage{amsbsy} \usepackage{mathrsfs} \usepackage{upgreek} \setlength{\oddsidemargin}{-69pt} \begin{document}$$\mathcal {M}_1$$\end{document} and \documentclass[12pt]{minimal} \usepackage{amsmath} \usepackage{wasysym} \usepackage{amsfonts} \usepackage{amssymb} \usepackage{amsbsy} \usepackage{mathrsfs} \usepackage{upgreek} \setlength{\oddsidemargin}{-69pt} \begin{document}$$\mathcal {M}_2$$\end{document} defined on the same ground set E, the online matroid intersection problem is to design an algorithm that constructs a large common independent set in an online fashion. The algorithm is presented with the ground set elements one-by-one in a uniformly random order. At each step, the …"
21,Online discrepancy minimization for stochastic arrivals,37,2021,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=BHZT068AAAAJ&pagesize=50&citation_for_view=BHZT068AAAAJ:YFjsv_pBGBYC,"In the stochastic online vector balancing problem, vectors v1, v2, …, vT chosen independently from an arbitrary distribution in ℝn arrive one-by-one and must be immediately given a ± sign. The goal is to keep the norm of the discrepancy vector, i.e., the signed prefix-sum, as small as possible for a given target norm. We consider some of the most well-known problems in discrepancy theory in the above online stochastic setting, and give algorithms that match the known offline bounds up to polylog(nT) factors. This substantially generalizes and improves upon the previous results of Bansal, Jiang, Singla, and Sinha (STOC' 20). In particular, for the Komlós problem where ‖vt‖2 ≤ 1 for each t, our algorithm achieves Õ(1) discrepancy with high probability, improving upon the previous Õ(n3/2) bound. For Tusnády's problem of minimizing the discrepancy of axis-aligned boxes, we obtain an O(logd+4T) bound for …"
