Rank,Title,Citations,Year,URL,Description
1,Participatory design for learning,257,2017,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=BXEDBDUAAAAJ&pagesize=50&citation_for_view=BXEDBDUAAAAJ:hFOr9nPyWt4C,"The goal of the learning sciences is to not only understand the phenomena of learning, but also to impact educational practices and enable more effective learning. Our goal is to develop and draw attention to design practices that are relevant to participatory design of learning environments and learning technologies and that directly involve learners, teachers, and other community members in all the different steps of designing. Learner-centered and design-based approaches in the learning sciences are, like participatory design (PD), founded on the principle that target populations are best served when designs address the needs of community members. PD focuses on giving such stakeholders a high degree of agency throughout the design process, emphasizing the cultivation of knowledge communities in which content and expertise are co-created by experts and other participants working in concert. Learning …"
2,Khan academy gamifies computer science,202,2014,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=BXEDBDUAAAAJ&pagesize=50&citation_for_view=BXEDBDUAAAAJ:0EnyYjriUFMC,Gamification is the buzzword for adding gaming elements such as points or badges to learning experiences to make them more engaging and to increase motivation. In this paper we explore how Khan Academy has incorporated gaming elements into its CS learning platform. By mapping the literature on motivational processes to popular games we critically analyze how successful Khan Academy is at gamifying their site.
3,""" Georgia computes!"" improving the computing education pipeline",120,2009,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=BXEDBDUAAAAJ&pagesize=50&citation_for_view=BXEDBDUAAAAJ:u5HHmVD_uO8C,"Computing education suffers from low enrollment and a lack of diversity. Both of these problems require changes across the entire computing education pipeline. The ""Georgia Computes!"" alliance, funded by the National Science Foundation's Broadening Participation in Computing program, seeks to improve the computing education pipeline in Georgia. ""Georgia Computes!"" is having a measurable effect at each stage of the pipeline, but has not yet shown an impact across the whole pipeline."
4,Designing for intersections,110,2018,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=BXEDBDUAAAAJ&pagesize=50&citation_for_view=BXEDBDUAAAAJ:JV2RwH3_ST0C,"In response to the recent call for a more intersectionally-aware field of human-computer interaction (HCI), we aim to operationalize intersectionality for technology design in HCI. We develop our lens of intersectionality by drawing on the work of Rita Kaur Dhamoon, and use it to analyze data collected from a multi-sited ethnographic study of seven low-resource learning environments in the Indian states of Maharashtra, Tamil Nadu, and West Bengal. Our research contributions are threefold. First, we extend conversations in Intersectional HCI by expanding its scope from understanding users to recognizing social processes. Second, we emphasize the importance of factoring in both penalties and privileges when conducting research in underserved contexts. Finally, we engage situated comparisons as a methodology to identify pathways for designing interactive systems across intersectionally diverse environments."
5,"Qualitative data collection technologies: A comparison of instant messaging, email, and phone",108,2012,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=BXEDBDUAAAAJ&pagesize=50&citation_for_view=BXEDBDUAAAAJ:zYLM7Y9cAGgC,"With the growing body of qualitative research on HCI and social computing, it is natural that researchers may choose to conduct that research in a mediated fashion - over telephone or computer networks. In this paper we compare three different qualitative data collection technologies: phone, instant message (IM), and email. We use quantitative analysis techniques to examine the differences between the methods specifically concerning word count and qualitative codes. We find that there are differences between the methods, and that each technology has affordances that impact the data. Although phone interviews contain four times as many words on average as email and IM, we were surprised to discover that there is no significant difference in number of unique qualitative codes expressed between phone and IM."
6,Culture in action: Unpacking capacities to inform assets-based design,103,2020,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=BXEDBDUAAAAJ&pagesize=50&citation_for_view=BXEDBDUAAAAJ:2P1L_qKh6hAC,"The field of Human-Computer Interaction (HCI) aims at securing a lasting impact for technology-based interventions in the context of social inequities. Increasingly, HCI scholars are proposing assets-based design as an effective approach towards this issue. Rather than starting from people's needs and deficits, this approach posits that design should start from a deep understanding of people's assets. A pending issue, however, is how to account for the situated nature of assets; that is, how to decide which asset to leverage and for what design purpose. Drawing from cultural sociology and shifting the emphasis from assets to capacities, we propose Swidler's theory of culture-in-action as an analytical lens for unpacking the complex relationship between capacities, goals, and structural limitations. Leveraging findings from a Participatory Design engagement with 35 Latino immigrant parents for envisioning parent …"
7,Saving face while geeking out: Video game testing as a justification for learning computer science,98,2014,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=BXEDBDUAAAAJ&pagesize=50&citation_for_view=BXEDBDUAAAAJ:5nxA0vEk-isC,"Why would individuals who are capable of learning opt not to? Learning is important for stability and success. It would seem rational that students in groups that are frequently underrepresented or marginalized would be motivated to learn. However, negotiation of multiple identities and self-beliefs can impact motivations to learn. For example, young African American males frequently adopt a “cool pose” in their approach to education. They maintain that they do not care and will not try to be a part of the existing educational system. To better understand these issues, we studied African American males in the Glitch Game Testers program. High school students in the Glitch program worked as paid game testers and took workshops in computer science. More than 65% of the participants went on to study computing after high school. We found that these students persisted with education and computing because they …"
8,Learning in context: Digital games and young black men,92,2008,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=BXEDBDUAAAAJ&pagesize=50&citation_for_view=BXEDBDUAAAAJ:u-x6o8ySG0sC,"The authors present an exploratory study of Black middle school boys who play digital games. The study was conducted through observations and interviews with Black American middle school boys about digital games as an informal learning experience. The first goal of the study is to understand the cultural context that Black students from economically disadvantaged inner-city neighborhoods bring to playing digital games. The second goal of the study is to examine how this cultural context affects the learning opportunities with games. Third, the authors examine how differences in game play are potential factors in the discrepancy between White male gamers and Black male gamers in science, technology, engineering, and mathematics. Finally, the authors address several opportunities within the field of informal learning to augment game play by bridging the learning that takes place within game play to the real …"
9,African American men constructing computing identity,85,2011,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=BXEDBDUAAAAJ&pagesize=50&citation_for_view=BXEDBDUAAAAJ:UeHWp8X0CEIC,"Many young African American males have a passion for video games, but they don't often translate that passion into learning about computing. Part of the problem is that they do not identify with computing as a social norm within their peer group. This disidentification with computing can negatively impact academic performance and limit opportunities for upward mobility. We developed a job training program called Glitch Game Testers in which young African American men are trained to 'Sbreak open the black box' of their game consoles to learn about computing. Perceptions of peers' technical competency were measured before and after the summer 2010 program. Results showed that participants were more likely to view their peers as technical resources and their overall access to technical resources increased. Broader implications for motivating technology adoption in HCI are discussed."
10,From needs to strengths: Operationalizing an assets-based design of technology,77,2020,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=BXEDBDUAAAAJ&pagesize=50&citation_for_view=BXEDBDUAAAAJ:4OULZ7Gr8RgC,"Guided by a human-centered design focus on users' needs, Computer-Supported Collaborative Work (CSCW) research and practice have increasingly explored how to address the multiple inequities affecting historically marginalized groups. A growing body of CSCW and Human-Computer Interaction (HCI) research, building upon education and community development literature, argues that centering on needs dismisses marginalized users' capacity for driving change. Needs-based views often lead to designs for the ""here and now,'' further marginalizing populations and perpetuating stereotypes. In contrast, an assets-based approach that puts users' knowledge, strengths, and capacities---\textitassets ---at the core of design can better promote sustained impact. Translating assets into meaningful designs that interact with intersecting systems of oppression, however, raises critical questions:What are assets …"
11,Design in the HCI classroom: Setting a research agenda,66,2019,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=BXEDBDUAAAAJ&pagesize=50&citation_for_view=BXEDBDUAAAAJ:NaGl4SEjCO4C,"Interaction design is playing an increasingly prominent role in computing research, while professional user experience roles expand. These forces drive the demand for more de- sign instruction in HCI classrooms. In this paper, we distill the popular approaches to teaching design to undergraduate and graduate students of HCI. Through a review of existing research on design pedagogy, an international survey of 61 HCI educators, and an analysis of popular textbooks, we ex- plore the prominent disciplinary perspectives that shape design education in the HCI classroom. We draw on our analyses to discuss the differences we see in forms of design taught, approaches to adapting design instruction in computing-based courses, and the tensions faced by instructors of these classes. We conclude by arguing for the importance of pedagogical research on design instruction as a vital and foundational area of inquiry in …"
12,Designing for democracy in education: Participatory design and the learning sciences,64,2014,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=BXEDBDUAAAAJ&pagesize=50&citation_for_view=BXEDBDUAAAAJ:KlAtU1dfN6UC,"Within the learning sciences the concept of design is important in developing learning environments and conducting research. We propose the field of learning sciences seek better understandings of design from the field of design. In this paper we focus on Participatory Design (PD), where goals for real world impact and democratic process resonate with goals of the learning science. Our reflection on applying PD in the learning sciences suggest a more democratic and effective methods for objectives such as: defining research and learning goals, practices that consider multiple participants in design, practices for establishing participatory living labs for design research, developing infrastructure for sustainable participation, and using PD as a way to seek transferable rather than generalizable outcomes. Finally, we reflect on how PD might help us answer some of the issues with interest driven learning that motivated our work."
13,Gaming masculinity,62,2016,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=BXEDBDUAAAAJ&pagesize=50&citation_for_view=BXEDBDUAAAAJ:QIV2ME_5wuYC,"When talking about who plays video games, there is often a type of gamer that is held up as the traditional video gamer. These are generally people that openly identify as “gamers” or “hardcore gamers”. The stereotype of these gamers is that they are young, male, White or Asian, socially awkward, and willing to devote large amounts of time to playing complex first person shooter, roleplaying or strategy video games. Yet, the majority of work on gender in game studies are focused on women and girls (Carr, 2014; Jenkins, 1998). While much of this work is committed toward creating greater social equality, unfortunately this focus positions women and girls as the “other” in gaming. By directing critical attention to masculinity, and the male who identifies as a gamer, we place them outside of the “normal” gamer identity and see them in a pantheon identities among those who play video games–allowing for others who game to be seen as a part of gaming culture rather than aberrant identities in the world of video games.In this chapter, I examine the ways in which masculinity is performed among a group of people whom self-identify as white male gamers. These men participated in interviews about their play practices, how they socialized around games, and how they interpreted cheating in games. In many ways these typically young males are practicing masculinity in a traditional way since gaming, for them, is often socially removed from feminine influences. However, older men are not part of this socialization; they are not present among these young gamer communities as"
14,They can't find us: the search for informal CS education,62,2014,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=BXEDBDUAAAAJ&pagesize=50&citation_for_view=BXEDBDUAAAAJ:hqOjcs7Dif8C,"In this study we found that search terms that would likely be used by parents to find out-of-school computer science (CS) learning opportunities for their children yielded remarkably unproductive results. This is important to the field of CS education because, to date, there is no empirical evidence that demonstrates how a lack of CS vocabulary is a barrier to accessing informal CS learning opportunities. This study focuses on the experience of parents who do not have the privilege of education and technical experience when searching for learning opportunities for their children. The findings presented will demonstrate that issues of access to CS education go beyond technical means, and include ability to conduct suitable searches and identify appropriate computational learning tools. Out-of-school learning is an important factor in who is motivated and prepared to study computer science in college. It is likely that …"
15,Reflections on assets-based design: A journey towards a collective of assets-based thinkers,61,2021,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=BXEDBDUAAAAJ&pagesize=50&citation_for_view=BXEDBDUAAAAJ:bFI3QPDXJZMC,"The field of Computer-Supported Cooperative Work (CSCW) has long recognized a socio-technical gap complicating the design of technologies that can sustainably meet social needs. In response, a growing body of research advocates for assets-based design, an approach that seeks to build upon what the individuals and community already have. The emphasis on positioning assets rather than needs at the center of the process can complicate designers' decisions on what activities to foster, how to conduct them, and what outcomes to expect. In this paper, we reflect on two different assets-based design endeavors with vulnerable populations. Our reflections present assets-based design as an ongoing process that prioritizes the formation and evolution of a collective of assets-based thinkers who continually learn about their assets and ways to use them to attain desirable change. From that reflection, we …"
