Rank,Title,Citations,Year,URL,Description
1,Optimizing statistical machine translation for text simplification,866,2016,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=BfOdG-oAAAAJ&pagesize=50&citation_for_view=BfOdG-oAAAAJ:YOwf2qJgpHMC,"Most recent sentence simplification systems use basic machine translation models to learn lexical and syntactic paraphrases from a manually simplified parallel corpus. These methods are limited by the quality and quantity of manually simplified corpora, which are expensive to build. In this paper, we conduct an in-depth adaptation of statistical machine translation to perform text simplification, taking advantage of large-scale paraphrases learned from bilingual texts and a small amount of manual simplifications with multiple references. Our work is the first to design automatic metrics that are effective for tuning and evaluating simplification systems, which will facilitate iterative development for this task."
2,Problems in current text simplification research: New data can help,620,2015,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=BfOdG-oAAAAJ&pagesize=50&citation_for_view=BfOdG-oAAAAJ:3fE2CSJIrl8C,"Simple Wikipedia has dominated simplification research in the past 5 years. In this opinion paper, we argue that focusing on Wikipedia limits simplification research. We back up our arguments with corpus analysis and by highlighting statements that other researchers have made in the simplification literature. We introduce a new simplification dataset that is a significant improvement over Simple Wikipedia, and present a novel quantitative-comparative approach to study the quality of simplification data resources."
3,Having beer after prayer? measuring cultural bias in large language models,335,2024,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=BfOdG-oAAAAJ&pagesize=50&citation_for_view=BfOdG-oAAAAJ:ye4kPcJQO24C,"As the reach of large language models (LMs) expands globally, their ability to cater to diverse cultural contexts becomes crucial. Despite advancements in multilingual capabilities, models are not designed with appropriate cultural nuances. In this paper, we show that multilingual and Arabic monolingual LMs exhibit bias towards entities associated with Western culture. We introduce CAMeL, a novel resource of 628 naturally-occurring prompts and 20,368 entities spanning eight types that contrast Arab and Western cultures. CAMeL provides a foundation for measuring cultural biases in LMs through both extrinsic and intrinsic evaluations. Using CAMeL, we examine the cross-cultural performance in Arabic of 16 different LMs on tasks such as story generation, NER, and sentiment analysis, where we find concerning cases of stereotyping and cultural unfairness. We further test their text-infilling performance, revealing the incapability of appropriate adaptation to Arab cultural contexts. Finally, we analyze 6 Arabic pre-training corpora and find that commonly used sources such as Wikipedia may not be best suited to build culturally aware LMs, if used as they are without adjustment. We will make CAMeL publicly available at: https://github. com/tareknaous/camel"
4,Shared tasks of the 2015 workshop on noisy user-generated text: Twitter lexical normalization and named entity recognition,277,2015,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=BfOdG-oAAAAJ&pagesize=50&citation_for_view=BfOdG-oAAAAJ:MXK_kJrjxJIC,"This paper presents the results of the two shared tasks associated with W-NUT 2015:(1) a text normalization task with 10 participants; and (2) a named entity tagging task with 8 participants. We outline the task, annotation process and dataset statistics, and provide a high-level overview of the participating systems for each shared task."
5,Paraphrasing for style,240,2012,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=BfOdG-oAAAAJ&pagesize=50&citation_for_view=BfOdG-oAAAAJ:WF5omc3nYNoC,"We present initial investigation into the task of paraphrasing language while targeting a particular writing style. The plays of William Shakespeare and their modern translations are used as a testbed for evaluating paraphrase systems targeting a specific style of writing. We show that even with a relatively small amount of parallel training data, it is possible to learn paraphrase models which capture stylistic phenomena, and these models outperform baselines based on dictionaries and out-of-domain parallel text. In addition we present an initial investigation into automatic evaluation metrics for paraphrasing writing style. To the best of our knowledge this is the first work to investigate the task of paraphrasing text with the goal of targeting a specific style of writing."
6,"The gem benchmark: Natural language generation, its evaluation and metrics",228,2021,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=BfOdG-oAAAAJ&pagesize=50&citation_for_view=BfOdG-oAAAAJ:sSrBHYA8nusC,"We introduce GEM, a living benchmark for natural language Generation (NLG), its Evaluation, and Metrics. Measuring progress in NLG relies on a constantly evolving ecosystem of automated metrics, datasets, and human evaluation standards. Due to this moving target, new models often still evaluate on divergent anglo-centric corpora with well-established, but flawed, metrics. This disconnect makes it challenging to identify the limitations of current models and opportunities for progress. Addressing this limitation, GEM provides an environment in which models can easily be applied to a wide set of tasks and in which evaluation strategies can be tested. Regular updates to the benchmark will help NLG research become more multilingual and evolve the challenge alongside models. This paper serves as the description of the data for the 2021 shared task at the associated GEM Workshop."
7,Neural CRF model for sentence alignment in text simplification,209,2020,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=BfOdG-oAAAAJ&pagesize=50&citation_for_view=BfOdG-oAAAAJ:OU6Ihb5iCvQC,"The success of a text simplification system heavily depends on the quality and quantity of complex-simple sentence pairs in the training corpus, which are extracted by aligning sentences between parallel articles. To evaluate and improve sentence alignment quality, we create two manually annotated sentence-aligned datasets from two commonly used text simplification corpora, Newsela and Wikipedia. We propose a novel neural CRF alignment model which not only leverages the sequential nature of sentences in parallel documents but also utilizes a neural sentence pair model to capture semantic similarity. Experiments demonstrate that our proposed approach outperforms all the previous work on monolingual sentence alignment task by more than 5 points in F1. We apply our CRF aligner to construct two new text simplification datasets, Newsela-Auto and Wiki-Auto, which are much larger and of better quality compared to the existing datasets. A Transformer-based seq2seq model trained on our datasets establishes a new state-of-the-art for text simplification in both automatic and human evaluation."
8,A Continuously Growing Dataset of Sentential Paraphrases,201,2017,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=BfOdG-oAAAAJ&pagesize=50&citation_for_view=BfOdG-oAAAAJ:bEWYMUwI8FkC,"A major challenge in paraphrase research is the lack of parallel corpora. In this paper, we present a new method to collect large-scale sentential paraphrases from Twitter by linking tweets through shared URLs. The main advantage of our method is its simplicity, as it gets rid of the classifier or human in the loop needed to select data before annotation and subsequent application of paraphrase identification algorithms in the previous work. We present the largest human-labeled paraphrase corpus to date of 51,524 sentence pairs and the first cross-domain benchmarking for automatic paraphrase identification. In addition, we show that more than 30,000 new sentential paraphrases can be easily and continuously captured every month at~ 70% precision, and demonstrate their utility for downstream NLP tasks through phrasal paraphrase extraction. We make our code and data freely available."
9,Semeval-2015 task 1: Paraphrase and semantic similarity in twitter (pit),201,2015,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=BfOdG-oAAAAJ&pagesize=50&citation_for_view=BfOdG-oAAAAJ:8k81kl-MbHgC,"In this shared task, we present evaluations on two related tasks Paraphrase Identification (PI) and Semantic Textual Similarity (SS) systems for the Twitter data. Given a pair of sentences, participants are asked to produce a binary yes/no judgement or a graded score to measure their semantic equivalence. The task features a newly constructed Twitter Paraphrase Corpus that contains 18,762 sentence pairs. A total of 19 teams participated, submitting 36 runs to the PI task and 26 runs to the SS task. The evaluation shows encouraging results and open challenges for future research. The best systems scored a F1-measure of 0.674 for the PI task and a Pearson correlation of 0.619 for the SS task respectively, comparing to a strong baseline using logistic regression model of 0.589 F1 and 0.511 Pearson; while the best SS systems can often reach> 0.80 Pearson on well-formed text. This shared task also provides insights into the relation between the PI and SS tasks and suggests the importance to bringing these two research areas together. We make all the data, baseline systems and evaluation scripts publicly available. 1"
10,"Neural Network Models for Paraphrase Identification, Semantic Textual Similarity, Natural Language Inference, and Question Answering",178,2018,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=BfOdG-oAAAAJ&pagesize=50&citation_for_view=BfOdG-oAAAAJ:NMxIlDl6LWMC,"In this paper, we analyze several neural network designs (and their variations) for sentence pair modeling and compare their performance extensively across eight datasets, including paraphrase identification, semantic textual similarity, natural language inference, and question answering tasks. Although most of these models have claimed state-of-the-art performance, the original papers often reported on only one or two selected datasets. We provide a systematic study and show that (i) encoding contextual information by LSTM and inter-sentence interactions are critical,(ii) Tree-LSTM does not help as much as previously claimed but surprisingly improves performance on Twitter datasets,(iii) the Enhanced Sequential Inference Model is the best so far for larger datasets, while the Pairwise Word Interaction Model achieves the best performance when less data is available. We release our implementations as an open-source toolkit."
