Rank,Title,Citations,Year,URL,Description
1,Crystallographic texture evolution in bulk deformation processing of FCC metals,1608,1992,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=C2k6mYwAAAAJ&pagesize=50&citation_for_view=C2k6mYwAAAAJ:u5HHmVD_uO8C,"A Taylor-type polycrystalline model, together with a new fully-implicit time-integration scheme has been developed and implemented in a finite element program to simulate the evolution of crystallographic texture during bulk deformation processing of face centered cubic metals deforming by crystallographic slip. The constitutive equations include a new equation for the evolution of slip system deformation resistance which leads to macroscopic strain hardening behavior that is in good accord with experiments performed on OFHC copper. The good predictive capabilities of the constitutive equations and the time-integration procedure for simulating the stress-strain behavior and the evolution of texture under both homogeneous and non-homogeneous deformation conditions are demonstrated by comparing numerical simulations against experimental measurements in simple shear and a simple plane-strain forging …"
2,Incorporation of deformation twinning in crystal plasticity models,772,1998,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=C2k6mYwAAAAJ&pagesize=50&citation_for_view=C2k6mYwAAAAJ:qjMakFHDy7sC,"A new constitutive framework, together with an efficient time-integration scheme, is presented for incorporating the crystallography of deformation twinning in polycrystal plasticity models. Previous approaches to this problem have required generation of new crystal orientations to reflect the orientations in the twinned regions or implementation of “volume fraction transfer” schemes, both of which require an update of the crystal orientations at the end of each time step in the simulation of the deformation process. In the present formulation, all calculations are performed in a relaxed configuration in which the lattice orientation of the twinned and the untwinned regions are pre-defined based on the initial lattice orientation of the crystal. The validity of the proposed constitutive framework and the time-integration procedures has been demonstrated through comparisons of predicted rolling textures in low stacking fault …"
3,Deformation twinning in AZ31: Influence on strain hardening and texture evolution,744,2010,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=C2k6mYwAAAAJ&pagesize=50&citation_for_view=C2k6mYwAAAAJ:_Qo2XoVZTnwC,"This paper describes the main results from an experimental investigation into the consequences of deformation twinning in AZ31 on various aspects of plastic deformation, including the anisotropic strain-hardening rates, the tension/compression yield asymmetry, and the evolution of crystallographic texture. It was seen that AZ31 exhibited unusually high normalized strain-hardening rates compared to α-Ti that occurred beyond the strain levels where extension twins have completely altered the underlying texture. This observation challenges the validity of the generally accepted notion in the current literature that the high strain-hardening rates in AZ31 are directly caused by extension twins. It is postulated here that the thin contraction twins are very effective in strain hardening of the alloy by restricting the slip length associated with pyramidal 〈c+a〉 slip. This new hypothesis is able to explain the major experimental …"
4,Influence of grain size and stacking-fault energy on deformation twinning in fcc metals,612,1999,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=C2k6mYwAAAAJ&pagesize=50&citation_for_view=C2k6mYwAAAAJ:IjCSPb-OGe4C,"This article investigates the microstructural variables influencing the stress required to produce deformation twins in polycrystalline fcc metals. Classical studies on fcc single crystals have concluded that the deformation-twinning stress has a parabolic dependence on the stacking-fault energy (SFE) of the metal. In this article, new data are presented, indicating that the SFE has only an indirect effect on the twinning stress. The results show that the dislocation density and the homogeneous slip length are the most relevant microstructural variables that directly influence the twinning stress in the polycrystal. A new criterion for the initiation of deformation twinning in polycrystalline fcc metals at low homologous temperatures has been proposed as (σtw−σ0)/G=C(d/b)A, where σtw is the deformation twinning stress, σ0 is the initial yield strength, G is the shear modulus, d is the average homogeneous slip length, b is the …"
5,Strain hardening of titanium: role of deformation twinning,586,2003,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=C2k6mYwAAAAJ&pagesize=50&citation_for_view=C2k6mYwAAAAJ:W7OEmFMy1HYC,"The purpose of this study is to investigate the role of deformation twinning in the strain-hardening behavior of high purity, polycrystalline α-titanium in a number of different deformation modes. Constant strain rate tests were conducted on this material in simple compression, plane-strain compression and simple shear, and the true stress (σ)-true strain (ε) responses were documented. From the measured data, the strain hardening rates were numerically computed, normalized by the shear modulus (G), and plotted against both normalized stress and ε. These normalized strain hardening plots exhibited three distinct stages of strain hardening that were similar to those observed in previous studies on low stacking fault energy fcc metals (e.g. 70/30 brass) in which deformation twinning has been known to play an important role. Optical microscopy and Orientation imaging microscopy were conducted on samples …"
6,Polycrystalline plasticity and the evolution of crystallographic texture in FCC metals,569,1992,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=C2k6mYwAAAAJ&pagesize=50&citation_for_view=C2k6mYwAAAAJ:d1gkVwhDpl0C,"A Taylor-type model for large deformation polycrystalline plasticity is formulated and evaluated by comparing the predictions for the evolution of crystallographic texture and the stress-strain response in simple compression and tension, plane strain compression, and simple shear of initially ‘isotropic’ OFHC copper against (a) corresponding experiments, and (b) finite element simulations of these experiments using a multitude of single crystals with accounting for the satisfaction of both compatibility and equilibrium. Our experiments and calculations show that the Taylor-type model is in reasonable first-order agreement with the experiments for the evolution of texture and the overall stress-strain response of single-phase copper. The results of the finite element calculations are in much better agreement with experiments, but at a substantially higher computational expense."
7,Strain hardening regimes and microstructural evolution during large strain compression of low stacking fault energy fcc alloys that form deformation twins,541,1997,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=C2k6mYwAAAAJ&pagesize=50&citation_for_view=C2k6mYwAAAAJ:zYLM7Y9cAGgC,"Constant true strain rate simple compression tests were conducted on annealed, polycrystalline samples of α-brass and MP35N, and the evolution of the true stress (σ)-true strain (ε) response was documented. From these data, the strain hardening rate was numerically computed, normalized with shear modulus (G), and plotted against both (σ − σ0)/G (σ0 being the initial yield strength of the alloy) and ε. Such normalized plots for α-brass and MP35N were found to be almost identical to each other, and revealed four distinct stages of strain hardening: stage A, with a steadily decreasing strain hardening rate up to a true strain of about −0.08; stage B, with an almost constant strain hardening rate up to a true strain of about −0.2; stage C, with a steadily decreasing strain hardening rate up to a true strain of about −0.55; and a final stage D, again with an almost constant strain hardening rate. Optical microscopy and …"
8,Microstructure sensitive design for performance optimization,509,2010,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=C2k6mYwAAAAJ&pagesize=50&citation_for_view=C2k6mYwAAAAJ:RHpTSmoSYBkC,"The accelerating rate at which new materials are appearing, and transforming the engineering world, only serves to emphasize the vast potential for novel material structure, and related performance. Microstructure-sensitive design (MSD) aims at providing inverse design methodologies that facilitate design of material internal structure for performance optimization. Spectral methods are applied across the structure, property and processing design spaces in order to compress the computational requirements for linkages between the spaces and enable inverse design. Research has focused mainly on anisotropic, polycrystalline materials, where control of local crystal orientation can result in a broad range of property combinations. This review presents the MSD framework in the context of both the engineering advances that have led to its creation, and those that complement or provide alternative methods for design …"
9,Key computational modeling issues in integrated computational materials engineering,499,2013,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=C2k6mYwAAAAJ&pagesize=50&citation_for_view=C2k6mYwAAAAJ:URolC5Kub84C,"Designing materials for targeted performance requirements as required in Integrated Computational Materials Engineering (ICME) demands a combined strategy of bottom–up and top–down modeling and simulation which treats various levels of hierarchical material structure as a mathematical representation, with infusion of systems engineering and informatics to deal with differing model degrees of freedom and uncertainty. Moreover, with time, the classical materials selection approach is becoming generalized to address concurrent design of microstructure or mesostructure to satisfy product-level performance requirements. Computational materials science and multiscale mechanics models play key roles in evaluating performance metrics necessary to support materials design. The interplay of systems-based design of materials with multiscale modeling methodologies is at the core of materials design. In high …"
10,Damage Mechanisms around Hardness Indentations in Ti3SiC2,492,1997,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=C2k6mYwAAAAJ&pagesize=50&citation_for_view=C2k6mYwAAAAJ:u-x6o8ySG0sC,"Microstructural observations of damage around indentations in Ti3SiC2 are presented. The Vickers hardness decreased with increasing load and asymptotically approached 4 GPa at the highest loads. No indentation cracks were observed even at loads as high as 300 N. Preliminary strength versus indentation plots indicate that, at least for the large‐grained material (is approximately100 μm) studied here, Ti3SiC2 is a damage‐tolerant material able to contain the extent of microdamage to a small area around the indent. The following multiple energy‐absorbing mechanisms have been identified from scanning electron micrographs of areas in the vicinity of the indentation: diffuse microcracking, delamination, crack deflection, grain push‐out, grain pull‐out, and the buckling of individual grains."
11,"Processing and Mechanical Properties of Ti3SiC2: II, Effect of Grain Size and Deformation Temperature",487,1999,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=C2k6mYwAAAAJ&pagesize=50&citation_for_view=C2k6mYwAAAAJ:UeHWp8X0CEIC,"In this article, the second part of a two‐part study, we report on the mechanical behavior of Ti3SiC2. In particular, we have evaluated the mechanical response of fine‐grained (3–5 μm) Ti3SiC2 in simple compression and flexure tests, and we have compared the results with those of coarse‐grained (100–200 μm) Ti3SiC2. These tests have been conducted in the 25°–1300°C temperature range. At ambient temperature, the fine‐ and coarse‐grained microstructures exhibit excellent damage‐tolerant properties. In both cases, failure is brittle up to ∼1200°C. At 1300°C, both microstructures exhibit plastic deformation (>20%) in flexure and compression. The fine‐grained material exhibits higher strength compared with the coarse‐grained material at all temperatures. Although the coarse‐grained material is not susceptible to thermal shock (up to 1400°C), the fine‐grained material thermally shocks gradually between 750 …"
12,A review of the application of machine learning and data mining approaches in continuum materials mechanics,475,2019,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=C2k6mYwAAAAJ&pagesize=50&citation_for_view=C2k6mYwAAAAJ:PflRiyi98mgC,"Machine learning tools represent key enablers for empowering material scientists and engineers to accelerate the development of novel materials, processes and techniques. One of the aims of using such approaches in the field of materials science is to achieve high-throughput identification and quantification of essential features along the process-structure-property-performance chain. In this contribution, machine learning and statistical learning approaches are reviewed in terms of their successful application to specific problems in the field of continuum materials mechanics. They are categorized with respect to their type of task designated to be either descriptive, predictive or prescriptive; thus to ultimately achieve identification, prediction or even optimization of essential characteristics. The respective choice of the most appropriate machine learning approach highly depends on the specific use-case, type of material, kind of data involved, spatial and temporal scales, formats, and desired knowledge gain as well as affordable computational costs. Different examples are reviewed involving case-by-case dependent application of different types of artificial neural networks and other data-driven approaches such as support vector machines, decision trees and random forests as well as Bayesian learning, and model order reduction procedures such as principal component analysis, among others. These techniques are applied to accelerate the identification of material parameters or salient features for materials characterization, to support rapid design and optimization of novel materials or manufacturing methods, to improve and correct complex …"
