Rank,Title,Citations,Year,URL,Description
1,Accretion onto intermediate-mass black holes regulated by radiative feedback. I. Parametric study for spherically symmetric accretion,169,2011,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CpVsPWEAAAAJ&pagesize=50&citation_for_view=CpVsPWEAAAAJ:zYLM7Y9cAGgC,"We study the effect of radiative feedback on accretion onto intermediate-mass black holes (IMBHs) using the hydrodynamical code ZEUS-MP with a radiative transfer algorithm. In this paper, the first of a series, we assume accretion from a uniformly dense gas with zero angular momentum and extremely low metallicity. Our one-dimensional (1D) and 2D simulations explore how X-ray and UV radiation emitted near the black hole regulates the gas supply from large scales. Both 1D and 2D simulations show similar accretion rates and periods between peaks in accretion, meaning that the hydro-instabilities that develop in 2D simulations do not affect the mean flow properties. We present a suite of simulations exploring accretion across a large parameter space, including different radiative efficiencies and radiation spectra, black hole masses, density, and temperature, T∞, of the neighboring gas. In agreement with …"
2,Accretion onto black holes from large scales regulated by radiative feedback. II. Growth rate and duty cycle,144,2012,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CpVsPWEAAAAJ&pagesize=50&citation_for_view=CpVsPWEAAAAJ:Tyk-4Ss8FVUC,"This paper, the second in a series on radiation-regulated accretion onto black holes (BHs) from galactic scales, focuses on the effects of radiation pressure and angular momentum of the accreting gas. We simulate accretion onto intermediate-mass black holes, but we derive general scaling relationships that are solutions of the Bondi problem with radiation feedback valid for any mass of the BH Mbh. Thermal pressure of the ionized sphere around the BH regulates the accretion rate, producing periodic and short-lived luminosity bursts. We find that for ambient gas densities exceeding ncrH, ∞∝M−1bh, the period of the oscillations decreases rapidly and the duty cycle increases from 6%, in agreement with observations of the fraction of active galactic nuclei at z ∼ 3, to 50%. The mean accretion rate becomes Eddington limited for nH, ∞ > nEddH, ∞ ≃ ncrH, ∞T∞, 4−1 where T∞, 4 is the gas temperature in units of …"
3,Accretion onto black holes from large scales regulated by radiative feedback. III. Enhanced luminosity of intermediate-mass black holes moving at supersonic speeds,91,2013,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CpVsPWEAAAAJ&pagesize=50&citation_for_view=CpVsPWEAAAAJ:u5HHmVD_uO8C,"In this third paper of a series, we study the growth and luminosity of black holes (BHs) in motion with respect to their surrounding medium. We run a large set of two-dimensional axis-symmetric simulations to explore a large parameter space of initial conditions and formulate an analytical model for the accretion. Contrary to the case without radiation feedback, the accretion rate increases with increasing BH velocity vbh reaching a maximum value at vbh = 2cs, in ∼ 50 km s−1, where cs, in is the sound speed inside the “cometary-shaped” H ii region around the BH, before decreasing as when the ionization front (I-front) becomes R-type (rarefied) and the accretion rate approaches the classical Bondi–Hoyle–Lyttleton solution. The increase of the accretion rate with vbh is produced by the formation of a D-type (dense) I-front preceded by a standing bow shock that reduces the downstream gas velocity to transonic …"
4,Gaseous dynamical friction in presence of black hole radiative feedback,56,2017,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CpVsPWEAAAAJ&pagesize=50&citation_for_view=CpVsPWEAAAAJ:u-x6o8ySG0sC,"Dynamical friction is thought to be a principal mechanism responsible for orbital evolution of massive black holes (MBHs) in the aftermath of galactic mergers and an important channel for formation of gravitationally bound MBH binaries. We use 2D radiative hydrodynamic simulations to investigate the efficiency of dynamical friction in the presence of radiative feedback from an MBH moving through a uniform density gas. We find that ionizing radiation that emerges from the innermost parts of the MBH’s accretion flow strongly affects the dynamical friction wake and renders dynamical friction inefficient for a range of physical scenarios. MBHs in this regime tend to experience positive net acceleration, meaning that they speed up, contrary to the expectations for gaseous dynamical friction in absence of radiative feedback. The magnitude of this acceleration is however negligibly small and should not significantly alter the …"
5,Bulge-driven fueling of seed black holes,40,2016,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CpVsPWEAAAAJ&pagesize=50&citation_for_view=CpVsPWEAAAAJ:UeHWp8X0CEIC,"We examine radiation-regulated accretion onto intermediate-mass and massive black holes (BHs) embedded in a bulge component. Using spherically symmetric one-dimensional radiation-hydrodynamics simulations, we track the growth of BHs accreting from a cold, neutral gas reservoir with temperature <?MML T ∞ = 10 4 ?> K. We find that the accretion rate of BHs embedded in bulges is proportional to <?MML r B,eff / r B ?> , where rB,eff is the increased effective Bondi radius that includes the gravitational potential of the bulge, and rB is the Bondi radius of the BH. The radiative feedback from the BH suppresses the cold accretion rate to ∼1% of the Bondi rate when a bulge is not considered. However, we find that the BH fueling rate increases rapidly when the bulge mass Mbulge is greater than the critical value of ∼106 M☉ and is proportional to <?MML r B,eff / r B ≃ M bulge …"
6,The interplay of kinetic and radiative feedback in galaxy clusters,31,2019,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CpVsPWEAAAAJ&pagesize=50&citation_for_view=CpVsPWEAAAAJ:0EnyYjriUFMC,"Recent observations provide evidence that some cool-core clusters host quasars in their brightest cluster galaxies (BCGs). Motivated by these findings, we use 3D radiation-hydrodynamic simulations with the code Enzo to explore the joint role of kinetic and radiative feedback from supermassive black holes (SMBHs) in BCGs. We implement kinetic feedback as subrelativistic plasma outflows and model radiative feedback using ray-tracing radiative transfer or thermal energy injection. In our simulations, the central SMBH transitions between the radiatively efficient and radiatively inefficient states on timescales of a few gigayears, as a function of its accretion rate. The timescale for this transition depends primarily on the fraction of power allocated to each feedback mode, and to a lesser degree on the overall feedback luminosity of the active galactic nucleus (AGN). Specifically, we find that (a) kinetic feedback must be …"
7,Dusty Gas Accretion onto Massive Black Holes and Infrared Diagnosis of the Eddington Ratio,29,2017,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CpVsPWEAAAAJ&pagesize=50&citation_for_view=CpVsPWEAAAAJ:hqOjcs7Dif8C,"Evidence for dust around supermassive black holes (SMBHs) in the early universe is strongly suggested by recent observations. However, the accretion mechanism of SMBHs in dusty gas is not well understood yet. We investigate the growth of intermediate-mass black holes (IMBHs) of in dusty clouds by using one-dimensional radiative-hydrodynamics simulations. We find that the accretion of dusty gas onto IMBHs proceeds gently with small fluctuations of the accretion rate, whereas that of pristine gas causes more violent periodic bursts. At dust-to-gas mass ratios similar to the solar neighborhood, the time-averaged luminosity becomes smaller than that for primordial gas by one order of magnitude and the time-averaged Eddington ratio ranges from to in clouds with initial gas densities of . Our calculations show that the effect of dust opacity alone is secondary compared to the radiation pressure on …"
8,Radiation-driven turbulent accretion onto massive black holes,18,2017,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CpVsPWEAAAAJ&pagesize=50&citation_for_view=CpVsPWEAAAAJ:Se3iqnhoufwC,"Accretion of gas and interaction of matter and radiation are at the heart of many questions pertaining to black hole (BH) growth and coevolution of massive BHs and their host galaxies. To answer them, it is critical to quantify how the ionizing radiation that emanates from the innermost regions of the BH accretion flow couples to the surrounding medium and how it regulates the BH fueling. In this work, we use high-resolution three-dimensional (3D) radiation-hydrodynamic simulations with the code Enzo, equipped with adaptive ray-tracing module Moray, to investigate radiation-regulated BH accretion of cold gas. Our simulations reproduce findings from an earlier generation of 1D/2D simulations: the accretion-powered UV and X-ray radiation forms a highly ionized bubble, which leads to suppression of BH accretion rate characterized by quasi-periodic outbursts. A new feature revealed by the 3D simulations is the …"
9,Luminosity function of [O ii] emission-line galaxies in the MassiveBlack-II simulation,18,2015,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CpVsPWEAAAAJ&pagesize=50&citation_for_view=CpVsPWEAAAAJ:LkGwnXOMwfcC,"We examine the luminosity function (LF) of [O ii] emission-line galaxies in the high-resolution cosmological simulation MassiveBlack-II (MBII). From the spectral energy distribution of each galaxy, we select a sub-sample of star-forming galaxies at 0.06 ≤ z ≤ 3.0 using the [O ii] emission line luminosity L([O ii]). We confirm that the specific star formation rate matches that in the Galaxy And Mass Assembly survey. We show that the [O ii] LF at z = 1.0 from the MBII shows good agreement with the LFs from several surveys below L([O ii]) = 1043.0 erg s−1 while the low redshifts (z ≤ 0.3) show an excess in the prediction of bright [O ii] galaxies, but still displaying a good match with observations below L([O ii]) = 1041.6 erg s−1. Based on the validity in reproducing the properties of [O ii] galaxies at low redshift (z ≤ 1), we forecast the evolution of the [O ii] LF at high redshift (z ≤ 3), which can be tested by …"
10,Rayleigh–Taylor instability of ionization front around black holes,17,2014,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CpVsPWEAAAAJ&pagesize=50&citation_for_view=CpVsPWEAAAAJ:Y0pCki6q_DkC,"We examine the role of ionizing radiation emitted from black holes (BHs) in suppressing the growth of the Rayleigh–Taylor instability (RTI) across the ionization front (I-front) that forms when the gas fuelling the BH is neutral. We use radiation-hydrodynamic simulations to show that the RTI is suppressed for non-accelerating fronts on all scales resolved in our simulations. A necessary condition for the stability of the I-front is that the radius of the Strömgren sphere is larger than the Bondi radius. When this condition is violated, the I-front collapses producing an accretion luminosity burst. Transient growth of the RTI occurs only during the accretion burst when the effective acceleration in the frame of reference of the I-front increases significantly due to the rapid expansion of the Strömgren sphere."
