Rank,Title,Citations,Year,URL,Description
1,Collaborative foraging using beacons,38,2010,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DKiiFh4AAAAJ&pagesize=50&citation_for_view=DKiiFh4AAAAJ:u5HHmVD_uO8C,"A classic example of multiagent coordination in a shared environment involves the use of pheromone deposits as a communication mechanism. Due to physical limitations in deploying actual pheromones, we propose a sparse representation of the pheromones using movable beacons. There is no communication between the beacons to propagate pheromones; instead, robots make movement and update decisions based entirely on local pheromone values. Robots deploy the beacons throughout the environment, and subsequently move them and update them using a variation of value iteration. Simulation results show that our approach is effective at finding good trails, locally improving them, and adapting to dynamic changes in the environments."
2,Use of position tracking to infer social structure in rhesus macaques,7,2018,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DKiiFh4AAAAJ&pagesize=50&citation_for_view=DKiiFh4AAAAJ:W7OEmFMy1HYC,"Rhesus Macaques have clearly defined social dominance hierarchies that can be identified from human observations of social interactions, but determining these social structures through real-time observation is expensive and time consuming. Automating both the observation of animal behavior and inference of social structure reduces the requirement for human observation while providing a greater breadth of data. Automatic tracking of individuals allows researchers to continuously collect data on research animals without requiring expensive real-time observation by trained coders, and eliminates missed observations due to limits in coder attention and reaction time. Our approach works by detecting key events in the tracking data which roughly correspond to behavioral events coded by trained observers. In this work we compare the results obtained by our tracking and analysis methods with a trained human …"
3,Sampling beats fixed estimate predictors for cloning stochastic behavior in multiagent systems,7,2017,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DKiiFh4AAAAJ&pagesize=50&citation_for_view=DKiiFh4AAAAJ:IjCSPb-OGe4C,"Modeling stochastic multiagent behavior such as fish schooling is challenging for fixed-estimate prediction techniques because they fail to reliably reproduce the stochastic aspects of the agents’ behavior. We show how standard fixed-estimate predictors fit within a probabilistic framework, and suggest the reason they work for certain classes of behaviors and not others. We quantify the degree of mismatch and offer alternative sampling-based modeling techniques. We are specifically interested in building executable models (as opposed to statistical or descriptive models) because we want to reproduce and study multiagent behavior in simulation. Such models can be used by biologists, sociologists, and economists to explain and predict individual and group behavior in novel scenarios, and to test hypotheses regarding group behavior. Developing models from observation of real systems is an obvious application of machine learning. Learning directly from data eliminates expensive hand processing and tuning, but introduces unique challenges that violate certain assumptions common in standard machine learning approaches. Our framework suggests a new class of sampling-based methods, which we implement and apply to simulated deterministic and stochastic schooling behaviors, as well as the observed schooling behavior of real fish. Experimental results show that our implementation performs comparably with standard learning techniques for deterministic behaviors, and better on stochastic behaviors."
4,Learning Executable Models of Multiagent Behavior from Live Animal Observation,7,2013,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DKiiFh4AAAAJ&pagesize=50&citation_for_view=DKiiFh4AAAAJ:u-x6o8ySG0sC,"Agent-based simulation is a valuable tool for biologists studying animal behavior, however constructing models for simulation is often a time-consuming manual task. Predictive probabilistic graphical models have shown success in classifying behavior, but are not easily translated into models that can be executed in a multi-agent simulation. We propose a novel behavior representation and method for learning executable models suitable for execution in simulation. Results on synthetic and real video from lab experiments are given."
5,Inferring social structure and dominance relationships between rhesus macaques using RFID tracking data,3,2014,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DKiiFh4AAAAJ&pagesize=50&citation_for_view=DKiiFh4AAAAJ:qjMakFHDy7sC,"This research address the problem of inferring, through Radio-Frequency Identification (RFID) tracking data, the graph structures underlying social interactions in a group of rhesus macaques (a species of monkey). These social interactions are considered as independent affiliative and dominative components and are characterized by a variety of visual and auditory displays and gestures. Social structure in a group is an important indicator of its members’ relative level of access to resources and has interesting implications for an individual’s health. Automatic inference of the social structure in an animal group enables a number of important capabilities [17], including:"
6,Inferring Social Structure of Animal Groups From Tracking Data,2,2014,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DKiiFh4AAAAJ&pagesize=50&citation_for_view=DKiiFh4AAAAJ:2osOgNQ5qMEC,"Inferring the social structures of animal groups from their observed behavior is a non-trivial task usually handled by direct observation. Recent advances in sensing and tracking technology have enabled the collection of dense spatial data over long periods of time automatically. The qualitative differences between sparse hand-coded data and dense tracking data necessitate a new approach to inferring the social structure of the observed animals. We present a framework for using agent-based simulations to guide our approach to inferring social structure from tracking data collected from a small group of rhesus macaques over a period of three months. As part of this framework, we describe a version of the DOMWORLD model of dominance interactions in rhesus macaques that has been modified to include association preference, and adapted to more closely match the environment where the monkeys were …"
7,Assessing learned models of fish schooling behavior,1,2014,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DKiiFh4AAAAJ&pagesize=50&citation_for_view=DKiiFh4AAAAJ:9yKSN-GCB0IC,"Agent-based simulation is a valuable tool for validating the theoretical models biologists and ethologists use to explain animal behavior. By automating the process of constructing agent-based models (ABM) directly from observation data we can enable researchers to focus more of their time on the analysis of the behaviors and animals in question. We present experimental results using a modified version of k Nearest Neighbor to learn an executable model of fish schooling behavior from both synthetic data and tracking data of live juvenile Notemigonus Crysoleucas, and quantitatively asses the performance of the learned behavior. Our experiments illustrate that our method can successfully learn fish schooling, and provide an objective criteria for comparing competing biological theories of behavior."
8,Future MASON Directions: Community Recommendations,1,2013,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DKiiFh4AAAAJ&pagesize=50&citation_for_view=DKiiFh4AAAAJ:Tyk-4Ss8FVUC,"MASON is an open source multiagent simulation library geared towards simulating very large numbers of relatively lightweight interacting agents. MASON has been used for a wide variety of simulation tasks in robotics, the social sciences, biology, and animation. On June 15 and 16, 2013, approximately two dozen invitees convened at George Mason University to discuss future directions for MASON and needs of the MASON community. This meeting formed the 2013 MASON NSF Workshop, sponsored by the National Science Foundation under CRI CI-P grant 1205626. The invitees responded to a call for participation on the MASON community mailing list, among others, and those selected for participation came from a broad spectrum of fields, organizations, and countries.During the Workshop, participants identified nine areas of interest to the community where they felt MASON should be improved or extended. The participants then divided up into working groups to discuss issues with MASON improvements in those areas. This document details the reports of those working groups. The nine areas, and their basic proposals, were:"
9,USING CONTINUOUS 3D TRACKING AND REMOTE VIDEO TO ENHANCE MANAGEMENT OF SOCIAL GROUPS OF RHESUS MONKEYS,0,2022,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DKiiFh4AAAAJ&pagesize=50&citation_for_view=DKiiFh4AAAAJ:ufrVoPGSRksC,Description not available
10,Constructing and Evaluating Executable Models of Collective Behavior,0,2018,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DKiiFh4AAAAJ&pagesize=50&citation_for_view=DKiiFh4AAAAJ:Y0pCki6q_DkC,"Multiagent simulation (MAS) can be a valuable tool for biologists and ethologists studying collective animal behavior. However, constructing models for simulation is often a time-consuming manual task. Current state-of-the-art multitarget tracking algorithms can now provide high accuracy, high density tracking data of groups of research animals. Techniques from machine learning should be able to leverage the wealth of information such data provides in order to automatically find good models of animal behavior that can be executed in simulation. However, models trained using traditional single-step loss functions can lead to behaviors that are qualitatively dissimilar to the behavior of real animals, while Expectation Maximization (EM) methods computed over full trajectories are subject to local suboptima. These problems are compounded in the case of multiple interacting animals, particularly in highly cooperative …"
11,Learning schooling behavior from observation,0,2013,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DKiiFh4AAAAJ&pagesize=50&citation_for_view=DKiiFh4AAAAJ:d1gkVwhDpl0C,Description not available
