Rank,Title,Citations,Year,URL,Description
1,hls4ml: An open-source codesign workflow to empower scientific low-power machine learning devices,254,2021,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=EMYV8cEAAAAJ&pagesize=50&citation_for_view=EMYV8cEAAAAJ:9vf0nzSNQJEC,"Accessible machine learning algorithms, software, and diagnostic tools for energy-efficient devices and systems are extremely valuable across a broad range of application domains. In scientific domains, real-time near-sensor processing can drastically improve experimental design and accelerate scientific discoveries. To support domain scientists, we have developed hls4ml, an open-source software-hardware codesign workflow to interpret and translate machine learning algorithms for implementation with both FPGA and ASIC technologies. We expand on previous hls4ml work by extending capabilities and techniques towards low-power implementations and increased usability: new Python APIs, quantization-aware pruning, end-to-end FPGA workflows, long pipeline kernels for low power, and new device backends include an ASIC workflow. Taken together, these and continued efforts in hls4ml will arm a new generation of domain scientists with accessible, efficient, and powerful tools for machine-learning-accelerated discovery."
2,"The Future of Sensing is Batteryless, Intermittent, and Awesome",246,2017,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=EMYV8cEAAAAJ&pagesize=50&citation_for_view=EMYV8cEAAAAJ:D03iK_w7-QYC,"Sensing has been obsessed with delivering on the ""smart dust"" vision outlined decades ago, where trillions of tiny invisible computers support daily life, infrastructure, and humanity in general. Batteries are the single greatest threat to this vision of a sustainable Internet of Things. They are expensive, bulky, hazardous, and wear out after a few years (even rechargeables). Replacing and disposing of billions or trillions of dead batteries per year would be expensive and irresponsible. By leaving the batteries behind and surviving off energy harvested from the environment, tiny intermittently powered computers can monitor objects in hard to reach places maintenance free for decades. The intermittent execution, constrained compute and energy resources, and unreliability of these devices creates new challenges for the sensing and embedded systems community. However, the rewards and potential impact across …"
3,Timely execution on intermittently powered batteryless sensors,233,2017,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=EMYV8cEAAAAJ&pagesize=50&citation_for_view=EMYV8cEAAAAJ:B3FOqHPlNUQC,"Tiny intermittently powered computers can monitor objects in hard to reach places maintenance free for decades by leaving batteries behind and surviving off energy harvested from the environment--- avoiding the cost of replacing and disposing of billions or trillions of dead batteries. However, creating programs for these sensors is difficult. Energy harvesting is inconsistent, energy storage is scarce, and batteryless sensors can lose power at any point in time--- causing volatile memory, execution progress, and time to reset. In response to these disruptions, developers must write unwieldy programs attempting to protect against failures, instead of focusing on sensing goals, defining tasks, and generating useful data in a timely manner. To address these shortcomings, we have designed Mayfly, a language and runtime for timely execution of sensing tasks on tiny, intermittently-powered, energy harvesting sensing …"
4,InK: Reactive Kernel for Tiny Batteryless Sensors,221,2018,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=EMYV8cEAAAAJ&pagesize=50&citation_for_view=EMYV8cEAAAAJ:l7t_Zn2s7bgC,"Tiny energy harvesting battery-free devices promise maintenance free operation for decades, providing swarm scale intelligence in applications from healthcare to building monitoring. These devices operate intermittently because of unpredictable, dynamic energy harvesting environments, failing when energy is scarce. Despite this dynamic operation, current programming models are static; they ignore the event-driven and time-sensitive nature of sensing applications, focusing only on preserving forward progress while maintaining performance. This paper proposes InK; the first reactive kernel that provides a novel way to program these tiny energy harvesting devices that focuses on their main application of event-driven sensing. InK brings an event-driven paradigm shift for batteryless applications, introducing building blocks and abstractions that enable reacting to changes in available energy and variations in …"
5,Flicker: Rapid Prototyping for the Batteryless Internet-of-Things,200,2017,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=EMYV8cEAAAAJ&pagesize=50&citation_for_view=EMYV8cEAAAAJ:_xSYboBqXhAC,"Batteryless, energy-harvesting sensing systems are critical to the Internet-of-Things (IoT) vision and sustainable, long-lived, untethered systems. Unfortunately, developing new batteryless applications is challenging. Energy resources are scarce and highly variable, power failures are frequent, and successful applications typically require custom hardware and special expertise. In this paper, we present Flicker, a platform for quickly prototyping batteryless embedded sensors. Flicker is an extensible, modular, ""plug and play"" architecture that supports RFID, solar, and kinetic energy harvesting; passive and active wireless communication; and a wide range of sensors through common peripheral and harvester interconnects. Flicker supports recent advances in failure-tolerant timekeeping, testing, and debugging, while providing dynamic federated energy storage where peripheral priorities and user tasks can be …"
6,"Tragedy of the coulombs: Federating energy storage for tiny, intermittently-powered sensors",158,2015,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=EMYV8cEAAAAJ&pagesize=50&citation_for_view=EMYV8cEAAAAJ:ldfaerwXgEUC,"Untethered sensing devices have, for decades, powered all system components (processors, sensors, actuators, etc) from a single shared energy store (battery or capacitor). When designing batteryless sensors that are powered by harvested energy, this traditional approach results in devices that charge slowly and that are more error prone, inflexible, and inefficient than they could be. This paper presents a novel federated approach to energy storage, called UFoP, that partitions and prioritizes harvested energy automatically into multiple isolated smaller energy stores (capacitors). UFoP simplifies task scheduling, enables efficient use of components with differing voltage requirements, and produces devices that charge more quickly under identical harvesting conditions than a traditional centralized approach. We have implemented a UFoP reference design and conducted extensive experimental evaluation …"
7,Ekho: Realistic and repeatable experimentation for tiny energy-harvesting sensors,150,2014,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=EMYV8cEAAAAJ&pagesize=50&citation_for_view=EMYV8cEAAAAJ:2osOgNQ5qMEC,"Harvesting energy from the environment makes it possible to deploy tiny sensors for long periods of time, with little or no required maintenance; however, this free energy makes testing and experimentation difficult. Environmental energy sources vary widely and are often difficult both to predict and to reproduce in the lab during testing. These variations are also behavior dependent---a factor that leaves application engineers unable to make even simple comparisons between algorithms or hardware configurations, using traditional testing approaches. This demonstration presents Ekho, a device that makes it possible to conduct realistic and repeatable experiments involving energy harvesting devices. Ekho is a general-purpose tool that supports a wide range of harvesting technologies. We demonstrate, using a working prototype, that Ekho is capable of reproducing many types of energy harvesting environments …"
8,Necksense: A multi-sensor necklace for detecting eating activities in free-living conditions,138,2020,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=EMYV8cEAAAAJ&pagesize=50&citation_for_view=EMYV8cEAAAAJ:HE397vMXCloC,"We present the design, implementation, and evaluation of a multi-sensor, low-power necklace, NeckSense, for automatically and unobtrusively capturing fine-grained information about an individual's eating activity and eating episodes, across an entire waking day in a naturalistic setting. NeckSense fuses and classifies the proximity of the necklace from the chin, the ambient light, the Lean Forward Angle, and the energy signals to determine chewing sequences, a building block of the eating activity. It then clusters the identified chewing sequences to determine eating episodes. We tested NeckSense on 11 participants with and 9 participants without obesity, across two studies, where we collected more than 470 hours of data in a naturalistic setting. Our results demonstrate that NeckSense enables reliable eating detection for individuals with diverse body mass index (BMI) profiles, across an entire waking day, even …"
9,Battery-free game boy,134,2020,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=EMYV8cEAAAAJ&pagesize=50&citation_for_view=EMYV8cEAAAAJ:Mojj43d5GZwC,"We present ENGAGE, the first battery-free, personal mobile gaming device powered by energy harvested from the gamer actions and sunlight. Our design implements a power failure resilient Nintendo Game Boy emulator that can run off-the-shelf classic Game Boy games like Tetris or Super Mario Land. This emulator is capable of intermittent operation by tracking memory usage, avoiding the need for always checkpointing all volatile memory, and decouples the game loop from user interface mechanics allowing for restoration after power failure. We build custom hardware that harvests energy from gamer button presses and sunlight, and leverages a mixed volatility memory architecture for efficient intermittent emulation of game binaries. Beyond a fun toy, our design represents the first battery-free system design for continuous user attention despite frequent power failures caused by intermittent energy harvesting …"
10,Time-sensitive intermittent computing meets legacy software,122,2020,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=EMYV8cEAAAAJ&pagesize=50&citation_for_view=EMYV8cEAAAAJ:bnK-pcrLprsC,"Tiny energy harvesting sensors that operate intermittently, without batteries, have become an increasingly appealing way to gather data in hard to reach places at low cost. Frequent power failures make forward progress, data preservation and consistency, and timely operation challenging. Unfortunately, state-of-the-art systems ask the programmer to solve these challenges, and have high memory overhead, lack critical programming features like pointers and recursion, and are only dimly aware of the passing of time and its effect on application quality. We present Time-sensitive Intermittent Computing System (TICS), a new platform for intermittent computing, which provides simple programming abstractions for handling the passing of time through intermittent failures, and uses this to make decisions about when data can be used or thrown away. Moreover, TICS provides predictable checkpoint sizes by keeping …"
