Rank,Title,Citations,Year,URL,Description
1,Stabilized neural ordinary differential equations for long-time forecasting of dynamical systems,128,2023,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=EtoOcLMAAAAJ&pagesize=50&citation_for_view=EtoOcLMAAAAJ:PELIpwtuRlgC,"In data-driven modeling of spatiotemporal phenomena careful consideration is needed in capturing the dynamics of the high wavenumbers. This problem becomes especially challenging when the system of interest exhibits shocks or chaotic dynamics. We present a data-driven modeling method that accurately captures shocks and chaotic dynamics by proposing a new architecture, stabilized neural ordinary differential equation (ODE). In our proposed architecture, we learn the right-hand-side (RHS) of an ODE by adding the outputs of two NN together where one learns a linear term and the other a nonlinear term. Specifically, we implement this by training a sparse linear convolutional NN to learn the linear term and a dense fully-connected nonlinear NN to learn the nonlinear term. This contrasts with the standard neural ODE which involves training a single NN for the RHS. We apply this setup to the viscous …"
2,Finite difference weighted essentially non-oscillatory schemes with constrained transport for ideal magnetohydrodynamics,80,2014,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=EtoOcLMAAAAJ&pagesize=50&citation_for_view=EtoOcLMAAAAJ:u-x6o8ySG0sC,In this work we develop a class of high-order finite difference weighted essentially non-oscillatory (FD-WENO) schemes for solving the ideal magnetohydrodynamic (MHD) equations in 2D and 3D. The philosophy of this work is to use efficient high-order WENO spatial discretizations with high-order strong stability-preserving Runge–Kutta (SSP-RK) time-stepping schemes. Numerical results have shown that with such methods we are able to resolve solution structures that are only visible at much higher grid resolutions with lower-order schemes. The key challenge in applying such methods to ideal MHD is to control divergence errors in the magnetic field. We achieve this by augmenting the base scheme with a novel high-order constrained transport approach that updates the magnetic vector potential. The predicted magnetic field from the base scheme is replaced by a divergence-free magnetic field that is obtained …
3,Positivity-preserving finite difference Weighted ENO schemes with constrained transport for ideal magnetohydrodynamic equations,66,2015,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=EtoOcLMAAAAJ&pagesize=50&citation_for_view=EtoOcLMAAAAJ:mVmsd5A6BfQC,"In this paper, we utilize the maximum-principle-preserving flux limiting technique, originally designed for high-order weighted essentially nonoscillatory (WENO) methods for scalar hyperbolic conservation laws, to develop a class of high-order positivity-preserving finite difference WENO methods for the ideal magnetohydrodynamic equations. Our scheme, under the constrained transport framework, can achieve high-order accuracy, a discrete divergence-free condition, and positivity of the numerical solution simultaneously. Numerical examples in one, two, and three dimensions are provided to demonstrate the performance of the proposed method."
4,High order parametrized maximum-principle-preserving and positivity-preserving WENO schemes on unstructured meshes,63,2015,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=EtoOcLMAAAAJ&pagesize=50&citation_for_view=EtoOcLMAAAAJ:9ZlFYXVOiuMC,"In this paper, we generalize the maximum-principle-preserving (MPP) flux limiting technique developed by Xu (2013) [20] to a class of high order finite volume weighted essentially non-oscillatory (WENO) schemes for scalar conservation laws and the compressible Euler system on unstructured meshes in one and two dimensions. The key idea of this parameterized limiting technique is to limit the high order numerical flux with a first order flux which preserves the MPP or positivity-preserving (PP) property. The main purpose of this paper is to investigate the flux limiting approach with high order finite volume method on unstructured meshes which are often needed for solving some important problems on irregular domains. Truncation error analysis based on one-dimensional nonuniform meshes is presented to justify that the proposed MPP schemes can maintain third order accuracy in space and time. We also …"
5,Fast neural Poincaré maps for toroidal magnetic fields,57,2020,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=EtoOcLMAAAAJ&pagesize=50&citation_for_view=EtoOcLMAAAAJ:bnK-pcrLprsC,"Poincaré maps for toroidal magnetic fields are routinely employed to study gross confinement properties in devices built to contain hot plasmas. In most practical applications, evaluating a Poincaré map requires numerical integration of a magnetic field line, a process that can be slow and that cannot be easily accelerated using parallel computations. We propose a novel neural network architecture, the HénonNet, and show that it is capable of accurately learning realistic Poincaré maps from observations of a conventional field-line-following algorithm. After training, such learned Poincaré maps evaluate much faster than the field-line integration method. Moreover, the HénonNet architecture exactly reproduces the primary physics constraint imposed on field-line Poincaré maps: flux preservation. This structure-preserving property is the consequence of each layer in a HénonNet being a symplectic map. We …"
6,Sparse Grid Discontinuous Galerkin Methods for High-Dimensional Elliptic Equations,54,2016,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=EtoOcLMAAAAJ&pagesize=50&citation_for_view=EtoOcLMAAAAJ:08ZZubdj9fEC,"This paper constitutes our initial effort in developing sparse grid discontinuous Galerkin (DG) methods for high-dimensional partial differential equations (PDEs). Over the past few decades, DG methods have gained popularity in many applications due to their distinctive features. However, they are often deemed too costly because of the large degrees of freedom of the approximation space, which are the main bottleneck for simulations in high dimensions. In this paper, we develop sparse grid DG methods for elliptic equations with the aim of breaking the curse of dimensionality. Using a hierarchical basis representation, we construct a sparse finite element approximation space, reducing the degrees of freedom from the standard O (h− d) to O (h− 1| log 2⁡ h| d− 1) for d-dimensional problems, where h is the uniform mesh size in each dimension. Our method, based on the interior penalty (IP) DG framework, can …"
7,A high-order positivity-preserving single-stage single-step method for the ideal magnetohydrodynamic equations,48,2016,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=EtoOcLMAAAAJ&pagesize=50&citation_for_view=EtoOcLMAAAAJ:vRqMK49ujn8C,"We propose a high-order finite difference weighted ENO (WENO) method for the ideal magnetohydrodynamics (MHD) equations. The proposed method is single-stage (i.e., it has no internal stages to store), single-step (i.e., it has no time history that needs to be stored), maintains a discrete divergence-free condition on the magnetic field, and has the capacity to preserve the positivity of the density and pressure. To accomplish this, we use a Taylor discretization of the Picard integral formulation (PIF) of the finite difference WENO method proposed in Christlieb et al. (2015) [23], where the focus is on a high-order discretization of the fluxes (as opposed to the conserved variables). We use the version where fluxes are expanded to third-order accuracy in time, and for the fluid variables space is discretized using the classical fifth-order finite difference WENO discretization. We use constrained transport in order to obtain …"
8,A stable partitioned FSI algorithm for rigid bodies and incompressible flow in three dimensions,38,2018,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=EtoOcLMAAAAJ&pagesize=50&citation_for_view=EtoOcLMAAAAJ:fQNAKQ3IYiAC,"This paper describes a novel partitioned algorithm for fluid–structure interaction (FSI) problems that couples the motion of rigid bodies and incompressible flow. This is the first partitioned algorithm that remains stable and second-order accurate, without sub-time-step iterations, for very light, and even zero-mass, bodies in three dimensions. This new added-mass partitioned (AMP) algorithm extends the previous developments in [1], [2] by generalizing the added-damping tensors to account for arbitrary three-dimensional rotations, and by employing a general quadrature for the surface integral over a rigid body to derive the discrete AMP interface condition for the fluid pressure. Stability analyses for two three-dimensional model problems show that the algorithm remains stable for bodies of any mass when applied to the relevant model problems. The resulting AMP algorithm is implemented in parallel using a moving …"
9,A high-order finite difference WENO scheme for ideal magnetohydrodynamics on curvilinear meshes,37,2018,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=EtoOcLMAAAAJ&pagesize=50&citation_for_view=EtoOcLMAAAAJ:eJXPG6dFmWUC,"A high-order finite difference numerical scheme is developed for the ideal magnetohydrodynamic equations based on an alternative flux formulation of the weighted essentially nonoscillatory scheme. It computes a high-order numerical flux by a Taylor expansion in space, with the lowest-order term solved from a Riemann solver and the higher-order terms constructed from physical fluxes by limited central differences. The scheme coupled with several Riemann solvers, including a Lax--Friedrichs solver and Harten--Lax--van Leer type solvers, is developed on general curvilinear meshes in two dimensions and verified on a number of benchmark problems. In particular, an HLLD (where D stands for discontinuities) solver on Cartesian meshes is extended to curvilinear meshes with proper modifications. A numerical boundary condition for the perfect electrical conductor boundary is derived for general geometry and …"
10,High-order low-dissipation targeted ENO schemes for ideal magnetohydrodynamics,35,2019,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=EtoOcLMAAAAJ&pagesize=50&citation_for_view=EtoOcLMAAAAJ:1qzjygNMrQYC,"The recently proposed targeted ENO (TENO) schemes (Fu et al. J Comput Phys 305:333–359, ) are demonstrated to feature the controllable low numerical dissipation and sharp shock-capturing property in compressible gas dynamic simulations. However, the application of low-dissipation TENO schemes to ideal magnetohydrodynamics (MHD) is not straightforward. The complex interaction between fluid mechanics and electromagnetism induces extra numerical challenges, including simultaneously preserving the ENO-property, maintaining good numerical robustness and low dissipation as well as controlling divergence errors. In this paper, based on an unstaggered constrained transport framework to control the divergence error, we extend a set of high-order low-dissipation TENO schemes ranging from 5-point to 8-point stencils to solving the ideal MHD equations. A unique set of built-in parameters for each TENO …"
11,An explicit high-order single-stage single-step positivity-preserving finite difference WENO method for the compressible Euler equations,34,2016,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=EtoOcLMAAAAJ&pagesize=50&citation_for_view=EtoOcLMAAAAJ:OU6Ihb5iCvQC,"In this work we construct a high-order, single-stage, single-step positivity-preserving method for the compressible Euler equations. Space is discretized with the finite difference weighted essentially non-oscillatory method. Time is discretized through a Lax–Wendroff procedure that is constructed from the Picard integral formulation of the partial differential equation. The method can be viewed as a modified flux approach, where a linear combination of a low- and high-order flux defines the numerical flux used for a single-step update. The coefficients of the linear combination are constructed by solving a simple optimization problem at each time step. The high-order flux itself is constructed through the use of Taylor series and the Cauchy–Kowalewski procedure that incorporates higher-order terms. Numerical results in one- and two-dimensions are presented."
12,A stable partitioned FSI algorithm for rigid bodies and incompressible flow. Part I: Model problem analysis,32,2017,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=EtoOcLMAAAAJ&pagesize=50&citation_for_view=EtoOcLMAAAAJ:D_sINldO8mEC,"A stable partitioned algorithm is developed for fluid–structure interaction (FSI) problems involving viscous incompressible flow and rigid bodies. This added-mass partitioned (AMP) algorithm remains stable, without sub-iterations, for light and even zero mass rigid bodies when added-mass and viscous added-damping effects are large. The scheme is based on a generalized Robin interface condition for the fluid pressure that includes terms involving the linear acceleration and angular acceleration of the rigid body. Added-mass effects are handled in the Robin condition by inclusion of a boundary integral term that depends on the pressure. Added-damping effects due to the viscous shear forces on the body are treated by inclusion of added-damping tensors that are derived through a linearization of the integrals defining the force and torque. Added-damping effects may be important at low Reynolds number, or, for …"
