Rank,Title,Citations,Year,URL,Description
1,Predictors of availability in home life context-mediated communication,96,2004,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=F0HhkJIAAAAJ&pagesize=50&citation_for_view=F0HhkJIAAAAJ:8k81kl-MbHgC,"A number of studies have explored issues of interruption and availability in workplace environments, but few have examined how attitudes toward availability play out in home life. In this paper, we begin to explore factors in the home that might be useful for signaling availability to close friends and family. In particular, we use the Experience Sampling Method (ESM) to measure subjects' current activities and self-reported availability to interruption. Based on follow-up interviews, we develop a number of hypotheses that we test through a hierarchical linear regression analysis. Results indicate that individual differences, certain home locations, and leisure activities play an important role in determining patterns of availability. This study has implications for the development of CSCW systems with automatic sensing of activity to deal with interruption and activity recognition both inside and out of the home."
2,The design discussion area: A collaborative learning tool in support of learning from problem-solving and design activities,84,1999,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=F0HhkJIAAAAJ&pagesize=50&citation_for_view=F0HhkJIAAAAJ:Tyk-4Ss8FVUC,"The Design Discussion Area (DDA) supports student reports to each other about their design efforts as they are learning science from design activities. Its scaffolding was designed to support both the writing of well-formed stories about their design efforts and discussion about each design effort. At their best, these discussions are a source of ideas for other students; a venue for talking science, using evidence in support of claims, getting advice, and providing explanations that others can understand; and a vehicle for some of the reflection necessary to turn one's experiences into well-formed and well-indexed cases in one's memory. DDA was trialed with 200 students; it was easy for students to use but it wasn't as straightforward to integrate into classroom activities as we had supposed and didn't provide as useful scaffolding as we had imagined."
3,Understanding the design space of referencing in collaborative augmented reality environments,53,2007,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=F0HhkJIAAAAJ&pagesize=50&citation_for_view=F0HhkJIAAAAJ:UeHWp8X0CEIC,"For collaborative environments to be successful, it is critical that participants have the ability to generate effective references. Given the heterogeneity of the objects and the myriad of possible scenarios for collaborative augmented reality environments, generating meaningful references within them can be difficult. Participants in co-located physical spaces benefit from non-verbal communication, such as eye gaze, pointing and body movement; however, when geographically separated, this form of communication must be synthesized using computer-mediated techniques. We have conducted an exploratory study using a collaborative building task of constructing both physical and virtual models to better understand inter-referential awareness -- or the ability for one participant to refer to a set of objects, and for that reference to be understood. Our contributions are not necessarily in presenting novel techniques, but in …"
4,Studies on the effectiveness of virtual pointers in collaborative augmented reality,35,2008,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=F0HhkJIAAAAJ&pagesize=50&citation_for_view=F0HhkJIAAAAJ:Zph67rFs4hoC,"A critical component of successful collaboration is the ability for participants to generate and interpret effective reference cues. In collaborative augmented reality (AR), participants must be able to refer to the physical and virtual artifacts that surround them, as well as those that exist in remote workspaces. One of the most primitive referencing techniques that satisfy these requirements is a virtual pointer. In order to better understand its effectiveness in collaborative augmented reality, a two-part study was conducted that independently examines how individuals both give and interpret references using this technique, as well as factors that influence accuracy. A second study was conducted that explored the dynamics of group interaction and how virtual referencing techniques may support collaborative tasks. We present the results of these two studies in the context of designing support for demonstrative referencing in …"
5,Technology focused service-learning course to increase confidence and persistence in computing,27,2018,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=F0HhkJIAAAAJ&pagesize=50&citation_for_view=F0HhkJIAAAAJ:u-x6o8ySG0sC,"To impact the confidence and persistence of students, especially underrepresented students in computing, the authors developed a technology focused service-learning course at an open access, baccalaureate degree granting institution. The authors designed the course to enhance the technical, communication and leadership skills of the enrolled students. In this paper, we describe the structure of the course, its activities, recruitment strategy, evaluation plan and impact."
6,STARS Computing Corps: Enhancing Engagement of Underrepresented Students and Building Community in Computing,20,2016,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=F0HhkJIAAAAJ&pagesize=50&citation_for_view=F0HhkJIAAAAJ:roLk4NBRz8UC,"In this article, the authors examine the impact of participation in a national community for broadening participation in computing that engages college students in computing-related service projects. Results of their study show many benefits for undergraduate computing students who engage in such projects, including academic, career, and personal benefits, with students who are underrepresented in computing benefitting more than others. Results also suggest that that an annual conference centered on training and reflection on service learning projects can help build a strong sense of community among students who otherwise wouldn't have access to a similar group of peers. These findings establish empirical support for the Students & Technology in Academia, Research, and Service Computing Corps model of engagement, a flexible approach that can be applied across a variety of institutional types to …"
7,Building a better intercom: Context-mediated communication within the home,15,2000,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=F0HhkJIAAAAJ&pagesize=50&citation_for_view=F0HhkJIAAAAJ:2osOgNQ5qMEC,"As we enable everyday environments with ubiquitous technology, there are many opportunities to support simple activities in useful ways. We are investigating how an environment made aware of the location and activities of its occupants can better support direct human-human communication. Specifically, we have instrumented a home to explore lightweight, spontaneous hands-free communication between residents in different parts of the home. Our working prototype demonstrates how existing technologies of voice recognition, indoor positioning and audio routing lay the foundation for the exploration of a variety of more intelligent alternatives to the traditional home intercom system. We show how context can be used to mediate the initiation and management of one-and two-way audio connections between residents, supporting a range of within-home conversational patterns. In this paper, we describe a variety of home communication scenarios and the general infrastructure we have built to explore them."
8,Programming Boot Camp to retain women in IT: An experience report,14,2016,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=F0HhkJIAAAAJ&pagesize=50&citation_for_view=F0HhkJIAAAAJ:Y0pCki6q_DkC,"Underrepresented students in computing can face critical challenges to retention including lack of prior exposure to programming and feelings of isolation due to a non-diverse classroom. Consequently, students may delay enrolling in programming courses, which interrupts progress towards their degree and decreases confidence in their ability to succeed in college and computing careers. One strategy to overcome the perceived and actual difficulties undergraduate students encounter in an introductory programming course is to participate in a summer Programming Boot Camp (PBC). PBC is a short-term, intense event focused on improving Java programming skills, providing career and professional development, and building a stronger network with faculty, peers, and industry experts. In this paper, we describe the structure and format of a weeklong PBC held at Georgia Gwinnett College (GGC) for female …"
9,SMILE: supportive multi-user interactive learning environment,14,1999,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=F0HhkJIAAAAJ&pagesize=50&citation_for_view=F0HhkJIAAAAJ:LkGwnXOMwfcC,"SMILE, Supportive Multi-User Interactive Learning Environment, has been developed to support collaboration and reflection during problem-based learning, project-based learning, and learning from design. The suite of tools provides support for small groups to keep records of their ideas, their experimental trials, and their criteria for success; scaffolds them through iterative cycles of understanding their challenge, proposing solutions, constructing and testing solutions, and recording and explaining results; prompts them to make coherent reports about what they’ve tried and the results they’ve gotten and to tell stories about what they’ve learned; supports conversations anchored to those reports across student groups, classes, or schools; and helps groups of students publish interesting reports or stories in a case library that other students can use as a design or problem-solving resource. Its embedded questions, hints, and examples serve as models of inquiry, reflection, and science and design talk for both teacher and students.SMILE was developed and piloted in the context of Georgia Tech’s Learning by Design (LBD) project (Kolodner et. al., 1998). Based on case-based reasoning’s (Kolodner, 1993, 1997) model of cognition and problem-based learning’s classroom practices (Barrows, 1985), LBD is an approach to teaching science to middle school children. Students learn as a result of collaboratively engaging in design activities and reflecting on their experiences. Design challenges are set in the real world, with constraints and measurable criteria for success. Students learn about motion and forces, for example, by designing the propulsion …"
10,Scenario-based inquiry for engagement in general education computing,11,2017,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=F0HhkJIAAAAJ&pagesize=50&citation_for_view=F0HhkJIAAAAJ:ULOm3_A8WrAC,"Faculty face motivational and engagement challenges in general education computing courses. Inquiry-based learning strategies show promise in engaging students in an authentic discovery process. In a general education computer literacy course, we adapted scenario-based curriculum to create a classroom environment where students are faced with a real-life cybersecurity crisis and spurred into active discussion. Working as a team, they were required to analyze provided evidence and document a reasoned solution. We share implementation strategies and challenges to adopting scenarios promoting active learning. Our pilot data suggests this curriculum approach has a positive impact on students' interest in computing, while engaging them in real-world, multi-disciplinary content."
