Rank,Title,Citations,Year,URL,Description
1,On convergence and stability of gans,969,2017,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=FDu4ciwAAAAJ&pagesize=50&citation_for_view=FDu4ciwAAAAJ:lYAcb2jw7qUC,"We propose studying GAN training dynamics as regret minimization, which is in contrast to the popular view that there is consistent minimization of a divergence between real and generated distributions. We analyze the convergence of GAN training from this new point of view to understand why mode collapse happens. We hypothesize the existence of undesirable local equilibria in this non-convex game to be responsible for mode collapse. We observe that these local equilibria often exhibit sharp gradients of the discriminator function around some real data points. We demonstrate that these degenerate local equilibria can be avoided with a gradient penalty scheme called DRAGAN. We show that DRAGAN enables faster training, achieves improved stability with fewer mode collapses, and leads to generator networks with better modeling performance across a variety of architectures and objective functions."
2,Competing in the dark: An efficient algorithm for bandit linear optimization,478,2009,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=FDu4ciwAAAAJ&pagesize=50&citation_for_view=FDu4ciwAAAAJ:u-x6o8ySG0sC,"We introduce an efficient algorithm for the problem of online linear optimization in the bandit setting which achieves the optimal O*(√ T) regret. The setting is a natural generalization of the nonstochastic multiarmed bandit problem, and the existence of an efficient optimal algorithm has been posed as an open problem in a number of recent papers. We show how the difficulties encountered by previous approaches are overcome by the use of a self-concordant potential function. Our approach presents a novel connection between online learning and interior point methods."
3,A new approach to collaborative filtering: Operator estimation with spectral regularization.,317,2009,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=FDu4ciwAAAAJ&pagesize=50&citation_for_view=FDu4ciwAAAAJ:u5HHmVD_uO8C,"We present a general approach for collaborative filtering (CF) using spectral regularization to learn linear operators mapping a set of “users” to a set of possibly desired “objects”. In particular, several recent low-rank type matrix-completion methods for CF are shown to be special cases of our proposed framework. Unlike existing regularization-based CF, our approach can be used to incorporate additional information such as attributes of the users/objects—a feature currently lacking in existing regularization-based CF approaches—using popular and well-known kernel methods. We provide novel representer theorems that we use to develop new estimation methods. We then provide learning algorithms based on low-rank decompositions and test them on a standard CF data set. The experiments indicate the advantages of generalizing the existing regularization-based CF methods to incorporate related information about users and objects. Finally, we show that certain multi-task learning methods can be also seen as special cases of our proposed approach."
4,Dynamic online pricing with incomplete information using multiarmed bandit experiments,295,2019,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=FDu4ciwAAAAJ&pagesize=50&citation_for_view=FDu4ciwAAAAJ:37UQlXuwjP4C,"Pricing managers at online retailers face a unique challenge. They must decide on real-time prices for a large number of products with incomplete demand information. The manager runs price experiments to learn about each product’s demand curve and the profit-maximizing price. In practice, balanced field price experiments can create high opportunity costs, because a large number of customers are presented with suboptimal prices. In this paper, we propose an alternative dynamic price experimentation policy. The proposed approach extends multiarmed bandit (MAB) algorithms from statistical machine learning to include microeconomic choice theory. Our automated pricing policy solves this MAB problem using a scalable distribution-free algorithm. We prove analytically that our method is asymptotically optimal for any weakly downward sloping demand curve. In a series of Monte Carlo simulations, we show …"
5,Optimal strategies and minimax lower bounds for online convex games,227,2008,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=FDu4ciwAAAAJ&pagesize=50&citation_for_view=FDu4ciwAAAAJ:qjMakFHDy7sC,"A number of learning problems can be cast as an Online Convex Game: on each round, a learner makes a prediction x from a convex set, the environment plays a loss function f, and the learner’s long-term goal is to minimize regret. Algorithms have been proposed by Zinkevich, when f is assumed to be convex, and Hazan et al., when f is assumed to be strongly convex, that have provably low regret. We consider these two settings and analyze such games from a minimax perspective, proving minimax strategies and lower bounds in each case. These results prove that the existing algorithms are essentially optimal."
6,Blackwell approachability and no-regret learning are equivalent,180,2011,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=FDu4ciwAAAAJ&pagesize=50&citation_for_view=FDu4ciwAAAAJ:eQOLeE2rZwMC,"We consider the celebrated Blackwell Approachability Theorem for two-player games with vector payoffs. Blackwell himself previously showed that the theorem implies the existence of a “no-regret” algorithm for a simple online learning problem. We show that this relationship is in fact much stronger, that Blackwell’s result is equivalent to, in a very strong sense, the problem of regret minimization for Online Linear Optimization. We show that any algorithm for one such problem can be efficiently converted into an algorithm for the other. We provide one novel application of this reduction: the first efficient algorithm for calibrated forecasting."
7,"Efficient market making via convex optimization, and a connection to online learning",116,2013,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=FDu4ciwAAAAJ&pagesize=50&citation_for_view=FDu4ciwAAAAJ:4TOpqqG69KYC,"We propose a general framework for the design of securities markets over combinatorial or infinite state or outcome spaces. The framework enables the design of computationally efficient markets tailored to an arbitrary, yet relatively small, space of securities with bounded payoff. We prove that any market satisfying a set of intuitive conditions must price securities via a convex cost function, which is constructed via conjugate duality. Rather than deal with an exponentially large or infinite outcome space directly, our framework only requires optimization over a convex hull. By reducing the problem of automated market making to convex optimization, where many efficient algorithms exist, we arrive at a range of new polynomial-time pricing mechanisms for various problems. We demonstrate the advantages of this framework with the design of some particular markets. We also show that by relaxing the convex hull we can …"
8,Low-rank matrix factorization with attributes,113,2006,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=FDu4ciwAAAAJ&pagesize=50&citation_for_view=FDu4ciwAAAAJ:d1gkVwhDpl0C,"We develop a new collaborative filtering (CF) method that combines both previously known users' preferences, i.e. standard CF, as well as product/user attributes, i.e. classical function approximation, to predict a given user's interest in a particular product. Our method is a generalized low rank matrix completion problem, where we learn a function whose inputs are pairs of vectors -- the standard low rank matrix completion problem being a special case where the inputs to the function are the row and column indices of the matrix. We solve this generalized matrix completion problem using tensor product kernels for which we also formally generalize standard kernel properties. Benchmark experiments on movie ratings show the advantages of our generalized matrix completion method over the standard matrix completion one with no information about movies or people, as well as over standard multi-task or single task learning methods."
9,A stochastic view of optimal regret through minimax duality,109,2009,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=FDu4ciwAAAAJ&pagesize=50&citation_for_view=FDu4ciwAAAAJ:2osOgNQ5qMEC,"We study the regret of optimal strategies for online convex optimization games. Using von Neumann's minimax theorem, we show that the optimal regret in this adversarial setting is closely related to the behavior of the empirical minimization algorithm in a stochastic process setting: it is equal to the maximum, over joint distributions of the adversary's action sequence, of the difference between a sum of minimal expected losses and the minimal empirical loss. We show that the optimal regret has a natural geometric interpretation, since it can be viewed as the gap in Jensen's inequality for a concave functional--the minimizer over the player's actions of expected loss--defined on a set of probability distributions. We use this expression to obtain upper and lower bounds on the regret of an optimal strategy for a variety of online learning problems. Our method provides upper bounds without the need to construct a learning algorithm; the lower bounds provide explicit optimal strategies for the adversary."
10,Online linear optimization via smoothing,104,2014,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=FDu4ciwAAAAJ&pagesize=50&citation_for_view=FDu4ciwAAAAJ:HDshCWvjkbEC,"We present a new optimization-theoretic approach to analyzing Follow-the-Leader style algorithms, particularly in the setting where perturbations are used as a tool for regularization. We show that adding a strongly convex penalty function to the decision rule and adding stochastic perturbations to data correspond to deterministic and stochastic smoothing operations, respectively. We establish an equivalence between “Follow the Regularized Leader” and “Follow the Perturbed Leader” up to the smoothness properties. This intuition leads to a new generic analysis framework that recovers and improves the previous known regret bounds of the class of algorithms commonly known as Follow the Perturbed Leader."
