Rank,Title,Citations,Year,URL,Description
1,Orthogonal nonnegative matrix t-factorizations for clustering,1684,2006,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=G6kA1CMAAAAJ&pagesize=50&citation_for_view=G6kA1CMAAAAJ:u5HHmVD_uO8C,"Currently, most research on nonnegative matrix factorization (NMF)focus on 2-factor factorization. We provide a systematicanalysis of 3-factor NMF. While it unconstrained 3-factor NMF is equivalent to it unconstrained 2-factor NMF, itconstrained 3-factor NMF brings new features to it constrained 2-factor NMF. We study the orthogonality constraint because it leadsto rigorous clustering interpretation. We provide new rules for updating and prove the convergenceof these algorithms. Experiments on 5 datasets and a real world casestudy are performed to show the capability of bi-orthogonal 3-factorNMF on simultaneously clustering rows and columns of the input datamatrix. We provide a new approach of evaluating the quality ofclustering on words using class aggregate distribution andmulti-peak distribution. We also provide an overview of various NMF extensions andexamine their …"
2,Sparse nonnegative matrix factorization for clustering,1381,2008,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=G6kA1CMAAAAJ&pagesize=50&citation_for_view=G6kA1CMAAAAJ:_hb0F9yZ3cgC,"Properties of Nonnegative Matrix Factorization (NMF) as a clustering method are studied by relating its formulation to other methods such as K-means clustering. We show how interpreting the objective function of K-means as that of a lower rank approximation with special constraints allows comparisons between the constraints of NMF and K-means and provides the insight that some constraints can be relaxed from K-means to achieve NMF formulation. By introducing sparsity constraints on the coefficient matrix factor in NMF objective function, we in term can view NMF as a clustering method. We tested sparse NMF as a clustering method, and our experimental results with synthetic and text data shows that sparse NMF does not simply provide an alternative to K-means, but rather gives much better and consistent solutions to the clustering problem. In addition, the consistency of solutions further explains how NMF can be used to determine the unknown number of clusters from data. We also tested with a recently proposed clustering algorithm, Affinity Propagation, and achieved comparable results. A fast alternating nonnegative least squares algorithm was used to obtain NMF and sparse NMF."
3,Sparse non-negative matrix factorizations via alternating non-negativity-constrained least squares for microarray data analysis,1136,2007,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=G6kA1CMAAAAJ&pagesize=50&citation_for_view=G6kA1CMAAAAJ:IjCSPb-OGe4C,"Motivation: Many practical pattern recognition problems require non-negativity constraints. For example, pixels in digital images and chemical concentrations in bioinformatics are non-negative. Sparse non-negative matrix factorizations (NMFs) are useful when the degree of sparseness in the non-negative basis matrix or the non-negative coefficient matrix in an NMF needs to be controlled in approximating high-dimensional data in a lower dimensional space. Results: In this article, we introduce a novel formulation of sparse NMF and show how the new formulation leads to a convergent sparse NMF algorithm via alternating non-negativity-constrained least squares. We apply our sparse NMF algorithm to cancer-class discovery and gene expression data analysis and offer biological analysis of the results obtained. Our experimental results illustrate that the proposed sparse NMF algorithm often …"
4,Nonnegative matrix factorization based on alternating nonnegativity constrained least squares and active set method,776,2008,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=G6kA1CMAAAAJ&pagesize=50&citation_for_view=G6kA1CMAAAAJ:eQOLeE2rZwMC,"Nonnegative matrix factorization (NMF) determines a lower rank approximation of a matrix where an integer is given and nonnegativity is imposed on all components of the factors and . NMF has attracted much attention for over a decade and has been successfully applied to numerous data analysis problems. In applications where the components of the data are necessarily nonnegative, such as chemical concentrations in experimental results or pixels in digital images, NMF provides a more relevant interpretation of the results since it gives nonsubtractive combinations of nonnegative basis vectors. In this paper, we introduce an algorithm for NMF based on alternating nonnegativity constrained least squares (NMF/ANLS) and the active set–based fast algorithm for nonnegativity constrained least squares with multiple right-hand side vectors, and we discuss its …"
5,Missing value estimation for DNA microarray gene expression data: local least squares imputation,711,2005,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=G6kA1CMAAAAJ&pagesize=50&citation_for_view=G6kA1CMAAAAJ:d1gkVwhDpl0C,"Motivation: Gene expression data often contain missing expression values. Effective missing value estimation methods are needed since many algorithms for gene expression data analysis require a complete matrix of gene array values. In this paper, imputation methods based on the least squares formulation are proposed to estimate missing values in the gene expression data, which exploit local similarity structures in the data as well as least squares optimization process. Results: The proposed local least squares imputation method (LLSimpute) represents a target gene that has missing values as a linear combination of similar genes. The similar genes are chosen by k-nearest neighbors or k coherent genes that have large absolute values of Pearson correlation coefficients. Non-parametric missing values estimation method of LLSimpute are designed by introducing an automatic k-value …"
6,Effect of MW and concentration of chitosan on antibacterial activity of Escherichia coli,710,2006,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=G6kA1CMAAAAJ&pagesize=50&citation_for_view=G6kA1CMAAAAJ:c3iu29LiD84C,"Different molecular weight (MW) chitosans (5.5×104 to 15.5×104Da) with the same degree of deacetylation (80%±0.29), were obtained by the method of acetic acid hydrolysis. The effect of antimicrobial activities of chitosan and acetic acid against Escherichia coli were investigated. All of the chitosan samples with MW from 5.5×104 to 15.5×104Da had antimicrobial activities at the concentrations higher than 200ppm. The growth of E. coli was promoted at concentration lower than 200ppm. The antibacterial activity of chitosan had relationship to the MW at the concentration range from 50 to 100ppm. The antibacterial activity of low MW chitosan is higher than that of the high MW samples. But the chitosan sample with the middle MW (9.0×104Da) could promote the growth of bacteria. In the different stages of cultivation, the earlier chitosan was added the greater effect it did. And the mechanism of antibacterial activity …"
7,Fast nonnegative matrix factorization: An active-set-like method and comparisons,688,2011,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=G6kA1CMAAAAJ&pagesize=50&citation_for_view=G6kA1CMAAAAJ:bEWYMUwI8FkC,"Nonnegative matrix factorization (NMF) is a dimension reduction method that has been widely used for numerous applications, including text mining, computer vision, pattern discovery, and bioinformatics. A mathematical formulation for NMF appears as a nonconvex optimization problem, and various types of algorithms have been devised to solve the problem. The alternating nonnegative least squares (ANLS) framework is a block coordinate descent approach for solving NMF, which was recently shown to be theoretically sound and empirically efficient. In this paper, we present a novel algorithm for NMF based on the ANLS framework. Our new algorithm builds upon the block principal pivoting method for the nonnegativity-constrained least squares problem that overcomes a limitation of the active set method. We introduce ideas that efficiently extend the block principal pivoting method within the context of NMF …"
8,Symmetric nonnegative matrix factorization for graph clustering,600,2012,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=G6kA1CMAAAAJ&pagesize=50&citation_for_view=G6kA1CMAAAAJ:l7t_Zn2s7bgC,"Nonnegative matrix factorization (NMF) provides a lower rank approximation of a nonnegative matrix, and has been successfully used as a clustering method. In this paper, we offer some conceptual understanding for the capabilities and shortcomings of NMF as a clustering method. Then, we propose Symmetric NMF (SymNMF) as a general framework for graph clustering, which inherits the advantages of NMF by enforcing nonnegativity on the clustering assignment matrix. Unlike NMF, however, SymNMF is based on a similarity measure between data points, and factorizes a symmetric matrix containing pairwise similarity values (not necessarily nonnegative). We compare SymNMF with the widely-used spectral clustering methods, and give an intuitive explanation of why SymNMF captures the cluster structure embedded in the graph representation more naturally. In addition, we develop a Newton-like algorithm …"
9,Algorithms for nonnegative matrix and tensor factorizations: A unified view based on block coordinate descent framework,481,2014,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=G6kA1CMAAAAJ&pagesize=50&citation_for_view=G6kA1CMAAAAJ:2v_ZtQDX9iAC,"We review algorithms developed for nonnegative matrix factorization (NMF) and nonnegative tensor factorization (NTF) from a unified view based on the block coordinate descent (BCD) framework. NMF and NTF are low-rank approximation methods for matrices and tensors in which the low-rank factors are constrained to have only nonnegative elements. The nonnegativity constraints have been shown to enable natural interpretations and allow better solutions in numerous applications including text analysis, computer vision, and bioinformatics. However, the computation of NMF and NTF remains challenging and expensive due the constraints. Numerous algorithmic approaches have been proposed to efficiently compute NMF and NTF. The BCD framework in constrained non-linear optimization readily explains the theoretical convergence properties of several efficient NMF and NTF algorithms, which are …"
10,Generalizing discriminant analysis using the generalized singular value decomposition,453,2004,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=G6kA1CMAAAAJ&pagesize=50&citation_for_view=G6kA1CMAAAAJ:u-x6o8ySG0sC,"Discriminant analysis has been used for decades to extract features that preserve class separability. It is commonly defined as an optimization problem involving covariance matrices that represent the scatter within and between clusters. The requirement that one of these matrices be nonsingular limits its application to data sets with certain relative dimensions. We examine a number of optimization criteria, and extend their applicability by using the generalized singular value decomposition to circumvent the nonsingularity requirement. The result is a generalization of discriminant analysis that can be applied even when the sample size is smaller than the dimension of the sample data. We use classification results from the reduced representation to compare the effectiveness of this approach with some alternatives, and conclude with a discussion of their relative merits."
