Rank,Title,Citations,Year,URL,Description
1,Computer graphics: principles and practice,14268,1996,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=GmcChLIAAAAJ&pagesize=50&citation_for_view=GmcChLIAAAAJ:FiytvqdAVhgC,"Programming in the simple raster graphics package (SRGP)-Basic raster graphics algorithms for drawing 2D primitives-Graphics hardware-Geometrical transformations-Viewing in 3D-Object hierarchy and simple phigs (SPHIGS)-Input devices, interaction techniques, and interaction tasks-Dialogue design-User interface software-Representing curves and surfaces-Solid modeling-Achromatic and colored light-The quest for visual realism-Visible-surface determination-Illumination and shading-Image manipulation and storage-Advanced raster graphics architecture-Advanced geometric and raster algorithms-Advanced modeling techniques-Animation."
2,Fundamentals of interactive computer graphics,3856,1982,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=GmcChLIAAAAJ&pagesize=50&citation_for_view=GmcChLIAAAAJ:u-x6o8ySG0sC,"Fundamentals of interactive computer graphics | Guide books skip to main content ACM Digital Library home ACM Association for Computing Machinery corporate logo Sign in Register Advanced Search Journals Magazines Proceedings Books SIGs Conferences Institutions People More SearchSearch Search ACM Digital Library SearchSearch Advanced Search Browse Browse Digital Library Collections More Export Citations Select Citation format Please download or close your previous search result export first before starting a new bulk export. Preview is not available. By clicking download,a status dialog will open to start the export process. The process may takea few minutes but once it finishes a file will be downloadable from your browser. You may continue to browse the DL while the export process is in progress. Download citation Copy citation Several features on this page require Premium Access. Learn …"
3,Introduction to computer graphics,1269,1994,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=GmcChLIAAAAJ&pagesize=50&citation_for_view=GmcChLIAAAAJ:d1gkVwhDpl0C,• The term computer graphics (CG) describes the use of computers to create and manipulate images.• Graphics can be two-or three-dimensional• Computer Graphics is the creation and manipulation of images or pictures with the help of computers.• There are two types of computer graphics: 1) Passive Computer Graphics (Non-interactive Computer Graphics)
4,The human factors of computer graphics interaction techniques,684,1984,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=GmcChLIAAAAJ&pagesize=50&citation_for_view=GmcChLIAAAAJ:9yKSN-GCB0IC,"For the system designer the choices are bewildering: How does one put together, from a multitude of techniques and devices, the combination best suited to meet the needs of a human being who must perform real work?"
5,Evaluating a web lecture intervention in a human–computer interaction course,523,2006,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=GmcChLIAAAAJ&pagesize=50&citation_for_view=GmcChLIAAAAJ:Zph67rFs4hoC,"Research using Web lectures to enhance the classroom learning experience in an introductory human-computer interaction course is presented. By using Web lectures to present lecture material before class, more in-class time can be spent engaging students with hands-on learning activities-using class time for more learning by doing, less learning by listening. A quasi-experiment was conducted over a 15-week semester with 46 students in two sections of the same course-one section using Web lectures and one using traditional lectures. Many control measures were in place, including each section being taught by the same instructor and blind grading being used. The Web lecture section's grades were significantly higher than the traditional lecture section, and Web lecture students reported increasingly strong positive attitudes about the intervention. The twofold contribution of this work is a novel use of existing …"
6,Interfaces for advanced computing,429,1987,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=GmcChLIAAAAJ&pagesize=50&citation_for_view=GmcChLIAAAAJ:UeHWp8X0CEIC,"HEAD· MOUNTED MONITOR with a position and orientation sensor, gloves that track hand and finger movements and a microphone wired for voice recognition transport the user to a computer· generated reality. The user issues instructions to the computer by pointing, talking, gesturing and actually handling graphics images. Workers at the National Aeronautics and Space Administration's Ames Research Center have con structed several artificial realities for use in this system (see illustration on next page). established, although they are con stantly being refined. What remains to be addressed is the maximization of user efficiency."
7,The art of natural graphic man—Machine conversation,420,1974,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=GmcChLIAAAAJ&pagesize=50&citation_for_view=GmcChLIAAAAJ:1yWc8FF-_SYC,"The design of interactive graphic systems whose aim is good symbiosis between man and machine involves numerous factors. Many of those factors can be judged from the perspective of natural spoken conversation between two people. Guiding rules and principles for design of such systems are presented as a framework for a survey of design techniques for man-machine conversation. Attention is especially focused on ideas of action syntax structuring, logical equivalences among action devices, and avoidance of psychological blocks to communication."
8,Visualizing the world-wide web with the navigational view builder,220,1995,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=GmcChLIAAAAJ&pagesize=50&citation_for_view=GmcChLIAAAAJ:IjCSPb-OGe4C,"Overview diagrams are one of the best tools for orientation and navigation in hypermedia systems. However, constructing effective overview diagrams is a challenging task. This paper describes the Navigational View Builder, a tool which allows the user to interactively create useful visualizations of the information space. It uses four strategies to form effective views. These are binding, clustering, filtering and hierarchization. These strategies use a combination of structural and content analysis of the underlying space for forming the visualizations. This paper discusses these strategies and shows how they can be applied for forming visualizations for the World-Wide Web."
9,A second generation user interface design environment: The model and the runtime architecture,210,1993,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=GmcChLIAAAAJ&pagesize=50&citation_for_view=GmcChLIAAAAJ:Y0pCki6q_DkC,"Several obstacles exist in the user interface design process which distract a developer from designing a good user interface. One of the problems is the lack of an application model to keep the designer in perspective with the application. The other problem is having to deal with massive user interface programming to achieve a desired interface and to provide users with correct help information on the interface. In this paper, we discuss an application model which captures information about the application to specifications of a desired interface. The application model is then used to control the dialogues at runtime and can be used by a help component to automatically generate animated and textual help. Specification changes in the application model will automatically result in behavioral changes in the interface."
10,Visualizing complex hypermedia networks through multiple hierarchical views,198,1995,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=GmcChLIAAAAJ&pagesize=50&citation_for_view=GmcChLIAAAAJ:zYLM7Y9cAGgC,"Our work concerns visualizing the information space of hypermedia systems using multiple hierarchical views. Although overview diagrams are useful for helping the user to navigate in a hypermedia system, for any real-world system they become too complicated and large to be really useful. This is because these diagrams represent complex network structures which are very difficult to visualize and comprehend. On the other hand, effective visualizations of hierarchies have been developed. Our strategy is to provide the user with different hierarchies, each giving a different perspective to the underlying information space to help the user better comprehend the information. We propose an algorithm based on content and structural analysis to form hierarchies from hypermedia networks. The algorithm is automatic but can be guided by the user. The multiple hierarchies can be visualized in various ways. We give …"
