Rank,Title,Citations,Year,URL,Description
1,Goal-based requirements analysis,886,1996,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=IQosWycAAAAJ&pagesize=50&citation_for_view=IQosWycAAAAJ:u-x6o8ySG0sC,"Goals are a logical mechanism for identifying, organizing and justifying software requirements. Strategies are needed for the initial identification and construction of goals. We discuss goals from the perspective of two themes: goal analysis and goal evolution. We begin with an overview of the goal-based method we have developed and summarize our experiences in applying our method to a relatively large example. We illustrate some of the issues that practitioners face when using a goal-based approach to specify the requirements for a system and close the paper with a discussion of needed future research on goal-based requirements analysis and evolution."
2,Inquiry-based requirements analysis,805,1994,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=IQosWycAAAAJ&pagesize=50&citation_for_view=IQosWycAAAAJ:u5HHmVD_uO8C,"This approach emphasizes pinpointing where and when information needs occur; at its core is the inquiry cycle model, a structure for describing and supporting discussions about system requirements. The authors use a case study to describe the model's conversation metaphor, which follows analysis activities from requirements elicitation and documentation through refinement.<>"
3,Analyzing regulatory rules for privacy and security requirements,470,2008,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=IQosWycAAAAJ&pagesize=50&citation_for_view=IQosWycAAAAJ:2osOgNQ5qMEC,"Information practices that use personal, financial and health-related information are governed by U.S. laws and regulations to prevent unauthorized use and disclosure. To ensure compliance under the law, the security and privacy requirements of relevant software systems must be properly aligned with these regulations. However, these regulations describe stakeholder rules, called rights and obligations, in complex and sometimes ambiguous legal language. These ""rules"" are often precursors to software requirements that must undergo considerable refinement and analysis before they are implementable. To support the software engineering effort to derive security requirements from regulations, we present a methodology to extract access rights and obligations directly from regulation texts. The methodology provides statement-level coverage for an entire regulatory document to consistently identify and infer six …"
4,Towards regulatory compliance: Extracting rights and obligations to align requirements with regulations,408,2006,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=IQosWycAAAAJ&pagesize=50&citation_for_view=IQosWycAAAAJ:qjMakFHDy7sC,"In the United States, federal and state regulations prescribe stakeholder rights and obligations that must be satisfied by the requirements for software systems. These regulations are typically wrought with ambiguities, making the process of deriving system requirements ad hoc and error prone. In highly regulated domains such as healthcare, there is a need for more comprehensive standards that can be used to assure that system requirements conform to regulations. To address this need, we expound upon a process called semantic parameterization previously used to derive rights and obligations from privacy goals. In this work, we apply the process to the privacy rule from the U.S. Health Insurance Portability and Accountability Act (HIPAA). We present our methodology for extracting and prioritizing rights and obligations from regulations and show how semantic models can be used to clarify ambiguities through …"
5,The use of goals to surface requirements for evolving systems,392,1998,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=IQosWycAAAAJ&pagesize=50&citation_for_view=IQosWycAAAAJ:d1gkVwhDpl0C,"This paper addresses the use of goals to surface requirements for the redesign of existing or legacy systems. Goals are widely recognized as important precursors to system requirements, but the process of identifying and abstracting them has not been researched thoroughly. We present a summary of a goal-based method (GBRAM) for uncovering hidden issues, goals, and requirements and illustrate its application to a commercial system, an Intranet-based electronic commerce application, evaluating the method in the process. The core techniques comprising GBRAM are the systematic application of heuristics and inquiry questions for the analysis of goals, scenarios and obstacles. We conclude by discussing the lessons learned through applying goal refinement in the field and the implications for future research."
6,Examining Internet privacy policies within the context of user privacy values,364,2005,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=IQosWycAAAAJ&pagesize=50&citation_for_view=IQosWycAAAAJ:Y0pCki6q_DkC,"Internet privacy policies describe an organization's practices on data collection, use, and disclosure. These privacy policies both protect the organization and signal integrity commitment to site visitors. Consumers use the stated website policies to guide browsing and transaction decisions. This paper compares the classes of privacy protection goals (which express desired protection of consumer privacy rights) and vulnerabilities (which potentially threaten consumer privacy) with consumer privacy values. For this study, we looked at privacy policies from nearly 50 websites and surveyed over 1000 Internet users. We examined Internet users' major expectations about website privacy and revealed a notable discrepancy between what privacy policies are currently stating and what users deem most significant. Our findings suggest several implications to privacy managers and software project managers. Results from …"
7,Goal identification and refinement in the specification of software-based information systems,343,1997,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=IQosWycAAAAJ&pagesize=50&citation_for_view=IQosWycAAAAJ:BwyfMAYsbu0C,"This dissertation introduces the Goal-Based Requirements Analysis Method (GBRAM) for the identification and refinement of goals into operational requirements for software-based information systems. The method evolved as a result of its application to real world systems and processes, and was validated through its application to the redesign of a large commercial system. Further validation of the method was performed via an empirical evaluation. From these evaluations it was concluded that the method's straightforward, methodical approach to identifying system and enterprise goals and requirements suggests goal identification and refinement strategies and techniques through the inclusion of a set of heuristics, guidelines, and recurring question types. Four sets of heuristics are presented: identification heuristics, classification heuristics, refinement heuristics, and elaboration heuristics. The heuristics and …"
8,Goal decomposition and scenario analysis in business process reengineering,279,1994,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=IQosWycAAAAJ&pagesize=50&citation_for_view=IQosWycAAAAJ:9yKSN-GCB0IC,"This paper presents experiences in applying the goal decomposition and scenario analysis model in the context of Business Process Reengineering (BPR). The relationships of goals, scenarios, as well as the understanding and description of business processes are discussed. Different methods of goal refinement, and the application of scenarios to support this process of refining goals and roles are reviewed. A case study is presented which serves to exemplify and validate the process of using scenarios in refining business process descriptions. We tried deriving full scenarios for business processes, but obtaining them from the organization's prescriptive goals was difficult. Explanatory scenarios that justify descriptive goals are easier to obtain but are fragmentary. We conclude that both types of scenario and goal analysis are necessary for effective BPR. The need for technology support for this process is …"
9,Addressing legal requirements in requirements engineering,269,2007,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=IQosWycAAAAJ&pagesize=50&citation_for_view=IQosWycAAAAJ:_FxGoFyzp5QC,"Legal texts, such as regulations and legislation, are playing an increasingly important role in requirements engineering and system development. Monitoring systems for requirements and policy compliance has been recognized in the requirements engineering community as a key area for research. Similarly, regulatory compliance is critical in systems that are governed by regulations and law, especially given that non-compliance can result in both financial and criminal penalties. Working with legal texts can be very challenging, however, because they contain numerous ambiguities, cross-references, domain-specific definitions, and acronyms, and are frequently amended via new regulations and case law. Requirements engineers and compliance auditors must be able to identify relevant regulations, extract requirements and other key concepts, and monitor compliance throughout the software lifecycle. This paper …"
10,Financial privacy policies and the need for standardization,265,2004,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=IQosWycAAAAJ&pagesize=50&citation_for_view=IQosWycAAAAJ:UeHWp8X0CEIC,"The authors analyze 40 online privacy policy documents from nine financial institutions to examine their clarity and readability. Their findings show that compliance with the existing legislation and standards is, at best, questionable."
