Rank,Title,Citations,Year,URL,Description
1,"Decision-making authority, team efficiency and human worker satisfaction in mixed human–robot teams",383,2015,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Ihyz20wAAAAJ&pagesize=50&citation_for_view=Ihyz20wAAAAJ:nb7KW1ujOQ8C,"In manufacturing, advanced robotic technology has opened up the possibility of integrating highly autonomous mobile robots into human teams. However, with this capability comes the issue of how to maximize both team efficiency and the desire of human team members to work with these robotic counterparts. To address this concern, we conducted a set of experiments studying the effects of shared decision-making authority in human–robot and human-only teams. We found that an autonomous robot can outperform a human worker in the execution of part or all of the process of task allocation ( for both), and that people preferred to cede their control authority to the robot . We also established that people value human teammates more than robotic teammates; however, providing robots authority over team coordination more strongly improved the perceived value of these agents than giving similar …"
2,Effects of anthropomorphism and accountability on trust in human robot interaction,359,2020,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Ihyz20wAAAAJ&pagesize=50&citation_for_view=Ihyz20wAAAAJ:RGFaLdJalmkC,"This paper examines how people's trust and dependence on robot teammates providing decision support varies as a function of different attributes of the robot, such as perceived anthropomorphism, type of support provided by the robot, and its physical presence. We conduct a mixed-design user study with multiple robots to investigate trust, inappropriate reliance, and compliance measures in the context of a time-constrained game. We also examine how the effect of human accountability addresses errors due to over-compliance in the context of human robot interaction (HRI). This study is novel as it involves examining multiple attributes at once, thus enabling us to perform multi-way comparisons between different attributes on trust and compliance with the agent. Results from the 4x4x2x2 study show that behavior and anthropomorphism of the agent are the most significant factors in predicting the trust and …"
3,Multi-Agent Graph-Attention Communication and Teaming.,256,2021,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Ihyz20wAAAAJ&pagesize=50&citation_for_view=Ihyz20wAAAAJ:f2IySw72cVMC,"High-performing teams learn effective communication strategies to judiciously share information and reduce the cost of communication overhead. Within multi-agent reinforcement learning, synthesizing effective policies requires reasoning about when to communicate, whom to communicate with, and how to process messages. We propose a novel multi-agent reinforcement learning algorithm, Multi-Agent Graph-attentIon Communication (MAGIC), with a graph-attention communication protocol in which we learn 1) a Scheduler to help with the problems of when to communicate and whom to address messages to, and 2) a Message Processor using Graph Attention Networks (GATs) with dynamic graphs to deal with communication signals. The Scheduler consists of a graph attention encoder and a differentiable attention mechanism, which outputs dynamic, differentiable graphs to the Message Processor, which enables the Scheduler and Message Processor to be trained end-to-end. We evaluate our approach on a variety of cooperative tasks, including Google Research Football. Our method outperforms baselines across all domains, achieving≈ 10.5% increase in reward in the most challenging domain. We also show MAGIC communicates 27.4% more efficiently on average than baselines, is robust to stochasticity, and scales to larger state-action spaces. Finally, we demonstrate MAGIC on a physical, multi-robot testbed."
4,Optimization Methods for Interpretable Differentiable Decision Trees in Reinforcement Learning,244,2020,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Ihyz20wAAAAJ&pagesize=50&citation_for_view=Ihyz20wAAAAJ:k_IJM867U9cC,"Decision trees are ubiquitous in machine learning for their ease of use and interpretability. Yet, these models are not typically employed in reinforcement learning as they cannot be updated online via stochastic gradient descent. We overcome this limitation by allowing for a gradient update over the entire tree that improves sample complexity affords interpretable policy extraction. First, we include theoretical motivation on the need for policy-gradient learning by examining the properties of gradient descent over differentiable decision trees. Second, we demonstrate that our approach equals or outperforms a neural network on all domains and can learn discrete decision trees online with average rewards up to 7x higher than a batch-trained decision tree. Third, we conduct a user study to quantify the interpretability of a decision tree, rule list, and a neural network with statistically significant results ()."
5,"Computational design of mixed-initiative human–robot teaming that considers human factors: situational awareness, workload, and workflow preferences",220,2017,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Ihyz20wAAAAJ&pagesize=50&citation_for_view=Ihyz20wAAAAJ:MXK_kJrjxJIC,"Advancements in robotic technology are making it increasingly possible to integrate robots into the human workspace in order to improve productivity and decrease worker strain resulting from the performance of repetitive, arduous physical tasks. While new computational methods have significantly enhanced the ability of people and robots to work flexibly together, there has been little study of the ways in which human factors influence the design of these computational techniques. In particular, collaboration with robots presents unique challenges related to the preservation of human situational awareness and the optimization of workload allocation for human teammates while respecting their workflow preferences. We conducted a series of human subject experiments to investigate these human factors, and provide design guidelines for the development of intelligent collaborative robots based on our results."
6,Fast scheduling of robot teams performing tasks with temporospatial constraints,180,2018,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Ihyz20wAAAAJ&pagesize=50&citation_for_view=Ihyz20wAAAAJ:qxL8FJ1GzNcC,"The application of robotics to traditionally manual manufacturing processes requires careful coordination between human and robotic agents in order to support safe and efficient coordinated work. Tasks must be allocated to agents and sequenced according to temporal and spatial constraints. Also, systems must be capable of responding on-the-fly to disturbances and people working in close physical proximity to robots. In this paper, we present a centralized algorithm, named “Tercio,” that handles tightly intercoupled temporal and spatial constraints. Our key innovation is a fast, satisficing multi-agent task sequencer inspired by real-time processor scheduling techniques and adapted to leverage a hierarchical problem structure. We use this sequencer in conjunction with a mixed-integer linear program solver and empirically demonstrate the ability to generate near-optimal schedules for real-world problems an order …"
7,Learning from suboptimal demonstration via self-supervised reward regression,174,2020,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Ihyz20wAAAAJ&pagesize=50&citation_for_view=Ihyz20wAAAAJ:SeFeTyx0c_EC,"Learning from Demonstration (LfD) seeks to democratize robotics by enabling non-roboticist end-users to teach robots to perform a task by providing a human demonstration. However, modern LfD techniques, eg inverse reinforcement learning (IRL), assume users provide at least stochastically optimal demonstrations. This assumption fails to hold in most real-world scenarios. Recent attempts to learn from sub-optimal demonstration leverage pairwise rankings and following the Luce-Shepard rule. However, we show these approaches make incorrect assumptions and thus suffer from brittle, degraded performance. We overcome these limitations in developing a novel approach that bootstraps off suboptimal demonstrations to synthesize optimality-parameterized data to train an idealized reward function. We empirically validate we learn an idealized reward function with 0.95 correlation with ground-truth reward versus 0.75 for prior work. We can then train policies achieving 200% improvement over the suboptimal demonstration and 90% improvement over prior work. We present a physical demonstration of teaching a robot a topspin strike in table tennis that achieves 32% faster returns and 40% more topspin than user demonstration."
8,Explainable Artificial Intelligence: Evaluating the Objective and Subjective Impacts of XAI on Human-Agent Interaction,155,2023,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Ihyz20wAAAAJ&pagesize=50&citation_for_view=Ihyz20wAAAAJ:WA5NYHcadZ8C,"Intelligent agents must be able to communicate intentions and explain their decision-making processes to build trust, foster confidence, and improve human-agent team dynamics. Recognizing this need, academia and industry are rapidly proposing new ideas, methods, and frameworks to aid in the design of more explainable AI. Yet, there remains no standardized metric or experimental protocol for benchmarking new methods, leaving researchers to rely on their own intuition or ad hoc methods for assessing new concepts. In this work, we present the first comprehensive (n = 286) user study testing a wide range of approaches for explainable machine learning, including feature importance, probability scores, decision trees, counterfactual reasoning, natural language explanations, and case-based reasoning, as well as a baseline condition with no explanations. We provide the first large-scale empirical evidence …"
9,Fast scheduling of multi-robot teams with temporospatial constraints,154,2013,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Ihyz20wAAAAJ&pagesize=50&citation_for_view=Ihyz20wAAAAJ:u5HHmVD_uO8C,"New uses of robotics in traditionally manual manufacturing processes require the careful choreography of human and robotic agents to support safe and efficient coordinated work. Tasks must be allocated among agents and scheduled to meet temporal deadlines and spatial restrictions on agent proximity. These systems must also be capable of replanning onthe-fly to adapt to disturbances in the schedule and to respond to people working in close physical proximity. In this paper, we present a centralized algorithm, named Tercio, that handles tightly intercoupled temporal and spatial constraints and scales to larger problem sizes than prior art. Our key innovation is a fast, satisficing multi-agent task sequencer that is inspired by real-time processor scheduling techniques but is adapted to leverage hierarchical problem structure. We use this fast task sequencer in conjunction with a MILP solver, and show that we are able to generate near-optimal task assignments and schedules for up to 10 agents and 500 tasks in less than 20 seconds on average. Finally, we demonstrate the algorithm in a multi-robot hardware testbed."
10,Four years in review: Statistical practices of likert scales in human-robot interaction studies,151,2020,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Ihyz20wAAAAJ&pagesize=50&citation_for_view=Ihyz20wAAAAJ:GnPB-g6toBAC,"As robots become more prevalent, the importance of the field of human-robot interaction (HRI) grows accordingly. As such, we should endeavor to employ the best statistical practices. Likert scales are commonly used metrics in HRI to measure perceptions and attitudes. Due to misinformation or honest mistakes, most HRI researchers do not adopt best practices when analyzing Likert data. We conduct a review of psychometric literature to determine the current standard for Likert scale design and analysis. Next, we conduct a survey of four years of the International Conference on Human-Robot Interaction (2016 through 2019) and report on incorrect statistical practices and design of Likert scales. During these years, only 3 of the 110 papers applied proper statistical testing to correctly-designed Likert scales. Our analysis suggests there are areas for meaningful improvement in the design and testing of Likert scales …"
11,Robotic assistance in the coordination of patient care,137,2018,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Ihyz20wAAAAJ&pagesize=50&citation_for_view=Ihyz20wAAAAJ:0EnyYjriUFMC,"We conducted a study to investigate trust in and dependence upon robotic decision support among nurses and doctors on a labor and delivery floor. There is evidence that suggestions provided by embodied agents engender inappropriate degrees of trust and reliance among humans. This concern represents a critical barrier that must be addressed before fielding intelligent hospital service robots that take initiative to coordinate patient care. We conducted our experiment with nurses and physicians, and evaluated the subjects’ levels of trust in and dependence upon high- and low-quality recommendations issued by robotic versus computer-based decision support. The decision support, generated through action-driven learning from expert demonstration, produced high-quality recommendations that were accepted by nurses and physicians at a compliance rate of 90%. Rates of Type I and Type II errors were …"
