Rank,Title,Citations,Year,URL,Description
1,AdDroid: Privilege Separation for Applications and Advertisers in Android,430,2012,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=JvY2c4YAAAAJ&pagesize=50&citation_for_view=JvY2c4YAAAAJ:2osOgNQ5qMEC,"Advertising is a critical part of the Android ecosystem---many applications use one or more advertising services as a source of revenue. To use these services, developers must bundle third-party, binary-only libraries into their applications. In this model, applications and their advertising libraries share permissions. Advertising-supported applications must request multiple privacy-sensitive permissions on behalf of their advertising libraries, and advertising libraries receive access to all of their host applications' other permissions. We conducted a study of the Android Market and found that 49% of Android applications contain at least one advertising library, and these libraries overprivilege 46% of advertising-supported applications. Further, we find that 56% of the applications with advertisements that request location (34% of all applications) do so only because of advertisements. Such pervasive overprivileging is a …"
2,Global Measurement of DNS Manipulation,242,2017,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=JvY2c4YAAAAJ&pagesize=50&citation_for_view=JvY2c4YAAAAJ:W7OEmFMy1HYC,"Despite the pervasive nature of Internet censorship and the continuous evolution of how and where censorship is applied, measurements of censorship remain comparatively sparse. Understanding the scope, scale, and evolution of Internet censorship requires global measurements, performed at regular intervals. Unfortunately, the state of the art relies on techniques that, by and large, require users to directly participate in gathering these measurements, drastically limiting their coverage and inhibiting regular data collection. To facilitate large-scale measurements that can fill this gap in understanding, we develop Iris, a scalable, accurate, and ethical method to measure global manipulation of DNS resolutions. Iris reveals widespread DNS manipulation of many domain names; our findings both confirm anecdotal or limited results from previous work and reveal new patterns in DNS manipulation."
3,Global-Scale Measurement of DNS Manipulation,242,2017,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=JvY2c4YAAAAJ&pagesize=50&citation_for_view=JvY2c4YAAAAJ:ufrVoPGSRksC,Description not available
4,Reading the Tea Leaves: A Comparative Analysis of Threat Intelligence,193,2019,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=JvY2c4YAAAAJ&pagesize=50&citation_for_view=JvY2c4YAAAAJ:WF5omc3nYNoC,"The term “threat intelligence” has swiftly become a staple buzzword in the computer security industry. The entirely reasonable premise is that, by compiling up-to-date information about known threats (ie, IP addresses, domain names, file hashes, etc.), recipients of such information may be able to better defend their systems from future attacks. Thus, today a wide array of public and commercial sources distribute threat intelligence data feeds to support this purpose. However, our understanding of this data, its characterization and the extent to which it can meaningfully support its intended uses, is still quite limited. In this paper, we address these gaps by formally defining a set of metrics for characterizing threat intelligence data feeds and using these measures to systematically characterize a broad range of public and commercial sources. Further, we ground our quantitative assessments using external measurements to qualitatively investigate issues of coverage and accuracy. Unfortunately, our measurement results suggest that there are significant limitations and challenges in using existing threat intelligence data for its purported goals."
5,Ad injection at scale: Assessing deceptive advertisement modifications,180,2015,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=JvY2c4YAAAAJ&pagesize=50&citation_for_view=JvY2c4YAAAAJ:IjCSPb-OGe4C,"Today, web injection manifests in many forms, but fundamentally occurs when malicious and unwanted actors tamper directly with browser sessions for their own profit. In this work we illuminate the scope and negative impact of one of these forms, ad injection, in which users have ads imposed on them in addition to, or different from, those that websites originally sent them. We develop a multi-staged pipeline that identifies ad injection in the wild and captures its distribution and revenue chains. We find that ad injection has entrenched itself as a cross-browser monetization platform impacting more than 5% of unique daily IP addresses accessing Google -- tens of millions of users around the globe. Injected ads arrive on a client's machine through multiple vectors: our measurements identify 50,870 Chrome extensions and 34,407 Windows binaries, 38% and 17% of which are explicitly malicious. A small number of …"
6,Augur: Internet-Wide Detection of Connectivity Disruptions,120,2017,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=JvY2c4YAAAAJ&pagesize=50&citation_for_view=JvY2c4YAAAAJ:Tyk-4Ss8FVUC,"Anecdotes, news reports, and policy briefings collectively suggest that Internet censorship practices are pervasive. The scale and diversity of Internet censorship practices makes it difficult to precisely monitor where, when, and how censorship occurs, as well as what is censored. The potential risks in performing the measurements make this problem even more challenging. As a result, many accounts of censorship begin-and end-with anecdotes or short-term studies from only a handful of vantage points. We seek to instead continuously monitor information about Internet reachability, to capture the onset or termination of censorship across regions and ISPs. To achieve this goal, we introduce Augur, a method and accompanying system that utilizes TCP/IP side channels to measure reachability between two Internet locations without directly controlling a measurement vantage point at either location. Using these side …"
7,What's Clicking What? Techniques and Innovations of Today's Clickbots.,114,2011,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=JvY2c4YAAAAJ&pagesize=50&citation_for_view=JvY2c4YAAAAJ:u-x6o8ySG0sC,"With the widespread adoption of Internet advertising, fraud has become a systemic problem. While the existence of clickbots—malware specialized for conducting click-fraud—has been known for a number of years, the actual functioning of these programs has seen little study. We examine the operation and underlying economic models of two families of modern clickbots, “Fiesta” and “7cy.” By operating the malware specimens in a controlled environment we reverse-engineered the protocols used to direct the clickbots in their activities. We then devised a milker program that mimics clickbots requesting instructions, enabling us to extract over 360,000 click-fraud directives from the clickbots’ control servers. We report on the functioning of the clickbots, the steps they employ to evade detection, variations in how their masters operate them depending on their geographic locality, and the differing economic models …"
8,Characterizing Large-Scale Click Fraud in ZeroAccess,109,2014,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=JvY2c4YAAAAJ&pagesize=50&citation_for_view=JvY2c4YAAAAJ:UeHWp8X0CEIC,"Click fraud is a scam that hits a criminal sweet spot by both tapping into the vast wealth of online advertising and exploiting that ecosystem's complex structure to obfuscate the flow of money to its perpetrators. In this work, we illuminate the intricate nature of this activity through the lens of ZeroAccess--one of the largest click fraud botnets in operation. Using a broad range of data sources, including peer-to-peer measurements, command-and-control telemetry, and contemporaneous click data from one of the top ad networks, we construct a view into the scale and complexity of modern click fraud operations. By leveraging the dynamics associated with Microsoft's attempted takedown of ZeroAccess in December 2013, we employ this coordinated view to identify ""ad units"" whose traffic (and hence revenue) primarily derived from ZeroAccess. While it proves highly challenging to extrapolate from our direct observations to …"
9,To Catch a Ratter: Monitoring the Behavior of Amateur DarkComet RAT Operators in the Wild,78,2017,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=JvY2c4YAAAAJ&pagesize=50&citation_for_view=JvY2c4YAAAAJ:Y0pCki6q_DkC,"Remote Access Trojans (RATs) give remote attackers interactive control over a compromised machine. Unlike large-scale malware such as botnets, a RAT is controlled individually by a human operator interacting with the compromised machine remotely. The versatility of RATs makes them attractive to actors of all levels of sophistication: they've been used for espionage, information theft, voyeurism and extortion. Despite their increasing use, there are still major gaps in our understanding of RATs and their operators, including motives, intentions, procedures, and weak points where defenses might be most effective. In this work we study the use of DarkComet, a popular commercial RAT. We collected 19,109 samples of DarkComet malware found in the wild, and in the course of two, several-week-long experiments, ran as many samples as possible in our honeypot environment. By monitoring a sample's behavior in …"
10,Deep entity classification: Abusive account detection for online social networks,69,2021,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=JvY2c4YAAAAJ&pagesize=50&citation_for_view=JvY2c4YAAAAJ:Se3iqnhoufwC,"Online social networks (OSNs) attract attackers that use abusive accounts to conduct malicious activities for economic, political, and personal gain. In response, OSNs often deploy abusive account classifiers using machine learning (ML) approaches. However, a practical, effective ML-based defense requires carefully engineering features that are robust to adversarial manipulation, obtaining enough ground truth labeled data for model training, and designing a system that can scale to all active accounts on an OSN (potentially in the billions)."
