Rank,Title,Citations,Year,URL,Description
1,Native lookup instruction for file-access processor searching a three-level lookup cache for variable-length keys,149,2006,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=KY-eoQkAAAAJ&pagesize=50&citation_for_view=KY-eoQkAAAAJ:HoB7MX3m0LUC,"This invention relates to microprocessors, and more par ticularly to table-lookup instruction execution. Compared with reduced instruction set computer (RISC) microprocessors, complex instruction set computer (CISC) processors execute relatively complex instructions, such as multiplies, memory-indirect moves, and register exchanges. However, these CISC instructions are still much less com plex that higher-level application program code. For example, Searching a table of file mappings or trans lations requires execution of many CISC instructions to construct addresses, read from the table, compare or the data read, and to copy results or addresses to registers. When the lookup term is a long string, more CISC instructions are needed to read the string from memory and move it into the microprocessor's general-purpose registers (GPR's) before the string can be compared to table entries. Long strings may require …"
2,Functional-level instruction-set computer architecture for processing application-layer content-service requests such as file-access requests,126,2007,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=KY-eoQkAAAAJ&pagesize=50&citation_for_view=KY-eoQkAAAAJ:u_35RYKgDlwC,"When accessing a data file on a remote server, a client application can generate a request message using one of the file-access protocols and send this message to the server in a lower-level packet such as a Transport-Control-Protocol/Internet Protocol (TCP/IP) packet. The server extracts the message, determines which file-access protocol is being used, and processes the message. A reply message is gen erated, perhaps containing the requested data file or a pointer to the file. The reply message can then be encapsulated in one or more lower-level packets and transmitted back to the client."
3,{VulChecker}: Graph-based vulnerability localization in source code,110,2023,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=KY-eoQkAAAAJ&pagesize=50&citation_for_view=KY-eoQkAAAAJ:k_IJM867U9cC,"In software development, it is critical to detect vulnerabilities in a project as early as possible. Although, deep learning has shown promise in this task, current state-of-the-art methods cannot classify and identify the line on which the vulnerability occurs. Instead, the developer is tasked with searching for an arbitrary bug in an entire function or even larger region of code. In this paper, we propose VulChecker: a tool that can precisely locate vulnerabilities in source code (down to the exact instruction) as well as classify their type (CWE). To accomplish this, we propose a new program representation, program slicing strategy, and the use of a message-passing graph neural network to utilize all of code’s semantics and improve the reach between a vulnerability’s root cause and manifestation points. We also propose a novel data augmentation strategy for cheaply creating strong datasets for vulnerability detection in the wild, using free synthetic samples available online. With this training strategy, VulChecker was able to identify 24 CVEs (10 from 2019 & 2020) in 19 projects taken from the wild, with nearly zero false positives compared to a commercial tool that could only detect 4. VulChecker also discovered an exploitable zero-day vulnerability, which has been reported to developers for responsible disclosure."
4,A physics‐based strategy for cyber resilience of CPS,40,2019,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=KY-eoQkAAAAJ&pagesize=50&citation_for_view=KY-eoQkAAAAJ:e5wmG9Sq2KIC,"Naval forces rely heavily on Cyber-Physical Systems (CPS) to conduct operations and achieve mission success. As CPS infrastructure becomes exposed to the contested world through networks, CPS security becomes much more important. In a CPS, the cyber components manage the physical components. ONR proposes that the overall goal for CPS resiliency is to have the physical systems behave properly regardless of fault and disruption. Our approach to CPS resiliency focuses on the physical components. We observed that the inertia of the physical components provides a natural but limited resilience, and is capable of tolerating short-term disruption without affecting the health and safety of the CPS. This and the fact that a CPS has a large difference between physical and cyber time scales, enables a unique approach to CPS resiliency. We present Byzantine Fault Tolerant++ (BFT++), a cyber resilient …"
5,Functional-level instruction-set computer architecture for processing application-layer content-service requests such as file-access requests,32,2011,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=KY-eoQkAAAAJ&pagesize=50&citation_for_view=KY-eoQkAAAAJ:3s1wT3WcHBgC,"(57) ABSTRACT A functional-level instruction-set computing (FLIC) archi tecture executes higher-level functional instructions such as lookups and bit-compares of variable-length operands. Each FLIC processing-engine slice has specialized processing units including a lookup unit that searches for a matching entry in a lookup cache. Variable-length operands are stored in execution buffers. The operand length and location in the execution buffer are stored in fixed-length general-purpose registers (GPRs) that also store fixed-length operands. A copy/move unit moves data between input and output buffers and one or more FLIC processing-engine slices. Multiple contexts can each have a set of GPRS and execution buffers.An expansion buffer in a FLIC slice can be allocated to a context to expand that context’s execution buffer for storing longer operands. The FLIC engine is optimized to parse, lookup, and process …"
6,A knowledge-based expert system for automatic visual VLSI reverse-engineering: VLSI layout version,23,2002,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=KY-eoQkAAAAJ&pagesize=50&citation_for_view=KY-eoQkAAAAJ:D03iK_w7-QYC,"This paper presents a method of knowledge representation for very large scale integration (VLSI) chip design which provides the necessary information for abstraction from the physical design to gate-level logic through a high-level behavioral model. The representation scheme used by the ANTISTROFEAS system utilizes a hierarchical attributed graph structure which consists of incrementally abstracted design information for the VLSI system. This method of knowledge representation is well-suited to reverse-engineering of VLSI chips from the layer mask layout data, but is also applicable to applications at many levels of the design process including design rule checking, logic synthesis, design verification, and partitioning-compaction problems. The representation scheme is applicable to any VLSI technology, and is designed to take advantage of artificial intelligence. expert system techniques, by disassociating …"
7,A timing-based framework for designing resilient cyber-physical systems under safety constraint,19,2023,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=KY-eoQkAAAAJ&pagesize=50&citation_for_view=KY-eoQkAAAAJ:bEWYMUwI8FkC,"Cyber-physical systems (CPS) are required to satisfy safety constraints in various application domains such as robotics, industrial manufacturing systems, and power systems. Faults and cyber attacks have been shown to cause safety violations, which can damage the system and endanger human lives. Resilient architectures have been proposed to ensure safety of CPS under such faults and attacks via methodologies including redundancy and restarting from safe operating conditions. The existing resilient architectures for CPS utilize different mechanisms to guarantee safety, and currently, there is no common framework to compare them. Moreover, the analysis and design undertaken for CPS employing one architecture is not readily extendable to another. In this article, we propose a timing-based framework for CPS employing various resilient architectures and develop a common methodology for safety analysis …"
8,Human decision making model for autonomic cyber systems,19,2014,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=KY-eoQkAAAAJ&pagesize=50&citation_for_view=KY-eoQkAAAAJ:_Qo2XoVZTnwC,"Real-time autonomy is a key element for system which closes the loop between observation, interpretation, planning, and action, commonly found in UxV, robotics, smart vehicle technologies, automated industrial machineries, and autonomic computing. Real-time autonomic cyber system requires timely and accurate decision making and adaptive planning. Autonomic decision making understands its own state and the perceived state of its environment. It is capable of anticipating changes and future states and projecting the effects of actions into future states. Understanding of current state and the knowledge/model of the world are needed for extrapolating actions and deriving action plans. This position paper proposes a hybrid, statistical-formal approach toward achieving realtime autonomy."
9,A holistic approach for automatic deep understanding and protection of technical documents,14,2020,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=KY-eoQkAAAAJ&pagesize=50&citation_for_view=KY-eoQkAAAAJ:35N4QoGY0k4C,"A Technical Document (TD) is mainly composed by a set of modalities appropriately structured and associated. These modalities could be NL-text, block diagrams, formulas, tables, graphics, pictures etc. A deep understanding of a TD will be based on the synergistic understanding and associations of these modalities. This paper offers a novel methodology for the implementation of a holistic approach for deep understanding of technical documents by understanding and associating these modalities. This approach is based on the homogeneous expression (mapping) of the technical document modalities into the same medium, which in this case is the Stochastic Petri-nets (SPN). Then, these modalities are associated to each other generating new knowledge about the technical document topic and a SPN simulator is created to offer additional information about the functional behavior of the system described in the …"
10,Distributed knowledge-base: adaptive multi-agents approach,12,1998,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=KY-eoQkAAAAJ&pagesize=50&citation_for_view=KY-eoQkAAAAJ:hMod-77fHWUC,"This paper describes an approach of using Multi-agents theory to construct an adaptive knowledge base system. To represent the knowledge, frame base (graph) knowledge representation has been chosen. The driving force of this study is the intention of having a distributed (possibly across the net) adaptive knowledge base. The challenge of developing an adaptive knowledge base lays on how to evolve the knowledge (adaptability) and how to control the evolution (maintain the quality of the knowledge). In this paper the manifestation of both of the issues above on our model will be addressed."
11,Hardware design of a letter-driven OCR and document processing system,12,1996,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=KY-eoQkAAAAJ&pagesize=50&citation_for_view=KY-eoQkAAAAJ:yD5IFk8b50cC,"In this paper the design of a letter-driven OCR and document processing system is presented. The system can scan, detect, extract and recognize text characters directly from a document. Instead of sending binary strings of «0s» and «1s» like conventional scanners to the host computer's memory (where software programs are used to recognize the characters), it sends only the ASCII code of recognized characters to the host computer. When it works as a document processing system, it saves in the main processor memory all the recognizable characters, which belong to the same word, and attempts a matching process with the contents of lexicon database. The system presented here consists of ten main parts: a focusing and zooming unit (FZ), segmentation and text binarization unit (STB), text sentences detection and paragraph synthesis unit (TSDPS), a raster scanner unit (RS), a horizontal and vertical …"
12,A neuro-expert system for the prediction of software metrics,12,1996,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=KY-eoQkAAAAJ&pagesize=50&citation_for_view=KY-eoQkAAAAJ:M05iB0D1s5AC,"This paper deals with the design and modeling of a neuro-expert (NE) system for the prediction of software metrics. The NE consists of two neural networks and an expert system with fuzzy reasoning in order to achieve a better evaluation of software metrics. More specifically, the importance of using both neural networks and an expert system is to combine the adaptive nature of neural networks on different sets of data, with the high-level reasoning provided by the expert system, for a better overall evaluation. In this paper the first stage modeling of the NE system is presented."
13,A natural language processing approach for instruction set architecture identification,11,2023,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=KY-eoQkAAAAJ&pagesize=50&citation_for_view=KY-eoQkAAAAJ:r0BpntZqJG4C,"Binary analysis of software is a critical step in cyber forensics applications such as program vulnerability assessment and malware detection. This involves interpreting instructions executed by software and often necessitates converting the software’s binary file data to assembly language. The conversion process requires information about the binary file’s target instruction set architecture (ISA). However, ISA information might not be included in binary files due to compilation errors, partial downloads, or adversarial corruption of file metadata. Machine learning (ML) is a promising methodology that can be used to identify the target ISA using binary data in the object code section of binary files. In this paper we propose a binary code feature extraction model to improve the accuracy and scalability of ML-based ISA identification methods. Our feature extraction model can be used in the absence of domain knowledge …"
14,A digital retina-like low-level vision processor,11,2003,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=KY-eoQkAAAAJ&pagesize=50&citation_for_view=KY-eoQkAAAAJ:a0OBvERweLwC,"This correspondence presents the basic design and the simulation of a low level multilayer vision processor that emulates to some degree the functional behavior of a human retina. This retina-like multilayer processor is the lower part of an autonomous self-organized vision system, called Kydon, that could be used on visually impaired people with a damaged visual cerebral cortex. The Kydon vision system, however, is not presented in this paper. The retina-like processor consists of four major layers, where each of them is an array processor based on hexagonal, autonomous processing elements that perform a certain set of low level vision tasks, such as smoothing and light adaptation, edge detection, segmentation, line recognition and region-graph generation. At each layer, the array processor is a 2D array of k/spl times/m hexagonal identical autonomous cells that simultaneously execute certain low level …"
