Rank,Title,Citations,Year,URL,Description
1,A prospective study of the emergence of early behavioral signs of autism,1497,2010,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=LAuxzv0AAAAJ&pagesize=50&citation_for_view=LAuxzv0AAAAJ:u5HHmVD_uO8C,"OBJECTIVE To examine prospectively the emergence of behavioral signs of autism in the first years of life in infants at low and high risk for autism. METHOD A prospective longitudinal design was used to compare 25 infants later diagnosed with an autism spectrum disorder (ASD) with 25 gender-matched low-risk children later determined to have typical development. Participants were evaluated at 6, 12, 18, 24, and 36 months of age. Frequencies of gaze to faces, social smiles, and directed vocalizations were coded from video and rated by examiners. RESULTS The frequency of gaze to faces, shared smiles, and vocalizations to others were highly comparable between groups at 6 months of age, but significantly declining trajectories over time were apparent in the group later diagnosed with ASD. Group differences were significant by 12 months of age on most variables. Although repeated evaluation documented …"
2,A prospective study of response to name in infants at risk for autism,368,2007,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=LAuxzv0AAAAJ&pagesize=50&citation_for_view=LAuxzv0AAAAJ:u-x6o8ySG0sC,"ObjectiveTo assess the sensitivity and specificity of decreased response to name at age 12 months as a screen for autism spectrum disorders (ASD) and other developmental delays.DesignProspective, longitudinal design studying infants at risk for ASD.SettingResearch laboratory at university medical center.ParticipantsInfants at risk for autism (55 six-month-olds, 101 twelve-month-olds) and a control group at no known risk (43 six-month-olds, 46 twelve-month-olds). To date, 46 at-risk infants and 25 control infants have been followed up to 24 months.InterventionExperimental task eliciting response-to-name behavior.Main Outcome MeasuresAutism Diagnostic Observation Schedule, Mullen Scales of Early Learning.ResultsAt age 6 months, there was a nonsignificant trend for control infants to require a fewer number of calls to respond to name than infants at risk for autism. At age 12 months, 100% of infants in the …"
3,Behavioral profiles of affected and unaffected siblings of children with autism: Contribution of measures of mother–infant interaction and nonverbal communication,366,2011,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=LAuxzv0AAAAJ&pagesize=50&citation_for_view=LAuxzv0AAAAJ:9yKSN-GCB0IC,"We investigated whether deficits in social gaze and affect and in joint attention behaviors are evident within the first year of life among siblings of children with autism who go on to be diagnosed with autism or ASD (ASD) and siblings who are non-diagnosed (NoASD-sib) compared to low-risk controls. The ASD group did not differ from the other two groups at 6 months of age in the frequency of gaze, smiles, and vocalizations directed toward the caregiver, nor in their sensitivity to her withdrawal from interaction. However, by 12 months, infants in the ASD group exhibited lower rates of joint attention and requesting behaviors. In contrast, NoASD-sibs did not differ from comparison infants on any variables of interest at 6 and 12 months."
4,Early detection of core deficits in autism,256,2004,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=LAuxzv0AAAAJ&pagesize=50&citation_for_view=LAuxzv0AAAAJ:d1gkVwhDpl0C,"The goal of this review of the research literature is to discuss approaches to the early detection of autism in infancy. Early detection would enable diagnoses to be made before 18 months of age rather than at 24–30 months, the age where diagnoses start to be made now. After summarizing the criteria for a deficit to be considered “core” to the disorder, the literature on research strategies used in early detection is examined. In order to guide the design of future studies, the review then turns to an overview of what is known about the processes of early social development in typically developing children that underlie the domains in which core deficits are manifested in young children with autism. The social domains covered in the review are those that show development in typically developing infants below 18 months of age: dyadic interaction and imitation; emotion discrimination; and attachment. The review …"
5,Decoding children's social behavior,235,2013,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=LAuxzv0AAAAJ&pagesize=50&citation_for_view=LAuxzv0AAAAJ:zYLM7Y9cAGgC,"We introduce a new problem domain for activity recognition: the analysis of children's social and communicative behaviors based on video and audio data. We specifically target interactions between children aged 1-2 years and an adult. Such interactions arise naturally in the diagnosis and treatment of developmental disorders such as autism. We introduce a new publicly-available dataset containing over 160 sessions of a 3-5 minute child-adult interaction. In each session, the adult examiner followed a semistructured play interaction protocol which was designed to elicit a broad range of social behaviors. We identify the key technical challenges in analyzing these behaviors, and describe methods for decoding the interactions. We present experimental results that demonstrate the potential of the dataset to drive interesting research questions, and show preliminary results for multi-modal activity recognition."
6,Imitation from 12 to 24 months in autism and typical development: a longitudinal Rasch analysis.,213,2011,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=LAuxzv0AAAAJ&pagesize=50&citation_for_view=LAuxzv0AAAAJ:2osOgNQ5qMEC,"The development of imitation during the second year of life plays an important role in domains of sociocognitive development such as language and social learning. Deficits in imitation ability in persons with autism spectrum disorder (ASD) from toddlerhood into adulthood have also been repeatedly documented, raising the possibility that early disruptions in imitation contribute to the onset of ASD and the deficits in language and social interaction that define the disorder. This study prospectively examined the development of imitation between 12 and 24 months of age in 154 infants at familial risk for ASD and 78 typically developing infants who were all later assessed at 36 months for ASD or other developmental delays. The study established a developmental measure of imitation ability and examined group differences over time, using an analytic Rasch measurement model. Results revealed a unidimensional …"
7,"Connecting gaze, scene, and attention: Generalized attention estimation via joint modeling of gaze and scene saliency",189,2018,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=LAuxzv0AAAAJ&pagesize=50&citation_for_view=LAuxzv0AAAAJ:isC4tDSrTZIC,"This paper addresses the challenging problem of estimating the general visual attention of people in images. Our proposed method is designed to work across multiple naturalistic social scenarios and provides a full picture of the subject’s attention and gaze. In contrast, earlier works on gaze and attention estimation have focused on constrained problems in more specific contexts. In particular, our model explicitly represents the gaze direction and handles out-of-frame gaze targets. We leverage three different datasets using a multi-task learning approach. We evaluate our method on widely used benchmarks for single-tasks such as gaze angle estimation and attention-within-an-image, as well as on the new challenging task of generalized visual attention prediction. In addition, we have created extended annotations for the MMDB and GazeFollow datasets which are used in our experiments, which we will publicly release."
8,Using electrodermal activity to recognize ease of engagement in children during social interactions,180,2014,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=LAuxzv0AAAAJ&pagesize=50&citation_for_view=LAuxzv0AAAAJ:KlAtU1dfN6UC,"The recent emergence of comfortable wearable sensors has focused almost entirely on monitoring physical activity, ignoring opportunities to monitor more subtle phenomena, such as the quality of social interactions. We argue that it is compelling to address whether physiological sensors can shed light on quality of social interactive behavior. This work leverages the use of a wearable electrodermal activity (EDA) sensor to recognize ease of engagement of children during a social interaction with an adult. In particular, we monitored 51 child-adult dyads in a semi-structured play interaction and used Support Vector Machines to automatically identify children who had been rated by the adult as more or less difficult to engage. We report on the classification value of several features extracted from the child's EDA responses, as well as several other features capturing the physiological synchrony between the child and …"
9,Detecting eye contact using wearable eye-tracking glasses,174,2012,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=LAuxzv0AAAAJ&pagesize=50&citation_for_view=LAuxzv0AAAAJ:Y0pCki6q_DkC,"We describe a system for detecting moments of eye contact between an adult and a child, based on a single pair of gaze-tracking glasses which are worn by the adult. Our method utilizes commercial gaze tracking technology to determine the adult's point of gaze, and combines this with computer vision analysis of video of the child's face to determine their gaze direction. Eye contact is then detected as the event of simultaneous, mutual looking at faces by the dyad. We report encouraging findings from an initial implementation and evaluation of this approach."
10,Automatic assessment of problem behavior in individuals with developmental disabilities,154,2012,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=LAuxzv0AAAAJ&pagesize=50&citation_for_view=LAuxzv0AAAAJ:Tyk-4Ss8FVUC,"Severe behavior problems of children with developmental disabilities often require intervention by specialists. These specialists rely on direct observation of the behavior, usually in a controlled clinical environment. In this paper, we present a technique for using on-body accelerometers to assist in automated classification of problem behavior during such direct observation. Using simulated data of episodes of severe behavior acted out by trained specialists, we demonstrate how machine learning techniques can be used to segment relevant behavioral episodes from a continuous sensor stream and to classify them into distinct categories of severe behavior (aggression, disruption, and self-injury). We further validate our approach by demonstrating it produces no false positives when applied to a publicly accessible dataset of activities of daily living. Finally, we show promising classification results when our sensing …"
