Rank,Title,Citations,Year,URL,Description
1,Stuxnet and the limits of cyber warfare,703,2013,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Lde9BAgAAAAJ&pagesize=50&citation_for_view=Lde9BAgAAAAJ:u5HHmVD_uO8C,"Stuxnet, the computer worm which disrupted Iranian nuclear enrichment in 2010, is the first instance of a computer network attack known to cause physical damage across international boundaries. Some have described Stuxnet as the harbinger of a new form of warfare that threatens even the strongest military powers. The influential but largely untested Cyber Revolution thesis holds that the internet gives militarily weaker actors asymmetric advantages, that offense is becoming easier while defense is growing harder, and that the attacker's anonymity undermines deterrence. However, the empirical facts of Stuxnet support an opposite interpretation; cyber capabilities can marginally enhance the power of stronger over weaker actors, the complexity of weaponization makes cyber offense less easy and defense more feasible than generally appreciated, and cyber options are most attractive when deterrence is intact …"
2,"Weaving tangled webs: Offense, defense, and deception in cyberspace",356,2015,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Lde9BAgAAAAJ&pagesize=50&citation_for_view=Lde9BAgAAAAJ:3fE2CSJIrl8C,"It is widely believed that cyberspace is offense dominant because of technical characteristics that undermine deterrence and defense. This argument mistakes the ease of deception on the Internet for a categorical ease of attack. As intelligence agencies have long known, deception is a double-edged sword. Covert attackers must exercise restraint against complex targets in order to avoid compromises resulting in mission failure or retaliation. More importantly, defenders can also employ deceptive concealment and ruses to confuse or ensnare aggressors. Indeed, deception can reinvigorate traditional strategies of deterrence and defense against cyber threats, as computer security practitioners have already discovered. The strategy of deception has other important implications: as deterrence became foundational in the nuclear era, deception should rise in prominence in a world that increasingly depends on …"
3,The impact of China on cybersecurity: Fiction and friction,287,2014,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Lde9BAgAAAAJ&pagesize=50&citation_for_view=Lde9BAgAAAAJ:5nxA0vEk-isC,"Exaggerated fears about the paralysis of digital infrastructure and the loss of competitive advantage contribute to a spiral of mistrust in U.S.-China relations. In every category of putative Chinese cyber threat, there are also considerable Chinese vulnerabilities and Western advantages. China has inadvertently degraded the economic efficiency of its networks and exposed them to foreign infiltration by prioritizing political information control over technical cyber defense. Although China also actively infiltrates foreign targets, its ability to absorb stolen data is questionable, especially at the most competitive end of the value chain, where the United States dominates. Similarly, China's military cyber capacity cannot live up to its aggressive doctrinal aspirations, even as its efforts to guide national information technology development create vulnerabilities that more experienced U.S. cyber operators can attack …"
4,Tipping the scales: the attribution problem and the feasibility of deterrence against cyberattack,248,2015,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Lde9BAgAAAAJ&pagesize=50&citation_for_view=Lde9BAgAAAAJ:M3ejUd6NZC8C,"Cyber attackers rely on deception to exploit vulnerabilities and obfuscate their identity, which makes many pessimistic about cyber deterrence. The attribution problem appears to make retaliatory punishment, contrasted with defensive denial, particularly ineffective. Yet observable deterrence failures against targets of lower value tell us little about the ability to deter attacks against higher value targets, where defenders may be more willing and able to pay the costs of attribution and punishment. Counterintuitively, costs of attribution and response may decline with scale. Reliance on deception is a double-edged sword that provides some advantages to the attacker but undermines offensive coercion and creates risks for ambitious intruders. Many of the properties of cybersecurity assumed to be …"
5,"China and cybersecurity: Espionage, strategy, and politics in the digital domain",215,2015,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Lde9BAgAAAAJ&pagesize=50&citation_for_view=Lde9BAgAAAAJ:0EnyYjriUFMC,"China's emergence as a great power in the twenty-first century is strongly enabled by cyberspace. Leveraged information technology integrates Chinese firms into the global economy, modernizes infrastructure, and increases internet penetration which helps boost export-led growth. China's pursuit of"" informatization"" reconstructs industrial sectors and solidifies the transformation of the Chinese People's Liberation Army into a formidable regional power. Even as the government censors content online, China has one of the fastest growing internet populations and most of the technology is created and used by civilians. Western political discourse on cybersecurity is dominated by news of Chinese military development of cyberwarfare capabilities and cyber exploitation against foreign governments, corporations, and non-governmental organizations. Western accounts, however, tell only one side of the story. Chinese leaders are also concerned with cyber insecurity, and Chinese authors frequently note that China is also a victim of foreign cyber--attacks--predominantly from the United States. China and Cybersecurity: Espionage, Strategy, and Politics in the Digital Domain is a comprehensive analysis of China's cyberspace threats and policies. The contributors--Chinese specialists in cyber dynamics, experts on China, and experts on the use of information technology between China and the West--address cyberspace threats and policies, emphasizing the vantage points of China and the US on cyber exploitation and the possibilities for more positive coordination with the West. The volume's multi-disciplinary, cross-cultural approach does not …"
6,Cross-domain deterrence: Strategy in an era of complexity,200,2019,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Lde9BAgAAAAJ&pagesize=50&citation_for_view=Lde9BAgAAAAJ:WF5omc3nYNoC,"The complexity of the twenty-first century threat landscape contrasts markedly with the bilateral nuclear bargaining context envisioned by classical deterrence theory. Nuclear and conventional arsenals continue to develop alongside anti-satellite programs, autonomous robotics or drones, cyber operations, biotechnology, and other innovations barely imagined in the early nuclear age. The concept of cross-domain deterrence (CDD) emerged near the end of the George W. Bush administration as policymakers and commanders confronted emerging threats to vital military systems in space and cyberspace. The Pentagon now recognizes five operational environments or so-called domains (land, sea, air, space, and cyberspace), and CDD poses serious problems in practice. In Cross-Domain Deterrence, Erik Gartzke and Jon R. Lindsay assess the theoretical relevance of CDD for the field of International Relations. As a general concept, CDD posits that how actors choose to deter affects the quality of the deterrence they achieve. Contributors to this volume include senior and junior scholars and national security practitioners. Their chapters probe the analytical utility of CDD by examining how differences across, and combinations of, different military and non-military instruments can affect choices and outcomes in coercive policy in historical and contemporary cases."
7,Prediction and judgment: Why artificial intelligence increases the importance of humans in war,175,2021,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Lde9BAgAAAAJ&pagesize=50&citation_for_view=Lde9BAgAAAAJ:u_35RYKgDlwC,"Recent scholarship on artificial intelligence (AI) and international security focuses on the political and ethical consequences of replacing human warriors with machines. Yet AI is not a simple substitute for human decision-making. The advances in commercial machine learning that are reducing the costs of statistical prediction are simultaneously increasing the value of data (which enable prediction) and judgment (which determines why prediction matters). But these key complements—quality data and clear judgment—may not be present, or present to the same degree, in the uncertain and conflictual business of war. This has two important strategic implications. First, military organizations that adopt AI will tend to become more complex to accommodate the challenges of data and judgment across a variety of decision-making tasks. Second, data and judgment will tend to become attractive targets in strategic …"
8,A tale of two cybers-how threat reporting by cybersecurity firms systematically underrepresents threats to civil society,118,2021,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Lde9BAgAAAAJ&pagesize=50&citation_for_view=Lde9BAgAAAAJ:k_IJM867U9cC,"Public and academic knowledge of cyber conflict relies heavily on data from commercial threat reporting. There are reasons to be concerned that these data provide a distorted view of cyber threat activity. Commercial cybersecurity firms only focus on a subset of the universe of threats, and they only report publicly on a subset of the subset. High end threats to high-profile victims are prioritized in commercial reporting while threats to civil society organizations, which lack the resources to pay for high-end cyber defense, tend to be neglected or entirely bracketed. This selection bias not only hampers scholarship on cybersecurity but also has concerning consequences for democracy. We present and analyze an original dataset of available public reporting by the private sector together with independent research centers. We also present three case studies tracing reporting patterns on a cyber operation targeting civil …"
9,Thermonuclear cyberwar,114,2017,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Lde9BAgAAAAJ&pagesize=50&citation_for_view=Lde9BAgAAAAJ:mVmsd5A6BfQC,"Nuclear command and control increasingly relies on computing networks that might be vulnerable to cyber attack. Yet nuclear deterrence and cyber operations have quite different political properties. For the most part, nuclear actors can openly advertise their weapons to signal the costs of aggression to potential adversaries, thereby reducing the danger of misperception and war. Cyber actors, in contrast, must typically hide their capabilities, as revelation allows adversaries to patch, reconfigure, or otherwise neutralize the threat. Offensive cyber operations are better used than threatened, while the opposite, fortunately, is true for nuclear weapons. When combined, the warfighting advantages of cyber operations become dangerous liabilities for nuclear deterrence. Increased uncertainty about the nuclear/cyber balance of power raises the risk of miscalculation during a brinksmanship crisis. We should expect …"
10,Coercion through cyberspace: The stability-instability paradox revisited,102,2018,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Lde9BAgAAAAJ&pagesize=50&citation_for_view=Lde9BAgAAAAJ:Wp0gIr-vW9MC,"Protecting and exploiting computing infrastructure has become a policy priority for governments and other actors around the world. Critical infrastructure for banking, energy, transportation, and manufacturing increasingly relies on embedded computers connected to the internet. Firms and citizens entrust their personal, medical, and financial data to distant servers in return for more convenient and efficient services. Military command and control depends on digital networks to connect pervasive surveillance to power projection capabilities. The same interconnectivity that improves efficiency and control, however, also facilitates new modes of crime, protest, espionage, and warfare. The US Defense Department accordingly describes cyberspace as a new “war fighting domain” alongside the physical land, sea, air, and space domains. 1 Any military forces that drive, sail, fly, or orbit rely on computers for intelligence, communications,"
