Rank,Title,Citations,Year,URL,Description
1,Physics-informed neural networks with hard constraints for inverse design,1033,2021,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Lxv3W74AAAAJ&pagesize=50&citation_for_view=Lxv3W74AAAAJ:Tyk-4Ss8FVUC,"Inverse design arises in a variety of areas in engineering such as acoustic, mechanics, thermal/electronic transport, electromagnetism, and optics. Topology optimization is an important form of inverse design, where one optimizes a designed geometry to achieve targeted properties parameterized by the materials at every point in a design region. This optimization is challenging, because it has a very high dimensionality and is usually constrained by partial differential equations (PDEs) and additional inequalities. Here, we propose a new deep learning method---physics-informed neural networks with hard constraints (hPINNs)---for solving topology optimization. hPINN leverages the recent development of PINNs for solving PDEs, and thus does not require a large dataset (generated by numerical PDE solvers) for training. However, all the constraints in PINNs are soft constraints, and hence we impose hard …"
2,Inverse design of large-area metasurfaces,337,2018,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Lxv3W74AAAAJ&pagesize=50&citation_for_view=Lxv3W74AAAAJ:d1gkVwhDpl0C,"We present a computational framework for efficient optimization-based “inverse design” of large-area “metasurfaces” (subwavelength-patterned surfaces) for applications such as multi-wavelength/multi-angle optimizations, and demultiplexers. To optimize surfaces that can be thousands of wavelengths in diameter, with thousands (or millions) of parameters, the key is a fast approximate solver for the scattered field. We employ a “locally periodic” approximation in which the scattering problem is approximated by a composition of periodic scattering problems from each unit cell of the surface, and validate it against brute-force Maxwell solutions. This is an extension of ideas in previous metasurface designs, but with greatly increased flexibility, e.g. to automatically balance tradeoffs between multiple frequencies or to optimize a photonic device given only partial information about the desired field. Our approach even …"
3,Inverse design enables large-scale high-performance meta-optics reshaping virtual reality,309,2022,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Lxv3W74AAAAJ&pagesize=50&citation_for_view=Lxv3W74AAAAJ:Y0pCki6q_DkC,"Meta-optics has achieved major breakthroughs in the past decade; however, conventional forward design faces challenges as functionality complexity and device size scale up. Inverse design aims at optimizing meta-optics design but has been currently limited by expensive brute-force numerical solvers to small devices, which are also difficult to realize experimentally. Here, we present a general inverse-design framework for aperiodic large-scale (20k × 20k λ2) complex meta-optics in three dimensions, which alleviates computational cost for both simulation and optimization via a fast approximate solver and an adjoint method, respectively. Our framework naturally accounts for fabrication constraints via a surrogate model. In experiments, we demonstrate aberration-corrected metalenses working in the visible with high numerical aperture, poly-chromatic focusing, and large diameter up to the centimeter scale. Such …"
4,Empowering metasurfaces with inverse design: principles and applications,256,2022,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Lxv3W74AAAAJ&pagesize=50&citation_for_view=Lxv3W74AAAAJ:5nxA0vEk-isC,"Conventional human-driven methods face limitations in designing complex functional metasurfaces. Inverse design is poised to empower metasurface research by embracing fast-growing artificial intelligence. In recent years, many research efforts have been devoted to enriching inverse design principles and applications. In this perspective, we review most commonly used metasurface inverse design strategies including topology optimization, evolutionary optimization, and machine learning techniques. We elaborate on their concepts and working principles, as well as examples of their implementations. We also discuss two emerging research trends: scaling up inverse design for large-area aperiodic metasurfaces and end-to-end inverse design that co-optimizes photonic hardware and post-image processing. Furthermore, recent demonstrations of inverse-designed metasurfaces showing great potential in real …"
5,Topology optimization of freeform large-area metasurfaces,212,2019,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Lxv3W74AAAAJ&pagesize=50&citation_for_view=Lxv3W74AAAAJ:u-x6o8ySG0sC,"We demonstrate optimization of optical metasurfaces over 10^5–10^6 degrees of freedom in two and three dimensions, 100–1000+ wavelengths (λ) in diameter, with 100+ parameters per λ^2. In particular, we show how topology optimization, with one degree of freedom per high-resolution “pixel,” can be extended to large areas with the help of a locally periodic approximation that was previously only used for a few parameters per λ^2. In this way, we can computationally discover completely unexpected metasurface designs for challenging multi-frequency, multi-angle problems, including designs for fully coupled multi-layer structures with arbitrary per-layer patterns. Unlike typical metasurface designs based on subwavelength unit cells, our approach can discover both sub- and supra-wavelength patterns and can obtain both the near and far fields."
6,Multifidelity deep neural operators for efficient learning of partial differential equations with application to fast inverse design of nanoscale heat transport,203,2022,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Lxv3W74AAAAJ&pagesize=50&citation_for_view=Lxv3W74AAAAJ:hqOjcs7Dif8C,"Deep neural operators can learn operators mapping between infinite-dimensional function spaces via deep neural networks and have become an emerging paradigm of scientific machine learning. However, training neural operators usually requires a large amount of high-fidelity data, which is often difficult to obtain in real engineering problems. Here we address this challenge by using multifidelity learning, i.e., learning from multifidelity data sets. We develop a multifidelity neural operator based on a deep operator network (DeepONet). A multifidelity DeepONet includes two standard DeepONets coupled by residual learning and input augmentation. Multifidelity DeepONet significantly reduces the required amount of high-fidelity data and achieves one order of magnitude smaller error when using the same amount of high-fidelity data. We apply a multifidelity DeepONet to learn the phonon Boltzmann transport …"
7,Inverse designed metalenses with extended depth of focus,127,2020,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Lxv3W74AAAAJ&pagesize=50&citation_for_view=Lxv3W74AAAAJ:2osOgNQ5qMEC,"Extended depth of focus (EDOF) lenses are important for various applications in computational imaging and microscopy. In addition to enabling novel functionalities, EDOF lenses can alleviate the need for stringent alignment requirements for imaging systems. Existing designs, however, are often inefficient or produce an asymmetric point spread function (PSF) that blurs images. Inverse design of nanophotonics, including metasurfaces, has generated strong interest in recent years owing to its potential for generating exotic and innovative optical elements, which are generally difficult to design based on intuition alone. Using adjoint optimization-based inverse electromagnetic design, in this paper, we designed a cylindrical metasurface lens operating at ∼625 nm with a depth of focus exceeding that of an ordinary lens. We validated our design by nanofabrication and optical characterization of silicon nitride …"
8,End-to-end nanophotonic inverse design for imaging and polarimetry,105,2021,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Lxv3W74AAAAJ&pagesize=50&citation_for_view=Lxv3W74AAAAJ:zYLM7Y9cAGgC,"By codesigning a metaoptical front end in conjunction with an image-processing back end, we demonstrate noise sensitivity and compactness substantially superior to either an optics-only or a computation-only approach, illustrated by two examples: subwavelength imaging and reconstruction of the full polarization coherence matrices of multiple light sources. Our end-to-end inverse designs couple the solution of the full Maxwell equations—exploiting all aspects of wave physics arising in subwavelength scatterers—with inverse-scattering algorithms in a single large-scale optimization involving degrees of freedom. The resulting structures scatter light in a way that is radically different from either a conventional lens or a random microstructure, and suppress the noise sensitivity of the inverse-scattering computation by several orders of magnitude. Incorporating the full wave physics is especially crucial for …"
9,Active learning of deep surrogates for PDEs: application to metasurface design,104,2020,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Lxv3W74AAAAJ&pagesize=50&citation_for_view=Lxv3W74AAAAJ:UeHWp8X0CEIC,"Surrogate models for partial differential equations are widely used in the design of metamaterials to rapidly evaluate the behavior of composable components. However, the training cost of accurate surrogates by machine learning can rapidly increase with the number of variables. For photonic-device models, we find that this training becomes especially challenging as design regions grow larger than the optical wavelength. We present an active-learning algorithm that reduces the number of simulations required by more than an order of magnitude for an NN surrogate model of optical-surface components compared to uniform random samples. Results show that the surrogate evaluation is over two orders of magnitude faster than a direct solve, and we demonstrate how this can be exploited to accelerate large-scale engineering optimization."
10,Inverse designed extended depth of focus meta-optics for broadband imaging in the visible,75,2022,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Lxv3W74AAAAJ&pagesize=50&citation_for_view=Lxv3W74AAAAJ:W7OEmFMy1HYC,"We report an inverse-designed, high numerical aperture (∼0.44), extended depth of focus (EDOF) meta-optic, which exhibits a lens-like point spread function (PSF). The EDOF meta-optic maintains a focusing efficiency comparable to that of a hyperboloid metalens throughout its depth of focus. Exploiting the extended depth of focus and computational post processing, we demonstrate broadband imaging across the full visible spectrum using a 1 mm, f/1 meta-optic. Unlike other canonical EDOF meta-optics, characterized by phase masks such as a log-asphere or cubic function, our design exhibits a highly invariant PSF across ∼290 nm optical bandwidth, which leads to significantly improved image quality, as quantified by structural similarity metrics."
