Rank,Title,Citations,Year,URL,Description
1,Rehabilitation and health assessment: applying ICF guidelines,141,2009,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Ntekq2MAAAAJ&pagesize=50&citation_for_view=Ntekq2MAAAAJ:iH-uZ7U-co4C,""" Mpofu and Oakland have given us a volume of exceptional clarity, depth, and breadth, one whose utility extends well beyond rehabilitation psychology. As such, Rehabilitation and Health Assessment: Applying ICF Guidelines will be an outstanding text for courses in assessment at all levels of professional preparation and will serve as a valued reference source for future research in a wide variety of fields.""--PsycCRITIQUES Instructor's Guide Available to Qualified Instructors! The World Health Organization's ICF (International Classification of Functioning, Disability, and Health) has undergone dramatic changes in the past decade, requiring that disability be understood in light of contextual, social, and personal factors. This examination of ICF guidelines provides a comprehensive survey of assessment tools, emerging technologies, and procedures necessary for personalizing rehabilitation and health care interventions. Editors Mpofu and Oakland have gathered an international team of experts to set forth this masterful volume-dedicated to helping students, researchers, and practitioners advance their understanding of test use, assessment, and measurement, using the framework and philosophy presented in the ICF model. With this book, readers will learn how to apply ICF guidelines effectively, by expanding their knowledge of: Professional issues, such as ethical quandaries, cultural and diversity considerations, and working with children and youth Cutting-edge assessment technologies, such as virtual world tools, functional magnetic resonance imaging, and pre-scored health status instruments Assessments of patients' adaptation to disability …"
2,Aquarium sonification: Soundscapes for accessible dynamic informal learning environments,42,2006,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Ntekq2MAAAAJ&pagesize=50&citation_for_view=Ntekq2MAAAAJ:u5HHmVD_uO8C,"Museums, science centers, zoos and aquaria are faced with educating and entertaining an increasingly diverse visitor population with varying physical and sensory needs. There are very few guidelines to help these facilities develop non-visual exhibit information, especially for dynamic exhibits. In an effort to make such informal learning environments (ILEs) more accessible to visually impaired visitors, the Georgia Tech Accessible Aquarium Project is studying auditory display and sonification methods for use in exhibit interpretation. The work presented here represents the initial tool building stage. We discuss the sonification system we are developing, and present some examples of the soundscape implementations that have been produced so far."
3,Linguistic characteristics of AAC discourse in the workplace,36,2013,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Ntekq2MAAAAJ&pagesize=50&citation_for_view=Ntekq2MAAAAJ:MXK_kJrjxJIC,"This study examines linguistic co-occurrence patterns in the discourse of individuals with communication impairments who use augmentative and alternative communication (AAC) devices in the workplace by comparing them to those of non-AAC users in similar job settings. A typical workweek (≈ 40 hours) per focal participant (four AAC; four non-AAC) was recorded and transcribed to create a specialized corpus of workplace discourse of approximately 464,000 words at the time of this analysis. A multidimensional analysis of co-occurrence patterns along functional linguistic dimensions, following Biber (1988, 1995) [Variation across Speech and Writing. Cambridge: Cambridge University Press; Dimensions of Register Variation: A Cross-Linguistic Perspective. Cambridge: Cambridge University Press], reveals differences in the macro discourse characteristics of AAC vis-a-vis non-AAC texts. Results indicate that …"
4,Measuring the impact of the physical environment,28,2010,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Ntekq2MAAAAJ&pagesize=50&citation_for_view=Ntekq2MAAAAJ:UebtZRa9Y70C,Description not available
5,Development and evaluation of the environment and communication assessment toolkit with speech-language pathologists,23,2013,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Ntekq2MAAAAJ&pagesize=50&citation_for_view=Ntekq2MAAAAJ:8k81kl-MbHgC,"Communication dysfunction that results from dementia can be exacerbated by environmental barriers such as inadequate lighting, noisy conditions, poor or absent environmental cues, and visual clutter. Speech-language pathologists (SLPs) should address these environmental barriers as part of a comprehensive treatment plan for clients with dementia. The Environment and Communication Assessment Toolkit for Dementia Care (ECAT) was evaluated by SLPs to determine: (1) changes in awareness of environmental factors prior to and after training; (2) impact of the ECAT on practice as measured by changes in the number of environmental modifications recommended and made prior to and after training; (3) utility of the information as measured by the helpfulness, amount of new information, and usefulness of the ECAT; and (4) usability of the ECAT materials based on ease of use. The SLPs used the ECAT with …"
6,Aquarium fugue: interactive sonification for children and visually impaired audience in informal learning environments,23,2012,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Ntekq2MAAAAJ&pagesize=50&citation_for_view=Ntekq2MAAAAJ:hqOjcs7Dif8C,"In response to the need for more accessible Informal Learning Environments (ILEs), the Georgia Tech Accessible Aquarium Project has been studying sonification for the use in live exhibit interpretation in aquariums. The present work attempts to add more interactivity [1] to the project’s existing sonification work, which is expected to lead to more accessible learning opportunities for visitors, particularly people with vision impairments as well as children. In this interactive sonification phase, visitors can actively experience an exhibit by using tangible objects to mimic the movement of animals. Sonifications corresponding to the moving tangible objects can be paired with real-time interpretive sonifications produced by the existing Accessible Aquarium system to generate a cooperative fugue. Here, we describe the system configuration, pilot test results, and future works. Implications are discussed in terms of embodied interaction and interactive learning."
7,Evaluating and modifying the communication environment for people with dementia,22,2011,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Ntekq2MAAAAJ&pagesize=50&citation_for_view=Ntekq2MAAAAJ:LkGwnXOMwfcC,"Research has shown that communication is affected by the environment and that modifications can improve communication skills in individuals with dementia. Poorly designed environmental features contribute to unsatisfactory responses or behaviors in individuals with cognitive impairment. Environmental modifications must be customized to the person, setting, and activity. Assessment provides a practical means of systematically acquiring that information, translating it into appropriate recommendations, and evaluating the success of those recommendations. This indicates the need for an environmental assessment that is individualized, not only to enhance clinical reasoning and judgment, but also to provide a basis for evidence-based, person-centered practice."
8,Environmental & Communication Assessment Toolkit for Dementia Care,21,2012,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Ntekq2MAAAAJ&pagesize=50&citation_for_view=Ntekq2MAAAAJ:4TOpqqG69KYC,Description not available
9,West coast demersal scalefish fishery status report,17,2009,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Ntekq2MAAAAJ&pagesize=50&citation_for_view=Ntekq2MAAAAJ:RHpTSmoSYBkC,Description not available
10,The AAC and non-AAC workplace corpus (ANAWC)[Collection of Electronic Texts],16,2009,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Ntekq2MAAAAJ&pagesize=50&citation_for_view=Ntekq2MAAAAJ:Wp0gIr-vW9MC,Description not available
