Rank,Title,Citations,Year,URL,Description
1,Hypergraph-partitioning-based decomposition for parallel sparse-matrix vector multiplication,785,2002,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=OLDMURQAAAAJ&pagesize=50&citation_for_view=OLDMURQAAAAJ:_Ybze24A_UAC,"In this work, we show that the standard graph-partitioning-based decomposition of sparse matrices does not reflect the actual communication volume requirement for parallel matrix-vector multiplication. We propose two computational hypergraph models which avoid this crucial deficiency of the graph model. The proposed models reduce the decomposition problem to the well-known hypergraph partitioning problem. The recently proposed successful multilevel framework is exploited to develop a multilevel hypergraph partitioning tool PaToH for the experimental verification of our proposed hypergraph models. Experimental results on a wide range of realistic sparse test matrices confirm the validity of the proposed hypergraph models. In the decomposition of the test matrices, the hypergraph models using PaToH and hMeTiS result in up to 63 percent less communication volume (30 to 38 percent less on the average …"
2,Parallel hypergraph partitioning for scientific computing,375,2006,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=OLDMURQAAAAJ&pagesize=50&citation_for_view=OLDMURQAAAAJ:tzM49s52ZIMC,"Graph partitioning is often used for load balancing in parallel computing, but it is known that hypergraph partitioning has several advantages. First, hypergraphs more accurately model communication volume, and second, they are more expressive and can better represent nonsymmetric problems. Hypergraph partitioning is particularly suited to parallel sparse matrix-vector multiplication, a common kernel in scientific computing. We present a parallel software package for hypergraph (and sparse matrix) partitioning developed at Sandia National Labs. The algorithm is a variation on multilevel partitioning. Our parallel implementation is novel in that it uses a two-dimensional data distribution among processors. We present empirical results that show our parallel implementation achieves good speedup on several large problems (up to 33 million nonzeros) with up to 64 processors on a Linux cluster"
3,A scalable distributed parallel breadth-first search algorithm on BlueGene/L,371,2005,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=OLDMURQAAAAJ&pagesize=50&citation_for_view=OLDMURQAAAAJ:kzcrU_BdoSEC,"Many emerging large-scale data science applications require searching large graphs distributed across multiple memories and processors. This paper presents a distributed breadth- first search (BFS) scheme that scales for random graphs with up to three billion vertices and 30 billion edges. Scalability was tested on IBM BlueGene/L with 32,768 nodes at the Lawrence Livermore National Laboratory. Scalability was obtained through a series of optimizations, in particular, those that ensure scalable use of memory. We use 2D (edge) partitioning of the graph instead of conventional 1D (vertex) partitioning to reduce communication overhead. For Poisson random graphs, we show that the expected size of the messages is scalable for both 2D and 1D partitionings. Finally, we have developed efficient collective communication functions for the 3D torus architecture of BlueGene/L that also take advantage of the structure …"
4,A comparative analysis of biclustering algorithms for gene expression data,333,2013,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=OLDMURQAAAAJ&pagesize=50&citation_for_view=OLDMURQAAAAJ:-jrNzM816MMC,"The need to analyze high-dimension biological data is driving the development of new data mining methods. Biclustering algorithms have been successfully applied to gene expression data to discover local patterns, in which a subset of genes exhibit similar expression levels over a subset of conditions. However, it is not clear which algorithms are best suited for this task. Many algorithms have been published in the past decade, most of which have been compared only to a small number of algorithms. Surveys and comparisons exist in the literature, but because of the large number and variety of biclustering algorithms, they are quickly outdated. In this article we partially address this problem of evaluating the strengths and weaknesses of existing biclustering methods. We used the BiBench package to compare 12 algorithms, many of which were recently published or have not been extensively studied. The …"
5,Benchmarking short sequence mapping tools,324,2013,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=OLDMURQAAAAJ&pagesize=50&citation_for_view=OLDMURQAAAAJ:1yWc8FF-_SYC,"BackgroundThe development of next-generation sequencing instruments has led to the generation of millions of short sequences in a single run. The process of aligning these reads to a reference genome is time consuming and demands the development of fast and accurate alignment tools. However, the current proposed tools make different compromises between the accuracy and the speed of mapping. Moreover, many important aspects are overlooked while comparing the performance of a newly developed tool to the state of the art. Therefore, there is a need for an objective evaluation method that covers all the aspects. In this work, we introduce a benchmarking suite to extensively analyze sequencing tools with respect to various aspects and provide an objective comparison.ResultsWe applied our benchmarking tests on 9 well known mapping tools, namely, Bowtie, Bowtie2, BWA, SOAP2, MAQ, RMAP …"
6,Computer-aided prognosis of neuroblastoma on whole-slide images: Classification of stromal development,288,2009,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=OLDMURQAAAAJ&pagesize=50&citation_for_view=OLDMURQAAAAJ:XD-gHx7UXLsC,"We are developing a computer-aided prognosis system for neuroblastoma (NB), a cancer of the nervous system and one of the most malignant tumors affecting children. Histopathological examination is an important stage for further treatment planning in routine clinical diagnosis of NB. According to the International Neuroblastoma Pathology Classification (the Shimada system), NB patients are classified into favorable and unfavorable histology based on the tissue morphology. In this study, we propose an image analysis system that operates on digitized H&E stained whole-slide NB tissue samples and classifies each slide as either stroma-rich or stroma-poor based on the degree of Schwannian stromal development. Our statistical framework performs the classification based on texture features extracted using co-occurrence statistics and local binary patterns. Due to the high resolution of digitized whole-slide …"
7,Distributed processing of very large datasets with DataCutter,259,2001,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=OLDMURQAAAAJ&pagesize=50&citation_for_view=OLDMURQAAAAJ:W5xh706n7nkC,"We describe a framework, called DataCutter, that is designed to provide support for subsetting and processing of datasets in a distributed and heterogeneous environment. We illustrate the use of DataCutter with several data-intensive applications from diverse fields, and present experimental results."
8,Streaming algorithms for k-core decomposition,258,2013,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=OLDMURQAAAAJ&pagesize=50&citation_for_view=OLDMURQAAAAJ:ziOE8S1-AIUC,"A k-core of a graph is a maximal connected subgraph in which every vertex is connected to at least k vertices in the subgraph. k-core decomposition is often used in large-scale network analysis, such as community detection, protein function prediction, visualization, and solving NP-Hard problems on real networks efficiently, like maximal clique finding. In many real-world applications, networks change over time. As a result, it is essential to develop efficient incremental algorithms for streaming graph data. In this paper, we propose the first incremental k-core decomposition algorithms for streaming graph data. These algorithms locate a small subgraph that is guaranteed to contain the list of vertices whose maximum k-core values have to be updated, and efficiently process this subgraph to update the k-core decomposition. Our results show a significant reduction in run-time compared to non-incremental alternatives. We show the efficiency of our algorithms on different types of real and synthetic graphs, at different scales. For a graph of 16 million vertices, we observe speedups reaching a million times, relative to the non-incremental algorithms."
9,PaToH (Partitioning Tool for Hypergraphs).,253,2011,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=OLDMURQAAAAJ&pagesize=50&citation_for_view=OLDMURQAAAAJ:cK4Rrx0J3m0C,"Hypergraph partitioning has been an important problem widely encountered in VLSI layout design [23]. Recent works have introduced new application areas, including one-dimensional and two-dimensional partitioning of sparse matrices for parallel sparse-matrix vector multiplication [4, 5, 6, 7, 9, 25], sparse matrix reordering [4, 8], permuting sparse rectangular matrices into singlybordered block-diagonal form for parallel solution of LP problems [2]. The hypergraph partitioning problem can be defined as the task of dividing a hypergraph into two or more roughly equal sized parts such that a cost function on the hyperedges connecting vertices in different parts is minimized. Kernighan-Lin (KL) based heuristics are widely used for graph/hypergraph partitioning because of their short run-times and good quality results. KL algorithm is an iterative improvement heuristic originally proposed for bipartitioning [21]. This algorithm became the basis for most of the subsequent partitioning algorithms. KL algorithm, starting from an initial bipartition, performs a number of passes until it finds a locally minimum partition. Each pass consists of a sequence of vertex swaps. The same swap strategy was applied to hypergraph partitioning problem by Schweikert-Kernighan [24]. Fiduccia-Mattheyses (FM)[12] introduced a faster implementation of KL algorithm for hypergraph partitioning. They proposed vertex move concept instead of vertex swap. This modification as well as proper data structures, eg, bucket lists, reduced the time complexity of a single pass of KL algorithm to linear in the size of the graph and the hypergraph. Here, size refers to the number of edges and …"
10,Histopathological image analysis using model-based intermediate representations and color texture: Follicular lymphoma grading,237,2009,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=OLDMURQAAAAJ&pagesize=50&citation_for_view=OLDMURQAAAAJ:fEOibwPWpKIC,"Follicular lymphoma (FL) is a cancer of lymph system and it is the second most common lymphoid malignancy in the western world. Currently, the risk stratification of FL relies on histological grading method, where pathologists evaluate hematoxilin and eosin (H&E) stained tissue sections under a microscope as recommended by the World Health Organization. This manual method requires intensive labor in nature. Due to the sampling bias, it also suffers from inter- and intra-reader variability and poor reproducibility. We are developing a computer-assisted system to provide quantitative assessment of FL images for more consistent evaluation of FL. In this study, we proposed a statistical framework to classify FL images based on their histological grades. We introduced model-based intermediate representation (MBIR) of cytological components that enables higher level semantic description of tissue characteristics …"
