Rank,Title,Citations,Year,URL,Description
1,A message ferrying approach for data delivery in sparse mobile ad hoc networks,1808,2004,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=OT79Y9UAAAAJ&pagesize=50&citation_for_view=OT79Y9UAAAAJ:u5HHmVD_uO8C,"Mobile Ad Hoc Networks (MANETs) provide rapidly deployable and self-configuring network capacity required in many critical applications, e.g., battlefields, disaster relief and wide area sensing. In this paper we study the problem of efficient data delivery in sparse MANETs where network partitions can last for a significant period. Previous approaches rely on the use of either long range communication which leads to rapid draining of nodes' limited batteries, or existing node mobility which results in low data delivery rates and large delays. In this paper, we describe a Message Ferrying (MF) approach to address the problem. MF is a mobility-assisted approach which utilizes a set of special mobile nodes called message ferries (or ferries for short) to provide communication service for nodes in the deployment area. The main idea behind the MF approach is to introduce non-randomness in the movement of nodes and …"
2,Algorithms for Assigning Substrate Network Resources to Virtual Network Components.,1054,2006,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=OT79Y9UAAAAJ&pagesize=50&citation_for_view=OT79Y9UAAAAJ:roLk4NBRz8UC,Recent proposals for network virtualization provide a promising way to overcome the Internet ossification. The key idea of network virtualization is to build a diversified Internet to support a variety of network services and architectures through a shared substrate. A major challenge in network virtualization is the assigning of substrate resources to virtual networks (VN) efficiently and on-demand. This paper focuses on two versions of the VN assignment problem: VN assignment without reconfiguration (VNA-I) and VN assignment with reconfiguration (VNA-
3,A reputation system for peer-to-peer networks,704,2003,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=OT79Y9UAAAAJ&pagesize=50&citation_for_view=OT79Y9UAAAAJ:u-x6o8ySG0sC,"We investigate the design of a reputation system for decentralized unstructured P2P networks like Gnutella. Having reliable reputation information about peers can form the basis of an incentive system and can guide peers in their decision making (e.g., who to download a file from). The reputation system uses objective criteria to track each peer's contribution in the system and allows peers to store their reputations locally. Reputation are computed using either of the two schemes, debit-credit reputation computation (DCRC) and credit-only reputation computation (CORC). Using a reputation computation agent (RCA), we design a public key based mechanism that periodically updates the peer reputations in a secure, light-weight, and partially distributed manner. We evaluate using simulations the performance tradeoffs inherent in the design of our system."
4,Controlling the mobility of multiple data transport ferries in a delay-tolerant network,632,2005,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=OT79Y9UAAAAJ&pagesize=50&citation_for_view=OT79Y9UAAAAJ:qjMakFHDy7sC,"As technology rapidly progresses, more devices will combine both communication and mobility capabilities. With mobility in devices, we envision a new class of proactive networks that are able to adapt themselves, via physical movement, to meet the needs of applications. To fully realize these opportunities, effective control of device mobility and the interaction between devices is needed. In this paper, we consider the message ferrying (MF) scheme which exploits controlled mobility to transport data in delay-tolerant networks, where end-to-end paths may not exist between nodes. In the MF scheme, a set of special mobile nodes called message ferries are responsible for carrying data for nodes in the network. We study the use of multiple ferries in such networks, which may be necessary to address performance and robustness concerns. We focus on the design of ferry routes. With the possibilities of interaction …"
5,Message ferrying: Proactive routing in highly-partitioned wireless ad hoc networks,535,2003,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=OT79Y9UAAAAJ&pagesize=50&citation_for_view=OT79Y9UAAAAJ:2osOgNQ5qMEC,"An ad hoc network allows devices with wireless interfaces to communicate with each other without any pre-installed infrastructure. Due to node mobility, limited radio power, node failure and wide deployment area, ad hoc networks are often vulnerable to network partitioning. A number of examples are in battlefield, disaster recovery and wide area surveillance. Unfortunately, most existing ad hoc routing protocols will fail to deliver messages under these circumstances since no route to the destination exists. In this work we propose the Message Ferrying or MF scheme that provides efficient data delivery in disconnected ad hoc networks. In the MF scheme, nodes move proactively to send or receive messages. By introducing non-randomness in a node's proactive movement and exploiting such nonrandomness to deliver messages, the MF scheme improves data delivery performance in a disconnected network. In this …"
6,The use of multicast delivery to provide a scalable and interactive video-on-demand service,521,2002,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=OT79Y9UAAAAJ&pagesize=50&citation_for_view=OT79Y9UAAAAJ:d1gkVwhDpl0C,"In typical proposals for video-on-demand (VoD) systems, customers are serviced individually by allocating and dedicating a transmission channel and a set of server resources to each customer. This approach leads to an expensive to operate, nonscalable system. We consider a VoD system that uses multicast delivery to service multiple customers with a single set of resources. The use of multicast communication requires that part of the on-demand nature of the system be sacrificed to achieve scalability and cost-effectiveness. One drawback to using multicast communication is that it complicates the provision or interactive VCR-style functions. Interactivity can be provided by either increasing the complexity of the customer set-top box (STB) or by modifying the semantics of the interactive functions to make them easier to provide. We describe a framework and mechanisms by which such interactive functions can be …"
7,Message ferry route design for sparse ad hoc networks with mobile nodes,470,2006,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=OT79Y9UAAAAJ&pagesize=50&citation_for_view=OT79Y9UAAAAJ:eQOLeE2rZwMC,"Message ferrying is a networking paradigm where a special node, called a message ferry, facilitates the connectivity in a mobile ad hoc network where the nodes are sparsely deployed. One of the key challenges under this paradigm is the design of ferry routes to achieve certain properties of end-to-end connectivity, such as, delay and message loss among the nodes in the ad hoc network. This is a difficult problem when the nodes in the network move arbitrarily. As we cannot be certain of the location of the nodes, we cannot design a route where the ferry can contact the nodes with certainty. Due to this difficulty, prior work has either considered ferry route design for ad hoc networks where the nodes are stationary, or where the nodes and the ferry move pro-actively in order to meet at certain locations. Such systems either require long-range radio or disrupt nodes' mobility patterns which can be dictated by non …"
8,Serendipity: Enabling remote computing among intermittently connected mobile devices,469,2012,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=OT79Y9UAAAAJ&pagesize=50&citation_for_view=OT79Y9UAAAAJ:Ak0FvsSvgGUC,"Mobile devices are increasingly being relied on for services that go beyond simple connectivity and require more complex processing. Fortunately, a mobile device encounters, possibly intermittently, many entities capable of lending it computational resources. At one extreme is the traditional cloud-computing context where a mobile device is connected to remote cloud resources maintained by a service provider with which it has an established relationship. In this paper we consider the other extreme, where a mobile device's contacts are only with other mobile devices, where both the computation initiator and the remote computational resources are mobile, and where intermittent connectivity among these entities is the norm. We present the design and implementation of a system, Serendipity, that enables a mobile computation initiator to use remote computational resources available in other mobile systems in its …"
9,Peoplerank: Social opportunistic forwarding,442,2010,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=OT79Y9UAAAAJ&pagesize=50&citation_for_view=OT79Y9UAAAAJ:bFI3QPDXJZMC,"In opportunistic networks, end-to-end paths between two communicating nodes are rarely available. In such situations, the nodes might still copy and forward messages to nodes that are more likely to meet the destination. The question is which forwarding algorithm offers the best trade off between cost (number of message replicas) and rate of successful message delivery. We address this challenge by developing the PeopleRank approach in which nodes are ranked using a tunable weighted social information. Similar to the PageRank idea, PeopleRank gives higher weight to nodes if they are socially connected to important other nodes of the network. We develop centralized and distributed variants for the computation of PeopleRank. We present an evaluation using real mobility traces of nodes and their social interactions to show that PeopleRank manages to deliver messages with near optimal success rate …"
10,The grid protocol: A high performance scheme for maintaining replicated data,441,1992,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=OT79Y9UAAAAJ&pagesize=50&citation_for_view=OT79Y9UAAAAJ:_FxGoFyzp5QC,"A new protocol for maintaining replicated data that can provide both high data availability and low response time is presented. In the protocol, the nodes are organized in a logical grid. Existing protocols are designed primarily to achieve high availability by updating a large fraction of the copies, which provides some (although not significant) load sharing. In the new protocol, transaction processing is shared effectively among nodes storing copies of the data, and both the response time experienced by transactions and the system throughput are improved significantly. The authors analyze the availability of the new protocol and use simulation to study the effect of load sharing on the response time of transactions. They also compare the new protocol with a voting-based scheme.<>"
