Rank,Title,Citations,Year,URL,Description
1,Postcolonial computing: a lens on design and development,1082,2010,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=PNalJ58AAAAJ&pagesize=50&citation_for_view=PNalJ58AAAAJ:dhFuZR0502QC,"As our technologies travel to new cultural contexts and our designs and methods engage new constituencies, both our design and analytical practices face significant challenges. We offer postcolonial computing as an analytical orientation to better understand these challenges. This analytic orientation inspires four key shifts in our approach to HCI4D efforts: generative models of culture, development as a historical program, uneven economic relations, and cultural epistemologies. Then, through reconsideration of the practices of engagement, articulation and translation in other contexts, we offer designers and researchers ways of understanding use and design practice to respond to global connectivity and movement."
2,At Home with Ubiquitous Computing: Seven Challenges,945,2001,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=PNalJ58AAAAJ&pagesize=50&citation_for_view=PNalJ58AAAAJ:2P1L_qKh6hAC,"The smart home offers a new opportunity to augment people’s lives with ubiquitous computing technology that provides increased communications, awareness, and functionality. Recently, a number of trends have increased the likelihood that the aware home can soon become a reality. We examine a number of challenges from the technical, social, and pragmatic domains that we feel must be overcome before the vision of the smart home, posited by ubiquitous computing research, can become a reality. Our hope in raising these issues is to create a conversation among researchers in the varied disciplines that make up ubiquitous computing. In particular, we hope to raise awareness of the existing literature on the adoption, use, and history of domestic technologies, as well as the use of situated studies, and the benefits that these can bring to bear on the design and evaluation of technologies for the home"
3,Instant messaging in teen life,787,2002,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=PNalJ58AAAAJ&pagesize=50&citation_for_view=PNalJ58AAAAJ:u5HHmVD_uO8C,"Instant Messaging (IM) is being widely adopted by teenagers. In a study of 16 teenage IM users, we explore IM as an emerging feature of teen life, focusing our questions on its support of interpersonal communication and its role and salience in everyday life. We qualitatively describe the teens' IM use interpersonally, as well as its place in the domestic ecology. We also identify technology adoption conditions and discuss behaviors around privacy management. In this initial investigation, we found differences in the nature of use between high school and college teens, differences we propose are accounted for by teens' degree of autonomy as a function of domestic and scholastic obligations, the development of independent work practices, Internet connectivity access, and even transportation access. Moreover, while teen IM use is in part characterized as an optimizing choice between multiple communications …"
4,y do tngrs luv 2 txt msg?,679,2001,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=PNalJ58AAAAJ&pagesize=50&citation_for_view=PNalJ58AAAAJ:d1gkVwhDpl0C,""" Text messaging""—using a mobile phone to send a message—has changed how teenagers use wireless phones to communicate and coordinate. While the media reports rapid growth in text messaging, less is known about why teenagers have adopted it. In this paper, we report findings from a study of teenagers’ text messaging practices. Specifically, we show that teenagers use text messages to: arrange and adjust times to talk, coordinate with friends and family, and chat. Moreover, we argue that the reasons teenagers find text messaging quick, cheap, and easy to use, are grounded in their social context. Finally, we show that teenagers encounter three problems when text messaging: understanding evolving language, determining intent from content, and addressing messages."
5,Splitting the organization and integrating the code: Conway's law revisited,676,1999,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=PNalJ58AAAAJ&pagesize=50&citation_for_view=PNalJ58AAAAJ:9yKSN-GCB0IC,"It is widely acknowledged that coordination of large scale software development is an extremely difficult and persistent problem. Since the structure of the code mirrors the structure of the organization, one might expect that splitting the organization across time zones, cultures, and (natural) languages would make it difficult to assemble the components. This paper presents a case study of what indeed turned out to be the most difficult part of a geographically distributed software project, ie, integration. Coordination problems were greatly exaggerated across sites, largely because of the breakdown of informal communication channels. The results imply that multi-site development can benefit to some extent ti-om stable plans, processes, and specifications. The inherently unpredictable aspects of projects, however, require communication channels that can be invoked spontaneously, by developers, as needed. These …"
6,An empirical study of global software development: distance and speed,603,2001,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=PNalJ58AAAAJ&pagesize=50&citation_for_view=PNalJ58AAAAJ:2osOgNQ5qMEC,"Global software development is rapidly becoming the norm for technology companies. Previous qualitative research suggests that multi-site development may increase the development cycle time. We use both survey data and data from the source code change management system to model the extent of delay in a multi-site software development organization, and explore several possible mechanisms for this delay. We also measure differences in same-site and cross-site communication patterns, and analyze the relationship of these variables to delay. Our results show that, compared to same-site work, cross-site work takes much longer and requires more people for work of equal size and complexity. We also report a strong relationship between delay in cross-site work and the degree to which remote colleagues are perceived to help out when workloads are heavy. We discuss the implications of our findings for …"
7,"Distance, dependencies, and delay in a global collaboration",591,2000,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=PNalJ58AAAAJ&pagesize=50&citation_for_view=PNalJ58AAAAJ:UeHWp8X0CEIC,"Collaborations over distance must contend with the loss of the rich, subtle interactions that co-located teams use to coordinate their work. Previous research has suggested that one consequence of this loss is that cross-site work will take longer than comparable single-site work. We use both survey data and data from the change management system to measure the extent of delay in a multi-site software development organization. We also measure site interdependence, differences in same-site and cross-site communication patterns, and analyze the relationship of these variables to delay. Our results show a significant relationship between delay in cross-site work and the degree to which remote colleagues are perceived to help out when workloads are heavy. This result is particularly troubling in light of the finding that workers generally believed they were as helpful to their remote colleagues as to their local …"
8,"Intersectional HCI: Engaging identity through gender, race, and class",589,2017,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=PNalJ58AAAAJ&pagesize=50&citation_for_view=PNalJ58AAAAJ:_Ybze24A_UAC,"Understanding users becomes increasingly complicated when we grapple with various overlapping attributes of an individual's identity. In this paper we introduce intersectionality as a framework for engaging with the complexity of users' ""and authors"" ""identities"", and situating these identities in relation to their contextual surroundings. We conducted a meta-review of identity representation in the CHI proceedings, collecting a corpus of 140 manuscripts on gender, ethnicity, race, class, and sexuality published between 1982-2016. Drawing on this corpus, we analyze how identity is constructed and represented in CHI research to examine intersectionality in a human-computer interaction (HCI) context. We find that previous identity-focused research tends to analyze one facet of identity at a time. Further, research on ethnicity and race lags behind research on gender and socio-economic class. We conclude this paper …"
9,The geography of coordination: Dealing with distance in R&D work,568,1999,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=PNalJ58AAAAJ&pagesize=50&citation_for_view=PNalJ58AAAAJ:qjMakFHDy7sC,"Geographically distributed development creates new questions about how to coordinate multi-site work. In this paper, we present four methods product development organizations used to coordinate their work: functional areas of expertise, product structure, process steps, and customization. We describe the benefits and difficulties with each model. Finally, we discuss two difficulties that occur irrespective of the model used: consequences of unequal distribution of project mass, and finding expertise."
10,"Architectures, coordination, and distance: Conway's law and beyond",561,2002,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=PNalJ58AAAAJ&pagesize=50&citation_for_view=PNalJ58AAAAJ:zYLM7Y9cAGgC,"Geographically distributed development teams face extraordinary communication and coordination problems. The authors' case study clearly demonstrates how common but unanticipated events can stretch project communication to the breaking point. Project schedules can fall apart, particularly during integration. Modular design is necessary, but not sufficient to avoid this fate."
