Rank,Title,Citations,Year,URL,Description
1,Zippered polygon meshes from range images,2233,1994,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Q_4d9N0AAAAJ&pagesize=50&citation_for_view=Q_4d9N0AAAAJ:u5HHmVD_uO8C,"Range imaging offers an inexpensive and accurate means for digitizing the shape of three-dimensional objects. Because most objects self occlude, no single range image suffices to describe the entire object. We present a method for combining a collection of range images into a single polygonal mesh that completely describes an object to the extent that it is visible from the outside.The steps in our method are: 1) align the meshes with each other using a modified iterated closest-point algorithm, 2) zipper together adjacent meshes to form a continuous surface that correctly captures the topology of the object, and 3) compute local weighted averages of surface positions on all meshes to form a consensus surface geometry.Our system differs from previous approaches in that it is incremental; scans are acquired and combined one at a time. This approach allows us to acquire and combine large numbers of scans with …"
2,Graphcut textures: Image and video synthesis using graph cuts,2225,2003,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Q_4d9N0AAAAJ&pagesize=50&citation_for_view=Q_4d9N0AAAAJ:d1gkVwhDpl0C,"In this paper we introduce a new algorithm for image and video texture synthesis. In our approach, patch regions from a sample image or video are transformed and copied to the output and then stitched together along optimal seams to generate a new (and typically larger) output. In contrast to other techniques, the size of the patch is not chosen a-priori, but instead a graph cut technique is used to determine the optimal patch region for any given offset between the input and output texture. Unlike dynamic programming, our graph cut technique for seam optimization is applicable in any dimension. We specifically explore it in 2D and 3D to perform video texture synthesis in addition to regular image synthesis. We present approximative offset search techniques that work well in conjunction with the presented patch size optimization. We show results for synthesizing regular, random, and natural images and videos. We …"
3,Multi-level partition of unity implicits,1410,2005,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Q_4d9N0AAAAJ&pagesize=50&citation_for_view=Q_4d9N0AAAAJ:2osOgNQ5qMEC,"We present a new shape representation, the multi-level partition of unity implicit surface, that allows us to construct surface models from very large sets of points. There are three key ingredients to our approach: 1) piecewise quadratic functions that capture the local shape of the surface, 2) weighting functions (the partitions of unity) that blend together these local shape functions, and 3) an octree subdivision method that adapts to variations in the complexity of the local shape.Our approach gives us considerable flexibility in the choice of local shape functions, and in particular we can accurately represent sharp features such as edges and corners by selecting appropriate shape functions. An error-controlled subdivision leads to an adaptive approximation whose time and memory consumption depends on the required accuracy. Due to the separation of local approximation and local blending, the representation is not …"
4,Re-tiling polygonal surfaces,1344,1992,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Q_4d9N0AAAAJ&pagesize=50&citation_for_view=Q_4d9N0AAAAJ:u-x6o8ySG0sC,"This paper presents an automatic method of creating surface models at several levels of detail from an original polygonal description of a given object. Representing models at various levels of detail is important for achieving high frame rates in interactive graphics applications and also for speeding-up the off-line rendering of complex scenes. Unfortunately, generating these levels of detail is a time-consuming task usually left to a human modeler. This paper shows how a new set of vertices can be distributed over the surface of a model and connected to one anolher to create a re-tiling of a surface that is faithful to both the geometry and the topology of the original surface, The main contributions of this paper are: I) a robust method of connecting together new vertices over a surface, 2) a way of using an estimate of surface curvature to distribute more new vertices at regions of higher curvature and 3) a method of …"
5,Simplification envelopes,898,1996,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Q_4d9N0AAAAJ&pagesize=50&citation_for_view=Q_4d9N0AAAAJ:9yKSN-GCB0IC,"We propose the idea of simplification envelopes for generating a hierarchy of level-of-detail approximations for a given polygonal model. Our approach guarantees that all points of an approximation are within a user-specifiable distance from the original model and that all points of the original model are within a distance from the approximation. Simplification envelopes provide a general framework within which a large collection of existing simplification algorithms can run. We demonstrate this technique in conjunction with two algorithms, one local, the other global. The local algorithm provides a fast method for generating approximations to large input meshes (at least hundreds of thousands of triangles). The global algorithm provides the opportunity to avoid local “minima” and possibly achieve better simplifications as a result. Each approximation attempts to minimize the total number of polygons required to satisfy …"
6,Generating textures on arbitrary surfaces using reaction-diffusion,805,1991,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Q_4d9N0AAAAJ&pagesize=50&citation_for_view=Q_4d9N0AAAAJ:UeHWp8X0CEIC,"This paper describes a biologically motivated method of texture synthesis called reaction-diffusion and demonstrates how these textures can be generated in a manner that directly matches the geometry of a given surface. Reaction-diffusion is a process in which two or more chemicals diffuse at unequal rates over a surface and react with one another to form stable patterns such as spots and stripes. Biologists and mathematicians have explored the patterns made by several reaction-diffusion systems. We extend the range of textures that have previously been generated by using a cascade of multiple reaction-diffusion systems in which one system lays down an initial pattern and then one or more later systems refine the pattern. Examples of patterns generated by such a cascade process include the clusters of spots on leopards known as rosettes and the web-like patterns found on giraffes. In addition, this paper …"
7,Shape transformation using variational implicit functions,782,1999,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Q_4d9N0AAAAJ&pagesize=50&citation_for_view=Q_4d9N0AAAAJ:qjMakFHDy7sC,Description not available
8,Simplification and repair of polygonal models using volumetric techniques,701,2003,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Q_4d9N0AAAAJ&pagesize=50&citation_for_view=Q_4d9N0AAAAJ:WF5omc3nYNoC,"Two important tools for manipulating polygonal models are simplification and repair and we present voxel-based methods for performing both of these tasks. We describe a method for converting polygonal models to a volumetric representation in a way that handles models with holes, double walls, and intersecting parts. This allows us to perform polygon model repair simply by converting a model to and from the volumetric domain. We also describe a new topology-altering simplification method that is based on 3D morphological operators. Visually unimportant features such as tubes and holes may be eliminated from a model by the open and close morphological operators. Our simplification approach accepts polygonal models as input, scan converts these to create a volumetric description, performs topology modification, and then converts the results back to polygons. We then apply a topology-preserving …"
9,LCIS: A boundary hierarchy for detail-preserving contrast reduction,670,1999,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Q_4d9N0AAAAJ&pagesize=50&citation_for_view=Q_4d9N0AAAAJ:zYLM7Y9cAGgC,"High contrast scenes are difficult to depict on low contrast displays without loss of important fine details and textures. Skilled artists preserve these details by drawing scene contents in coarseto-fine order using a hierarchy of scene boundaries and shadings. We build a similar hierarchy using multiple instances of a new low curvature image simplifier (LCIS), a partial differential equation inspired by anisotropic diffusion. Each LCIS reduces the scene to many smooth regions that are bounded by sharp gradient discontinuities, and a single parameter K chosen for each LCIS controls region size and boundary complexity. With a few chosen K values"
10,Modelling with implicit surfaces that interpolate,668,2002,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Q_4d9N0AAAAJ&pagesize=50&citation_for_view=Q_4d9N0AAAAJ:Y0pCki6q_DkC,"We introduce new techniques for modelling with interpolating implicit surfaces. This form of implicit surface was first used for problems of surface reconstruction and shape transformation, but the emphasis of our work is on model creation. These implicit surfaces are described by specifying locations in 3D through which the surface should pass, and also identifying locations that are interior or exterior to the surface. A 3D implicit function is created from these constraints using a variational scattered data interpolation approach, and the iso-surface of this function describes a surface. Like other implicit surface descriptions, these surfaces can be used for CSG and interference detection, may be interactively manipulated, are readily approximated by polygonal tilings, and are easy to ray trace. A key strength for model creation is that interpolating implicit surfaces allow the direct specification of both the location of points on …"
11,Fast and memory efficient polygonal simplification,571,1998,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Q_4d9N0AAAAJ&pagesize=50&citation_for_view=Q_4d9N0AAAAJ:Tyk-4Ss8FVUC,"Conventional wisdom says that in order to produce high-quality simplified polygonal models, one must retain and use information about the original model during the simplification process. We demonstrate that excellent simplified models can be produced without the need to compare against information from the original geometry while performing local changes to the model. We use edge collapses to perform simplification, as do a number of other methods. We select the position of the new vertex so that the original volume of the model is maintained and we minimize the per-triangle change in volume of the tetrahedra swept out by those triangles that are moved. We also maintain surface area near boundaries and minimize the per-triangle area changes. Calculating the edge collapse priorities and the positions of the new vertices requires only the face connectivity and the the vertex locations in the intermediate …"
12,State of the art in example-based texture synthesis,565,2009,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Q_4d9N0AAAAJ&pagesize=50&citation_for_view=Q_4d9N0AAAAJ:M3ejUd6NZC8C,"Recent years have witnessed significant progress in example-based texture synthesis algorithms. Given an example texture, these methods produce a larger texture that is tailored to the user's needs. In this state-of-the-art report, we aim to achieve three goals: (1) provide a tutorial that is easy to follow for readers who are not already familiar with the subject, (2) make a comprehensive survey and comparisons of different methods, and (3) sketch a vision for future work that can help motivate and guide readers that are interested in texture synthesis research. We cover fundamental algorithms as well as extensions and applications of texture synthesis."
13,Pixel-planes 5: A heterogeneous multiprocessor graphics system using processor-enhanced memories,552,1989,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Q_4d9N0AAAAJ&pagesize=50&citation_for_view=Q_4d9N0AAAAJ:IjCSPb-OGe4C,"This paper introduces the architecture and initial algorithms for Pixel-Planes 5, a heterogeneous multi-computer designed both for high-speed polygon and sphere rendering (1M Phong-shaded triangles/second) and for supporting algorithm and application research in interactive 3D graphics. Techniques are described for volume rendering at multiple frames per second, font generation directly from conic spline descriptions, and rapid calculation of radiosity form-factors. The hardware consists of up to 32 math-oriented processors, up to 16 rendering units, and a conventional 1280 × 1024-pixel frame buffer, interconnected by a 5 gigabit ring network. Each rendering unit consists of a 128 × 128-pixel array of processors-with-memory with parallel quadratic expression evaluation for every pixel. Implemented on 1.6 micron CMOS chips designed to run at 40MHz, this array has 208 bits/pixel on-chip and is connected to a …"
