Rank,Title,Citations,Year,URL,Description
1,Women's safety in public spaces: Examining the efficacy of panic buttons in New Delhi,123,2017,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=S3yqENkAAAAJ&pagesize=50&citation_for_view=S3yqENkAAAAJ:qjMakFHDy7sC,"We present a qualitative inquiry through the lens of feminist Human-Computer Interaction (HCI) into women's perceptions of personal safety in New Delhi, India. Since a brutal gang-rape incident took place in Delhi in December 2012 and received global attention, women's safety has been the focus of much attention India-wide. In April 2016, the Indian government issued a mandate that all mobile phones sold in India 2017 onwards must include a panic button for women's safety. We draw on interview and survey data to examine women's responses to the mandate, also investigating what factors influence their perceptions of safety, positively and negatively. Our findings indicate that women's sense of safety may be deconstructed into a multitude of factors--personal, public, social, technological--that must align for this sense of safety to be preserved. We then discuss the implications these factors have for the …"
2,Designing for intersections,110,2018,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=S3yqENkAAAAJ&pagesize=50&citation_for_view=S3yqENkAAAAJ:Y0pCki6q_DkC,"In response to the recent call for a more intersectionally-aware field of human-computer interaction (HCI), we aim to operationalize intersectionality for technology design in HCI. We develop our lens of intersectionality by drawing on the work of Rita Kaur Dhamoon, and use it to analyze data collected from a multi-sited ethnographic study of seven low-resource learning environments in the Indian states of Maharashtra, Tamil Nadu, and West Bengal. Our research contributions are threefold. First, we extend conversations in Intersectional HCI by expanding its scope from understanding users to recognizing social processes. Second, we emphasize the importance of factoring in both penalties and privileges when conducting research in underserved contexts. Finally, we engage situated comparisons as a methodology to identify pathways for designing interactive systems across intersectionally diverse environments."
3,Care as a resource in underserved learning environments,83,2017,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=S3yqENkAAAAJ&pagesize=50&citation_for_view=S3yqENkAAAAJ:eQOLeE2rZwMC,"We present results from an ethnographic inquiry of technology-based learning at an after-school learning center in Mumbai (India) that caters to students from neighboring slum communities.We conducted participant observation for 120 hours and 58 semi-structured interviews with different stakeholders (including teachers, staff, parents, and students) at the center over nine weeks from December 2015 to July 2016. Taking an assets-based approach in an underserved context, we uncover the role of care as a resource and present the rich and varied caring behaviors enacted in this sociotechnical system.We then discuss how care effects a greater sense of ownership, interdependency, and community. Examining the role of aligning values in motivating caring behavior, we conclude with recommendations for supporting, leveraging, and extending care via technology design in an underserved, technology-enhanced …"
4,Mental health in the global south: challenges and opportunities in HCI for development,81,2019,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=S3yqENkAAAAJ&pagesize=50&citation_for_view=S3yqENkAAAAJ:3fE2CSJIrl8C,"Mental illness is rapidly gaining recognition as a serious global challenge. Recent human-computer interaction (HCI) research has investigated mental health as a domain of concern, but is yet to venture into the Global South, where the problem exhibits a more complex, intersectional nature. In this paper, we review work on mental health in the Global South and present a case for HCI for Development (HCI4D) to look at mental health-both because it is an inarguably important area of concern in itself, and also because it impacts the efficacy of HCI4D interventions in other domains. We consider the role of cultural and resource-based interactions towards accessibility challenges and continuing stigma around mental health. We also identify participants' mental health as a constant consideration for HCI4D and present best practices for measuring and incorporating it. As an example, we demonstrate how both the …"
5,Bridging disconnected knowledges for community health,80,2018,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=S3yqENkAAAAJ&pagesize=50&citation_for_view=S3yqENkAAAAJ:YsMSGLbcyi4C,"We conducted a field study of Mohalla Clinics in Delhi (India), drawing on Haraway's work to highlight the importance of considering disparate, partial perspectives in the ecologies of such clinics. We emphasized that inadequate attention given to patients' and health workers' perspectives, and the low preparedness of the doctors at the clinics, resulted in the clinics being unable to address the needs of target patient groups. We concluded by contributing to ongoing, important conversations in the fields of ICTD, CSCW, and HCI towards redesigning healthcare interventions, revisiting patient empowerment, and redefining the role of ASHAs as infomediaries."
6,Aspirations-based design,78,2019,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=S3yqENkAAAAJ&pagesize=50&citation_for_view=S3yqENkAAAAJ:_FxGoFyzp5QC,"We present a case for aspirations-based design by drawing on a qualitative inquiry into the lives of young girls in rural West Bengal (India). These girls form a particularly vulnerable population, coming from an area known to be susceptible to sex trafficking and crimes against women. We leverage our findings to engage with Kentaro Toyama's call for greater attention to aspirations in designing technology for development [51]. We highlight the aspirations of and for these girls and reflect on the embedded, temporal, and mutable qualities of these aspirations. Finally, we examine how an aspirations-based design approach might factor these qualities into technology design. Although our analysis draws on empirical findings from rural/suburban India, the insights derived from this research are relevant for the process of designing technologies towards fulfillment of aspirations, more generally."
7,Braving citational justice in human-computer interaction,76,2021,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=S3yqENkAAAAJ&pagesize=50&citation_for_view=S3yqENkAAAAJ:Wp0gIr-vW9MC,"Citations are central to the production and sharing of knowledge, and how, why, and where citations are used has been an intense subject of study across disciplines. We discuss citational practices and the politics of knowledge production within the field of Human-Computer Interaction (HCI), drawing on parallels from related fields, and reflecting on our own experiences of being cited and not cited, citing and not citing. We also present recommendations for making concrete changes across the individual and the structural in HCI, related to how citations are viewed, and how the field might advance in solidarity towards greater citational justice."
8,"Taking the long, holistic, and intersectional view to women’s wellbeing",71,2020,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=S3yqENkAAAAJ&pagesize=50&citation_for_view=S3yqENkAAAAJ:_kc_bZDykSQC,"In this article, we present 6 cases (contained in 13 studies) variously connected with women’s health in a range of Indian contexts. Analyzing these cases, we highlight that “women’s health” is inextricably linked with extrinsic factors that also need addressing, to propose a broadened focus of “women’s wellbeing,” as defined through the lens of Martha Nussbaum’s central human capabilities. Drawing again on our cases, we discuss the importance of taking a long, holistic, and intersectional view to women’s wellbeing. Consolidating lessons learned across studies, we emphasize the potential of framing challenges around women’s health as learning problems, rather than problems of information access alone. Leveraging this perspective, we propose the use of design-based implementation research as a potential approach in identified learning ecologies, given its emphasis on long-term engagement with multiple …"
9,“That courage to encourage”: Participation and Aspirations in Chat-based Peer Support for Youth Living with HIV,66,2021,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=S3yqENkAAAAJ&pagesize=50&citation_for_view=S3yqENkAAAAJ:4DMP91E08xMC,"We present a qualitative study of a six-month pilot of WhatsApp-based facilitated peer support groups, serving youth living with human immunodeficiency virus (HIV) in an informal settlement in Nairobi, Kenya. Popular chat apps are increasingly being leveraged to make a combination of patient-provider communication and peer support more accessible beyond formal healthcare settings. However, how these interventions are experienced in Global South contexts with phone sharing and intermittent data access is understudied. The context of stigmatized illnesses like HIV further complicates privacy concerns. We draw on chat records and interviews with youth and the facilitator to describe their experience of the intervention. We find that despite tensions in group dynamics, intermittent participation, and contingencies around privacy, youth were motivated by newfound aspirations and community to manage their …"
10,"Privacy, patriarchy, and participation on social media",66,2019,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=S3yqENkAAAAJ&pagesize=50&citation_for_view=S3yqENkAAAAJ:MXK_kJrjxJIC,"Technology use in India is highly gendered across diverse socioeconomic backgrounds, and women have only recently come to widely adopt smartphones, mobile internet, and social media---even in urban India. We present an in-depth qualitative investigation of the appropriation of social computing technologies by women from urban, middle-income households in New Delhi and Bangalore, India. Our findings highlight the additional burden that these women must contend with, on account of gender, as they engage on social media. We discuss these findings to make three contributions. First, we extend conversations on gender in Human-Computer Interaction (HCI) by discussing how design in patriarchal contexts might be rooted in existing efforts towards change and appropriation. Second, we expand understandings of privacy in HCI as being situated in the relationship between the individual and the collective …"
