Rank,Title,Citations,Year,URL,Description
1,PRADA: A practical model for integrating computational thinking in K-12 education,154,2019,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=U-Dk-1QAAAAJ&pagesize=50&citation_for_view=U-Dk-1QAAAAJ:UebtZRa9Y70C,"One way to increase access to education on computing is to integrate computational thinking (CT) into K12 disciplinary courses. However, this challenges teachers to both learn CT and decide how to best integrate CT into their classes. In this position paper, we present PRADA, an acronym for Pattern Recognition, Abstraction, Decomposition, and Algorithms, as a practical and understandable way of introducing the core ideas of CT to non-computing teachers. We piloted the PRADA model in two, separate, week-long professional development workshops designed for in-service middle and high school teachers and found that the PRADA model supported teachers in making connections between CT and their current course material. Initial findings, which emerged from the analysis of teacher-created learning materials, survey responses, and focus group interviews, indicate that the PRADA model supported core …"
2,"Use, modify, create: Comparing computational thinking lesson progressions for stem classes",143,2019,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=U-Dk-1QAAAAJ&pagesize=50&citation_for_view=U-Dk-1QAAAAJ:0EnyYjriUFMC,"Computational Thinking (CT) is being infused into curricula in a variety of core K-12 STEM courses. As these topics are being introduced to students without prior programming experience and are potentially taught by instructors unfamiliar with programming and CT, appropriate lesson design might help support both students and teachers. ""Use-Modify-Create"" (UMC), a CT lesson progression, has students ease into CT topics by first ""Using"" a given artifact, ""Modifying"" an existing one, and then eventually ""Creating"" new ones. While studies have presented lessons adopting and adapting this progression and advocating for its use, few have focused on evaluating UMC's pedagogical effectiveness and claims. We present a comparison study between two CT lesson progressions for middle school science classes. Students participated in a 4-day activity focused on developing an agent-based simulation in a block …"
3,"Code, connect, create: The 3c professional development model to support computational thinking infusion",77,2020,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=U-Dk-1QAAAAJ&pagesize=50&citation_for_view=U-Dk-1QAAAAJ:aqlVkmm33-oC,"Despite the increasing attention to infusing CT into middle and high school content area classrooms, there is a lack of information about the most effective practices and models to support teachers in their efforts to integrate disciplinary content and CT principles. To address this need, this paper proposes the Code, Connect and Create (3C) professional development (PD) model, which was designed to support middle and high school content area teachers in infusing computational thinking into their classrooms. To evaluate the model, we analyzed quantitative and qualitative data collected from Infusing Computing PD workshops designed for in-service science, math, English language arts, and social studies teachers located in two Southeastern states. Drawing on findings from our analysis of teacher-created learning segments, surveys, and interviews, we argue that the 3C professional development model …"
4,The impact of adding textual explanations to next-step hints in a novice programming environment,69,2019,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=U-Dk-1QAAAAJ&pagesize=50&citation_for_view=U-Dk-1QAAAAJ:Zph67rFs4hoC,"Automated hints, a powerful feature of many programming environments, have been shown to improve students' performance and learning. New methods for generating these hints use historical data, allowing them to scale easily to new classrooms and contexts. These scalable methods often generate next-step, code hints that suggest a single edit for the student to make to their code. However, while these code hints tell the student what to do, they do not explain why, which can make these hints hard to interpret and decrease students' trust in their helpfulness. In this work, we augmented code hints by adding adaptive, textual explanations in a block-based, novice programming environment. We evaluated their impact in two controlled studies with novice learners to investigate how our results generalize to different populations. We measured the impact of textual explanations on novices' programming performance …"
5,A comparison of the quality of data-driven programming hint generation algorithms,66,2019,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=U-Dk-1QAAAAJ&pagesize=50&citation_for_view=U-Dk-1QAAAAJ:YsMSGLbcyi4C,"In the domain of programming, a growing number of algorithms automatically generate data-driven, next-step hints that suggest how students should edit their code to resolve errors and make progress. While these hints have the potential to improve learning if done well, few evaluations have directly assessed or compared the quality of different hint generation approaches. In this work, we present the QualityScore procedure, a novel method for automatically evaluating and comparing the quality of next-step programming hints using expert ratings. We first demonstrate that the automated QualityScore ratings agree with experts’ manual ratings. We then use the QualityScore procedure to compare the quality of six data-driven, next-step hint generation algorithms using two distinct programming datasets in two different programming languages. Our results show that there are large and significant differences between …"
6,Infusing computational thinking into middle grade science classrooms: lessons learned,48,2018,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=U-Dk-1QAAAAJ&pagesize=50&citation_for_view=U-Dk-1QAAAAJ:4DMP91E08xMC,"There is a growing need to present all students with an opportunity to learn computer science and computational thinking (CT) skills during their primary and secondary education. Traditionally, these opportunities are available outside of the core curriculum as stand-alone courses often taken by those with preparatory privilege. Researchers have identified the need to integrate CT into core classes to provide equitable access to these critical skills. We have worked in a research-practice partnership with two magnet middle schools focused on digital sciences to develop and implement computational thinking into life sciences classes. In this report, we present initial lessons learned while conducting our design-based implementation research on integrating computational thinking into middle school science classes. These case studies suggest that several factors including teacher engagement, teacher attitudes …"
7,Reducing the state space of programming problems through data-driven feature detection,41,2018,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=U-Dk-1QAAAAJ&pagesize=50&citation_for_view=U-Dk-1QAAAAJ:2osOgNQ5qMEC,"The large state space of programming problems makes providing adaptive support in intelligent tutoring systems (ITSs) difficult. Reducing the state space size could allow for more interpretable analysis of student progress as well as easier integration of data-driven support. Using data collected from a CS0 course, we present a procedure for defining a small but meaningful programming state space based on the presence or absence of features of correct solution code. We present a procedure to create these features using a panel of human experts, as well as a data-driven method to derive them automatically. We compare the expert and data-driven features, the resulting state spaces, and how student progress through them. We show that both approaches dramatically reduce the state-space compared to traditional code-states and that the data-driven approach has high overlap with the expert features. We conclude by discussing how this feature-state space provides a useful platform for integrating data-driven support methods into ITSs."
8,Crescendo: Engaging students to self-paced programming practices,37,2020,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=U-Dk-1QAAAAJ&pagesize=50&citation_for_view=U-Dk-1QAAAAJ:roLk4NBRz8UC,"This paper introduces Crescendo, a self-paced programming practice environment that combines the block-based and visual, interactive programming of Snap!, with the structured practices commonly found in Drill-and-Practice Environments. Crescendo supports students with Parsons problems to reduce problem complexity, Use-Modify-Create task progressions to gradually introduce new programming concepts, and automated feedback and assessment to support learning. In this work, we report on our experience deploying Crescendo in a programming camp for middle school students, as well as in an introductory university course for non-majors. Our initial results from field observations and log data suggest that the support features in Crescendo kept students engaged and allowed them to progress through programming concepts quickly. However, some students still struggled even with these highly-structured …"
9,Toward Data-Driven Example Feedback for Novice Programming.,33,2019,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=U-Dk-1QAAAAJ&pagesize=50&citation_for_view=U-Dk-1QAAAAJ:4TOpqqG69KYC,"Viewing worked examples before problem solving has been shown to improve learning efficiency in novice programming. Example-based feedback seeks to present smaller, adaptive worked example steps during problem solving. We present a method for automatically generating and selecting adaptive, example-based programming feedback using historical student data. Our data-driven feature-based (DDF) example generation method automatically learns program features from data and selects example pairs based on when students complete each feature. We performed an experiment to compare three example generation methods: Student trace data, Data-Driven Features (DDF), and Expert examples. Two experts rated the quality of feedback for each generator, and they rated both the Expert and DDF example feedback as significantly more relevant to students' goals than the Student example feedback. However, there were no significant differences between the DDF and Expert examples. We compared these approaches"
10,The impact of data quantity and source on the quality of data-driven hints for programming,30,2018,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=U-Dk-1QAAAAJ&pagesize=50&citation_for_view=U-Dk-1QAAAAJ:9yKSN-GCB0IC,"In the domain of programming, intelligent tutoring systems increasingly employ data-driven methods to automate hint generation. Evaluations of these systems have largely focused on whether they can reliably provide hints for most students, and how much data is needed to do so, rather than how useful the resulting hints are to students. We present a method for evaluating the quality of data-driven hints and how their quality is impacted by the data used to generate them. Using two datasets, we investigate how the quantity of data and the source of data (whether it comes from students or experts) impact one hint generation algorithm. We find that with student training data, hint quality stops improving after 15–20 training solutions and can decrease with additional data. We also find that student data outperforms a single expert solution but that a comprehensive set of expert solutions generally performs best."
