Rank,Title,Citations,Year,URL,Description
1,Stackguard: Automatic adaptive detection and prevention of buffer-overflow attacks.,2452,1998,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Vbv-JEwAAAAJ&pagesize=50&citation_for_view=Vbv-JEwAAAAJ:u5HHmVD_uO8C,"This paper presents a systematic solution to the persistent problem of buffer overflow attacks. Buffer overflow attacks gained notoriety in 1988 as part of the Morris Worm incident on the Internet. While it is fairly simple to fix individual buffer overflow vulnerabilities, buffer overflow attacks continue to this day. Hundreds of attacks have been discovered, and while most of the obvious vulnerabilities have now been patched, more sophisticated buffer overflow attacks continue to emerge.We describe StackGuard: a simple compiler technique that virtually eliminates buffer overflow vulnerabilities with only modest performance penalties. Privileged programs that are recompiled with the StackGuard compiler extension no longer yield control to the attacker, but rather enter a fail-safe state. These programs require no source code changes at all, and are binary-compatible with existing operating systems and libraries. We …"
2,Buffer overflows: Attacks and defenses for the vulnerability of the decade,844,2000,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Vbv-JEwAAAAJ&pagesize=50&citation_for_view=Vbv-JEwAAAAJ:9yKSN-GCB0IC,"Buffer overflows have been the most common form of security vulnerability for the last ten years. More over, buffer overflow vulnerabilities dominate the area of remote network penetration vulnerabilities, where an anonymous Internet user seeks to gain partial or total control of a host. If buffer overflow vulnerabilities could be effectively eliminated, a very large portion of the most serious security threats would also be eliminated. In this paper, we survey the various types of buffer overflow vulnerabilities and attacks, and survey the various defensive measures that mitigate buffer overflow vulnerabilities, including our own StackGuard method. We then consider which combinations of techniques can eliminate the problem of buffer overflow vulnerabilities, while preserving the functionality and performance of existing systems."
3,XWRAP: An XML-enabled wrapper construction system for web information sources,741,2000,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Vbv-JEwAAAAJ&pagesize=50&citation_for_view=Vbv-JEwAAAAJ:u-x6o8ySG0sC,"The amount of useful semi-structured data on the web continues to grow at a stunning pace. Often interesting web data are not in database systems but in HTML pages, XML pages, or text les. Data in these formats is not directly usable by standard SQL-like query processing engines that support sophisticated querying and reporting beyond keyword-based retrieval. Hence, the web users or applications need a smart way of extracting data from these web sources. One of the popular approaches is to write wrappers around the sources, either manually or with software assistance, to bring the web data within the reach of more sophisticated query tools and general mediator-based information integration systems.In this paper, we describe the methodology and the software development of an XML-enabled wrapper construction system-XWRAP for semi-automatic generation of wrapper programs. By XML-enabled we mean that the metadata about information content that are implicit in the original web pages will be extracted and encoded explicitly as XML tags in the wrapped documents. In addition, the query-based content ltering process is performed against the XML documents. The XWRAP wrapper generation framework has three distinct features. First, it explicitly separates tasks of building wrappers that are speci c to a Web source from the tasks that are repetitive for any source, and uses a component library to provide basic building blocks for wrapper programs. Second, it provides inductive learning algorithms that derive or discover wrapper patterns by reasoning about sample pages or sample speci cations. Third and most importantly, we …"
4,Continual queries for internet scale event-driven information delivery,537,1999,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Vbv-JEwAAAAJ&pagesize=50&citation_for_view=Vbv-JEwAAAAJ:d1gkVwhDpl0C,"We introduce the concept of continual queries, describe the design of a distributed event-driven continual query system-OpenCQ, and outline the initial implementation of OpenCQ on top of the distributed interoperable information mediation system DIOM. Continual queries are standing queries that monitor update of interest and return results whenever the update reaches specified thresholds. In OpenCQ, users may specify to the system the information they would like to monitor (such as the events or the update thresholds they are interested in). Whenever the information of interest becomes available, the system immediately delivers it to the relevant users; otherwise, the system continually monitors the arrival of the desired information and pushes it to the relevant users as it meets the specified update thresholds. In contrast to conventional pull-based data management systems such as DBMSs and Web search …"
5,An analysis of performance interference effects in virtual environments,448,2007,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Vbv-JEwAAAAJ&pagesize=50&citation_for_view=Vbv-JEwAAAAJ:hqOjcs7Dif8C,"Virtualization is an essential technology in modern datacenters. Despite advantages such as security isolation, fault isolation, and environment isolation, current virtualization techniques do not provide effective performance isolation between virtual machines (VMs). Specifically, hidden contention for physical resources impacts performance differently in different workload configurations, causing significant variance in observed system throughput. To this end, characterizing workloads that generate performance interference is important in order to maximize overall utility. In this paper, we study the effects of performance interference by looking at system-level workload characteristics. In a physical host, we allocate two VMs, each of which runs a sample application chosen from a wide range of benchmark and real-world workloads. For each combination, we collect performance metrics and runtime characteristics using …"
6,"Mistral: Dynamically managing power, performance, and adaptation cost in cloud infrastructures",420,2010,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Vbv-JEwAAAAJ&pagesize=50&citation_for_view=Vbv-JEwAAAAJ:3fE2CSJIrl8C,"Server consolidation based on virtualization is an important technique for improving power efficiency and resource utilization in cloud infrastructures. However, to ensure satisfactory performance on shared resources under changing application workloads, dynamic management of the resource pool via online adaptation is critical. The inherent tradeoffs between power and performance as well as between the cost of an adaptation and its benefits make such management challenging. In this paper, we present Mistral, a holistic controller framework that optimizes power consumption, performance benefits, and the transient costs incurred by various adaptations and the controller itself to maximize overall utility. Mistral can handle multiple distributed applications and large-scale infrastructures through a multi-level adaptation hierarchy and scalable optimization algorithm. We show that our approach outstrips other …"
7,A feedback-driven proportion allocator for real-rate scheduling,419,1999,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Vbv-JEwAAAAJ&pagesize=50&citation_for_view=Vbv-JEwAAAAJ:2osOgNQ5qMEC,"In this paper we propose changing the decades-old practice of allocating CPU to threads based on pri-ority to a scheme based on proportion and period. Our scheme allocates to each thread a percentage of CPU cycles over a period of time, and uses a feedback-based adaptive scheduler to assign automatically both proportion and period. Applications with known requirements, such as isochronous software devices, can bypass the adaptive scheduler by specifying their desired proportion and/or period. As a result, our scheme provides reservations to applications that need them, and the benefits of proportion and period to those that do not. Adaptive scheduling using proportion and period has several distinct benefits over either fixed or adaptive priority based schemes: finer grain control of allocation, lower variance in the amount of cycles allocated to a thread, and avoidance of accidental priority inversion and starvation, including defense against denial-of-service attacks. This paper describes our design of an adaptive controller and proportion-period scheduler, its implementation in Linux, and presents experimental validation of our approach. See https://www. cse. ogi. edu/DISC/projects/quasar for more information."
8,Differentially private model publishing for deep learning,415,2019,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Vbv-JEwAAAAJ&pagesize=50&citation_for_view=Vbv-JEwAAAAJ:xii_ZKWM4-0C,"Deep learning techniques based on neural networks have shown significant success in a wide range of AI tasks. Large-scale training datasets are one of the critical factors for their success. However, when the training datasets are crowdsourced from individuals and contain sensitive information, the model parameters may encode private information and bear the risks of privacy leakage. The recent growing trend of the sharing and publishing of pre-trained models further aggravates such privacy risks. To tackle this problem, we propose a differentially private approach for training neural networks. Our approach includes several new techniques for optimizing both privacy loss and model accuracy. We employ a generalization of differential privacy called concentrated differential privacy(CDP), with both a formal and refined privacy loss analysis on two different data batching methods. We implement a dynamic privacy …"
9,Replica control in distributed systems: as asynchronous approach,365,1991,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Vbv-JEwAAAAJ&pagesize=50&citation_for_view=Vbv-JEwAAAAJ:qjMakFHDy7sC,"An asynchronous approach is proposed for replica control in distributed systems. This approach applies an extension of serializability called epsilon-serializability(ES R), a correctness criterion which allows temporary and bounded inconsistency in replicas to be seen by queries. Moreover, users can reduce the degree of inconsistency to the desired amount. In the limit, users see strict l-copy serializability. Because the system maintains ESR correctness(1) replicas always converges to global serializability and (2) the system permits read access to object replicas before the system reaches a quiescent state."
10,A fully automated object extraction system for the World Wide Web,350,2001,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Vbv-JEwAAAAJ&pagesize=50&citation_for_view=Vbv-JEwAAAAJ:zYLM7Y9cAGgC,"This paper presents a fully automated object extraction system Omini. A distinct feature of Omini is the suite of algorithms and the automatically learned information extraction rules for discovering and extracting objects from dynamic Web pages or static Web pages that contain multiple object instances. We evaluated the system using more than 2,000 Web pages over 40 sites. It achieves 100% precision (returns only correct objects) and excellent recall (between 99% and 98%, with very few significant objects left out). The object boundary identification algorithms are fast, about 0.1 second per page with a simple optimization."
11,Split-transactions for open-ended activities,342,1988,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Vbv-JEwAAAAJ&pagesize=50&citation_for_view=Vbv-JEwAAAAJ:IjCSPb-OGe4C,"Open-ended activities such as CAD/Cam, VLSI layout and software development require consistent concurrent access and fault tolerance associated with database transactions, but their uncertain duration, uncertain developments during execution and long interaction with other concurrent activities break traditional transaction atomicity boundaries. We propose split-transaction as a new database operation that solves the above problems by permitting transactions to commit data that will not change. Thus an open-ended activity can release the committed data and serialize interactions with other concurrent activities through the committed data. This technical report was originally titled Support of Multiuser Software Development Environments."
12,Research challenges in environmental observation and forecasting systems,325,2000,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Vbv-JEwAAAAJ&pagesize=50&citation_for_view=Vbv-JEwAAAAJ:YsMSGLbcyi4C,"We describe Environmental Observation and Forecasting Systems (EOFS), a new class of large-scale distributed system designed to monitor, model, and forecast wide-area physical processes such as river systems. EOFS have strong social relevance in areas such as education, transportation, agriculture, natural resource planning and disaster response. In addition, they represent an opportunity for scientists to study large physical systems to an extent that was not previously possible. Building the next generation of EOFS pose a number of difficult challenges in all aspects of wireless networking, including media protocols for long distance vertical communication through water, flooding algorithms in ad-hoc network topologies, support for rate- and time-sensitive applications, and location-dependent mobile computing."
13,Optimistic incremental specialization: Streamlining a commercial operating system,312,1995,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Vbv-JEwAAAAJ&pagesize=50&citation_for_view=Vbv-JEwAAAAJ:UeHWp8X0CEIC,"Conventional operating system code is written to deal with all possible system stat es, and performs considerable interpretation to determine the current system state before taking action. A consequence of this approach is that kernel calls which perform little actual work take a long time to execute. To address this problem, we use specialized operating system code that reduces interpretation for common cases, but still behaves correctly in the fully general case. We describe how specialized operating system code can be generated and bound wtcrementally as the information on which it depends becomes available. We extend our specialization techniques to include the notion of optimistic in cre-mental specialization n: a techniquefor generating specialized kernel code optimistically for system states that are likely to occur, but not certain. The ideas outlined in this paper allow the conventional kernel design tenet of …"
14,Understanding performance interference of i/o workload in virtualized cloud environments,268,2010,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Vbv-JEwAAAAJ&pagesize=50&citation_for_view=Vbv-JEwAAAAJ:QIV2ME_5wuYC,"Server virtualization offers the ability to slice large, underutilized physical servers into smaller, parallel virtual machines (VMs), enabling diverse applications to run in isolated environments on a shared hardware platform. Effective management of virtualized cloud environments introduces new and unique challenges, such as efficient CPU scheduling for virtual machines, effective allocation of virtual machines to handle both CPU intensive and I/O intensive workloads. Although a fair number of research projects have dedicated to measuring, scheduling, and resource management of virtual machines, there still lacks of in-depth understanding of the performance factors that can impact the efficiency and effectiveness of resource multiplexing and resource scheduling among virtual machines. In this paper, we present our experimental study on the performance interference in parallel processing of CPU and network …"
15,A distributed real-time MPEG video audio player,266,1995,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Vbv-JEwAAAAJ&pagesize=50&citation_for_view=Vbv-JEwAAAAJ:W7OEmFMy1HYC,"This paper presents the design, implementation and experimental analysis of a distributed, real-time MPEG video and audio player. The player is designed for use across the Internet, a shared environment with variable traffic and with great diversity in network bandwidth and host processing speed. We use a novel toolkit approach to build software feedback mechanisms for client/server synchronization, dynamic Quality-of-Service control, and system adaptiveness. Our experimental results show that the feedback mechanisms are effective, and that the player performs very well in the Internet environment."
16,Improving performance and availability of services hosted on iaas clouds with structural constraint-aware virtual machine placement,261,2011,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Vbv-JEwAAAAJ&pagesize=50&citation_for_view=Vbv-JEwAAAAJ:O3NaXMp0MMsC,"The increasing popularity of modern virtualization-based datacenters continues to motivate both industry and academia to provide answers to a large variety of new and challenging questions. In this paper we aim to answer focusing on one such question: how to improve performance and availability of services hosted on IaaS clouds. Our system, structural constraint-aware virtual machine placement (SCAVP), supports three types of constraints: demand, communication and availability. We formulate SCAVP as an optimization problem and show its hardness. We design a hierarchical placement approach with four approximation algorithms that efficiently solves the SCAVP problem for large problem sizes. We provide a formal model for the application (to better understand structural constraints) and the datacenter (to effectively capture capabilities), and use the two models as inputs to the placement problem. We …"
17,Reverse social engineering attacks in online social networks,245,2011,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Vbv-JEwAAAAJ&pagesize=50&citation_for_view=Vbv-JEwAAAAJ:J_g5lzvAfSwC,"Social networks are some of the largest and fastest growing online services today. Facebook, for example, has been ranked as the second most visited site on the Internet, and has been reporting growth rates as high as 3% per week. One of the key features of social networks is the support they provide for finding new friends. For example, social network sites may try to automatically identify which users know each other in order to propose friendship recommendations.Clearly, most social network sites are critical with respect to user’s security and privacy due to the large amount of information available on them, as well as their very large user base. Previous research has shown that users of online social networks tend to exhibit a higher degree of trust in friend requests and messages sent by other users. Even though the problem of unsolicited messages in social networks (i.e., spam) has already been studied in …"
18,A comparative study of containers and virtual machines in big data environment,244,2018,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Vbv-JEwAAAAJ&pagesize=50&citation_for_view=Vbv-JEwAAAAJ:8p8iYwVyaVcC,"Container technique is gaining increasing attention in recent years and has become an alternative to traditional virtual machines. Some of the primary motivations for the enterprise to adopt the container technology include its conveniency to encapsulate and deploy applications, lightweight operations, as well as efficiency and flexibility in resources sharing. However, there still lacks an in-depth and systematic comparison study on how big data applications, such as Spark jobs, perform between a container environment and a virtual machine environment. In this paper, by running various Spark applications with different configurations, we evaluate the two environments from many interesting aspects, such as how convenient the execution environment can be set up, what are makespans of different workloads running in each setup, how efficient the hardware resources, such as CPU and memory, are utilized, and …"
19,Demystifying learning rate policies for high accuracy training of deep neural networks,239,2019,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Vbv-JEwAAAAJ&pagesize=50&citation_for_view=Vbv-JEwAAAAJ:j7XjBeKFbTsC,"Learning Rate (LR) is an important hyper-parameter to tune for effective training of deep neural networks (DNNs). Even for the baseline of a constant learning rate, it is non-trivial to choose a good constant value for training a DNN. Dynamic learning rates involve multi-step tuning of LR values at various stages of the training process and offer high accuracy and fast convergence. However, they are much harder to tune. In this paper, we present a comprehensive study of 13 learning rate functions and their associated LR policies by examining their range parameters, step parameters, and value update parameters. We propose a set of metrics for evaluating and selecting LR policies, including the classification confidence, variance, cost, and robustness, and implement them in LRBench, an LR benchmarking system. LRBench can assist end-users and DNN developers to select good LR policies and avoid bad LR …"
20,The synthesis kernel,235,1988,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Vbv-JEwAAAAJ&pagesize=50&citation_for_view=Vbv-JEwAAAAJ:uAPFzskPt0AC,"The Synthesis distributed operating system combines efficient kernel calls with a highlevel, orthogonal interface. The key concept is the use ofa code synthesizer in the kernel to generate specialized (thus short and fast) kernel routines for specifrc situations. We have three methods of synthesizing code: Factoring Invariants to bypass redundant computations; Collapsing Layers to eliminate unnecessary procedure calls and context switches; and Executable Data Structures to shorten data structure traversal time. Applying these methods, the kernel call synthesized to read/dev/mem takes about l5 microseconds on a 6g020 machine. A simple model of computation called a synthetic machine supports parallel and distributed processing. The interface to synthetic machine consists of six operations on four kinds of objects. This combination of a high-level interface with the code synthesizer avoids the traditional trade-off in operating systems between powerful interfaces and efrcient implementations."
21,A lock-free multiprocessor OS kernel,228,1992,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Vbv-JEwAAAAJ&pagesize=50&citation_for_view=Vbv-JEwAAAAJ:_FxGoFyzp5QC,"Typical shared-memory multiprocessor OS kernels use interlocking, implemented as spinlocks or waiting semaphores. We have implemented a complete multiprocessor OS kernel (including threads, virtual memory, and I/O including a window system and a le system) using only lock-free synchronization methods based on Compare-and-Swap. Lock-free synchronization avoids many serious problems caused by locks: considerable overhead, concurrency bottlenecks, deadlocks, and priority inversion in real-time scheduling. Measured numbers show the low overhead of our implementation, competitive with user-level thread management systems."
22,Reducing TCB complexity for security-sensitive applications: Three case studies,222,2006,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Vbv-JEwAAAAJ&pagesize=50&citation_for_view=Vbv-JEwAAAAJ:5nxA0vEk-isC,"The large size and high complexity of security-sensitive applications and systems software is a primary cause for their poor testability and high vulnerability. One approach to alleviate this problem is to extract the security-sensitive parts of application and systems software, thereby reducing the size and complexity of software that needs to be trusted. At the system software level, we use the Nizza architecture which relies on a kernelized trusted computing base (TCB) and on the reuse of legacy code using trusted wrappers to minimize the size of the TCB. At the application level, we extract the security-sensitive portions of an already existing application into an AppCore. The AppCore is executed as a trusted process in the Nizza architecture while the rest of the application executes on a virtualized, untrusted legacy operating system. In three case studies of real-world applications (e-commerce transaction client, VPN …"
23,{SubDomain}: Parsimonious Server Security,207,2000,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Vbv-JEwAAAAJ&pagesize=50&citation_for_view=Vbv-JEwAAAAJ:UebtZRa9Y70C,"Internet security incidents have shown that while network cryptography tools like SSL are valuable to Internet service, the hard problem is to protect the server itself from attack. The host security problem is important because attackers know to attack the weakest link, which is vulnerable servers. The problem is hard because securing a server requires securing every piece of software on the server that the attacker can access, which can be a very large set of software for a sophisticated server. Sophisticated security architectures that protect against this class of problem exist, but because they are either complex, expensive, or incompatible with existing application software, most Internet server operators have not chosen to use them."
24,Threads and input/output in the synthesis kernal,205,1989,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Vbv-JEwAAAAJ&pagesize=50&citation_for_view=Vbv-JEwAAAAJ:WF5omc3nYNoC,"The Synthesis operating system kernel combines several techniques to provide high performance, including kernel code synthesis, fine-grain scheduling, and optimistic synchronization. Kernel code synthesis reduces the execution path for frequently used kernel calls. Optimistic synchronization increases concurrency within the kernel. Their combination results in significant performance improvement over traditional operating system implementations. Using hardware and software emulating a SUN 3/160 running SUNOS, Synthesis achieves several times to several dozen times speedup for UNIX kernel calls and context switch times of 21 microseconds or faster."
25,Superdatabases for composition of heterogeneous databases,205,1986,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Vbv-JEwAAAAJ&pagesize=50&citation_for_view=Vbv-JEwAAAAJ:LkGwnXOMwfcC,"Superdatabases are designed to compose and extend databases. In particular, superdatabases allow consistent update across heterogeneous databases. The key idea of superdatabase is hierarhical composition of element databases. For global crash recovery, each element database must provide local recovery plus some kind of agreement protocol, such as two-phase commit. For global concurrency control, each element database must have local synchronization with an explicit serial order, such as two-phase locking, timestamps, or optimistic methods. Given element databases satisfying the above requirements, the superdatabase can certify the serializability of global transactions through a concatenation of local serial order. Combined with previous work on heterogeneous databases, including unified query languages and view integration, now we can build heterogeneous databases which are consistent, adaptable, and extensible by construction."
26,Dynamically allocating multitier applications based upon application requirements and performance and reliability of resources,202,2013,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Vbv-JEwAAAAJ&pagesize=50&citation_for_view=Vbv-JEwAAAAJ:v_xunPV0uK0C,"BACKGROUNDThis application relates generally to resource allocation. More particularly, the disclosure provided herein relates to systems and methods for dynamically allocating multitier applications based upon application requirements and resource characteristics.In cloud or network-based computing, resources such as hardware, Software, and data can be shared and can be pro vided to user devices on-demand, according to user desires and needs. According to various implementations, applica tions are delivered online, where the software and data used to drive the applications can be stored at one or more servers or other devices that are remote from user devices accessing the applications."
27,Generating adaptation policies for multi-tier applications in consolidated server environments,202,2008,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Vbv-JEwAAAAJ&pagesize=50&citation_for_view=Vbv-JEwAAAAJ:Zph67rFs4hoC,"Creating good adaptation policies is critical to building complex autonomic systems since it is such policies that define the system configuration used in any given situation. While online approaches based on control theory and rule-based expert systems are possible solutions, each has its disadvantages. Here, a hybrid approach is described that uses modeling and optimization offline to generate suitable configurations, which are then encoded as policies that are used at runtime. The approach is demonstrated on the problem of providing dynamic management in virtualized consolidated server environments that host multiple multi-tier applications. Contributions include layered queuing models for Xen-based virtual machine environments, a novel optimization technique that uses a combination of bin packing and gradient search, and experimental results that show that automatic offline policy generation is viable …"
28,A formal characterization of epsilon serializability,195,1995,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Vbv-JEwAAAAJ&pagesize=50&citation_for_view=Vbv-JEwAAAAJ:ufrVoPGSRksC,"Epsilon serializability (ESR) is a generalization of classic serializability (SR). In this paper, we provide a precise characterization of ESR when queries that may view inconsistent data run concurrently with consistent update transactions. Our first goal is to understand the behavior of queries in the presence of conflicts and to show how ESR in fact is a generalization of SR. So, using the ACTA framework, we formally express the intertransaction conflicts that are recognized by ESR and through that define ESR, analogous to the manner in which conflict-based serializability is defined. Secondly, expressions are derived for the amount of inconsistency (in a data item) viewed by a query and its effects on the results of a query. These inconsistencies arise from concurrent updates allowed by ESR. Thirdly, in order to maintain the inconsistencies within bounds associated with each query, the expressions are used to …"
29,Intelligent management of virtualized resources for database systems in cloud environment,191,2011,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Vbv-JEwAAAAJ&pagesize=50&citation_for_view=Vbv-JEwAAAAJ:mB3voiENLucC,"In a cloud computing environment, resources are shared among different clients. Intelligently managing and allocating resources among various clients is important for system providers, whose business model relies on managing the infrastructure resources in a cost-effective manner while satisfying the client service level agreements (SLAs). In this paper, we address the issue of how to intelligently manage the resources in a shared cloud database system and present SmartSLA, a cost-aware resource management system. SmartSLA consists of two main components: the system modeling module and the resource allocation decision module. The system modeling module uses machine learning techniques to learn a model that describes the potential profit margins for each client under different resource allocations. Based on the learned model, the resource allocation decision module dynamically adjusts the …"
30,Flow and congestion control for internet media streaming applications,190,1997,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Vbv-JEwAAAAJ&pagesize=50&citation_for_view=Vbv-JEwAAAAJ:Se3iqnhoufwC,"The emergence of streaming multimedia players provides users with low latency audio and video content over the Internet. Providing high-quality, best-effort, real-time multimedia content requires adaptive delivery schemes that fairly share the available network bandwidth with reliable data protocols such as TCP. This paper proposes a new flow and congestion control scheme, SCP (streaming control protocol), for real- time streaming of continuous multimedia data across the Internet. The design of SCP arose from several years of experience in building and using adaptive real-time streaming video players. SCP addresses two issues associated with real- time streaming. First, it uses a congestion control policy that allows it to share network bandwidth fairly with both TCP and other SCP streams. Second, it improves smoothness in streaming and ensures low, predictable latency. This distinguishes it from TCP's jittery …"
31,WebCQ-detecting and delivering information changes on the web,180,2000,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Vbv-JEwAAAAJ&pagesize=50&citation_for_view=Vbv-JEwAAAAJ:0EnyYjriUFMC,"WebCQ is a prototype system for large-scale Web information monitoring and delivery. It makes heavy use of the structure present in hypertext and the concept of continual queries. In this paper we discuss both mechanisms that WebCQ uses to discover and detect changes to the World Wide Web (the Web) pages e ciently, and the methods to notify users of interesting changes with a personalized customization. The WebCQ system consists of four main components: a change detection robot that discovers and detects changes, a proxy cache service that reduces communication tra cs to the original information servers, a personalized presentation tool that highlights changes detected by WebCQ sentinels, and a change notification service that delivers fresh information to the right users at the right time. A salient feature of our change detection robot is its ability to support various types of web page sentinels for …"
