Rank,Title,Citations,Year,URL,Description
1,Collaborative Data Work Towards a Caring Democracy,87,2019,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WBRatTAAAAAJ&pagesize=50&citation_for_view=WBRatTAAAAAJ:roLk4NBRz8UC,"Researchers in human-centered computing have surfaced a feminist ethic of care in interaction with technologies, in data collection, and in data work. Drawing on two years of ethnographic fieldwork, we consider how democratic caring might be enacted and sustained through collaborative data work. We employ philosopher Joan Tronto's theory of caring democracy to structure our analysis of a resident-led initiative that uses data to organize and address issues of neglect and abandonment in their neighborhood. Adding to the CSCW literature on sociotechnical systems of care, we look particularly at Tronto's concept of caring democracy where caring needs and the ways in which they are met are an ongoing and inclusive process of assigning and reassigning caring responsibilities, characterized by both equality of voice and freedom from domination. This work develops grounded insight into the practice of …"
2,Re-Shape: A Method to Teach Data Ethics for Data Science Education,79,2020,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WBRatTAAAAAJ&pagesize=50&citation_for_view=WBRatTAAAAAJ:Se3iqnhoufwC,"Data has become central to the technologies and services that human-computer interaction (HCI) designers make, and the ethical use of data in and through these technologies should be given critical attention throughout the design process. However, there is little research on ethics education in computer science that explicitly addresses data ethics. We present and analyze Re-Shape, a method to teach students about the ethical implications of data collection and use. Re-Shape, as part of an educational environment, builds upon the idea of cultivating care and allows students to collect, process, and visualize their physical movement data in ways that support critical reflection and coordinated classroom activities about data, data privacy, and human-centered systems for data science. We also use a case study of Re-Shape in an undergraduate computer science course to explore prospects and limitations of …"
3,Grassroots resource mobilization through counter-data action,79,2018,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WBRatTAAAAAJ&pagesize=50&citation_for_view=WBRatTAAAAAJ:ufrVoPGSRksC,"In this paper, we document the counter-data action and data activism of a grassroots affordable housing advocacy group in Atlanta. Our observation and insight into these data activities and strategies are achieved through ethnographic and engaged research and participatory design. We find that counter-data action through community-collected data is rooted in a legacy of Atlanta’s black activism and black scholarship; that this data activism enabled resource mobilization and critical conscious making; and that design and media production are essential post counter-data action activities in data activism. Based on these findings, we urge the field of open government data to broaden their concept of social impact of data to include the use data to mobilize resources within oppressed communities not to influence policy and government but to build capacities within community in order to transform, not join, political …"
4,Care and the Practice of Data Science for Social Good,57,2018,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WBRatTAAAAAJ&pagesize=50&citation_for_view=WBRatTAAAAAJ:WF5omc3nYNoC,"Data science is an interdisciplinary field that extracts insights from data through a multi-stage process of data collection, analysis and use. When data science is applied for social good, a variety of stakeholders are introduced to the process with an intention to inform policies or programs to improve well-being. Our goal in this paper is to propose an orientation to care in the practice of data science for social good. When applied to data science, a logic of care can improve the data science process and reveal outcomes of ""good"" throughout. Consideration of care in practice has its origins in Science and Technology Studies (STS) and has recently been applied by Human Computer Interaction (HCI) researchers to understand technology repair and use in under-served environments as well as care in remote health monitoring. We bring care to the practice of data science through a detailed examination of our engaged …"
5,Twitter democracy: policy versus identity politics in three emerging African democracies,44,2015,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WBRatTAAAAAJ&pagesize=50&citation_for_view=WBRatTAAAAAJ:IjCSPb-OGe4C,"Social media offers new ways for citizens to discuss and debate politics and engage in the democratic process. These online systems could be places for rich policy relevant debate, which is favored by scholars of deliberative democracy. Alternatively, social media might be a platform for an identity driven form of political discourse that is routinely scorned by scholars of democracy. To examine these two possibilities, we analyzed tweets sent during three national elections, the defining participatory process of democracy. Our dataset includes over 760,000 tweets gathered during national elections in Nigeria, Ghana and Kenya from 2011 to 2013. In order to analyze the degree to which Twitter was being used for policy relevant discussion we developed policy term sets through a text analysis of the major political party platforms. To examine the amount of discourse focused on identity issues we created identity term …"
6,Interrogating Data Work as a Community of Practice,40,2022,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WBRatTAAAAAJ&pagesize=50&citation_for_view=WBRatTAAAAAJ:3fE2CSJIrl8C,"We apply Lave & Wenger's construct of a community of practice to identify and position members of the data work community of practice, focusing on members on the periphery who have received less attention - as compared to full practitioners (e.g., data scientists). Reporting on results of interviews with 19 civic workers who perform data work as their main task, we identify an atypical relationship between subject-domain experts (such as our interviewees) and full members of the data work community. Our interviewees may have less computational skill in data work, but they have extensive and varied practices to engage in data contextualization that data scientists and other full community members could learn from. In identifying the attributes of data workers on the periphery, we also hope to call attention to the challenges they face in performing data work in low resources institutions (e.g., governmental, non-profit …"
7,Destination Unreachable: Characterizing Internet Outages and Shutdowns,37,2023,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WBRatTAAAAAJ&pagesize=50&citation_for_view=WBRatTAAAAAJ:kNdYIx-mwKoC,"In this paper, we provide the first comprehensive longitudinal analysis of government-ordered Internet shutdowns and spontaneous outages (i.e., disruptions not ordered by the government). We describe the available tools, data sources and methods to identify and analyze Internet shutdowns. We then merge manually curated datasets on known government-ordered shutdowns and large-scale Internet outages, further augmenting them with data on real-world events, macroeconomic and sociopolitical indicators, and network operator statistics. Our analysis confirms previous findings on the economic and political profiles of countries with government-ordered shutdowns. Extending this analysis, we find that countries with national-scale spontaneous outages often have profiles similar to countries with shutdowns, differing from countries that experience neither. However, we find that government-ordered shutdowns …"
8,The social impact of open government data in Hong Kong: Umbrella Movement protests and adversarial politics,37,2019,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WBRatTAAAAAJ&pagesize=50&citation_for_view=WBRatTAAAAAJ:LkGwnXOMwfcC,"While there has been much anticipation that open government data (OGD) would increase the inclusion of marginalized groups in government decision-making processes, researchers have found little evidence of it. Such findings or lack of findings of social impact have led researchers to call for critical review of present notions of OGD’s impact and also for better theoretical frameworks. In response to these calls, we develop a theoretical framework based on an ethnographic study of civic use of OGD in Hong Kong. We argue that constrained by the deliberative democracy models that focus on existing mechanisms of political participation, researchers have tended to overlook the use of OGD for protests, contestation, and other expressions of adversarial politics, which also produce a use of OGD for social impacts."
9,Using Role-Play to Scale the Integration of Ethics Across the Computer Science Curriculum,33,2021,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WBRatTAAAAAJ&pagesize=50&citation_for_view=WBRatTAAAAAJ:UebtZRa9Y70C,"In response to widespread calls for computer scientists to better engage with the ethical dimensions of their work, there has been a surge of interest to embed ethics across the computer science (CS) curriculum. Yet one key set of barriers to doing so can be broadly described as scaling challenges -- in the number and breadth of courses in a curriculum and in the number of students in the CS major. Our paper describes and makes available a novel activity for teaching ethics using role-play that has advantages for scaling across different courses and in different delivery modes, including synchronous and asynchronous online course offerings. We describe our design process and early findings from developing the activity in a large first year seminar course, a senior-level computing and society class, and three different online graduate level courses. Further, we describe an evaluation survey that instructors can use …"
10,Investigating the Roots of Open Data’s Social Impact,24,2014,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WBRatTAAAAAJ&pagesize=50&citation_for_view=WBRatTAAAAAJ:zYLM7Y9cAGgC,"It is a challenging and urgent task to innovate democracy. Open data policy and Information Communication Technologies offer promising tools to enhance participation in democratic procedures. To better understand this expected outcome, the Open Data Barometer conducted a cross-national study measuring readiness, implementation, and impact of open data. The barometer reveals puzzling inconsistencies. Countries scoring high in readiness and implementation do not consistently demonstrate high scores of impact. Furthermore, impact is elusive in most countries. Investigating what preconditions allow societies to realize impact can help inform policy makers, technologists, and civil society leaders on best practices to implement open data tools and policy. This paper looks specifically at the social impact of open data, described as marginalized groups having greater access and participation in government decision making. Using a most similar systems design and fuzzy logic, I evaluate the relationship between civil society and open data’s social impact in eight Latin American countries. Results indicate that societies rich in political capital experience greater social impact of open data."
