Rank,Title,Citations,Year,URL,Description
1,How to model an internetwork,2423,1996,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Z6EHuGcAAAAJ&pagesize=50&citation_for_view=Z6EHuGcAAAAJ:u5HHmVD_uO8C,"Graphs are commonly used to model the structure of internetworks, for the study of problems ranging from routing to resource reservation. A variety of graph models are found in the literature, including regular topologies such as rings or stars, ""well-known"" topologies such as the original ARPAnet, and randomly generated topologies. Less common is any discussion of how closely these models correlate with real network topologies. We consider the problem of efficiently generating graph models that accurately reflect the topological properties of real internetworks. We compare the properties of graphs generated using various methods with those of real internets. We also propose efficient methods for generating topologies with particular properties, including a transit-stub model that correlates well with the internet structure. Improved models for the internetwork structure have the potential to impact the significance of …"
2,The road to SDN: an intellectual history of programmable networks,1816,2014,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Z6EHuGcAAAAJ&pagesize=50&citation_for_view=Z6EHuGcAAAAJ:M7yex6snE4oC,"Software Defined Networking (SDN) is an exciting technology that enables innovation in how we design and manage networks. Although this technology seems to have appeared suddenly, SDN is part of a long history of efforts to make computer networks more programmable. In this paper, we trace the intellectual history of programmable networks, including active networks, early efforts to separate the control and data plane, and more recent work on OpenFlow and network operating systems. We highlight key concepts, as well as the technology pushes and application pulls that spurred each innovation. Along the way, we debunk common myths and misconceptions about the technologies and clarify the relationship between SDN and related technologies such as network virtualization."
3,A message ferrying approach for data delivery in sparse mobile ad hoc networks,1808,2004,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Z6EHuGcAAAAJ&pagesize=50&citation_for_view=Z6EHuGcAAAAJ:D_sINldO8mEC,"Mobile Ad Hoc Networks (MANETs) provide rapidly deployable and self-configuring network capacity required in many critical applications, e.g., battlefields, disaster relief and wide area sensing. In this paper we study the problem of efficient data delivery in sparse MANETs where network partitions can last for a significant period. Previous approaches rely on the use of either long range communication which leads to rapid draining of nodes' limited batteries, or existing node mobility which results in low data delivery rates and large delays. In this paper, we describe a Message Ferrying (MF) approach to address the problem. MF is a mobility-assisted approach which utilizes a set of special mobile nodes called message ferries (or ferries for short) to provide communication service for nodes in the deployment area. The main idea behind the MF approach is to introduce non-randomness in the movement of nodes and …"
4,Modeling internet topology,1454,1997,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Z6EHuGcAAAAJ&pagesize=50&citation_for_view=Z6EHuGcAAAAJ:u-x6o8ySG0sC,"The topology of a network, or a group of networks such as the Internet, has a strong bearing on many management and performance issues. Good models of the topological structure of a network are essential for developing and analyzing internetworking technology. This article discusses how graph-based models can be used to represent the topology of large networks, particularly aspects of locality and hierarchy present in the Internet. Two implementations that generate networks whose topology resembles that of typical internetworks are described, together with publicly available source code."
5,Effectiveness and impact of corporate average fuel economy (CAFE) standards,1105,2002,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Z6EHuGcAAAAJ&pagesize=50&citation_for_view=Z6EHuGcAAAAJ:WbkHhVStYXYC,"Since CAFE standards were established 25 years ago, there have been significant changes in motor vehicle technology, globalization of the industry, the mix and characteristics of vehicle sales, production capacity, and other factors. This volume evaluates the implications of these changes as well as changes anticipated in the next few years, on the need for CAFE, as well as the stringency and/or structure of the CAFE program in future years."
6,A quantitative comparison of graph-based models for Internet topology,718,2002,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Z6EHuGcAAAAJ&pagesize=50&citation_for_view=Z6EHuGcAAAAJ:d1gkVwhDpl0C,"Graphs are commonly used to model the topological structure of internetworks in order to study problems ranging from routing to resource reservation. A variety of graphs are found in the literature, including fixed topologies such as rings or stars, ""well-known"" topologies such as the ARPAnet, and randomly generated topologies. While many researchers rely upon graphs for analytic and simulation studies, there has been little analysis of the implications of using a particular model or how the graph generation method may affect the results of such studies. Further, the selection of one generation method over another is often arbitrary, since the differences and similarities between methods are not well understood. This paper considers the problem of generating and selecting graphs that reflect the properties of real internetworks. We review generation methods in common use and also propose several new methods …"
7,Controlling the mobility of multiple data transport ferries in a delay-tolerant network,632,2005,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Z6EHuGcAAAAJ&pagesize=50&citation_for_view=Z6EHuGcAAAAJ:BrmTIyaxlBUC,"As technology rapidly progresses, more devices will combine both communication and mobility capabilities. With mobility in devices, we envision a new class of proactive networks that are able to adapt themselves, via physical movement, to meet the needs of applications. To fully realize these opportunities, effective control of device mobility and the interaction between devices is needed. In this paper, we consider the message ferrying (MF) scheme which exploits controlled mobility to transport data in delay-tolerant networks, where end-to-end paths may not exist between nodes. In the MF scheme, a set of special mobile nodes called message ferries are responsible for carrying data for nodes in the network. We study the use of multiple ferries in such networks, which may be necessary to address performance and robustness concerns. We focus on the design of ferry routes. With the possibilities of interaction …"
8,Message ferry route design for sparse ad hoc networks with mobile nodes,470,2006,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Z6EHuGcAAAAJ&pagesize=50&citation_for_view=Z6EHuGcAAAAJ:q3oQSFYPqjQC,"Message ferrying is a networking paradigm where a special node, called a message ferry, facilitates the connectivity in a mobile ad hoc network where the nodes are sparsely deployed. One of the key challenges under this paradigm is the design of ferry routes to achieve certain properties of end-to-end connectivity, such as, delay and message loss among the nodes in the ad hoc network. This is a difficult problem when the nodes in the network move arbitrarily. As we cannot be certain of the location of the nodes, we cannot design a route where the ferry can contact the nodes with certainty. Due to this difficulty, prior work has either considered ferry route design for ad hoc networks where the nodes are stationary, or where the nodes and the ferry move pro-actively in order to meet at certain locations. Such systems either require long-range radio or disrupt nodes' mobility patterns which can be dictated by non …"
9,Serendipity: Enabling remote computing among intermittently connected mobile devices,466,2012,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Z6EHuGcAAAAJ&pagesize=50&citation_for_view=Z6EHuGcAAAAJ:yB1At4FlUx8C,"Mobile devices are increasingly being relied on for services that go beyond simple connectivity and require more complex processing. Fortunately, a mobile device encounters, possibly intermittently, many entities capable of lending it computational resources. At one extreme is the traditional cloud-computing context where a mobile device is connected to remote cloud resources maintained by a service provider with which it has an established relationship. In this paper we consider the other extreme, where a mobile device's contacts are only with other mobile devices, where both the computation initiator and the remote computational resources are mobile, and where intermittent connectivity among these entities is the norm. We present the design and implementation of a system, Serendipity, that enables a mobile computation initiator to use remote computational resources available in other mobile systems in its …"
10,Performance of hashing-based schemes for internet load balancing,450,2000,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Z6EHuGcAAAAJ&pagesize=50&citation_for_view=Z6EHuGcAAAAJ:2osOgNQ5qMEC,"Load balancing is a key technique for improving Internet performance. Effective use of load balancing requires good traffic distribution schemes. We study the performance of several hashing schemes for distributing traffic over multiple links while preserving the order of packets within a flow. Although hashing-based load balancing schemes have been proposed in the past, this is the first comprehensive study of their performance using real traffic traces. We evaluate five direct hashing methods and one table-based hashing method. We find that hashing using a 16-bit CRC over the five-tuple gives excellent load balancing performance. Further, load-adaptive table-based hashing using the exclusive OR of the source and destination IP addresses achieves comparable performance to the 16-bit CRC. Table-based hashing can also distribute traffic load according to unequal weights. We also report on four other …"
