Rank,Title,Citations,Year,URL,Description
1,Fundamentals of database systems,10451,2008,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=_Z12v2IAAAAJ&pagesize=50&citation_for_view=_Z12v2IAAAAJ:FGlqWXlxCNkC,"T his book introduces the fundamental concepts necessary for designing, using, and implementing database systems and applications. Our presentation stresses the fundamentals of database modeling and design, the languages and facilities provided by the database management systems, and system implementation techniques. The book is meant to be used as a textbook for a one-or two-semester course in database systems at the junior, senior, or graduate level, and as a reference book. We assume that readers are familiar with elementary programming and data-structuring concepts and that they have had some exposure to the basics of computer organization.We start in Part 1 with an introduction and a presentation of the basic concepts and terminology, and database conceptual modeling principles. We conclude in Parts 7 and 8 with an introduction to emerging technologies, such as data mining, XML, security, and Web databases. Along the way-in Parts 2 through 6-we provide an in-depth treatment of the most important aspects of database fundamentals."
2,An E cient Algorithm for Mining Association Rules in Large Databases,3083,1995,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=_Z12v2IAAAAJ&pagesize=50&citation_for_view=_Z12v2IAAAAJ:u-x6o8ySG0sC,"Mining for association rules between items in a large database of sales transactions has been described as an important database mining problem. In this paper we present an e cient algorithm for mining association rules that is fundamentally di erent from known algorithms. Compared to the previous algorithms, our algorithm reduces both CPU and I/O overheads. In our experimental study it was found that for large databases, the CPU overhead was reduced by as much as a factor of seven and I/O was reduced by almost an order of magnitude. Hence this algorithm is especially suitable for very large size databases. The algorithm is also ideally suited for parallelization. We have performed extensive experiments and compared the performance of the algorithm with one of the best existing algorithms."
3,A comparative analysis of methodologies for database schema integration,2965,1986,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=_Z12v2IAAAAJ&pagesize=50&citation_for_view=_Z12v2IAAAAJ:u5HHmVD_uO8C,"One of the fundamental principles of the database approach is that a database allows a nonredundant, unified representation of all data managed in an organization. This is achieved only when methodologies are available to support integration across organizational and application boundaries. Methodologies for database design usually perform the design activity by separately producing several schemas, representing parts of the application, which are subsequently merged. Database schema integration is the activity of integrating the schemas of existing or proposed databases into a global, unified schema. The aim of the paper is to provide first a unifying framework for the problem of schema integration, then a comparative review of the work done thus far in this area. Such a framework, with the associated analysis of the existing approaches, provides a basis for identifying strengths and weaknesses of …"
4,Conceptual database design: an entity-relationship approach,2115,1991,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=_Z12v2IAAAAJ&pagesize=50&citation_for_view=_Z12v2IAAAAJ:d1gkVwhDpl0C,"Conceptual database design | Guide books skip to main content ACM Digital Library home ACM Association for Computing Machinery corporate logo Premium Edition acm open access logo FELD M GmbH Sign in Register Advanced Search Journals Magazines Proceedings Books SIGs Conferences Institutions People More SearchSearch Search ACM Digital Library SearchSearch Advanced Search Browse Browse Digital Library Collections More Export Citations Select Citation format Please download or close your previous search result export first before starting a new bulk export. Preview is not available. By clicking download,a status dialog will open to start the export process. The process may takea few minutes but once it finishes a file will be downloadable from your browser. You may continue to browse the DL while the export process is in progress. Download citation Copy citation Conceptual database …"
5,Sistemas de banco de dados,1035,2005,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=_Z12v2IAAAAJ&pagesize=50&citation_for_view=_Z12v2IAAAAJ:UeHWp8X0CEIC,"Este livro introduz os conceitos fundamentais necessários para projetar, usar e implementar os sistemas de banco de dados e suas aplicações. Nossas apresentações abordam com profundidade os fundamentos da modelagem e projeto de bancos de dados, suas linguagens e as funcionalidades dos sistemas de gerenciamento de bancos de dados e as técnicas de implementação desses sistemas. O livro foi projetado para ser usado como um livro-texto para os cursos de um ou dois semestres em sistemas de banco de dados nos níveis introdutório, avançado, de graduação ou de pós-graduação, e como um livro de referência. Pressupomos que os leitores estejam familiarizados com a programação elementar e com os conceitos de estruturação de dados, e que tenham tido algum contato com a organização básica de computadores."
6,Vertical partitioning algorithms for database design,692,1984,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=_Z12v2IAAAAJ&pagesize=50&citation_for_view=_Z12v2IAAAAJ:2osOgNQ5qMEC,"This paper addresses the vertical partitioning of a set of logical records or a relation into fragments. The rationale behind vertical partitioning is to produce fragments, groups of attribute columns, that “closely match” the requirements of transactions. Vertical partitioning is applied in three contexts: a database stored on devices of a single type, a database stored in different memory levels, and a distributed database. In a two-level memory hierarchy, most transactions should be processed using the fragments in primary memory. In distributed databases, fragment allocation should maximize the amount of local transaction processing. Fragments may be nonoverlapping or overlapping. A two-phase approach for the determination of fragments is proposed; in the first phase, the design is driven by empirical objective functions which do not require specific cost information. The second phase performs cost optimization by …"
7,MITOMAP: a human mitochondrial genome database—2004 update,577,2005,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=_Z12v2IAAAAJ&pagesize=50&citation_for_view=_Z12v2IAAAAJ:Tyk-4Ss8FVUC,"MITOMAP ( http://www.MITOMAP.org ), a database for the human mitochondrial genome, has grown rapidly in data content over the past several years as interest in the role of mitochondrial DNA (mtDNA) variation in human origins, forensics, degenerative diseases, cancer and aging has increased dramatically. To accommodate this information explosion, MITOMAP has implemented a new relational database and an improved search engine, and all programs have been rewritten. System administrative changes have been made to improve security and efficiency, and to make MITOMAP compatible with a new automatic mtDNA sequence analyzer known as Mitomaster."
8,A theory of attributed equivalence in databases with application to schema integration,574,2002,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=_Z12v2IAAAAJ&pagesize=50&citation_for_view=_Z12v2IAAAAJ:9yKSN-GCB0IC,"The authors present a common foundation for integrating pairs of entity sets, pairs of relationship sets, and an entity set with a relationship set. This common foundation is based on the basic principle of integrating attributes. Any pair of objects whose identifying attributes can be integrated can themselves be integrated. Several definitions of attribute equivalence are presented. These definitions can be used to specify the exact nature of the relationship between a pair of attributes. Based on these definitions, several strategies for attribute integration are presented and evaluated.<>"
9,Fundamentos de sistemas de bases de datos,499,2007,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=_Z12v2IAAAAJ&pagesize=50&citation_for_view=_Z12v2IAAAAJ:5nxA0vEk-isC,"OBJETIVOSUn administrador de bases de datos cumple una misión crucial: conseguir que la base de datos funcione correctamente y de forma óptima, debiendo responder a la aparición de problemas y, si es posible, adelantarse a ellos.En este curso se pretende que el alumno adquiera los conocimientos y habilidades que le permitan desarrollar esta tarea de forma eficiente. Se estudiará la arquitectura de una base de datos, su funcionamiento (integridad de los datos, accesos concurrentes, transacciones, copias de seguridad), la seguridad en el acceso, y la forma de evaluar el rendimiento de la base datos, y cómo afinarla."
10,Mining for strong negative associations in a large database of customer transactions,485,1998,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=_Z12v2IAAAAJ&pagesize=50&citation_for_view=_Z12v2IAAAAJ:qjMakFHDy7sC,Mining for association rules is considered an important data mining problem. Many different variations of this problem have been described in the literature. We introduce the problem of mining for negative associations. A naive approach to finding negative associations leads to a very large number of rules with low interest measures. We address this problem by combining previously discovered positive associations with domain knowledge to constrain the search space such that fewer but more interesting negative rules are mined. We describe an algorithm that efficiently finds all such negative associations and present the experimental results.
