Rank,Title,Citations,Year,URL,Description
1,Dopplesleep: A contactless unobtrusive sleep sensing system using short-range doppler radar,243,2015,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=assJWZYAAAAJ&pagesize=50&citation_for_view=assJWZYAAAAJ:eQOLeE2rZwMC,"In this paper, we present DoppleSleep -- a contactless sleep sensing system that continuously and unobtrusively tracks sleep quality using commercial off-the-shelf radar modules. DoppleSleep provides a single sensor solution to track sleep-related physical and physiological variables including coarse body movements and subtle and fine-grained chest, heart movements due to breathing and heartbeat. By integrating vital signals and body movement sensing, DoppleSleep achieves 89.6% recall with Sleep vs. Wake classification and 80.2% recall with REM vs. Non-REM classification compared to EEG-based sleep sensing. Lastly, it provides several objective sleep quality measurements including sleep onset latency, number of awakenings, and sleep efficiency. The contactless nature of DoppleSleep obviates the need to instrument the user's body with sensors. Lastly, DoppleSleep is implemented on an ARM …"
2,BodyBeat: a mobile system for sensing non-speech body sounds.,239,2014,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=assJWZYAAAAJ&pagesize=50&citation_for_view=assJWZYAAAAJ:d1gkVwhDpl0C,"In this paper, we propose BodyBeat, a novel mobile sensing system for capturing and recognizing a diverse range of non-speech body sounds in real-life scenarios. Non-speech body sounds, such as sounds of food intake, breath, laughter, and cough contain invaluable information about our dietary behavior, respiratory physiology, and affect. The BodyBeat mobile sensing system consists of a custom-built piezoelectric microphone and a distributed computational framework that utilizes an ARM microcontroller and an Android smartphone. The custom-built microphone is designed to capture subtle body vibrations directly from the body surface without being perturbed by external sounds. The microphone is attached to a 3D printed neckpiece with a suspension mechanism. The ARM embedded system and the Android smartphone process the acoustic signal from the microphone and identify non-speech body sounds. We have extensively evaluated the BodyBeat mobile sensing system. Our results show that BodyBeat outperforms other existing solutions in capturing and recognizing different types of important non-speech body sounds."
3,EmotionCheck: leveraging bodily signals and false feedback to regulate our emotions,208,2016,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=assJWZYAAAAJ&pagesize=50&citation_for_view=assJWZYAAAAJ:_FxGoFyzp5QC,"In this paper we demonstrate that it is possible to help individuals regulate their emotions with mobile interventions that leverage the way we naturally react to our bodily signals. Previous studies demonstrate that the awareness of our bodily signals, such as our heart rate, directly influences the way we feel. By leveraging these findings we designed a wearable device to regulate user's anxiety by providing a false feedback of a slow heart rate. The results of an experiment with 67 participants show that the device kept the anxiety of the individuals in low levels when compared to the control group and the other conditions. We discuss the implications of our findings and present some promising directions for designing and developing this type of intervention for emotion regulation."
4,Mindless computing: designing technologies to subtly influence behavior,193,2015,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=assJWZYAAAAJ&pagesize=50&citation_for_view=assJWZYAAAAJ:zYLM7Y9cAGgC,"Persuasive technologies aim to influence user's behaviors. In order to be effective, many of the persuasive technologies developed so far relies on user's motivation and ability, which is highly variable and often the reason behind the failure of such technology. In this paper, we present the concept of Mindless Computing, which is a new approach to persuasive technology design. Mindless Computing leverages theories and concepts from psychology and behavioral economics into the design of technologies for behavior change. We show through a systematic review that most of the current persuasive technologies do not utilize the fast and automatic mental processes for behavioral change and there is an opportunity for persuasive technology designers to develop systems that are less reliant on user's motivation and ability. We describe two examples of mindless technologies and present pilot studies with …"
5,Keppi: A tangible user interface for self-reporting pain,65,2018,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=assJWZYAAAAJ&pagesize=50&citation_for_view=assJWZYAAAAJ:YsMSGLbcyi4C,"Motivated by the need to support those managing chronic pain, we report on the iterative design, development, and evaluation of Keppi, a novel pressure-based tangible user interface (TUI) for the self-report of pain intensity. In-lab studies with 28 participants found individuals were able to use Keppi to reliably report low, medium, and high pain as well as map squeeze pressure to pain level. Based on insights from these evaluations, we ultimately created a wearable version of Keppi with multiple form factors, including a necklace, bracelet, and keychain. Interviews indicated high receptivity to the wearable design, which satisfied additional user-identified needs (e.g., discreet and convenient) and highlighted key directions for the continued refinement of tangible devices for pain assessment."
6,Nutrilyzer: A mobile system for characterizing liquid food with photoacoustic effect,59,2016,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=assJWZYAAAAJ&pagesize=50&citation_for_view=assJWZYAAAAJ:W7OEmFMy1HYC,"In this paper, we propose Nutrilyzer, a novel mobile sensing system for characterizing the nutrients and detecting adulterants in liquid food with the photoacoustic effect. By listening to the sound of the intensity modulated light or electromagnetic wave with different wavelengths, our mobile photoacoustic sensing system captures unique spectra produced by the transmitted and scattered light while passing through various liquid food. As different liquid foods with different chemical compositions yield uniquely different spectral signatures, Nutrilyzer's signal processing and machine learning algorithm learn to map the photoacoustic signature to various liquid food characteristics including nutrients and adulterants. We evaluated Nutrilyzer for milk nutrient prediction (i.e., milk protein) and milk adulterant detection. We have also explored Nutrilyzer for alcohol concentration prediction. The Nutrilyzer mobile system consists …"
7,EmotionCheck: A wearable device to regulate anxiety through false heart rate feedback,52,2017,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=assJWZYAAAAJ&pagesize=50&citation_for_view=assJWZYAAAAJ:LkGwnXOMwfcC,"Previous studies indicate that the way we perceive our bodily signals, such as our heart rate, can influence how we feel. Inspired by these studies, we built EmotionCheck, which is a wearable device that can change users' perception of their heart rate through subtle vibrations on the wrist. The results of an experiment with 67 participants show that the EmotionCheck device can help users regulate their anxiety through false feedback of a slow heart rate."
8,Affective touch as immediate and passive wearable intervention,49,2023,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=assJWZYAAAAJ&pagesize=50&citation_for_view=assJWZYAAAAJ:roLk4NBRz8UC,"We investigated affective touch as a new pathway to passively mitigate in-the-moment anxiety. While existing mobile interventions offer great promises for health and well-being, they typically focus on achieving long-term effects such as shifting behaviors. As such, most mobile interventions are not applicable to provide immediate help in acute conditions -- when a user experiences a high anxiety level during ongoing events (e.g., completing high-stake tasks or mitigating interpersonal conflicts). A few works have developed passive interventions that are effective in-the-moment by leveraging breathing regulations and biofeedback. In this paper, we drew on neuroscientific findings on affective touch, the slow stroking on hairy skin that can elicit innate pleasantness and evaluated affective touch as a mobile health intervention. To induce affective touch, we first engineered a wearable device that renders a soft stroking …"
9,Public restroom detection on mobile phone via active probing,27,2014,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=assJWZYAAAAJ&pagesize=50&citation_for_view=assJWZYAAAAJ:UeHWp8X0CEIC,"Although there are clear benefits to automatic image capture services by wearable devices, image capture sometimes happens in sensitive spaces where camera use is not appropriate. In this paper, we tackle this problem by focusing on detecting when the user of a wearable device is located in a specific type of private space---the public restroom---so that the image capture can be disabled. We present an infrastructure-independent method that uses just the microphone and the speaker on a commodity mobile phone. Our method actively probes the environment by playing a 0.1 seconds sine wave sweep sound and then analyzes the impulse response (IR) by extracting MFCCs features. These features are then used to train an SVM model. Our evaluation results show that we can train a general restroom model which is able to recognize new restrooms. We demonstrate that this approach works on different phone …"
10,Sensing non-speech body sounds,22,2016,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=assJWZYAAAAJ&pagesize=50&citation_for_view=assJWZYAAAAJ:WF5omc3nYNoC,"Methods, systems, and devices are disclosed for implement ing mobile sensing of non-speech Sounds from a human. In one aspect, a mobile sensing system includes a microphone to capture a diverse set of body sounds while dampening external Sounds and ambient noises, wherein the captured diverse set of body sounds are not speech. The mobile sensing system includes a micro-controller in communica tion with the microphone to perform an algorithm for signal processing and machine learning using the captured diverse set of body sounds."
