Rank,Title,Citations,Year,URL,Description
1,Two-scale topology optimization with microstructures,246,2017,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=atNjbs0AAAAJ&pagesize=50&citation_for_view=atNjbs0AAAAJ:UebtZRa9Y70C,"In this article, we present a novel two-scale framework to optimize the structure and the material distribution of an object given its functional specifications. Our approach utilizes multi-material microstructures as low-level building blocks of the object. We start by precomputing the material property gamut—the set of bulk material properties that can be achieved with all material microstructures of a given size. We represent the boundary of this material property gamut using a level set field. Next, we propose an efficient and general topology optimization algorithm that simultaneously computes an optimal object topology and spatially varying material properties constrained by the precomputed gamut. Finally, we map the optimal spatially varying material properties onto the microstructures with the corresponding properties to generate a high-resolution printable structure. We demonstrate the efficacy of our framework by …"
2,Computational discovery of extremal microstructure families,141,2018,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=atNjbs0AAAAJ&pagesize=50&citation_for_view=atNjbs0AAAAJ:0EnyYjriUFMC,"Modern fabrication techniques, such as additive manufacturing, can be used to create materials with complex custom internal structures. These engineered materials exhibit a much broader range of bulk properties than their base materials and are typically referred to as metamaterials or microstructures. Although metamaterials with extraordinary properties have many applications, designing them is very difficult and is generally done by hand. We propose a computational approach to discover families of microstructures with extremal macroscale properties automatically. Using efficient simulation and sampling techniques, we compute the space of mechanical properties covered by physically realizable microstructures. Our system then clusters microstructures with common topologies into families. Parameterized templates are eventually extracted from families to generate new microstructure designs. We …"
3,Narrow-band topology optimization on a sparsely populated grid,132,2018,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=atNjbs0AAAAJ&pagesize=50&citation_for_view=atNjbs0AAAAJ:kNdYIx-mwKoC,"A variety of structures in nature exhibit sparse, thin, and intricate features. It is challenging to investigate these structural characteristics using conventional numerical approaches since such features require highly refined spatial resolution to capture and therefore they incur a prohibitively high computational cost. We present a novel computational framework for high-resolution topology optimization that delivers leaps in simulation capabilities, by two orders of magnitude, from the state-of-the-art approaches. Our technique accommodates computational domains with over one billion grid voxels on a single shared-memory multiprocessor platform, allowing automated emergence of structures with both rich geometric features and exceptional mechanical performance. To achieve this, we track the evolution of thin structures and simulate its elastic deformation in a dynamic narrow-band region around high-density sites …"
4,Learning to fly: computational controller design for hybrid uavs with reinforcement learning,111,2019,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=atNjbs0AAAAJ&pagesize=50&citation_for_view=atNjbs0AAAAJ:ZeXyd9-uunAC,"Hybrid unmanned aerial vehicles (UAV) combine advantages of multicopters and fixed-wing planes: vertical take-off, landing, and low energy use. However, hybrid UAVs are rarely used because controller design is challenging due to its complex, mixed dynamics. In this paper, we propose a method to automate this design process by training a mode-free, model-agnostic neural network controller for hybrid UAVs. We present a neural network controller design with a novel error convolution input trained by reinforcement learning. Our controller exhibits two key features: First, it does not distinguish among flying modes, and the same controller structure can be used for copters with various dynamics. Second, our controller works for real models without any additional parameter tuning process, closing the gap between virtual simulation and real fabrication. We demonstrate the efficacy of the proposed controller both in …"
5,Interactive design space exploration and optimization for CAD models,110,2017,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=atNjbs0AAAAJ&pagesize=50&citation_for_view=atNjbs0AAAAJ:hqOjcs7Dif8C,"Computer Aided Design (CAD) is a multi-billion dollar industry used by almost every mechanical engineer in the world to create practically every existing manufactured shape. CAD models are not only widely available but also extremely useful in the growing field of fabrication-oriented design because they are parametric by construction and capture the engineer's design intent, including manufacturability. Harnessing this data, however, is challenging, because generating the geometry for a given parameter value requires time-consuming computations. Furthermore, the resulting meshes have different combinatorics, making the mesh data inherently discontinuous with respect to parameter adjustments. In our work, we address these challenges and develop tools that allow interactive exploration and optimization of parametric CAD data. To achieve interactive rates, we use precomputation on an adaptively sampled …"
6,Computational multicopter design,88,2016,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=atNjbs0AAAAJ&pagesize=50&citation_for_view=atNjbs0AAAAJ:roLk4NBRz8UC,"We present an interactive system for computational design, optimization, and fabrication of multicopters. Our computational approach allows non-experts to design, explore, and evaluate a wide range of different multicopters. We provide users with an intuitive interface for assembling a multicopter from a collection of components (e.g., propellers, motors, and carbon fiber rods). Our algorithm interactively optimizes shape and controller parameters of the current design to ensure its proper operation. In addition, we allow incorporating a variety of other metrics (such as payload, battery usage, size, and cost) into the design process and exploring tradeoffs between them. We show the efficacy of our method and system by designing, optimizing, fabricating, and operating multicopters with complex geometries and propeller configurations. We also demonstrate the ability of our optimization algorithm to improve the multicopter performance under different metrics."
7,Symplectic neural networks in Taylor series form for Hamiltonian systems,77,2021,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=atNjbs0AAAAJ&pagesize=50&citation_for_view=atNjbs0AAAAJ:M3ejUd6NZC8C,"We propose an effective and light-weight learning algorithm, Symplectic Taylor Neural Networks (Taylor-nets), to conduct continuous, long-term predictions of a complex Hamiltonian dynamic system based on sparse, short-term observations. At the heart of our algorithm is a novel neural network architecture consisting of two sub-networks. Both are embedded with terms in the form of Taylor series expansion designed with symmetric structure. The key mechanism underpinning our infrastructure is the strong expressiveness and special symmetric property of the Taylor series expansion, which naturally accommodate the numerical fitting process of the gradients of the Hamiltonian with respect to the generalized coordinates as well as preserve its symplectic structure. We further incorporate a fourth-order symplectic integrator in conjunction with neural ODEs' framework into our Taylor-net architecture to learn the …"
8,A new grid structure for domain extension,77,2013,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=atNjbs0AAAAJ&pagesize=50&citation_for_view=atNjbs0AAAAJ:9yKSN-GCB0IC,"We present an efficient grid structure that extends a uniform grid to create a significantly larger far-field grid by dynamically extending the cells surrounding a fine uniform grid while still maintaining fine resolution about the regions of interest. The far-field grid preserves almost every computational advantage of uniform grids including cache coherency, regular subdivisions for parallelization, simple data layout, the existence of efficient numerical discretizations and algorithms for solving partial differential equations, etc. This allows fluid simulations to cover large domains that are often infeasible to enclose with sufficient resolution using a uniform grid, while still effectively capturing fine scale details in regions of interest using dynamic adaptivity."
9,Fluidlab: A differentiable environment for benchmarking complex fluid manipulation,74,2023,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=atNjbs0AAAAJ&pagesize=50&citation_for_view=atNjbs0AAAAJ:xtRiw3GOFMkC,"Humans manipulate various kinds of fluids in their everyday life: creating latte art, scooping floating objects from water, rolling an ice cream cone, etc. Using robots to augment or replace human labors in these daily settings remain as a challenging task due to the multifaceted complexities of fluids. Previous research in robotic fluid manipulation mostly consider fluids governed by an ideal, Newtonian model in simple task settings (e.g., pouring). However, the vast majority of real-world fluid systems manifest their complexities in terms of the fluid's complex material behaviors and multi-component interactions, both of which were well beyond the scope of the current literature. To evaluate robot learning algorithms on understanding and interacting with such complex fluid systems, a comprehensive virtual platform with versatile simulation capabilities and well-established tasks is needed. In this work, we introduce FluidLab, a simulation environment with a diverse set of manipulation tasks involving complex fluid dynamics. These tasks address interactions between solid and fluid as well as among multiple fluids. At the heart of our platform is a fully differentiable physics simulator, FluidEngine, providing GPU-accelerated simulations and gradient calculations for various material types and their couplings. We identify several challenges for fluid manipulation learning by evaluating a set of reinforcement learning and trajectory optimization methods on our platform. To address these challenges, we propose several domain-specific optimization schemes coupled with differentiable physics, which are empirically shown to be effective in tackling optimization …"
10,Evolutionary black-box topology optimization: Challenges and promises,74,2019,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=atNjbs0AAAAJ&pagesize=50&citation_for_view=atNjbs0AAAAJ:hFOr9nPyWt4C,"Black-box topology optimization (BBTO) uses evolutionary algorithms and other soft computing techniques to generate near-optimal topologies of mechanical structures. Although evolutionary algorithms are widely used to compensate the limited applicability of conventional gradient optimization techniques, methods based on BBTO have been criticized due to numerous drawbacks. In this article, we discuss topology optimization as a black-box optimization problem. We review the main BBTO methods, discuss their challenges and present approaches to relax them. Dealing with those challenges effectively can lead to wider applicability of topology optimization, as well as the ability to tackle industrial, highly constrained, nonlinear, many-objective, and multimodal problems. Consequently, future research in this area may open the door for innovating new applications in science and engineering that may go beyond …"
11,Codimensional surface tension flow on simplicial complexes,71,2014,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=atNjbs0AAAAJ&pagesize=50&citation_for_view=atNjbs0AAAAJ:UeHWp8X0CEIC,"Many visually interesting natural phenomena are characterized by thin liquid sheets, long filaments, and droplets. We present a new Lagrangian-based numerical method to simulate these codimensional surface tension driven phenomena using non-manifold simplicial complexes. Tetrahedra, triangles, segments, and points are used to model the fluid volume, thin films, filaments, and droplets, respectively. We present a new method for enforcing fluid incompressibility on simplicial complexes along with a physically-guided meshing algorithm to provide temporally consistent information for interparticle forces. Our method naturally allows for transitions between codimensions, either from tetrahedra to triangles to segments to points or vice versa, regardless of the simulation resolution. We demonstrate the efficacy of this method by simulating various natural phenomena that are characterized by thin fluid sheets …"
12,Codimensional non-Newtonian fluids,66,2015,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=atNjbs0AAAAJ&pagesize=50&citation_for_view=atNjbs0AAAAJ:IjCSPb-OGe4C,"We present a novel method to simulate codimensional non-Newtonian fluids on simplicial complexes. Our method extends previous work for codimensional incompressible flow to various types of non-Newtonian fluids including both shear thinning and thickening, Bingham plastics, and elastoplastics. We propose a novel time integration scheme for semi-implicitly treating elasticity, which when combined with a semi-implicit method for variable viscosity alleviates the need for small time steps. Furthermore, we propose an improved treatment of viscosity on the rims of thin fluid sheets that allows us to capture their elusive, visually appealing twisting motion. In order to simulate complex phenomena such as the mixing of colored paint, we adopt a multiple level set framework and propose a discretization on simplicial complexes that facilitates the tracking of material interfaces across codimensions. We demonstrate the …"
13,A hybrid deformable model for real-time surgical simulation,66,2012,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=atNjbs0AAAAJ&pagesize=50&citation_for_view=atNjbs0AAAAJ:qjMakFHDy7sC,"Modeling organ deformation in real remains a challenge in virtual minimally invasive (MIS) surgery simulation. In this paper, we propose a new hybrid deformable model to simulate deformable organs in the real-time surgical training system. Our hybrid model uses boundary element method (BEM) to compute global deformation based on a coarse surface mesh and uses a mass-spring model to simulate the dynamic behaviors of soft tissue interacting with surgical instruments. The simulation result is coupled with a high-resolution rendering mesh through a particle surface interpolation algorithm. Accurate visual and haptic feedbacks are provided in real time and temporal behaviors of biological soft tissues including viscosity and creeping are modeled as well. We prove our model to be suitable to work in complex virtual surgical environment by integrating it into a MIS training system. The hybrid model is evaluated …"
14,Sketch-based dynamic illustration of fluid systems,66,2011,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=atNjbs0AAAAJ&pagesize=50&citation_for_view=atNjbs0AAAAJ:d1gkVwhDpl0C,"This paper presents a lightweight sketching system that enables interactive illustration of complex fluid systems. Users can sketch on a 2.5-dimensional (2.5D) canvas to design the shapes and connections of a fluid circuit. These input sketches are automatically analyzed and abstracted into a hydraulic graph, and a new hybrid fluid model is used in the background to enhance the illustrations. The system provides rich simple operations for users to edit the fluid system incrementally, and the new internal flow patterns can be simulated in real time. Our system is used to illustrate various fluid systems in medicine, biology, and engineering. We asked professional medical doctors to try our system and obtained positive feedback from them."
15,Creating and preserving vortical details in sph fluid,57,2010,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=atNjbs0AAAAJ&pagesize=50&citation_for_view=atNjbs0AAAAJ:u-x6o8ySG0sC,"We present a new method to create and preserve the turbulent details generated around moving objects in SPH fluid. In our approach, a high‐resolution overlapping grid is bounded to each object and translates with the object. The turbulence formation is modeled by resolving the local flow around objects using a hybrid SPH‐FLIP method. Then these vortical details are carried on SPH particles flowing through the local region and preserved in the global field in a synthetic way. Our method provides a physically plausible way to model the turbulent details around both rigid and deformable objects in SPH fluid, and can efficiently produce animations of complex gaseous phenomena with rich visual details."
16,Nonseparable symplectic neural networks,54,2020,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=atNjbs0AAAAJ&pagesize=50&citation_for_view=atNjbs0AAAAJ:IWHjjKOFINEC,"Predicting the behaviors of Hamiltonian systems has been drawing increasing attention in scientific machine learning. However, the vast majority of the literature was focused on predicting separable Hamiltonian systems with their kinematic and potential energy terms being explicitly decoupled while building data-driven paradigms to predict nonseparable Hamiltonian systems that are ubiquitous in fluid dynamics and quantum mechanics were rarely explored. The main computational challenge lies in the effective embedding of symplectic priors to describe the inherently coupled evolution of position and momentum, which typically exhibits intricate dynamics. To solve the problem, we propose a novel neural network architecture, Nonseparable Symplectic Neural Networks (NSSNNs), to uncover and embed the symplectic structure of a nonseparable Hamiltonian system from limited observation data. The enabling mechanics of our approach is an augmented symplectic time integrator to decouple the position and momentum energy terms and facilitate their evolution. We demonstrated the efficacy and versatility of our method by predicting a wide range of Hamiltonian systems, both separable and nonseparable, including chaotic vortical flows. We showed the unique computational merits of our approach to yield long-term, accurate, and robust predictions for large-scale Hamiltonian systems by rigorously enforcing symplectomorphism."
17,Fluid simulation on neural flow maps,50,2023,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=atNjbs0AAAAJ&pagesize=50&citation_for_view=atNjbs0AAAAJ:-FonjvnnhkoC,"We introduce Neural Flow Maps, a novel simulation method bridging the emerging paradigm of implicit neural representations with fluid simulation based on the theory of flow maps, to achieve state-of-the-art simulation of in-viscid fluid phenomena. We devise a novel hybrid neural field representation, Spatially Sparse Neural Fields (SSNF), which fuses small neural networks with a pyramid of overlapping, multi-resolution, and spatially sparse grids, to compactly represent long-term spatiotemporal velocity fields at high accuracy. With this neural velocity buffer in hand, we compute long-term, bidirectional flow maps and their Jacobians in a mechanistically symmetric manner, to facilitate drastic accuracy improvement over existing solutions. These long-range, bidirectional flow maps enable high advection accuracy with low dissipation, which in turn facilitates high-fidelity incompressible flow simulations that manifest …"
18,Clebsch gauge fluid,48,2021,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=atNjbs0AAAAJ&pagesize=50&citation_for_view=atNjbs0AAAAJ:RHpTSmoSYBkC,"We propose a novel gauge fluid solver based on Clebsch wave functions to solve incompressible fluid equations. Our method combines the expressive power of Clebsch wave functions to represent coherent vortical structures and the generality of gauge methods to accommodate a broad array of fluid phenomena. By evolving a transformed wave function as the system's gauge variable enhanced by an additional projection step to enforce pressure jumps on the free boundaries, our method can significantly improve the vorticity generation and preservation ability for a broad range of gaseous and liquid phenomena. Our approach can be easily implemented by modifying a standard grid-based fluid simulator. It can be used to solve various fluid dynamics, including complex vortex filament dynamics, fluids with different obstacles, and surface-tension flow."
19,Learning physical constraints with neural projections,47,2020,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=atNjbs0AAAAJ&pagesize=50&citation_for_view=atNjbs0AAAAJ:qxL8FJ1GzNcC,"We propose a new family of neural networks to predict the behaviors of physical systems by learning their underpinning constraints. A neural projection operator lies at the heart of our approach, composed of a lightweight network with an embedded recursive architecture that interactively enforces learned underpinning constraints and predicts the various governed behaviors of different physical systems. Our neural projection operator is motivated by the position-based dynamics model that has been used widely in game and visual effects industries to unify the various fast physics simulators. Our method can automatically and effectively uncover a broad range of constraints from observation point data, such as length, angle, bending, collision, boundary effects, and their arbitrary combinations, without any connectivity priors. We provide a multi-group point representation in conjunction with a configurable network connection mechanism to incorporate prior inputs for processing complex physical systems. We demonstrated the efficacy of our approach by learning a set of challenging physical systems all in a unified and simple fashion including: rigid bodies with complex geometries, ropes with varying length and bending, articulated soft and rigid bodies, and multi-object collisions with complex boundaries."
20,A new incompressibility discretization for a hybrid particle MAC grid representation with surface tension,44,2015,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=atNjbs0AAAAJ&pagesize=50&citation_for_view=atNjbs0AAAAJ:2osOgNQ5qMEC,"We take a particle based approach to incompressible free surface flow motivated by the fact that an explicit representation of the interface geometry and internal deformations gives precise feedback to an implicit solver for surface tension. Methods that enforce incompressibility directly on the particles are typically numerically inefficient compared to those that utilize a background grid. However, background grid discretizations suffer from inaccuracy near the free surface where they do not properly capture the interface geometry. Therefore, our incompressibility discretization utilizes a particle based projection near the interface and a background MAC grid based projection for efficiency in the vast interior of the liquid domain – as well as a novel method for coupling these two disparate projections together. We show that the overall coupled elliptic solver is second order accurate, and remains second order accurate …"
21,Functional optimization of fluidic devices with differentiable stokes flow,42,2020,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=atNjbs0AAAAJ&pagesize=50&citation_for_view=atNjbs0AAAAJ:-f6ydRqryjwC,"We present a method for performance-driven optimization of fluidic devices. In our approach, engineers provide a high-level specification of a device using parametric surfaces for the fluid-solid boundaries. They also specify desired flow properties for inlets and outlets of the device. Our computational approach optimizes the boundary of the fluidic device such that its steady-state flow matches desired flow at outlets. In order to deal with computational challenges of this task, we propose an efficient, differentiable Stokes flow solver. Our solver provides explicit access to gradients of performance metrics with respect to the parametric boundary representation. This key feature allows us to couple the solver with efficient gradient-based optimization methods. We demonstrate the efficacy of this approach on designs of five complex 3D fluidic systems. Our approach makes an important step towards practical computational …"
22,Sparse symplectically integrated neural networks,40,2020,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=atNjbs0AAAAJ&pagesize=50&citation_for_view=atNjbs0AAAAJ:hC7cP41nSMkC,"We introduce Sparse Symplectically Integrated Neural Networks (SSINNs), a novel model for learning Hamiltonian dynamical systems from data. SSINNs combine fourth-order symplectic integration with a learned parameterization of the Hamiltonian obtained using sparse regression through a mathematically elegant function space. This allows for interpretable models that incorporate symplectic inductive biases and have low memory requirements. We evaluate SSINNs on four classical Hamiltonian dynamical problems: the Hénon-Heiles system, nonlinearly coupled oscillators, a multi-particle mass-spring system, and a pendulum system. Our results demonstrate promise in both system prediction and conservation of energy, often outperforming the current state-of-the-art black-box prediction techniques by an order of magnitude. Further, SSINNs successfully converge to true governing equations from highly limited and noisy data, demonstrating potential applicability in the discovery of new physical governing equations."
23,Animating Sand as a Surface Flow.,38,2010,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=atNjbs0AAAAJ&pagesize=50&citation_for_view=atNjbs0AAAAJ:u5HHmVD_uO8C,"This paper presents a new efficient method for animating sand and other granular materials in 3D scenes. Our method couples 2D and 3D simulation techniques in a physically based way. A surface flow model of granular material-the BCRE model-is used to separate sand piles into two layers: a surface flowing layer and a static layer. The surface layer is simulated using discrete element method (DEM) to capture the detailed flowing behavior, while the invisible and static layer is represented by a height field for efficiency. The matter transfer between the two layers is modeled based on the surface flow equations through a particle interface. We demonstrate that our method leads to significant improvements of computational efficiency compared to standard discrete element method, without sacrificing the rich 3D animation effects."
24,A Clebsch method for free-surface vortical flow simulation,34,2022,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=atNjbs0AAAAJ&pagesize=50&citation_for_view=atNjbs0AAAAJ:D03iK_w7-QYC,"We propose a novel Clebsch method to simulate the free-surface vortical flow. At the center of our approach lies a level-set method enhanced by a wave-function correction scheme and a wave-function extrapolation algorithm to tackle the Clebsch method's numerical instabilities near a dynamic interface. By combining the Clebsch wave function's expressiveness in representing vortical structures and the level-set function's ability on tracking interfacial dynamics, we can model complex vortex-interface interaction problems that exhibit rich free-surface flow details on a Cartesian grid. We showcase the efficacy of our approach by simulating a wide range of new free-surface flow phenomena that were impractical for previous methods, including horseshoe vortex, sink vortex, bubble rings, and free-surface wake vortices."
25,Codimensional surface tension flow using moving-least-squares particles,34,2020,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=atNjbs0AAAAJ&pagesize=50&citation_for_view=atNjbs0AAAAJ:_kc_bZDykSQC,"We propose a new Eulerian-Lagrangian approach to simulate the various surface tension phenomena characterized by volume, thin sheets, thin filaments, and points using Moving-Least-Squares (MLS) particles. At the center of our approach is a meshless Lagrangian description of the different types of codimensional geometries and their transitions using an MLS approximation. In particular, we differentiate the codimension-1 and codimension-2 geometries on Lagrangian MLS particles to precisely describe the evolution of thin sheets and filaments, and we discretize the codimension-0 operators on a background Cartesian grid for efficient volumetric processing. Physical forces including surface tension and pressure across different codimensions are coupled in a monolithic manner by solving one single linear system to evolve the surface-tension driven Navier-Stokes system in a complex non-manifold space. The …"
26,Cellular topology optimization on differentiable Voronoi diagrams,33,2023,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=atNjbs0AAAAJ&pagesize=50&citation_for_view=atNjbs0AAAAJ:dfsIfKJdRG4C,"Cellular structures manifest their outstanding mechanical properties in many biological systems. One key challenge for designing and optimizing these geometrically complicated structures lies in devising an effective geometric representation to characterize the system's spatially varying cellular evolution driven by objective sensitivities. A conventional discrete cellular structure, for example, a Voronoi diagram, whose representation relies on discrete Voronoi cells and faces, lacks its differentiability to facilitate large‐scale, gradient‐based topology optimizations. We propose a topology optimization algorithm based on a differentiable and generalized Voronoi representation that can evolve the cellular structure as a continuous field. The central piece of our method is a hybrid particle‐grid representation to encode the previously discrete Voronoi diagram into a continuous density field defined in a Euclidean space …"
27,A level-set method for magnetic substance simulation,32,2020,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=atNjbs0AAAAJ&pagesize=50&citation_for_view=atNjbs0AAAAJ:ULOm3_A8WrAC,"We present a versatile numerical approach to simulating various magnetic phenomena using a level-set method. At the heart of our method lies a novel two-way coupling mechanism between a magnetic field and a magnetizable mechanical system, which is based on the interfacial Helmholtz force drawn from the Minkowski form of the Maxwell stress tensor. We show that a magnetic-mechanical coupling system can be solved as an interfacial problem, both theoretically and computationally. In particular, we employ a Poisson equation with a jump condition across the interface to model the mechanical-to-magnetic interaction and a Helmholtz force on the free surface to model the magnetic-to-mechanical effects. Our computational framework can be easily integrated into a standard Euler fluid solver, enabling both simulation and visualization of a complex magnetic field and its interaction with immersed magnetizable …"
28,Thin-film smoothed particle hydrodynamics fluid,31,2021,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=atNjbs0AAAAJ&pagesize=50&citation_for_view=atNjbs0AAAAJ:TQgYirikUcIC,"We propose a particle-based method to simulate thin-film fluid that jointly facilitates aggressive surface deformation and vigorous tangential flows. We build our dynamics model from the surface tension driven Navier-Stokes equation with the dimensionality reduced using the asymptotic lubrication theory and customize a set of differential operators based on the weakly compressible Smoothed Particle Hydrodynamics (SPH) for evolving pointset surfaces. The key insight is that the compressible nature of SPH, which is unfavorable in its typical usage, is helpful in our application to co-evolve the thickness, calculate the surface tension, and enforce the fluid incompressibility on a thin film. In this way, we are able to two-way couple the surface deformation with the in-plane flows in a physically based manner. We can simulate complex vortical swirls, fingering effects due to Rayleigh-Taylor instability, capillary waves …"
29,Solid-fluid interaction with surface-tension-dominant contact,31,2021,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=atNjbs0AAAAJ&pagesize=50&citation_for_view=atNjbs0AAAAJ:HDshCWvjkbEC,"We propose a novel three-way coupling method to model the contact interaction between solid and fluid driven by strong surface tension. At the heart of our physical model is a thin liquid membrane that simultaneously couples to both the liquid volume and the rigid objects, facilitating accurate momentum transfer, collision processing, and surface tension calculation. This model is implemented numerically under a hybrid Eulerian-Lagrangian framework where the membrane is modelled as a simplicial mesh and the liquid volume is simulated on a background Cartesian grid. We devise a monolithic solver to solve the interactions among the three systems of liquid, solid, and membrane. We demonstrate the efficacy of our method through an array of rigid-fluid contact simulations dominated by strong surface tension, which enables the faithful modeling of a host of new surface-tension-dominant phenomena including …"
30,Impulse fluid simulation,30,2022,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=atNjbs0AAAAJ&pagesize=50&citation_for_view=atNjbs0AAAAJ:u_35RYKgDlwC,"We propose a new incompressible Navier–Stokes solver based on the impulse gauge transformation. The mathematical model of our approach draws from the impulse–velocity formulation of Navier–Stokes equations, which evolves the fluid impulse as an auxiliary variable of the system that can be projected to obtain the incompressible flow velocities at the end of each time step. We solve the impulse-form equations numerically on a Cartesian grid. At the heart of our simulation algorithm is a novel model to treat the impulse stretching and a harmonic boundary treatment to incorporate the surface tension effects accurately. We also build an impulse PIC/FLIP solver to support free-surface fluid simulation. Our impulse solver can naturally produce rich vortical flow details without artificial enhancements. We showcase this feature by using our solver to facilitate a wide range of fluid simulation tasks including smoke …"
31,Learning vortex dynamics for fluid inference and prediction,28,2023,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=atNjbs0AAAAJ&pagesize=50&citation_for_view=atNjbs0AAAAJ:NhqRSupF_l8C,"We propose a novel differentiable vortex particle (DVP) method to infer and predict fluid dynamics from a single video. Lying at its core is a particle-based latent space to encapsulate the hidden, Lagrangian vortical evolution underpinning the observable, Eulerian flow phenomena. Our differentiable vortex particles are coupled with a learnable, vortex-to-velocity dynamics mapping to effectively capture the complex flow features in a physically-constrained, low-dimensional space. This representation facilitates the learning of a fluid simulator tailored to the input video that can deliver robust, long-term future predictions. The value of our method is twofold: first, our learned simulator enables the inference of hidden physics quantities (e.g., velocity field) purely from visual observation; secondly, it also supports future prediction, constructing the input video's sequel along with its future dynamics evolution. We compare our method with a range of existing methods on both synthetic and real-world videos, demonstrating improved reconstruction quality, visual plausibility, and physical integrity."
