Rank,Title,Citations,Year,URL,Description
1,NCBI prokaryotic genome annotation pipeline,7240,2016,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ciQ3dn0AAAAJ&pagesize=50&citation_for_view=ciQ3dn0AAAAJ:2M7X9mGNJRgC,"Recent technological advances have opened unprecedented opportunities for large-scale sequencing and analysis of populations of pathogenic species in disease outbreaks, as well as for large-scale diversity studies aimed at expanding our knowledge across the whole domain of prokaryotes. To meet the challenge of timely interpretation of structure, function and meaning of this vast genetic information, a comprehensive approach to automatic genome annotation is critically needed. In collaboration with Georgia Tech, NCBI has developed a new approach to genome annotation that combines alignment based methods with methods of predicting protein-coding and RNA genes and other functional elements directly from sequence. A new gene finding tool, GeneMarkS+, uses the combined evidence of protein and RNA placement by homology as an initial map of annotation to generate and modify ab initio …"
2,The complete genome sequence of the gastric pathogen Helicobacter pylori,4439,1997,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ciQ3dn0AAAAJ&pagesize=50&citation_for_view=ciQ3dn0AAAAJ:u5HHmVD_uO8C,"Helicobacter pylori, strain 26695, has a circular genome of 1,667,867 base pairs and 1,590 predicted coding sequences. Sequence analysis indicates that H. pylori has well-developed systems for motility, for scavenging iron, and for DNA restriction and modification. Many putative adhesins, lipoproteins and other outer membrane proteins were identified, underscoring the potential complexity of host–pathogen interaction. Based on the large number of sequence-related genes encoding outer membrane proteins and the presence of homopolymeric tracts and dinucleotide repeats in coding sequences, H. pylori, like several other mucosal pathogens, probably uses recombination and slipped-strand mispairing within repeats as mechanisms for antigenic variation and adaptive evolution. Consistent with its restricted niche, H. pylori has a few regulatory networks, and a limited metabolic repertoire and biosynthetic …"
3,"Complete genome sequence of the methanogenic archaeon, Methanococcus jannaschii",3376,1996,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ciQ3dn0AAAAJ&pagesize=50&citation_for_view=ciQ3dn0AAAAJ:CHSYGLWDkRkC,"The complete 1.66-megabase pair genome sequence of an autotrophic archaeon, Methanococcus jannaschii, and its 58- and 16-kilobase pair extrachromosomal elements have been determined by whole-genome random sequencing. A total of 1738 predicted protein-coding genes were identified; however, only a minority of these (38 percent) could be assigned a putative cellular role with high confidence. Although the majority of genes related to energy production, cell division, and metabolism in M. jannaschii are most similar to those found in Bacteria, most of the genes involved in transcription, translation, and replication in M. jannaschii are more similar to those found in Eukaryotes. The Methanococcus jannaschii Genome Database"
4,"cag, a pathogenicity island of Helicobacter  pylori, encodes type I-specific and disease-associated  virulence factors",2648,1996,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ciQ3dn0AAAAJ&pagesize=50&citation_for_view=ciQ3dn0AAAAJ:d1gkVwhDpl0C,"cagA, a gene that codes for an immunodominant antigen, is present only in Helicobacter pylori strains that are associated with severe forms of gastroduodenal disease (type I strains). We found that the genetic locus that contains cagA (cag) is part of a 40-kb DNA insertion that likely was acquired horizontally and integrated into the chromosomal glutamate racemase gene. This pathogenicity island is flanked by direct repeats of 31 bp. In some strains, cag is split into a right segment (cagI) and a left segment (cagII) by a novel insertion sequence (IS605). In a minority of H. pylori strains, cagI and cagII are separated by an intervening chromosomal sequence. Nucleotide sequencing of the 23,508 base pairs that form the cagI region and the extreme 3′ end of the cagII region reveals the presence of 19 ORFs that code for proteins predicted to be mostly membrane associated with one gene (cagE), which is …"
5,GeneMarkS: a self-training method for prediction of gene starts in microbial genomes. Implications for finding sequence motifs in regulatory regions,2633,2001,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ciQ3dn0AAAAJ&pagesize=50&citation_for_view=ciQ3dn0AAAAJ:qjMakFHDy7sC,"Improving the accuracy of prediction of gene starts is one of a few remaining open problems in computer prediction of prokaryotic genes. Its difficulty is caused by the absence of relatively strong sequence patterns identifying true translation initiation sites. In the current paper we show that the accuracy of gene start prediction can be improved by combining models of protein-coding and non-coding regions and models of regulatory sites near gene start within an iterative Hidden Markov model based algorithm. The new gene prediction method, called GeneMarkS, utilizes a non-supervised training procedure and can be used for a newly sequenced prokaryotic genome with no prior knowledge of any protein or rRNA genes. The GeneMarkS implementation uses an improved version of the gene finding program GeneMark.hmm, heuristic Markov models of coding and non-coding regions and the Gibbs sampling …"
6,GeneMark. hmm: new solutions for gene finding,2090,1998,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ciQ3dn0AAAAJ&pagesize=50&citation_for_view=ciQ3dn0AAAAJ:9yKSN-GCB0IC,"The number of completely sequenced bacterial genomes has been growing fast. There are computer methods available for finding genes but yet there is a need for more accurate algorithms. The GeneMark.hmm algorithm presented here was designed to improve the gene prediction quality in terms of finding exact gene boundaries. The idea was to embed the GeneMark models into naturally derived hidden Markov model framework with gene boundaries modeled as transitions between hidden states. We also used the specially derived ribosome binding site pattern to refine predictions of translation initiation codons. The algorithm was evaluated on several test sets including 10 complete bacterial genomes. It was shown that the new algorithm is significantly more accurate than GeneMark in exact gene prediction. Interestingly, the high gene finding accuracy was observed even in the case when Markov …"
7,BRAKER2: automatic eukaryotic genome annotation with GeneMark-EP+ and AUGUSTUS supported by a protein database,1839,2021,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ciQ3dn0AAAAJ&pagesize=50&citation_for_view=ciQ3dn0AAAAJ:uh8FjILnQOkC,"The task of eukaryotic genome annotation remains challenging. Only a few genomes could serve as standards of annotation achieved through a tremendous investment of human curation efforts. Still, the correctness of all alternative isoforms, even in the best-annotated genomes, could be a good subject for further investigation. The new BRAKER2 pipeline generates and integrates external protein support into the iterative process of training and gene prediction by GeneMark-EP+ and AUGUSTUS. BRAKER2 continues the line started by BRAKER1 where self-training GeneMark-ET and AUGUSTUS made gene predictions supported by transcriptomic data. Among the challenges addressed by the new pipeline was a generation of reliable hints to protein-coding exon boundaries from likely homologous but evolutionarily distant proteins. In comparison with other pipelines for eukaryotic genome annotation …"
8,Ab initio              gene identification in metagenomic sequences,1838,2010,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ciQ3dn0AAAAJ&pagesize=50&citation_for_view=ciQ3dn0AAAAJ:qxL8FJ1GzNcC,"We describe an algorithm for gene identification in DNA sequences derived from shotgun sequencing of microbial communities. Accurate ab initio gene prediction in a short nucleotide sequence of anonymous origin is hampered by uncertainty in model parameters. While several machine learning approaches could be proposed to bypass this difficulty, one effective method is to estimate parameters from dependencies, formed in evolution, between frequencies of oligonucleotides in protein-coding regions and genome nucleotide composition. Original version of the method was proposed in 1999 and has been used since for (i) reconstructing codon frequency vector needed for gene finding in viral genomes and (ii) initializing parameters of self-training gene finding algorithms. With advent of new prokaryotic genomes en masse it became possible to enhance the original …"
9,The genome of woodland strawberry (Fragaria vesca),1446,2011,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ciQ3dn0AAAAJ&pagesize=50&citation_for_view=ciQ3dn0AAAAJ:W7OEmFMy1HYC,"The woodland strawberry, Fragaria vesca (2n = 2x = 14), is a versatile experimental plant system. This diminutive herbaceous perennial has a small genome (240 Mb), is amenable to genetic transformation and shares substantial sequence identity with the cultivated strawberry (Fragaria × ananassa) and other economically important rosaceous plants. Here we report the draft F. vesca genome, which was sequenced to ×39 coverage using second-generation technology, assembled de novo and then anchored to the genetic linkage map into seven pseudochromosomes. This diploid strawberry sequence lacks the large genome duplications seen in other rosids. Gene prediction modeling identified 34,809 genes, with most being supported by transcriptome mapping. Genes critical to valuable horticultural traits including flavor, nutritional value and flowering time were identified. Macrosyntenic relationships between …"
10,"GeneMark: web software for gene finding in prokaryotes, eukaryotes and viruses",1357,2005,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ciQ3dn0AAAAJ&pagesize=50&citation_for_view=ciQ3dn0AAAAJ:zYLM7Y9cAGgC,"The task of gene identification frequently confronting researchers working with both novel and well studied genomes can be conveniently and reliably solved with the help of the GeneMark web software ( http://opal.biology.gatech.edu/GeneMark/ ). The website provides interfaces to the GeneMark family of programs designed and tuned for gene prediction in prokaryotic, eukaryotic and viral genomic sequences. Currently, the server allows the analysis of nearly 200 prokaryotic and >10 eukaryotic genomes using species-specific versions of the software and pre-computed gene models. In addition, genes in prokaryotic sequences from novel genomes can be identified using models derived on the spot upon sequence submission, either by a relatively simple heuristic approach or by the full-fledged self-training program GeneMarkS. A database of reannotations of >1000 viral genomes by the GeneMarkS program is …"
