Rank,Title,Citations,Year,URL,Description
1,Recent Advances in Robot Learning from Demonstration,1177,2020,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=d2HP6SMAAAAJ&pagesize=50&citation_for_view=d2HP6SMAAAAJ:BUYA1_V_uYcC,"In the context of robotics and automation, learning from demonstration (LfD) is the paradigm in which robots acquire new skills by learning to imitate an expert. The choice of LfD over other robot learning methods is compelling when ideal behavior can be neither easily scripted (as is done in traditional robot programming) nor easily defined as an optimization problem, but can be demonstrated. While there have been multiple surveys of this field in the past, there is a need for a new one given the considerable growth in the number of publications in recent years. This review aims to provide an overview of the collection of machine-learning methods used to enable a robot to learn from and imitate a teacher. We focus on recent advancements in the field and present an updated taxonomy and characterization of existing methods. We also discuss mature and emerging application areas for LfD and highlight the …"
2,STRATA: A Unified Framework for Task Assignments in Large Teams of Heterogeneous Agents,77,2020,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=d2HP6SMAAAAJ&pagesize=50&citation_for_view=d2HP6SMAAAAJ:zLWjf1WUPmwC,"Large teams of heterogeneous agents have the potential to solve complex multi-task problems that are intractable for a single agent working independently. However, solving complex multi-task problems requires leveraging the relative strengths of the different kinds of agents in the team. We present Stochastic TRAit-based Task Assignment (STRATA), a unified framework that models large teams of heterogeneous agents and performs effective task assignments. Specifically, given information on which traits (capabilities) are required for various tasks, STRATA computes the assignments of agents to tasks such that the trait requirements are achieved. Inspired by prior work in robot swarms and biodiversity, we categorize agents into different species (groups) based on their traits. We model each trait as a continuous variable and differentiate between traits that can and cannot be aggregated from different agents …"
3,Learning Partially Contracting Dynamical Systems from Demonstrations.,74,2017,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=d2HP6SMAAAAJ&pagesize=50&citation_for_view=d2HP6SMAAAAJ:ZfRJV9d4-WMC,"An algorithm for learning the dynamics of point-to-point motions from demonstrations using an autonomous nonlinear dynamical system, named contracting dynamical system primitives (CDSP), is presented. The motion dynamics are approximated using a Gaussian mixture model (GMM) and its parameters are learned subject to constraints derived from partial contraction analysis. Systems learned using the proposed method generate trajectories that accurately reproduce the demonstrations and are guaranteed to converge to a desired goal location. Additionally, the learned models are capable of quickly and appropriately adapting to unexpected spatial perturbations and changes in goal location during reproductions. The CDSP algorithm is evaluated on shapes from a publicly available human handwriting dataset and also compared with two state-of-the-art motion generation algorithms. Furthermore, the CDSP algorithm is also shown to be capable of learning and reproducing point-to-point motions directly from real-world demonstrations using a Baxter robot."
4,Human intention inference using expectation-maximization algorithm with online model learning,70,2016,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=d2HP6SMAAAAJ&pagesize=50&citation_for_view=d2HP6SMAAAAJ:Y0pCki6q_DkC,"An algorithm called adaptive-neural-intention estimator (ANIE) is presented to infer the intent of a human operator's arm movements based on the observations from a 3-D camera sensor (Microsoft Kinect). Intentions are modeled as the goal locations of reaching motions in 3-D space. Human arm's nonlinear motion dynamics are modeled using an unknown nonlinear function with intentions represented as parameters. The unknown model is learned by using a neural network. Based on the learned model, an approximate expectation-maximization algorithm is developed to infer human intentions. Furthermore, an identifier-based online model learning algorithm is developed to adapt to the variations in the arm motion dynamics, the motion trajectory, the goal locations, and the initial conditions of different human subjects. The results of experiments conducted on data obtained from different users performing a variety …"
5,Human-in-the-loop robot control for human-robot collaboration: Human intention estimation and safe trajectory tracking control for collaborative tasks,64,2020,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=d2HP6SMAAAAJ&pagesize=50&citation_for_view=d2HP6SMAAAAJ:EYYDruWGBe4C,"The prospect of a collaborative work environment between humans and robotic automation in a manufacturing setting [1] provides the motivation for finding innovative solutions to human-in-the-loop control for safe, efficient, and trustworthy human-robot collaboration (HRC), or HR interaction (HRI), in cyberphysical human systems (CPHSs) [2], [3]. Studies in [4] show that collaborative automation can be beneficial to 90% of approximately 300,000 small-to-medium-scale enterprises in the United States. In the paradigm of human-centered automation [5], human safety, ergonomics, and the collaborative efficiency of the work are given the utmost importance. Traditional methods to ensure the safety of humans around factory robots involve the use of cages. Recent work looked beyond cage-based safety to provide robot control and sensing-driven solutions for human safety around robots [6]-[8]."
6,"GRSTAPS: Graphically recursive simultaneous task allocation, planning, and scheduling",58,2022,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=d2HP6SMAAAAJ&pagesize=50&citation_for_view=d2HP6SMAAAAJ:lmc2jWPfTJgC,"Effective deployment of multi-robot teams requires solving several interdependent problems at varying levels of abstraction. Specifically, heterogeneous multi-robot systems must answer four important questions: what (task planning), how (motion planning), who (task allocation), and when (scheduling). Although there are rich bodies of work dedicated to various combinations of these questions, a fully integrated treatment of all four questions lies beyond the scope of the current literature, which lacks even a formal description of the complete problem. In this article, we address this absence, first by formalizing this class of multi-robot problems under the banner Simultaneous Task Allocation and Planning with Spatiotemporal Constraints (STAP-STC), and then by proposing a solution that we call Graphically Recursive Simultaneous Task Allocation, Planning, and Scheduling (GRSTAPS). GRSTAPS interleaves task …"
7,Learning position and orientation dynamics from demonstrations via contraction analysis,48,2019,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=d2HP6SMAAAAJ&pagesize=50&citation_for_view=d2HP6SMAAAAJ:XD-gHx7UXLsC,"This paper presents a unified framework of model-learning algorithms, called contracting dynamical system primitives (CDSP), that can be used to learn pose (i.e., position and orientation) dynamics of point-to-point motions from demonstrations. The position and the orientation (represented using quaternions) trajectories are modeled as two separate autonomous nonlinear dynamical systems. The special constraints of the manifold are enforced in the formulation of the system that models the orientation dynamics. To capture the variability in the demonstrations, the dynamical systems are estimated using Gaussian mixture models (GMMs). The parameters of the GMMs are learned subject to the constraints derived using partial contraction analysis. The learned models’ reproductions are shown to accurately reproduce the demonstrations and are guaranteed to converge to the desired goal location. Experimental …"
8,Learning Reactive Motion Policies in Multiple Task Spaces from Human Demonstrations,33,2019,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=d2HP6SMAAAAJ&pagesize=50&citation_for_view=d2HP6SMAAAAJ:Z5m8FVwuT1cC,"Complex manipulation tasks often require non-trivial and coordinated movements of different parts of a robot. In this work, we address the challenges associated with learning and reproducing the skills required to execute such complex tasks. Specifically, we decompose a task into multiple subtasks and learn to reproduce the subtasks by learning stable policies from demonstrations. By leveraging the RMPflow framework for motion generation, our approach finds a stable global policy in the configuration space that enables simultaneous execution of various learned subtasks. The resulting global policy is a weighted combination of the learned policies such that the motions are coordinated and feasible under the robot’s kinematic and environmental constraints. We demonstrate the necessity and efficacy of the proposed approach in the context of multiple constrained manipulation tasks performed by a Franka Emika robot."
9,Human intention inference through interacting multiple model filtering,32,2015,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=d2HP6SMAAAAJ&pagesize=50&citation_for_view=d2HP6SMAAAAJ:u-x6o8ySG0sC,Description not available
10,On the Utility of Koopman Operator Theory in Learning Dexterous Manipulation Skills,31,2023,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=d2HP6SMAAAAJ&pagesize=50&citation_for_view=d2HP6SMAAAAJ:FPJr55Dyh1AC,"Despite impressive dexterous manipulation capabilities enabled by learning-based approaches, we are yet to witness widespread adoption beyond well-resourced laboratories. This is likely due to practical limitations, such as significant computational burden, inscrutable learned behaviors, sensitivity to initialization, and the considerable technical expertise required for implementation. In this work, we investigate the utility of Koopman operator theory in alleviating these limitations. Koopman operators are simple yet powerful control-theoretic structures to represent complex nonlinear dynamics as linear systems in higher dimensions. Motivated by the fact that complex nonlinear dynamics underlie dexterous manipulation, we develop a Koopman operator-based imitation learning framework to learn the desired motions of both the robotic hand and the object simultaneously. We show that Koopman operators are surprisingly effective for dexterous manipulation and offer a number of unique benefits. Notably, policies can be learned analytically, drastically reducing computation burden and eliminating sensitivity to initialization and the need for painstaking hyperparameter optimization. Our experiments reveal that a Koopman operator-based approach can perform comparably to state-of-the-art imitation learning algorithms in terms of success rate and sample efficiency, while being an order of magnitude faster. Policy videos can be viewed at https://sites. google. com/view/kodex-corl."
