Rank,Title,Citations,Year,URL,Description
1,Sdx: A software defined internet exchange,498,2014,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=dJy9rgYAAAAJ&pagesize=50&citation_for_view=dJy9rgYAAAAJ:ZeXyd9-uunAC,"BGP severely constrains how networks can deliver traffic over the Internet. Today's networks can only forward traffic based on the destination IP prefix, by selecting among routes offered by their immediate neighbors. We believe Software Defined Networking (SDN) could revolutionize wide-area traffic delivery, by offering direct control over packet-processing rules that match on multiple header fields and perform a variety of actions. Internet exchange points (IXPs) are a compelling place to start, given their central role in interconnecting many networks and their growing importance in bringing popular content closer to end users. To realize a Software Defined IXP (an ""SDX""), we must create compelling applications, such as ""application-specific peering""---where two networks peer only for (say) streaming video traffic. We also need new programming abstractions that allow participating networks to create and run these …"
2,Advancing software-defined networks: A survey,464,2017,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=dJy9rgYAAAAJ&pagesize=50&citation_for_view=dJy9rgYAAAAJ:W7OEmFMy1HYC,"Having gained momentum from its promise of centralized control over distributed network architectures at bargain costs, software-defined Networking (SDN) is an ever-increasing topic of research. SDN offers a simplified means to dynamically control multiple simple switches via a single controller program, which contrasts with current network infrastructures where individual network operators manage network devices individually. Already, SDN has realized some extraordinary use cases outside of academia with companies, such as Google, AT&T, Microsoft, and many others. However, SDN still presents many research and operational challenges for government, industry, and campus networks. Because of these challenges, many SDN solutions have developed in an ad hoc manner that are not easily adopted by other organizations. Hence, this paper seeks to identify some of the many challenges where new and …"
3,Learning momentum: On-line performance enhancement for reactive systems,83,1992,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=dJy9rgYAAAAJ&pagesize=50&citation_for_view=dJy9rgYAAAAJ:IjCSPb-OGe4C,We describe a reactive robotic control system which incorporates aspects of machine learning to improve the system's ability to successfully navigate in unfamiliar environments. This system overcomes limitations of completely reactive systems by exercising on-line performance enhancement without the need for high level planning. The results of extensive simulation studies using the learning enhanced reactive controller are presented.
4,Case-based reactive navigation: a method for on-line selection and adaptation of reactive robotic control parameters,65,1997,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=dJy9rgYAAAAJ&pagesize=50&citation_for_view=dJy9rgYAAAAJ:Zph67rFs4hoC,"We present a new line of research investigating on-line adaptive reactive control mechanisms for autonomous intelligent agents. We discuss a case-based method for dynamic selection and modification of behavior assemblages for a navigational system. The case-based reasoning module is designed as an addition to a traditional reactive control system, and provides more flexible performance in novel environments without extensive high level reasoning that would otherwise slow the system down. The method is implemented in the ACBARR (case-based reactive robotic) system and evaluated through empirical simulation of the system on several different environments, including ""box canyon"" environments known to be problematic for reactive control systems in general."
5,Leveraging SDN for ARP security,52,2016,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=dJy9rgYAAAAJ&pagesize=50&citation_for_view=dJy9rgYAAAAJ:qjMakFHDy7sC,"Insider threats are a growing concern for industry, government, and campus networks. Yet, vulnerabilities inherent in Address Resolution Protocol (ARP) are exploitable by insiders seeking to launch sophisticated attacks on local area networks (LANs). Such attacks, initialized through ARP spoofing, include denial of service, server redirect, and man-in-the-middle attacks. Unfortunately, the current state of the art technologies for detecting and preventing ARP poisoning are tediously complex, slow to detect, and difficult to maintain. However, software defined networking (SDN) enables the implementation of novel security measures that are capable of detecting and eliminating ARP spoofing before it can impact other hosts. Hence, this paper presents Network Flow Guard for ARP (NFGA), an SDN security module that augments simple, MAC-learning, protocols on OpenFlow-enabled switches. NFG works by hashing a …"
6,Providing scalable web service using multicast delivery,52,1995,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=dJy9rgYAAAAJ&pagesize=50&citation_for_view=dJy9rgYAAAAJ:Wp0gIr-vW9MC,"The recent growth in use of the World-Wide Web in the Internet has caused a significant increase in the demand placed on Web servers. This increased load results in noticeably longer response times for users. We propose an approach to using multicast in the delivery of Web resources that reduces the load on servers as well as the networks that connect them. We analyze the issues involved in using multicast in the Web, especially those related to routing and addressing. We also discuss the design and implementation of a system based on the existing WWW client and server architecture and the multicast support provided within IP.<>"
7,Case-based Reactive Navigation: A case-based method for on-line selection and adaptation of reactive control parameters in autonomous robotic systems,49,1992,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=dJy9rgYAAAAJ&pagesize=50&citation_for_view=dJy9rgYAAAAJ:9ZlFYXVOiuMC,"This article presents a new line of research investigating on-line learning mechanisms for autonomous intelligent agents. We discuss a case-based method for dynamic selection and modification of behavior assemblages for a navigational system. The casebased reasoning module is designed as an addition to a traditional reactive control system, and provides more flexible performance in novel environments without extensive high-level reasoning that would otherwise slow the system down. The method is implemented in the ACBARR (A Case-BAsed Reactive Robotic) system, and evaluated through empirical simulation of the system on several different environments, including"" box canyon"" environments known to be problematic for reactive control systems in general."
8,Security issues with the IP multimedia subsystem (IMS),48,2007,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=dJy9rgYAAAAJ&pagesize=50&citation_for_view=dJy9rgYAAAAJ:0EnyYjriUFMC,"The IP Multimedia Subsystem (IMS) is the basis for a significant new architecture for mobile applications incorporating voice, video and data services. The IMS is an overlay network on top of IP that uses SIP as the primary signaling mechanism. The IMS presents several new security challenges for both network providers and network users. This paper provides an overview of the IMS architecture and the security challenges that it raises. It is intended as the basis for developing a new set of research objectives around IMS security."
9,Leveraging SDN and WebRTC for rogue access point security,37,2017,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=dJy9rgYAAAAJ&pagesize=50&citation_for_view=dJy9rgYAAAAJ:hqOjcs7Dif8C,"Rogue access points (RAPs) are unauthorized devices connected to a network, providing unauthorized wireless access to one or more clients. Such devices pose significant risk to organizations, since they provide a convenient means for hackers and insiders to hide malicious or unsanctioned activities on industry, government, and campus networks. Yet, limitations inherent in traditional networks make detecting and removing such devices expensive, time consuming, and difficult to implement. For software-defined networks (SDNs), the risk of a network compromise due to RAPs is equally concerning, and methods for detecting RAPs within SDN architectures are needed. Hence, this paper leverages the capabilities of an SDN along with a trusted agent to detect and deny RAPs access to networks by using both generic and novel methods with minimal impact to performance. Three other contributions are included in …"
10,Posting protocol for improved keyword search success in peer-to-peer file-sharing systems,37,2003,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=dJy9rgYAAAAJ&pagesize=50&citation_for_view=dJy9rgYAAAAJ:4TOpqqG69KYC,"Decentralized peer-to-peer (P2P) file sharing systems, where peers query each other for content, are the most dominant in today's Internet. In the unstructured decentralized P2P systems, there is no direct connection between content location and system topology. Searches in such systems are typically broadcast within a limited region of the network and thus may not receive a response if the content is not within that region. Structured decentralized P2P systems provide a connection between content location and the system topology. There, queries can be directed to a peer who can respond definitively. Research in distributed computing has examined the problem of matching a client process to a desired server process. An approach to solving this distributed match-making problem is to have the server ""post"" or replicate information to other nodes in the system. We modify this approach to be used in the …"
