Rank,Title,Citations,Year,URL,Description
1,An assessment of multicomponent flow models and interface capturing schemes for spherical bubble dynamics,112,2020,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=dM-nHdMAAAAJ&pagesize=50&citation_for_view=dM-nHdMAAAAJ:Bg7qf7VwUHIC,"Numerical simulation of bubble dynamics and cavitation is challenging; even the seemingly simple problem of a collapsing spherical bubble is difficult to compute accurately with a general, three-dimensional, compressible, multicomponent flow solver. Difficulties arise due to both the physical model and the numerical method chosen for its solution. We consider the 5-equation model of Allaire et al. [1] and Massoni et al. [2], the 5-equation model of Kapila et al. [3], and the 6-equation model of Saurel et al. [4] as candidate approaches for spherical bubble dynamics, and both MUSCL and WENO interface-capturing methods are implemented and compared. We demonstrate the inadequacy of the traditional 5-equation model for spherical bubble collapse problems and explain the corresponding advantages of the augmented model of Kapila et al. [3] for representing this phenomenon. Quantitative comparisons between …"
2,Near-surface dynamics of a gas bubble collapsing above a crevice,108,2020,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=dM-nHdMAAAAJ&pagesize=50&citation_for_view=dM-nHdMAAAAJ:uDGL6kOW6j0C,"The impact of a collapsing gas bubble above rigid, notched walls is considered. Such surface crevices and imperfections often function as bubble nucleation sites, and thus have a direct relation to cavitation-induced erosion and damage structures. A generic configuration is investigated numerically using a second-order accurate compressible multi-component flow solver in a two-dimensional axisymmetric coordinate system. Results show that the crevice geometry has a significant effect on the collapse dynamics, jet formation, subsequent wave dynamics and interactions. The wall-pressure distribution associated with erosion potential is a direct consequence of development and intensity of these flow phenomena."
3,"MFC: An open-source high-order multi-component, multi-phase, and multi-scale compressible flow solver",70,2021,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=dM-nHdMAAAAJ&pagesize=50&citation_for_view=dM-nHdMAAAAJ:4X0JR2_MtJMC,"MFC is an open-source tool for solving multi-component, multi-phase, and bubbly compressible flows. It is capable of efficiently solving a wide range of flows, including droplet atomization, shock–bubble interaction, and bubble dynamics. We present the 5- and 6-equation thermodynamically-consistent diffuse-interface models we use to handle such flows, which are coupled to high-order interface-capturing methods, HLL-type Riemann solvers, and TVD time-integration schemes that are capable of simulating unsteady flows with strong shocks. The numerical methods are implemented in a flexible, modular framework that is amenable to future development. The methods we employ are validated via comparisons to experimental results for shock–bubble, shock–droplet, and shock–water–cylinder interaction problems and verified to be free of spurious oscillations for material-interface advection and gas–liquid …"
4,Competitive Physics Informed Networks,55,2023,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=dM-nHdMAAAAJ&pagesize=50&citation_for_view=dM-nHdMAAAAJ:XUvXOeBm_78C,"Neural networks can be trained to solve partial differential equations (PDEs) by using the PDE residual as the loss function. This strategy is called ""physics-informed neural networks"" (PINNs), but it currently cannot produce high-accuracy solutions, typically attaining about relative error. We present an adversarial approach that overcomes this limitation, which we call competitive PINNs (CPINNs). CPINNs train a discriminator that is rewarded for predicting mistakes the PINN makes. The discriminator and PINN participate in a zero-sum game with the exact PDE solution as an optimal strategy. This approach avoids squaring the large condition numbers of PDE discretizations, which is the likely reason for failures of previous attempts to decrease PINN errors even on benign problems. Numerical experiments on a Poisson problem show that CPINNs achieve errors four orders of magnitude smaller than the best-performing PINN. We observe relative errors on the order of single-precision accuracy, consistently decreasing with each epoch. To the authors' knowledge, this is the first time this level of accuracy and convergence behavior has been achieved. Additional experiments on the nonlinear Schr\""odinger, Burgers', and Allen-Cahn equation show that the benefits of CPINNs are not limited to linear problems."
5,"A quantitative comparison of phase-averaged models for bubbly, cavitating flows",36,2019,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=dM-nHdMAAAAJ&pagesize=50&citation_for_view=dM-nHdMAAAAJ:Ak0FvsSvgGUC,"We compare the computational performance of two modeling approaches for the flow of dilute cavitation bubbles in a liquid. The first approach is a deterministic model, for which bubbles are represented in a Lagrangian framework as advected features, each sampled from a distribution of equilibrium bubble sizes. The dynamic coupling to the liquid phase is modeled through local volume averaging. The second approach is stochastic; ensemble-phase averaging is used to derive mixture-averaged equations and field equations for the associated bubble properties are evolved in an Eulerian reference frame. For polydisperse mixtures, the probability density function of the equilibrium bubble radii is discretized and bubble properties are solved for each representative bin. In both cases, the equations are closed by solving Rayleigh–Plesset-like equations for the bubble dynamics as forced by the local or mixture …"
6,Fully quantum algorithm for mesoscale fluid simulations with application to partial differential equations,30,2024,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=dM-nHdMAAAAJ&pagesize=50&citation_for_view=dM-nHdMAAAAJ:w1MjKQ0l0TYC,"Fluid flow simulations marshal our most powerful computational resources. In many cases, even this is not enough. Quantum computers provide an opportunity to speed up traditional algorithms for flow simulations. We show that lattice-based mesoscale numerical methods can be executed as efficient quantum algorithms due to their statistical features. This approach revises a quantum algorithm for lattice gas automata to reduce classical computations and state preparation at every time step. For this, the algorithm approximates the qubit relative phases and subtracts them at the end of each time step. Phases are evaluated using the iterative phase estimation algorithm and subtracted using single-qubit rotation phase gates. This method optimizes the quantum resource required and makes it more appropriate for near-term quantum hardware. We also demonstrate how the checkerboard deficiency that the D1Q2 …"
7,"Method for portable, scalable, and performant GPU-accelerated simulation of multiphase compressible flow",28,2024,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=dM-nHdMAAAAJ&pagesize=50&citation_for_view=dM-nHdMAAAAJ:1Ye0OR6EYb4C,"Multiphase compressible flows are often characterized by a broad range of space and time scales, entailing large grids and small time steps. Simulations of these flows on CPU-based clusters can thus take several wall-clock days. Offloading the compute kernels to GPUs appears attractive but is memory-bound for many finite-volume and-difference methods, damping speedups. Even when realized, GPU-based kernels lead to more intrusive communication and I/O times owing to lower computation costs. We present a strategy for GPU acceleration of multiphase compressible flow solvers that addresses these challenges and obtains large speedups at scale. We use OpenACC for directive-based offloading of all compute kernels while maintaining low-level control when needed. An established Fortran preprocessor and metaprogramming tool, Fypp, enables otherwise hidden compile-time optimizations. This …"
8,Incompressible Navier–Stokes solve on noisy quantum hardware via a hybrid quantum–classical scheme,27,2025,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=dM-nHdMAAAAJ&pagesize=50&citation_for_view=dM-nHdMAAAAJ:1DsIQWDZLl8C,"Partial differential equation solvers are required to solve the Navier–Stokes equations for fluid flow. Recently, algorithms have been proposed to simulate fluid dynamics on quantum computers. Fault-tolerant quantum devices might enable exponential speedups over algorithms on classical computers. However, current and foreseeable quantum hardware introduce noise into computations, requiring algorithms that make judicious use of quantum resources: shallower circuit depths and fewer qubits. Under these restrictions, variational algorithms are more appropriate and robust. This work presents a hybrid quantum–classical algorithm for the incompressible Navier–Stokes equations. A classical device performs nonlinear computations, and a quantum one uses a variational solver for the pressure Poisson equation. A lid-driven cavity problem benchmarks the method. We verify the algorithm via noise-free simulation …"
9,Characterizing viscoelastic materials via ensemble-based data assimilation of bubble collapse observations,27,2021,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=dM-nHdMAAAAJ&pagesize=50&citation_for_view=dM-nHdMAAAAJ:7BrZ7Jt4UNcC,"Viscoelastic material properties at high strain rates are needed to model many biological and medical systems. Bubble cavitation can induce such strain rates, and the resulting bubble dynamics are sensitive to the material properties. Thus, in principle, these properties can be inferred via measurements of the bubble dynamics. Estrada et al. (2018) demonstrated such bubble-dynamic high-strain-rate rheometry by using least-squares shooting to minimize the difference between simulated and experimental bubble radius histories. We generalize their technique to account for additional uncertainties in the model, initial conditions, and material properties needed to uniquely simulate the bubble dynamics. Ensemble-based data assimilation minimizes the computational expense associated with the bubble cavitation model , providing a more efficient and scalable numerical framework for bubble-collapse rheometry. We …"
10,Application experiences on a gpu-accelerated arm-based hpc testbed,24,2023,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=dM-nHdMAAAAJ&pagesize=50&citation_for_view=dM-nHdMAAAAJ:q-HalDI95KYC,"This paper assesses and reports the experience of ten teams working to port, validate, and benchmark several High Performance Computing applications on a novel GPU-accelerated Arm testbed system. The testbed consists of eight NVIDIA Arm HPC Developer Kit systems, each one equipped with a server-class Arm CPU from Ampere Computing and two data center GPUs from NVIDIA Corp. The systems are connected together using InfiniBand interconnect. The selected applications and mini-apps are written using several programming languages and use multiple accelerator-based programming models for GPUs such as CUDA, OpenACC, and OpenMP offloading. Working on application porting requires a robust and easy-to-access programming environment, including a variety of compilers and optimized scientific libraries. The goal of this work is to evaluate platform readiness and assess the effort required …"
