Rank,Title,Citations,Year,URL,Description
1,The Curse of Knowledge in Visual Data Communication,156,2019,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=fFc3ezYAAAAJ&pagesize=50&citation_for_view=fFc3ezYAAAAJ:u5HHmVD_uO8C,"A viewer can extract many potential patterns from any set of visualized data values. But that means that two people can see different patterns in the same visualization, potentially leading to miscommunication. Here, we show that when people are primed to see one pattern in the data as visually salient, they believe that naïve viewers will experience the same visual salience. Participants were told one of multiple backstories about political events that affected public polling data, before viewing a graph that depicted those data. One pattern in the data was particularly visually salient to them given the backstory that they heard. They then predicted what naïve viewers would most visually salient on the visualization. They were strongly influenced by their own knowledge, despite explicit instructions to ignore it, predicting that others would find the same patterns to be most visually salient. This result reflects a psychological …"
2,Illusion of causality in visualized data,105,2019,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=fFc3ezYAAAAJ&pagesize=50&citation_for_view=fFc3ezYAAAAJ:qjMakFHDy7sC,"Students who eat breakfast more frequently tend to have a higher grade point average. From this data, many people might confidently state that a before-school breakfast program would lead to higher grades. This is a reasoning error, because correlation does not necessarily indicate causation - X and Y can be correlated without one directly causing the other. While this error is pervasive, its prevalence might be amplified or mitigated by the way that the data is presented to a viewer. Across three crowdsourced experiments, we examined whether how simple data relations are presented would mitigate this reasoning error. The first experiment tested examples similar to the breakfast-GPA relation, varying in the plausibility of the causal link. We asked participants to rate their level of agreement that the relation was correlated, which they rated appropriately as high. However, participants also expressed high …"
3,How to evaluate data visualizations across different levels of understanding,97,2020,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=fFc3ezYAAAAJ&pagesize=50&citation_for_view=fFc3ezYAAAAJ:Tyk-4Ss8FVUC,"Understanding a visualization is a multi-level process. A reader must extract and extrapolate from numeric facts, understand how those facts apply to both the context of the data and other potential contexts, and draw or evaluate conclusions from the data. A well-designed visualization should support each of these levels of understanding. We diagnose levels of understanding of visualized data by adapting Bloom’s taxonomy, a common framework from the education literature. We describe each level of the framework and provide examples for how it can be applied to evaluate the efficacy of data visualizations along six levels of knowledge acquisition - knowledge, comprehension, application, analysis, synthesis, and evaluation. We present three case studies showing that this framework expands on existing methods to comprehensively measure how a visualization design facilitates a viewer’s understanding of …"
4,Declutter and focus: Empirically evaluating design guidelines for effective data communication,85,2021,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=fFc3ezYAAAAJ&pagesize=50&citation_for_view=fFc3ezYAAAAJ:WF5omc3nYNoC,"Data visualization design has a powerful effect on which patterns we see as salient and how quickly we see them. The visualization practitioner community prescribes two popular guidelines for creating clear and efficient visualizations: declutter and focus. The declutter guidelines suggest removing non-critical gridlines, excessive labeling of data values, and color variability to improve aesthetics and to maximize the emphasis on the data relative to the design itself. The focus guidelines for explanatory communication recommend including a clear headline that describes the relevant data pattern, highlighting a subset of relevant data values with a unique color, and connecting those values to written annotations that contextualize them in a broader argument. We evaluated how these recommendations impact recall of the depicted information across cluttered, decluttered, and decluttered+focused designs of six graph …"
5,Attack-resilient image watermarking using stable diffusion,70,2024,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=fFc3ezYAAAAJ&pagesize=50&citation_for_view=fFc3ezYAAAAJ:hFOr9nPyWt4C,"Watermarking images is critical for tracking image provenance and proving ownership. With the advent of generative models, such as stable diffusion, that can create fake but realistic images, watermarking has become particularly important to make human-created images reliably identifiable. Unfortunately, the very same stable diffusion technology can remove watermarks injected using existing methods. To address this problem, we present ZoDiac, which uses a pre-trained stable diffusion model to inject a watermark into the trainable latent space, resulting in watermarks that can be reliably detected in the latent vector even when attacked. We evaluate ZoDiac on three benchmarks, MS-COCO, DiffusionDB, and WikiArt, and find that ZoDiac is robust against state-of-the-art watermark attacks, with a watermark detection rate above 98% and a false positive rate below 6.4%, outperforming state-of-the-art watermarking methods. We hypothesize that the reciprocating denoising process in diffusion models may inherently enhance the robustness of the watermark when faced with strong attacks and validate the hypothesis. Our research demonstrates that stable diffusion is a promising approach to robust watermarking, able to withstand even stable-diffusion-based attack methods. ZoDiac is open-sourced and available at https://github. com/zhanglijun95/ZoDiac."
6,Seeing what you believe or believing what you see? belief biases correlation estimation,67,2022,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=fFc3ezYAAAAJ&pagesize=50&citation_for_view=fFc3ezYAAAAJ:qxL8FJ1GzNcC,"When an analyst or scientist has a belief about how the world works, their thinking can be biased in favor of that belief. Therefore, one bedrock principle of science is to minimize that bias by testing the predictions of one's belief against objective data. But interpreting visualized data is a complex perceptual and cognitive process. Through two crowdsourced experiments, we demonstrate that supposedly objective assessments of the strength of a correlational relationship can be influenced by how strongly a viewer believes in the existence of that relationship. Participants viewed scatterplots depicting a relationship between meaningful variable pairs (e.g., number of environmental regulations and air quality) and estimated their correlations. They also estimated the correlation of the same scatterplots labeled instead with generic ‘X’ and ‘Y’ axes. In a separate section, they also reported how strongly they believed there …"
7,A design space of vision science methods for visualization research,59,2020,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=fFc3ezYAAAAJ&pagesize=50&citation_for_view=fFc3ezYAAAAJ:Y0pCki6q_DkC,"A growing number of efforts aim to understand what people see when using a visualization. These efforts provide scientific grounding to complement design intuitions, leading to more effective visualization practice. However, published visualization research currently reflects a limited set of available methods for understanding how people process visualized data. Alternative methods from vision science offer a rich suite of tools for understanding visualizations, but no curated collection of these methods exists in either perception or visualization research. We introduce a design space of experimental methods for empirically investigating the perceptual processes involved with viewing data visualizations to ultimately inform visualization design guidelines. This paper provides a shared lexicon for facilitating experimental visualization research. We discuss popular experimental paradigms, adjustment types, response …"
8,Visual arrangements of bar charts influence comparisons in viewer takeaways,54,2021,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=fFc3ezYAAAAJ&pagesize=50&citation_for_view=fFc3ezYAAAAJ:UebtZRa9Y70C,"Well-designed data visualizations can lead to more powerful and intuitive processing by a viewer. To help a viewer intuitively compare values to quickly generate key takeaways, visualization designers can manipulate how data values are arranged in a chart to afford particular comparisons. Using simple bar charts as a case study, we empirically tested the comparison affordances of four common arrangements: vertically juxtaposed, horizontally juxtaposed, overlaid, and stacked. We asked participants to type out what patterns they perceived in a chart and we coded their takeaways into types of comparisons. In a second study, we asked data visualization design experts to predict which arrangement they would use to afford each type of comparison and found both alignments and mismatches with our findings. These results provide concrete guidelines for how both human designers and automatic chart …"
9,"Biased average position estimates in line and bar graphs: Underestimation, overestimation, and perceptual pull",52,2019,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=fFc3ezYAAAAJ&pagesize=50&citation_for_view=fFc3ezYAAAAJ:2osOgNQ5qMEC,"In visual depictions of data, position (i.e., the vertical height of a line or a bar) is believed to be the most precise way to encode information compared to other encodings (e.g., hue). Not only are other encodings less precise than position, but they can also be prone to systematic biases (e.g., color category boundaries can distort perceived differences between hues). By comparison, position's high level of precision may seem to protect it from such biases. In contrast, across three empirical studies, we show that while position may be a precise form of data encoding, it can also produce systematic biases in how values are visually encoded, at least for reports of average position across a short delay. In displays with a single line or a single set of bars, reports of average positions were significantly biased, such that line positions were underestimated and bar positions were overestimated. In displays with multiple data …"
10,Examining the Components of Trust in Map-Based Visualizations,45,2019,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=fFc3ezYAAAAJ&pagesize=50&citation_for_view=fFc3ezYAAAAJ:zYLM7Y9cAGgC,"Prior research suggests that perceived transparency is often associated with perceived trust. For some data types, greater transparency in data visualization is also associated with an increase in the amount of information depicted. Based on prior work in economics and political science that has identified four dimensions of transparency, we examined the influence of accuracy, clarity, amount of disclosure, and thoroughness on a decision task where participants relied on map-based visualizations with varying complexity to solve a crisis. The results of our preliminary analysis suggest that perceived clarity, amount of disclosure. and thoroughness significantly predicted individuals' selection of a Google Maps-like application with either less information or more information. Trust and perceived accuracy did not significantly predict which navigation application visualization participants decided to use (ie, one with more information or less information). Further, our preliminary results suggest that an individual's ratings of accuracy and disclosure of a visualization predicted their ratings of the trustworthiness of that visualization. We discuss the implications of a possible dissociation between trust and decision tasks on visualization evaluation. In future work, we aim to examine the influence of the amount of information shown in a visualization on ratings of trust and determine the generalizability of our preliminary findings to different task types and visualization approaches."
11,Designing with pictographs: Envision topics without sacrificing understanding,44,2021,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=fFc3ezYAAAAJ&pagesize=50&citation_for_view=fFc3ezYAAAAJ:ufrVoPGSRksC,"Past studies have shown that when a visualization uses pictographs to encode data, they have a positive effect on memory, engagement, and assessment of risk. However, little is known about how pictographs affect one’s ability to understand a visualization, beyond memory for values and trends. We conducted two crowdsourced experiments to compare the effectiveness of using pictographs when showing part-to-whole relationships. In Experiment 1, we compared pictograph arrays to more traditional bar and pie charts. We tested participants’ ability to generate high-level insights following Bloom’s taxonomy of educational objectives via 6 free-response questions. We found that accuracy for extracting information and generating insights did not differ overall between the two versions. To explore the motivating differences between the designs, we conducted a second experiment where participants compared charts …"
12,Vistrust: a multidimensional framework and empirical study of trust in data visualizations,42,2023,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=fFc3ezYAAAAJ&pagesize=50&citation_for_view=fFc3ezYAAAAJ:qUcmZB5y_30C,"Trust is an essential aspect of data visualization, as it plays a crucial role in the interpretation and decision-making processes of users. While research in social sciences outlines the multi-dimensional factors that can play a role in trust formation, most data visualization trust researchers employ a single-item scale to measure trust. We address this gap by proposing a comprehensive, multidimensional conceptualization and operationalization of trust in visualization. We do this by applying general theories of trust from social sciences, as well as synthesizing and extending earlier work and factors identified by studies in the visualization field. We apply a two-dimensional approach to trust in visualization, to distinguish between cognitive and affective elements, as well as between visualization and data-specific trust antecedents. We use our framework to design and run a large crowd-sourced study to quantify the role of …"
13,How do we measure trust in visual data communication?,35,2022,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=fFc3ezYAAAAJ&pagesize=50&citation_for_view=fFc3ezYAAAAJ:aqlVkmm33-oC,"Trust is fundamental to effective visual data communication between the visualization designer and the reader. Although personal experience and preference influence readers’ trust in visualizations, visualization designers can leverage design techniques to create visualizations that evoke a ""calibrated trust,"" at which readers arrive after critically evaluating the information presented. To systematically understand what drives readers to engage in ""calibrated trust,"" we must first equip ourselves with reliable and valid methods for measuring trust. Computer science and data visualization researchers have not yet reached a consensus on a trust definition or metric, which are essential to building a comprehensive trust model in human-data interaction. On the other hand, social scientists and behavioral economists have developed and perfected metrics that can measure generalized and interpersonal trust, which the …"
14,Investigating Perceptual Biases in Icon Arrays,34,2022,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=fFc3ezYAAAAJ&pagesize=50&citation_for_view=fFc3ezYAAAAJ:Zph67rFs4hoC,"Icon arrays are graphical displays in which a subset of identical shapes are filled to convey probabilities. They are widely used for communicating probabilities to the general public. A primary design decision concerning icon arrays is how to fill and arrange these shapes. For example, a designer could fill the shapes from top to bottom or in a random fashion. We investigated the effect of different arrangements in icon arrays on probability perception. We showed participants icon arrays depicting probabilities between 0% and 100% in six different arrangements. Participants were more accurate in estimating probabilities when viewing the top, row, and diagonal arrangements, but they overestimated the proportions with the central arrangement and underestimated the proportions with the edge arrangement. They were biased to either overestimate or underestimate when viewing the random arrangement depending …"
15,From invisible to visible: Impacts of metadata in communicative data visualization,33,2022,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=fFc3ezYAAAAJ&pagesize=50&citation_for_view=fFc3ezYAAAAJ:QIV2ME_5wuYC,"Leaving the context of visualizations invisible can have negative impacts on understanding and transparency. While common wisdom suggests that recontextualizing visualizations with metadata (e.g., disclosing the data source or instructions for decoding the visualizations’ encoding) may counter these effects, the impact remains largely unknown. To fill this gap, we conducted two experiments. In Experiment 1, we explored how chart type, topic, and user goal impacted which categories of metadata participants deemed most relevant. We presented 64 participants with four real-world visualizations. For each visualization, participants were given four goals and selected the type of metadata they most wanted from a set of 18 types. Our results indicated that participants were most interested in metadata which explained the visualization's encoding for goals related to understanding and metadata about the source of the …"
16,Dispersion vs disparity: Hiding variability can encourage stereotyping when visualizing social outcomes,32,2022,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=fFc3ezYAAAAJ&pagesize=50&citation_for_view=fFc3ezYAAAAJ:M3ejUd6NZC8C,"Visualization research often focuses on perceptual accuracy or helping readers interpret key messages. However, we know very little about how chart designs might influence readers' perceptions of the people behind the data. Specifically, could designs interact with readers' social cognitive biases in ways that perpetuate harmful stereotypes? For example, when analyzing social inequality, bar charts are a popular choice to present outcome disparities between race, gender, or other groups. But bar charts may encourage deficit thinking, the perception that outcome disparities are caused by groups' personal strengths or deficiencies, rather than external factors. These faulty personal attributions can then reinforce stereotypes about the groups being visualized. We conducted four experiments examining design choices that influence attribution biases (and therefore deficit thinking). Crowdworkers viewed …"
17,Explaining with Examples Lessons Learned from Crowdsourced Introductory Description of Information Visualizations,32,2021,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=fFc3ezYAAAAJ&pagesize=50&citation_for_view=fFc3ezYAAAAJ:kNdYIx-mwKoC,"Data visualizations have been increasingly used in oral presentations to communicate data patterns to the general public. Clear verbal introductions of visualizations to explain how to interpret the visually encoded information are essential to convey the takeaways and avoid misunderstandings. We contribute a series of studies to investigate how to effectively introduce visualizations to the audience with varying degrees of visualization literacy. We begin with understanding how people are introducing visualizations. We crowdsource 110 introductions of visualizations and categorize them based on their content and structures. From these crowdsourced introductions, we identify different introduction strategies and generate a set of introductions for evaluation. We conduct experiments to systematically compare the effectiveness of different introduction strategies across four visualizations with 1,080 participants. We …"
18,"Same Data, Diverging Perspectives: The Power of Visualizations to Elicit Competing Interpretations",28,2024,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=fFc3ezYAAAAJ&pagesize=50&citation_for_view=fFc3ezYAAAAJ:HDshCWvjkbEC,"People routinely rely on data to make decisions, but the process can be riddled with biases. We show that patterns in data might be noticed first or more strongly, depending on how the data is visually represented or what the viewer finds salient. We also demonstrate that viewer interpretation of data is similar to that of ‘ambiguous figures’ such that two people looking at the same data can come to different decisions. In our studies, participants read visualizations depicting competitions between two entities, where one has a historical lead (A) but the other has been gaining momentum (B) and predicted a winner, across two chart types and three annotation approaches. They either saw the historical lead as salient and predicted that A would win, or saw the increasing momentum as salient and predicted B to win. These results suggest that decisions can be influenced by both how data are presented and what patterns …"
19,The role of text in visualizations: How annotations shape perceptions of bias and influence predictions,28,2023,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=fFc3ezYAAAAJ&pagesize=50&citation_for_view=fFc3ezYAAAAJ:hC7cP41nSMkC,"This paper investigates the role of text in visualizations, specifically the impact of text position, semantic content, and biased wording. Two empirical studies were conducted based on two tasks (predicting data trends and appraising bias) using two visualization types (bar and line charts). While the addition of text had a minimal effect on how people perceive data trends, there was a significant impact on how biased they perceive the authors to be. This finding revealed a relationship between the degree of bias in textual information and the perception of the authors’ bias. Exploratory analyses support an interaction between a person's prediction and the degree of bias they perceived. This paper also develops a crowdsourced method for creating chart annotations that range from neutral to highly biased. This research highlights the need for designers to mitigate potential polarization of readers’ opinions based on how …"
20,"My model is unfair, do people even care? visual design affects trust and perceived bias in machine learning",25,2023,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=fFc3ezYAAAAJ&pagesize=50&citation_for_view=fFc3ezYAAAAJ:L8Ckcad2t8MC,"Machine learning technology has become ubiquitous, but, unfortunately, often exhibits bias. As a consequence, disparate stakeholders need to interact with and make informed decisions about using machine learning models in everyday systems. Visualization technology can support stakeholders in understanding and evaluating trade-offs between, for example, accuracy and fairness of models. This paper aims to empirically answer “Can visualization design choices affect a stakeholder's perception of model bias, trust in a model, and willingness to adopt a model?” Through a series of controlled, crowd-sourced experiments with more than 1,500 participants, we identify a set of strategies people follow in deciding which models to trust. Our results show that men and women prioritize fairness and performance differently and that visual design choices significantly affect that prioritization. For example, women trust …"
21,Truth or square: Aspect ratio biases recall of position encodings,25,2020,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=fFc3ezYAAAAJ&pagesize=50&citation_for_view=fFc3ezYAAAAJ:W7OEmFMy1HYC,"Bar charts are among the most frequently used visualizations, in part because their position encoding leads them to convey data values precisely. Yet reproductions of single bars or groups of bars within a graph can be biased. Curiously, some previous work found that this bias resulted in an overestimation of reproduced data values, while other work found an underestimation. Across three empirical studies, we offer an explanation for these conflicting findings: this discrepancy is a consequence of the differing aspect ratios of the tested bar marks. Viewers are biased to remember a bar mark as being more similar to a prototypical square, leading to an overestimation of bars with a wide aspect ratio, and an underestimation of bars with a tall aspect ratio. Experiments 1 and 2 showed that the aspect ratio of the bar marks indeed influenced the direction of this bias. Experiment 3 confirmed that this pattern of …"
22,How aligned are human chart takeaways and llm predictions? a case study on bar charts with varying layouts,24,2024,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=fFc3ezYAAAAJ&pagesize=50&citation_for_view=fFc3ezYAAAAJ:_Qo2XoVZTnwC,"Large Language Models (LLMs) have been adopted for a variety of visualizations tasks, but how far are we from perceptually aware LLMs that can predict human takeaways? Graphical perception literature has shown that human chart takeaways are sensitive to visualization design choices, such as spatial layouts. In this work, we examine the extent to which LLMs exhibit such sensitivity when generating takeaways, using bar charts with varying spatial layouts as a case study. We conducted three experiments and tested four common bar chart layouts: vertically juxtaposed, horizontally juxtaposed, overlaid, and stacked. In Experiment 1, we identified the optimal configurations to generate meaningful chart takeaways by testing four LLMs, two temperature settings, nine chart specifications, and two prompting strategies. We found that even state-of-the-art LLMs struggled to generate semantically diverse and factually …"
23,What does the chart say? grouping cues guide viewer comparisons and conclusions in bar charts,21,2023,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=fFc3ezYAAAAJ&pagesize=50&citation_for_view=fFc3ezYAAAAJ:IWHjjKOFINEC,"Reading a visualization is like reading a paragraph. Each sentence is a comparison: the mean of these is higher than those; this difference is smaller than that. What determines which comparisons are made first? The viewer's goals and expertise matter, but the way that values are visually grouped together within the chart also impacts those comparisons. Research from psychology suggests that comparisons involve multiple steps. First, the viewer divides the visualization into a set of units. This might include a single bar or a grouped set of bars. Then the viewer selects and compares two of these units, perhaps noting that one pair of bars is longer than another. Viewers might take an additional third step and perform a second-order comparison, perhaps determining that the difference between one pair of bars is greater than the difference between another pair. We create a visual comparison taxonomy that allows …"
24,Reasoning affordances with tables and bar charts,21,2022,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=fFc3ezYAAAAJ&pagesize=50&citation_for_view=fFc3ezYAAAAJ:dhFuZR0502QC,"A viewer's existing beliefs can prevent accurate reasoning with data visualizations. In particular, confirmation bias can cause people to overweigh information that confirms their beliefs, and dismiss information that disconfirms them. We tested whether confirmation bias exists when people reason with visualized data and whether certain visualization designs can elicit less biased reasoning strategies. We asked crowdworkers to solve reasoning problems that had the potential to evoke both poor reasoning strategies and confirmation bias. We created two scenarios, one in which we primed people with a belief before asking them to make a decision, and another in which people held pre-existing beliefs. The data was presented as either a table, a bar table, or a bar chart. To correctly solve the problem, participants should use a complex reasoning strategy to compare two ratios, each between two pairs of values. But …"
25,Comparison conundrum and the chamber of visualizations: An exploration of how language influences visual design,21,2022,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=fFc3ezYAAAAJ&pagesize=50&citation_for_view=fFc3ezYAAAAJ:_kc_bZDykSQC,"The language for expressing comparisons is often complex and nuanced, making supporting natural language-based visual comparison a non-trivial task. To better understand how people reason about comparisons in natural language, we explore a design space of utterances for comparing data entities. We identified different parameters of comparison utterances that indicate what is being compared (i.e., data variables and attributes) as well as how these parameters are specified (i.e., explicitly or implicitly). We conducted a user study with sixteen data visualization experts and non-experts to investigate how they designed visualizations for comparisons in our design space. Based on the rich set of visualization techniques observed, we extracted key design features from the visualizations and synthesized them into a subset of sixteen representative visualization designs. We then conducted a follow-up study to …"
26,"Antibiotic Resistance of Escherichia coli Isolated from Conventional, No Antibiotics, and Humane Family Owned Retail Broiler Chicken Meat",20,2020,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=fFc3ezYAAAAJ&pagesize=50&citation_for_view=fFc3ezYAAAAJ:YsMSGLbcyi4C,"Simple Summary While it is well known that antibiotics administered for either therapeutic or non-therapeutic purposes in livestock farms promote the development of antibiotic resistance in bacteria through selective pressure, there are conflicting findings in the literature with regard to the influence of production strategies on antibiotic resistance in bacteria isolated from commercially-available chicken. In this work, we tested the hypothesis that there would be differences in antibiotic resistance in E. coli isolated from three categories of production methods: Conventional, No Antibiotics, and Humane Family Owned. In this work, it was found that for both ampicillin and erythromycin, there was no significant difference (p > 0.05) between Conventional and USDA-certified No Antibiotics chicken, which is in line with some previous work. The novel finding in this work is that we observed a statistically significant difference between both of the previously mentioned groups and chicken from Humane Family Owned production schemes. To our knowledge, this is the first time E. coli from Humane Family Owned chicken has been studied for antibiotic resistance. This work contributes to a better understanding of a potential strategy of chicken production for the overall benefit of human health, in line with the One Health approach implemented by the World Health Organization. Abstract The use of antibiotics for therapeutic and especially non-therapeutic purposes in livestock farms promotes the development of antibiotic resistance in previously susceptible bacteria through selective pressure. In this work, we examined E. coli …"
