name,google_scholar_url
Greg Eisenhauer,https://scholar.google.com/citations?user=4G7pc2IAAAAJ&hl=en
Greg Turk,https://scholar.google.com/citations?user=Q_4d9N0AAAAJ&hl=en
Haesun Park,https://scholar.google.com/citations?user=G6kA1CMAAAAJ&hl=en
Harish Ravichandar,https://scholar.google.com/citations?user=d2HP6SMAAAAJ&hl=en
Helen Xu,https://scholar.google.com/citations?user=ZcguQt4AAAAJ&hl=en
Humphrey Shi,https://scholar.google.com/citations?user=WBvt5A8AAAAJ&hl=en
Hyesoon Kim,https://scholar.google.com/citations?user=7OvZhQIAAAAJ&hl=en
HyunJoo Oh,https://scholar.google.com/citations?user=h0wla9sAAAAJ&hl=en
Irfan Essa,https://scholar.google.com/citations?user=XM97iScAAAAJ&hl=en
Jon R. Lindsay,https://scholar.google.com/citations?user=Lde9BAgAAAAJ&hl=en
Judith Odili Uchidiuno,https://scholar.google.com/citations?user=n6zdTxUAAAAJ&hl=en
Judy Hoffman,https://scholar.google.com/citations?user=mqpjAt4AAAAJ&hl=en
Jun Xu,https://scholar.google.com/citations?user=mHwonDEAAAAJ&hl=en
Kai Wang,https://scholar.google.com/citations?user=spWVns8AAAAJ&hl=en
Kuldeep S. Meel,https://scholar.google.com/citations?user=bvW5Hs8AAAAJ&hl=en
KwangHo Park,https://scholar.google.com/citations?user=CpVsPWEAAAAJ&hl=en
Larry Heck,https://scholar.google.com/citations?user=33ZWJmEAAAAJ&hl=en
Lien Diaz,https://scholar.google.com/citations?user=2--dZP0AAAAJ&hl=en
Ling Liu,https://scholar.google.com/citations?user=VIwtdckAAAAJ&hl=en
Mark Borodovsky,https://scholar.google.com/citations?user=ciQ3dn0AAAAJ&hl=en
Mark Riedl,https://scholar.google.com/citations?user=Yg_QjxcAAAAJ&hl=en
Matthew Gombolay,https://scholar.google.com/citations?user=Ihyz20wAAAAJ&hl=en
Michael A. Specter,https://scholar.google.com/citations?user=lHmMK_4AAAAJ&hl=en
