Rank,Title,Citations,Year,URL,Description
1,Esense: Communication through energy sensing,238,2009,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=gGB3lA4AAAAJ&pagesize=50&citation_for_view=gGB3lA4AAAAJ:u-x6o8ySG0sC,"In this paper, we present Esense: a new paradigm of communication between devices that have fundamentally different physical layers. The same communication framework also works between devices that have the same physical layer, which are out of communication range but within carrier-sense range. Esense is based on sensing and interpreting energy profiles. While our ideas are generic enough to be applicable in a variety of contexts, we illustrate the usefulness of our ideas by presenting novel solutions to existing problems in three distinct research domains. As part of these solutions, we demonstrate the ability to communicate between devices that follow two different standards: IEEE 802.11 and 802.15.4. We build an ``alphabet set'': a set of signature packet sizes which can be used for Esense. For this, we take a measurement based approach by considering WiFi traces from actual deployments. We then …"
2,LiquID: A Wireless Liquid IDentifier,181,2018,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=gGB3lA4AAAAJ&pagesize=50&citation_for_view=gGB3lA4AAAAJ:Se3iqnhoufwC,"This paper shows the feasibility of identifying liquids by shining ultra-wideband (UWB) wireless signals through them. The core opportunity arises from the fact that wireless signals experience distinct slow-down and attenuation when passing through a liquid, manifesting in the phase, strength, and propagation delay of the outgoing signal. While this intuition is simple, building a robust system entails numerous challenges, including (1) pico-second scale time of flight estimation, (2) coping with integer ambiguity due to phase wraps, (3) pollution from hardware noise and multipath, and (4) compensating for the liquid-container's impact on the measurements. We address these challenges through multiple stages of signal processing without relying on any feature extraction or machine learning. Instead, we model the behavior of radio signals inside liquids (using principles of physics), and estimate the liquid's permittivity …"
3,Bringing IoT to Sports Analytics.,94,2017,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=gGB3lA4AAAAJ&pagesize=50&citation_for_view=gGB3lA4AAAAJ:_FxGoFyzp5QC,"This paper explores the possibility of bringing IoT to sports analytics, particularly to the game of Cricket. We develop solutions to track a ball’s 3D trajectory and spin with inexpensive sensors and radios embedded in the ball. Unique challenges arise rendering existing localization and motion tracking solutions inadequate. Our system, iBall, mitigates these problems by fusing disparate sources of partial information–wireless, inertial sensing, and motion models–into a non-linear error minimization framework. Measured against a mm-level ground truth, the median ball location error is at 8cm while rotational error remains below 12◦ even at the end of the flight. The results do not rely on any calibration or training, hence we expect the core techniques to extend to other sports like baseball, with some domain-specific modifications."
4,Tracking drone orientation with multiple GPS receivers,84,2016,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=gGB3lA4AAAAJ&pagesize=50&citation_for_view=gGB3lA4AAAAJ:W7OEmFMy1HYC,"Inertial sensors continuously track the 3D orientation of a flying drone, serving as the bedrock for maneuvers and stabilization. However, even the best inertial measurement units (IMU) are prone to various types of correlated failures. We consider using multiple GPS receivers on the drone as a fail-safe mechanism for IMU failures. The core challenge is in accurately computing the relative locations between each receiver pair, and translating these measurements into the drone's 3D orientation. Achieving IMU-like orientation requires the relative GPS distances to be accurate to a few centimeters -- a difficult task given that GPS today is only accurate to around 1-4 meters. Moreover, GPS-based orientation needs to be precise even under sharp drone maneuvers, GPS signal blockage, and sudden bouts of missing data. This paper designs SafetyNet, an off-the-shelf GPS-only system that addresses these challenges …"
5,{TrackIO}: Tracking first responders {Inside-Out},71,2019,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=gGB3lA4AAAAJ&pagesize=50&citation_for_view=gGB3lA4AAAAJ:0EnyYjriUFMC,"First responders, a critical lifeline of any society, often find themselves in precarious situations. The ability to track them real-time in unknown indoor environments, would significantly contributes to the success of their mission as well as their safety. In this work, we present the design, implementation and evaluation of TrackIO—a system capable of accurately localizing and tracking mobile responders realtime in large indoor environments. TrackIO leverages the mobile virtual infrastructure offered by unmanned aerial vehicles (UAVs), coupled with the balanced penetration-accuracy tradeoff offered by ultra-wideband (UWB), to accomplish this objective directly from outside, without relying on access to any indoor infrastructure. Towards a practical system, TrackIO incorporates four novel mechanisms in its design that address key challenges to enable tracking responders (i) who are mobile with potentially non-uniform velocities (eg during turns),(ii) deep indoors with challenged reachability,(iii) in real-time even for a large network, and (iv) with high accuracy even when impacted by UAV’s position error. TrackIO’s real-world performance reveals that it can track static nodes with a median accuracy of about 1–1.5 m and mobile (even running) nodes with a median accuracy of 2–2.5 m in large buildings in real-time."
6,ITrackU: Tracking a pen-like instrument via UWB-IMU fusion,50,2021,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=gGB3lA4AAAAJ&pagesize=50&citation_for_view=gGB3lA4AAAAJ:4TOpqqG69KYC,"High-precision tracking of a pen-like instrument's movements is desirable in a wide range of fields spanning education, robotics, and art, to name a few. The key challenge in doing so stems from the impracticality of embedding electronics in the tip of such instruments (a pen, marker, scalpel, etc.) as well as the difficulties in instrumenting the surface that it works on. In this paper, we present ITrackU, a movement digitization system that does not require modifications to the surface or the tracked instrument's tip. ITrackU fuses locations obtained using ultra-wideband radios (UWB), with an inertial and magnetic unit (IMU) and a pressure sensor, yielding multidimensional improvements in accuracy, range, cost, and robustness, over existing works. ITrackU embeds a micro-transmitter at the base of a pen which creates a trackable beacon, that is localized from the corners of a writing surface. Fused with inertial motion …"
7,Implementation and evaluation of a tdma mac for wifi-based rural mesh networks,47,2009,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=gGB3lA4AAAAJ&pagesize=50&citation_for_view=gGB3lA4AAAAJ:u5HHmVD_uO8C,"WiFi mesh networks with outdoor links have become an attractive option to provide cost-effective broadband connectivity to rural areas, especially in developing regions. It is well understood that a TDMA-based approach is necessary to provide good performance over such networks. While preliminary prototypes of TDMA-based MAC protocols have been developed, there is no implementation-based validation/evaluation in multi-hop settings. In this work, we describe the elements of a multi-hop MAC implementation based on the open-source MADWIFI driver. We also present an evaluation, with a detailed accounting of the various overheads, on a 4-hop (5-node) path. We show that our implementation has no system overheads, achieves good throughput, and low delay/jitter."
8,Extending cell tower coverage through drones,45,2017,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=gGB3lA4AAAAJ&pagesize=50&citation_for_view=gGB3lA4AAAAJ:ufrVoPGSRksC,"This paper explores a future in which drones serve as extensions to cellular networks. Equipped with a WiFi interface and a (LTE/5G) backhaul link, we envision a drone to fly in and create a WiFi network in a desired region. Analogous to fire engines, these drones can offer on-demand network service, alleviating unpredictable problems such as sudden traffic hotspots, poor coverage, and natural disasters. While realizing such a vision would need various pieces to come together, we focus on the problem of ""drone placement"". We ask: when several scattered users demand cellular connectivity in a particular area, where should the drone hover so that the aggregate demands are optimally satisfied? This is essentially a search problem, i.e., the drone needs to determine a 3D location from which its SNR to all the clients is maximized. Given the unknown environmental conditions (such as multipath, wireless shadows …"
9,Esense: Energy sensing-based cross-technology communication,45,2012,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=gGB3lA4AAAAJ&pagesize=50&citation_for_view=gGB3lA4AAAAJ:9yKSN-GCB0IC,"In this paper, we present Esense, a new paradigm of communication between devices that have fundamentally different physical layers. Esense is based on sensing and interpreting energy profiles. While our ideas are generic enough to be applicable in a variety of contexts, we illustrate the usefulness of our ideas by presenting novel solutions to existing problems in three distinct research domains. As part of these solutions, we demonstrate the ability to communicate between devices that follow two different standards: IEEE 802.11 and 802.15.4. We consider two scenarios here: 1) where there is no background traffic and 2) where there is background 802.11 traffic. In each case, we build an ""alphabet setâ: a set of signature packet sizes that can be used for Esense communication. Specifically for the second case, we take a measurement-based alphabet set construction by considering WiFi traces from actual …"
10,PnPLoc: UWB Based Plug & Play Indoor Localization,37,2022,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=gGB3lA4AAAAJ&pagesize=50&citation_for_view=gGB3lA4AAAAJ:L8Ckcad2t8MC,"Enabling reliable indoor localization can facilitate several new applications akin to how outdoor localization systems, such as GPS, have facilitated. Currently, a few key hurdles remain that prevent indoor localization from reaching the same stature. These hurdles include complicated deployment, tight time synchronization requirements from time difference of arrival protocols, and a lack of mechanism to allow a pan-building seamless solution. This work explores ways in which these key hurdles can be overcome to enable a more pervasive use of indoor localization. We propose a novel passive ranging scheme where clients overhear ongoing two-way ranging wireless communication between a few infrastructure nodes, and compute their own relative location without transmitting any signals (preserving user privacy). Our approach of performing two-way ranging between infrastructure nodes removes a crucial …"
