Rank,Title,Citations,Year,URL,Description
1,Sensing kirigami,80,2019,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=h0wla9sAAAAJ&pagesize=50&citation_for_view=h0wla9sAAAAJ:5nxA0vEk-isC,"This pictorial presents our material-driven inquiry into carbon-coated paper and kirigami structures. We investigated two variations of this paper and their affordances for tangible interaction; particularly their electrical, haptic, and visual aspects when shaped into three-dimensional forms through cutting, folding, and bending. Through this exploration, we uncovered distinct affordances between the two paper types for sensing folds and bends, due to differences in their material compositions. From these insights, we propose three applications that showcase the possibilities of this material for tangible interaction design. In addition, we leverage the pictorial format to expose working design schematics for others to take up their own explorations."
2,PEP (3D Printed Electronic Papercrafts): An Integrated Approach for 3D Sculpting Paper-Based Electronic Devices.,62,2018,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=h0wla9sAAAAJ&pagesize=50&citation_for_view=h0wla9sAAAAJ:eQOLeE2rZwMC,"We present PEP (Printed Electronic Papercrafts), a set of design and fabrication techniques to integrate electronic based interactivities into printed papercrafts via 3D sculpting. We explore the design space of PEP, integrating four functions into 3D paper products: actuation, sensing, display, and communication, leveraging the expressive and technical opportunities enabled by paper-like functional layers with a stack of paper. We outline a seven-step workflow, introduce a design tool we developed as an addon to an existing CAD environment, and demonstrate example applications that combine the electronic enabled functionality, the capability of 3D sculpting, and the unique creative affordances by the materiality of paper."
3,Silver tape: Inkjet-printed circuits peeled-and-transferred on versatile substrates,55,2020,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=h0wla9sAAAAJ&pagesize=50&citation_for_view=h0wla9sAAAAJ:hFOr9nPyWt4C,"We propose Silver Tape, a simple yet novel fabrication technique to transfer inkjet-printed silver traces from paper onto versatile substrates, without time-/space- consuming processes such as screen printing or heat sintering. This allows users to quickly implement silver traces with a variety of properties by exploiting a wide range of substrates. For instance, high flexibility can be achieved with Scotch tape, high transparency with polydimethylsiloxane (PDMS), heat durability with Kapton polyimide tape, water solubility with 3M water-soluble tape, and beyond. Many of these properties are not achievable with conventional substrates that are used for inkjet-printing conductive traces. Specifically, our technique leverages the commonly undesired low adhesion property of the inkjet printing films and repurposes these films as temporary transfer media. We describe our fabrication methods with a library of materials we can …"
4,Functional destruction: Utilizing sustainable materials’ physical transiency for electronics applications,37,2023,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=h0wla9sAAAAJ&pagesize=50&citation_for_view=h0wla9sAAAAJ:7PzlFSSx8tAC,"Today’s electronics are manufactured to provide stable functionality and fixed physical forms optimized for reliable operation over long periods and repeated use. However, even when applications don’t call for such robustness, the permanency of these electronics comes with environmental consequences. In this paper, we describe an alternative approach that utilizes sustainable transient electronics whose method of destruction is also key to their functionality. We create these electronics through three different methods: 1) by inkjet printing conductive silver traces on poly(vinyl alcohol) (PVA) substrates to create water-soluble sensors; 2) by mixing a conductive beeswax material configured as a meltable sensor; and 3) by fabricating edible electronics with 3D printed chocolate and culinary gold leaf. To enable practical applications of these devices, we implement a fully transient and sustainable chipless RF …"
5,Spin (self-powered paper interfaces) bridging triboelectric nanogenerator with folding paper creases,37,2020,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=h0wla9sAAAAJ&pagesize=50&citation_for_view=h0wla9sAAAAJ:8k81kl-MbHgC,"We present Self-powered Paper INterfaces (SPIN) combining folding paper creases with triboelectric nanogenerator (TENG). Embedding TENG into paper creases, we developed a design editor and set of fabrication techniques to create paper-based interfaces that power sensors and actuators. Our SPIN design editor enables users to design their own crease pattern by changing parameters, embed power generating modules into the design, estimate total power generation, and export the files. Then following the fabrication instructions, users can cut and crease materials, and assemble them to build their own interfaces. We employ repetitive push-and-pull based embodied interactions with the mechanism of paper creases and demonstrate four application examples that show new expressive possibilities applying different scales of embodied interactions."
6,The digital dream lab: tabletop puzzle blocks for exploring programmatic concepts,32,2013,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=h0wla9sAAAAJ&pagesize=50&citation_for_view=h0wla9sAAAAJ:LkGwnXOMwfcC,"Tangible interaction links digital data with physical forms to support embodied use. Puzzle pieces, which their inherent physical syntax of connectable elements, provide a powerful and expressive metaphor on which to construct such tangible systems. Prior work has explored this potential in the domain of edutainment systems for children aimed at tasks such as learning logic, programming or organizational skills. Although this work is promising, it has largely focused on relatively advanced concepts and children of ages 7-12 years. The work presented in this paper adopts the same perspective but focuses on young children (5 and under) and a simpler range of concepts relating to the clustering and manipulation of data. To achieve this it presents the design (including results from a series of six formative field studies) and implementation of the Digital Dream Lab tabletop puzzle block system. This system, intended …"
7,Paper mechatronics: present and future,28,2018,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=h0wla9sAAAAJ&pagesize=50&citation_for_view=h0wla9sAAAAJ:hqOjcs7Dif8C,"Creative iterative development over the past several years has generated an extensive set of computational tools, learning resources, and materials in the realm of paper mechatronics - an educational craft and design approach that weaves computational and mechanical elements into established traditions of children's construction with paper. Here, we both reflect upon our past and recent work of paper mechatronics, then look to the near- to medium-term future to speculate upon both the emerging trends in technology design and expanding learning potential of this medium for children along material, spatial, and temporal dimensions. We summarize lessons learned through various children's workshops with our materials; and we use these lessons as a foundation upon which to create a wide variety of novel tools and activities in educational papercrafting. We speculate upon the frontiers of this work based on …"
8,FoldMecha: Exploratory design and engineering of mechanical papercraft,25,2017,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=h0wla9sAAAAJ&pagesize=50&citation_for_view=h0wla9sAAAAJ:zYLM7Y9cAGgC,"We present FoldMecha, a computer-aided design (CAD) system for exploratory construction of mechanical papercraft. FoldMecha enables students to (a) design their own movements with simple mechanisms by modifying parameters and (b) build physical prototypes. This paper describes the system, as well as associated prototyping methods that make the construction process easier and more adaptable to widely different creations. The paper also discusses a week-long workshop that we held with six teenagers using FoldMecha. The teens successfully designed and built their own mechanisms, and adapted them to a variety of creations. Throughout the workshop, they progressively achieved an advanced level of skill and understanding about mechanical movements."
9,Shape-haptics: planar & passive force feedback mechanisms for physical interfaces,24,2022,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=h0wla9sAAAAJ&pagesize=50&citation_for_view=h0wla9sAAAAJ:YOwf2qJgpHMC,"We present Shape-Haptics, an approach for designers to rapidly design and fabricate passive force feedback mechanisms for physical interfaces. Such mechanisms are used in everyday interfaces and tools, and they are challenging to design. Shape-Haptics abstracts and broadens the haptic expression of this class of force feedback systems through 2D laser cut configurations that are simple to fabricate. They leverage the properties of polyoxymethylene plastic and comprise a compliant spring structure that engages with a sliding profile during tangible interaction. By shaping the sliding profile, designers can easily customize the haptic force feedback delivered by the mechanism. We provide a computational design sandbox to facilitate designers to explore and fabricate Shape-Haptics mechanisms. We also propose a series of applications that demonstrate the utility of Shape-Haptics in creating and customizing …"
10,Cube-in: A learning kit for physical computing basics,23,2015,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=h0wla9sAAAAJ&pagesize=50&citation_for_view=h0wla9sAAAAJ:u5HHmVD_uO8C,"We present Cube-in, a kit designed to help beginners learn about fundamental concepts in physical computing. Through play and observation, Cube-in users can investigate digital and analog signals, inputs and outputs, and mapping between inputs and outputs before they work on electronics and construct circuits. By simplifying interaction methods, Cube-in provides an accessible entry point to key physical computing concepts."
